,nan_rate,n_unique,std,outlier_rate_z5,family
chroma_00_mean,0.0,29752,0.06960117495313044,0.0,chroma
chroma_00_std,0.0,29752,0.03200959324609996,0.0,chroma
chroma_01_mean,0.0,29752,0.06607221142630137,0.0,chroma
chroma_01_std,0.0,29752,0.02600831618326629,0.0,chroma
chroma_02_mean,0.0,29752,0.06438742764315879,0.0,chroma
chroma_02_std,0.0,29752,0.0231086306919282,0.0,chroma
chroma_03_mean,0.0,29752,0.0728164943309561,0.0,chroma
chroma_03_std,0.0,29752,0.02194711033475237,0.0,chroma
chroma_04_mean,0.0,29752,0.07321420672057438,0.0,chroma
chroma_04_std,0.0,29752,0.023978201700342552,0.0,chroma
chroma_05_mean,0.0,29752,0.07777850818498876,0.0,chroma
chroma_05_std,0.0,29752,0.02671386878058143,0.0,chroma
chroma_06_mean,0.0,29752,0.08672984218655493,0.0,chroma
chroma_06_std,0.0,29752,0.028620709665668854,0.0,chroma
chroma_07_mean,0.0,29752,0.08008676086358682,0.0,chroma
chroma_07_std,0.0,29752,0.033313226627592764,0.0,chroma
chroma_08_mean,0.0,29752,0.08117333650481501,0.0,chroma
chroma_08_std,0.0,29752,0.040481528769246856,0.0,chroma
chroma_09_mean,0.0,29752,0.0886088876859201,0.00013439053890606102,chroma
chroma_09_std,0.0,29752,0.040915829933204986,0.0,chroma
chroma_10_mean,0.0,29752,0.08276195088430148,0.00013439053890606102,chroma
chroma_10_std,0.0,29752,0.04034927585483306,0.0,chroma
chroma_11_mean,0.0,29752,0.08109461593644404,0.0,chroma
chroma_11_std,0.0,29752,0.03592390562737132,0.0,chroma
duration_s,0.0,186,0.5061598728841008,0.0,other
mfcc_00_iqr,0.0,29728,43.98539781175179,0.0,mfcc
mfcc_00_kurt,0.0,29752,3.973681549074179,0.007895444160731084,mfcc
mfcc_00_max,0.0,29626,19.708636398600078,0.0,mfcc
mfcc_00_mean,0.0,29752,25.043991263234396,0.0,mfcc
mfcc_00_median,0.0,29667,30.279110358891348,0.00013439053890606102,mfcc
mfcc_00_min,0.0,28905,61.723197201753734,0.0,mfcc
mfcc_00_skew,0.0,29752,0.8245728445690413,0.003292568203198495,mfcc
mfcc_00_std,0.0,29752,19.073545800910633,0.0,mfcc
mfcc_01_iqr,0.0,29716,7.735647179822545,0.0010751243112484881,mfcc
mfcc_01_kurt,0.0,29752,1.6084586930263822,0.0020494557183174307,mfcc
mfcc_01_max,0.0,29601,9.4938601471761,0.0,mfcc
mfcc_01_mean,0.0,29752,7.460665863656162,0.0,mfcc
mfcc_01_median,0.0,29664,5.370665609378937,0.001209514850154549,mfcc
mfcc_01_min,0.0,24599,14.428261455223973,0.0,mfcc
mfcc_01_skew,0.0,29752,0.5843428092082997,0.0,mfcc
mfcc_01_std,0.0,29752,4.362381738347124,0.0,mfcc
mfcc_02_iqr,0.0,29738,9.141094109760004,0.0,mfcc
mfcc_02_kurt,0.0,29752,1.0101370119335233,0.0017806746405053084,mfcc
mfcc_02_max,0.0,29665,7.176106496264162,0.0,mfcc
mfcc_02_mean,0.0,29752,6.981255735607857,0.0,mfcc
mfcc_02_median,0.0,29683,6.847713871638364,0.0010079290417954576,mfcc
mfcc_02_min,0.0,29414,15.799950448928177,0.0,mfcc
mfcc_02_skew,0.0,29752,0.3915214210005814,0.00020158580835909153,mfcc
mfcc_02_std,0.0,29752,4.515959613723019,0.0,mfcc
mfcc_03_iqr,0.0,29742,4.736759041859676,0.00026878107781212203,mfcc
mfcc_03_kurt,0.0,29752,0.8874861404097358,0.0007727455987098508,mfcc
mfcc_03_max,0.0,29688,9.58653683711547,0.0,mfcc
mfcc_03_mean,0.0,29752,4.044330039486533,0.0,mfcc
mfcc_03_median,0.0,29697,3.2160402903242318,0.0010751243112484881,mfcc
mfcc_03_min,0.0,29452,8.83762715415959,0.0,mfcc
mfcc_03_skew,0.0,29752,0.5744449765070201,0.0,mfcc
mfcc_03_std,0.0,29752,2.86563739041571,0.0,mfcc
mfcc_04_iqr,0.0,29748,6.160690578706591,0.0,mfcc
mfcc_04_kurt,0.0,29752,1.152874043646066,0.0020494557183174307,mfcc
mfcc_04_max,0.0,29694,4.456953411513597,0.0,mfcc
mfcc_04_mean,0.0,29752,4.640221047038512,0.0,mfcc
mfcc_04_median,0.0,29660,3.888524843952362,0.0005039645208977288,mfcc
mfcc_04_min,0.0,29716,12.163884039386076,0.0,mfcc
mfcc_04_skew,0.0,29752,0.39762083328763087,0.0,mfcc
mfcc_04_std,0.0,29752,3.5067780553962145,0.0,mfcc
mfcc_05_iqr,0.0,29750,3.43390462464364,0.00010079290417954576,mfcc
mfcc_05_kurt,0.0,29752,0.821312967524227,0.0019486628141378846,mfcc
mfcc_05_max,0.0,29675,4.281231514233111,0.00026878107781212203,mfcc
mfcc_05_mean,0.0,29752,3.1936483999178154,0.0,mfcc
mfcc_05_median,0.0,29598,2.865924999234255,0.00016798817363257627,mfcc
mfcc_05_min,0.0,29711,7.5125306916292,0.0,mfcc
mfcc_05_skew,0.0,29752,0.3699210526251754,0.0,mfcc
mfcc_05_std,0.0,29752,1.88295607086871,0.0,mfcc
mfcc_06_iqr,0.0,29750,2.2320204880590575,0.0005711597903507594,mfcc
mfcc_06_kurt,0.0,29752,0.787510292781363,0.002419029700309098,mfcc
mfcc_06_max,0.0,29707,4.5379318744760315,0.0013775030237871255,mfcc
mfcc_06_mean,0.0,29752,2.312044947895803,0.00036957398199166777,mfcc
mfcc_06_median,0.0,29456,1.9245428054903433,0.00036957398199166777,mfcc
mfcc_06_min,0.0,29704,6.183262272072848,0.0,mfcc
mfcc_06_skew,0.0,29752,0.42780343216139305,6.719526945303051e-05,mfcc
mfcc_06_std,0.0,29752,1.3384553540483761,0.00026878107781212203,mfcc
mfcc_07_iqr,0.0,29750,2.667364364940812,0.00047036688617121356,mfcc
mfcc_07_kurt,0.0,29752,0.7717836275059403,0.0017134793710522778,mfcc
mfcc_07_max,0.0,29700,3.388594807573592,3.3597634726515254e-05,mfcc
mfcc_07_mean,0.0,29752,2.8125133336991732,0.0,mfcc
mfcc_07_median,0.0,29537,2.6172493963100294,0.00026878107781212203,mfcc
mfcc_07_min,0.0,29711,6.375792004986795,0.0,mfcc
mfcc_07_skew,0.0,29752,0.33515594778067415,0.0,mfcc
mfcc_07_std,0.0,29752,1.4697974116736452,0.00013439053890606102,mfcc
mfcc_08_iqr,0.0,29749,1.4450335164208759,0.0016798817363257628,mfcc
mfcc_08_kurt,0.0,29752,0.6453126809780508,0.0014111006585136407,mfcc
mfcc_08_max,0.0,29704,4.0292714557874785,0.0005039645208977288,mfcc
mfcc_08_mean,0.0,29752,1.7124895481489553,0.0,mfcc
mfcc_08_median,0.0,29740,1.4107575536683012,0.00013439053890606102,mfcc
mfcc_08_min,0.0,29704,4.788677425054888,6.719526945303051e-05,mfcc
mfcc_08_skew,0.0,29752,0.41579492038831206,0.0,mfcc
mfcc_08_std,0.0,29752,1.005271596870581,0.0006719526945303051,mfcc
mfcc_09_iqr,0.0,29746,1.3583372058240204,0.0008399408681628814,mfcc
mfcc_09_kurt,0.0,29752,0.6834544101508927,0.0024526273350356136,mfcc
mfcc_09_max,0.0,29706,3.9903015747819337,0.0011423195807015187,mfcc
mfcc_09_mean,0.0,29752,1.9107431997963482,0.00013439053890606102,mfcc
