feature,family,anova_F,anova_p,mutual_info
mfcc_d1_00_std,mfcc,1193.6856993151919,0.0,0.2907495610920501
mfcc_00_std,mfcc,1158.9226575155374,0.0,0.3163133524794599
prosody_intensity_std,prosody,1078.1652698871796,0.0,0.32612491591431203
mfcc_00_iqr,mfcc,1044.026673991535,0.0,0.2977150508621147
prosody_intensity_iqr,prosody,984.6527547142548,0.0,0.295873580973808
mfcc_d2_00_std,mfcc,888.5960838716056,0.0,0.24900877428534018
spectral_band_0_500_std,spectral,865.314318540203,0.0,0.24952406638207636
spectral_band_0_500_mean,spectral,833.8628017434141,0.0,0.24772621436247455
prosody_intensity_mean,prosody,815.2790994819094,0.0,0.2810154528680062
mfcc_02_std,mfcc,788.4162834393085,0.0,0.23700172134221464
prosody_intensity_min,prosody,775.8900110189312,0.0,0.3246393726754362
spectral_flux_min,spectral,749.1804846041451,0.0,0.3000432243303015
mfcc_02_iqr,mfcc,717.444169202323,0.0,0.21662142512548543
mfcc_00_mean,mfcc,690.2518417921697,0.0,0.24400299958864036
spectral_flux_median,spectral,638.3565886246199,0.0,0.20806486160769655
mfcc_02_min,mfcc,612.9513612404749,0.0,0.18435066181271909
spectral_rms_mean,spectral,605.8688084073777,0.0,0.18613582013558183
spectral_centroid_median,spectral,595.6667195809301,0.0,0.20430281770527703
mfcc_00_min,mfcc,573.0941526536311,0.0,0.19349308419056
spectral_slope_mean,spectral,548.1385019980818,0.0,0.17867616317733548
mfcc_d1_02_std,mfcc,546.0886978439743,0.0,0.16522574175071014
spectral_rms_median,spectral,539.2694891000812,0.0,0.17639234238845258
spectral_contrast_5_mean,spectral,522.5507863748276,0.0,0.1785081320306916
spectral_zcr_median,spectral,518.6023292514838,0.0,0.17944789571626574
spectral_slope_median,spectral,511.7884529910533,0.0,0.17544694097338143
mfcc_02_mean,mfcc,500.9195738534555,0.0,0.15495251508021513
spectral_band_1000_2000_std,spectral,491.3707458122643,0.0,0.14926788800956947
spectral_flux_mean,spectral,484.25856619504736,0.0,0.16763056985421176
spectral_band_500_1000_mean,spectral,481.6396576686596,0.0,0.15477660864413378
chroma_08_std,chroma,470.40319050724827,0.0,0.17258224146672774
prosody_f2_bw_median,prosody,462.74292183952974,0.0,0.15158688373431684
spectral_band_500_1000_std,spectral,457.28254215851445,0.0,0.15323027182578963
mfcc_04_iqr,mfcc,451.40747104928164,0.0,0.13804618702547566
prosody_f3_bw_median,prosody,446.4413515531089,0.0,0.13784924124185283
mfcc_04_std,mfcc,444.87318327508984,0.0,0.1282196808293592
mfcc_d1_04_std,mfcc,444.38463165011143,0.0,0.12792428133068734
spectral_band_1000_2000_mean,spectral,430.8121561363066,0.0,0.18411492377696925
chroma_10_std,chroma,422.6823632526914,0.0,0.15394625486040958
spectral_rolloff85_median,spectral,421.001887199911,0.0,0.18018832678977237
mfcc_05_std,mfcc,415.29346639235865,0.0,0.14581817747827275
mfcc_03_std,mfcc,415.1022030880135,0.0,0.1324620047941112
mfcc_04_min,mfcc,410.7295481436358,0.0,0.11773268608240395
chroma_07_std,chroma,405.44980551490977,0.0,0.14734529745363245
chroma_09_mean,chroma,398.8551644713192,0.0,0.14368502147059603
spectral_band_2000_3000_std,spectral,398.72263688499135,0.0,0.16004833001698549
chroma_09_std,chroma,396.88087447494047,0.0,0.1555327968223308
prosody_f1_median,prosody,396.470717553177,0.0,0.12341296852778472
mfcc_d2_04_std,mfcc,395.8757934883022,0.0,0.12844901610571213
spectral_rms_min,spectral,390.1166047947317,0.0,0.16189529342703457
mfcc_d1_03_std,mfcc,388.09468919317743,0.0,0.12952490076061274
spectral_band_2000_3000_mean,spectral,387.5704514380128,0.0,0.17549024887270637
chroma_00_std,chroma,386.86844456690295,0.0,0.1344937871593248
chroma_08_mean,chroma,372.57716312303177,0.0,0.12339218997753942
prosody_f0_mean,prosody,370.7099884987398,0.0,0.12680409471270115
prosody_voiced_rate_per_s,prosody,369.64271906260075,0.0,0.16062443324269893
chroma_10_mean,chroma,369.22573298466466,0.0,0.11587990972686146
spectral_centroid_iqr,spectral,366.81174429989505,0.0,0.2523120294284369
mfcc_d2_02_std,mfcc,366.7786019842118,0.0,0.12238654260898807
mfcc_d1_05_std,mfcc,361.2305681686687,0.0,0.10481013778076287
mfcc_04_mean,mfcc,357.578576683746,0.0,0.11161409886508267
spectral_flux_std,spectral,353.36705691131584,0.0,0.12902578853487867
prosody_cpps,prosody,347.0038361222627,0.0,0.126217619087162
prosody_intensity_skew,prosody,346.7973740702036,0.0,0.10537070786375313
spectral_band_3000_4000_mean,spectral,344.53958199584025,0.0,0.14040535101736662
chroma_01_std,chroma,344.16525280515856,0.0,0.1128864174283839
chroma_11_std,chroma,343.8978858751127,0.0,0.13454423704356389
mfcc_05_iqr,mfcc,343.3130810772729,0.0,0.11157422392909533
prosody_intensity_median,prosody,338.8888292907313,0.0,0.13777569050331318
mfcc_03_iqr,mfcc,338.78643276644794,0.0,0.11431276786571276
prosody_f0_min,prosody,333.45433095431395,0.0,0.14898157777708088
mfcc_07_iqr,mfcc,331.74028991831693,0.0,0.1319994448704387
mfcc_07_std,mfcc,329.327298334233,1.2017e-319,0.11441953264019178
mfcc_06_std,mfcc,327.02099652590175,1.5143176e-317,0.11479387233342964
prosody_shimmer_dda,prosody,325.3357198731428,4.7613447e-316,0.1253610294855214
prosody_shimmer_apq3,prosody,325.3357198731305,4.7613447e-316,0.1254161819664228
prosody_n_voiced_segments,prosody,321.72384368461127,7.80853321425e-313,0.1320027611810919
spectral_rolloff95_median,spectral,320.9022343466371,4.214511360137e-312,0.1565335467240314
mfcc_d1_19_std,mfcc,313.47747049600105,1.8042667899233961e-305,0.12158388000574671
mfcc_18_std,mfcc,308.0715539507176,1.2639332060987563e-300,0.12957138850336047
mfcc_05_min,mfcc,305.86172113673825,1.220657781726526e-298,0.0981614310029193
chroma_11_mean,chroma,305.5342434706975,2.4040295426319793e-298,0.1075693883775597
prosody_f0_median,prosody,304.76900044712323,1.1721101517045131e-297,0.12346497668671752
mfcc_02_median,mfcc,304.29777912742975,3.1101918497885783e-297,0.12582638510264976
mfcc_19_std,mfcc,302.1964030454458,2.4216837612059326e-295,0.13707500321076216
prosody_hnr_mean,prosody,290.69639772676214,5.938189028927053e-285,0.14070555000406326
spectral_contrast_5_std,spectral,288.5305835941991,5.467106821639366e-283,0.13209997147511388
spectral_contrast_2_std,spectral,287.1780978990714,9.23594042998832e-282,0.11099143119979882
spectral_rolloff95_mean,spectral,285.9493062330338,1.2070416129135864e-280,0.11965475937464864
chroma_05_std,chroma,285.4209266946652,3.6470348577907283e-280,0.09822444387790741
spectral_contrast_1_std,spectral,284.95920341558434,9.587221194254854e-280,0.09608421508274434
mfcc_d2_03_std,mfcc,284.34954035289616,3.4363951517899323e-279,0.0918968219827363
mfcc_d2_05_std,mfcc,281.1824657363998,2.6253329175252167e-276,0.09582852844133338
mfcc_d1_06_std,mfcc,280.7664863908147,6.2840718426991425e-276,0.09955280456893423
mfcc_d1_18_std,mfcc,279.94355605970316,3.534980043910302e-275,0.12316637834651933
mfcc_08_std,mfcc,277.7036418181657,3.907849214255756e-273,0.09836216945920828
spectral_entropy_std,spectral,275.6861730795993,2.7210401071614133e-271,0.11162445533236509
