,speaker_eta2,emotion_eta2,family
duration_s,0.21773941868274024,0.07453601328325594,other
peak_amplitude,0.09669624762416441,0.042759550836992566,other
spectral_centroid_mean,0.1444956100505959,0.15472961239653074,spectral
spectral_centroid_std,0.1675402830898929,0.06589872741814663,spectral
spectral_centroid_min,0.39140038719936465,0.003941042144164198,spectral
spectral_centroid_max,0.20731945493815868,0.06539032704966703,spectral
spectral_centroid_median,0.13964785003748015,0.28601154182787336,spectral
spectral_centroid_iqr,0.13188043071877203,0.1978689289393977,spectral
spectral_centroid_skew,0.06939859793214602,0.04620951718629663,spectral
spectral_centroid_kurt,0.050215796390111714,0.04482866905790123,spectral
spectral_bandwidth_mean,0.12926685301649005,0.08505872173598963,spectral
spectral_bandwidth_std,0.09693297290483101,0.027969055753267823,spectral
spectral_bandwidth_min,0.114852190166614,0.008270471275177717,spectral
spectral_bandwidth_max,0.11341052335251084,0.023871132985961975,spectral
spectral_bandwidth_median,0.23637214433815515,0.13530240612419225,spectral
spectral_bandwidth_iqr,0.13117148718586835,0.08303221170267967,spectral
spectral_bandwidth_skew,0.08167356583622735,0.05106810035474621,spectral
spectral_bandwidth_kurt,0.08308259148583715,0.048906300229921755,spectral
spectral_rolloff85_mean,0.13514246153276388,0.13188480326905233,spectral
spectral_rolloff85_std,0.13054499581629397,0.05335348806789943,spectral
spectral_rolloff85_min,0.16151427675062832,0.004944318156733121,spectral
spectral_rolloff85_max,0.12300237950546476,0.04185044910924901,spectral
spectral_rolloff85_median,0.12143751106575974,0.2206506660314426,spectral
spectral_rolloff85_iqr,0.12318049010873908,0.12211594475894232,spectral
spectral_rolloff85_skew,0.08133921828765056,0.07993118678889288,spectral
spectral_rolloff85_kurt,0.08417491220810809,0.06606339748768915,spectral
spectral_rolloff95_mean,0.15020081300712532,0.1612845360145066,spectral
spectral_rolloff95_std,0.12467550928452396,0.05564072174369382,spectral
spectral_rolloff95_min,0.18338829580942032,0.002001976336620323,spectral
spectral_rolloff95_max,0.10209633863091282,0.029388857680581543,spectral
spectral_rolloff95_median,0.141618611108851,0.17749977197334976,spectral
spectral_rolloff95_iqr,0.13918119934025885,0.1487360550045474,spectral
spectral_rolloff95_skew,0.11883822101803157,0.14481261605327858,spectral
spectral_rolloff95_kurt,0.10111434206568287,0.10337640024170595,spectral
spectral_flatness_mean,0.14815795308477578,0.06796450244624144,spectral
spectral_flatness_std,0.14758669622214943,0.06635231223348854,spectral
spectral_flatness_min,0.1820488649401344,0.031895811844745124,spectral
spectral_flatness_max,0.0834598031346974,0.03603389854721863,spectral
spectral_flatness_median,0.24027883144676845,0.033901492261446974,spectral
spectral_flatness_iqr,0.07774700578859343,0.027608053494550536,spectral
spectral_flatness_skew,0.03846216324700331,0.01258809366176953,spectral
spectral_flatness_kurt,0.03676077606321958,0.015848567641082965,spectral
spectral_zcr_mean,0.12697371687167922,0.1346057182111641,spectral
spectral_zcr_std,0.1459432822842409,0.05379708564279142,spectral
spectral_zcr_min,0.14780739994870884,0.00361222414992462,spectral
spectral_zcr_max,0.18954122102847548,0.059881649146163604,spectral
spectral_zcr_median,0.16466228859686116,0.25857684830524963,spectral
spectral_zcr_iqr,0.1363863321018605,0.1370146844434979,spectral
spectral_zcr_skew,0.06623767638984379,0.030320733120736663,spectral
spectral_zcr_kurt,0.05394493775421903,0.03191006159823098,spectral
spectral_rms_mean,0.1765225216437991,0.28949201496696525,spectral
spectral_rms_std,0.13898940091203107,0.08670461145387927,spectral
spectral_rms_min,0.09655631096190198,0.2078275818338906,spectral
spectral_rms_max,0.09321733918314329,0.01336146956935281,spectral
spectral_rms_median,0.17993845520450386,0.26613907577495327,spectral
spectral_rms_iqr,0.09111566579156144,0.07172440998898612,spectral
spectral_rms_skew,0.08621711258943067,0.011359581099090979,spectral
spectral_rms_kurt,0.07219895682674907,0.012201475521401214,spectral
spectral_flux_mean,0.17617328303061058,0.24565958748362568,spectral
spectral_flux_std,0.09106469155887405,0.1920090101505947,spectral
spectral_flux_min,0.16917783003017567,0.3350268414209704,spectral
spectral_flux_max,0.0765229614771314,0.024197120184778213,spectral
spectral_flux_median,0.18214721388599706,0.3003526994205341,spectral
spectral_flux_iqr,0.10038820525716786,0.15224084547273364,spectral
spectral_flux_skew,0.09476130865713174,0.013769165493710621,spectral
spectral_flux_kurt,0.0717513744315427,0.006828900271778704,spectral
spectral_entropy_mean,0.2247884209918144,0.11976948998282035,spectral
spectral_entropy_std,0.23736649461856446,0.15640116618033095,spectral
spectral_entropy_min,0.07486382848456337,0.018503858717352238,spectral
spectral_entropy_max,0.18051506975673456,0.10316569403956644,spectral
spectral_entropy_median,0.3357144474146324,0.0887209799560809,spectral
spectral_entropy_iqr,0.26067266906041336,0.1436951044054538,spectral
spectral_entropy_skew,0.15005320822505128,0.016370036054083804,spectral
spectral_entropy_kurt,0.08684679248689052,0.042124202985306,spectral
spectral_slope_mean,0.16757352708267345,0.26933719816116863,spectral
spectral_slope_std,0.22480567208176896,0.06000226761892838,spectral
spectral_slope_min,0.12163886169056361,0.07851636277356325,spectral
spectral_slope_max,0.30017806150408766,0.014543126631634273,spectral
spectral_slope_median,0.18719743700936478,0.2560493343981437,spectral
spectral_slope_iqr,0.10061350235611549,0.04141979635409165,spectral
