model,train_condition,test_condition,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,log_loss,top2_accuracy
lightgbm,ref,ref,0.5896341463414634,0.5907738095238094,0.5839986941267171,0.5836655830078565,0.5075492575671046,1.8708968546665146,0.7871951219512195
svm_rbf,ref,ref,0.5853658536585366,0.5856150793650794,0.5807939292816177,0.5801179119885381,0.5020539382032505,1.1104445667734455,0.7865853658536586
lda,ref,ref,0.5847560975609756,0.5854166666666667,0.5795849378542396,0.579436829740491,0.5016065117275357,1.2608740092493713,0.7884146341463415
linear_svm,ref,ref,0.5829268292682926,0.5843253968253967,0.5769966593350923,0.576252795683911,0.4994556196119728,,
lightgbm,mp4_aac64,mp4_aac64,0.5804878048780487,0.5824404761904762,0.5738072136692814,0.5730007986610289,0.4966811790735851,1.9005591350798452,0.7902439024390244
xgboost,ref,ref,0.5810975609756097,0.5821428571428572,0.5744970104392203,0.5743835087633334,0.49735893500838724,1.3262207508087158,0.7847560975609756
lda,mp4_aac64,mp4_aac64,0.5774390243902439,0.5787698412698413,0.5727999728409628,0.5721749673773183,0.4928785607196402,1.2845724708675506,0.7908536585365854
xgboost,mp4_aac64,mp4_aac64,0.5762195121951219,0.5775793650793651,0.569759584533876,0.5691176614402498,0.49143316080671073,1.325118899345398,0.7902439024390244
linear_svm,mp4_aac64,mp4_aac64,0.573170731707317,0.5746031746031747,0.5680427887503645,0.5670086673279765,0.4876646792102537,,
mlp_sklearn,ref,ref,0.573170731707317,0.5742063492063493,0.5691303944492406,0.5681871632225557,0.4875640544931883,1.857078371169076,0.7804878048780488
hist_gradient_boosting,ref,ref,0.572560975609756,0.5730158730158731,0.5662158738113279,0.5661445956956748,0.48694193041646583,1.2533280461540062,0.776219512195122
svm_rbf,mp4_aac64,mp4_aac64,0.5713414634146341,0.5718253968253969,0.5653496352371712,0.5647676356513154,0.48532195278740053,1.115472179103609,0.7859756097560976
logistic_regression,mp4_aac64,mp4_aac64,0.5689024390243902,0.5704365079365078,0.5649591155296169,0.5637595472707925,0.48251361242524327,1.4063951035145592,0.7798780487804878
mlp_sklearn,mp4_aac64,mp4_aac64,0.5676829268292682,0.5693452380952381,0.5650024046330591,0.563885915889627,0.48110529979829,1.5496081297862225,0.7737804878048781
logistic_regression,ref,ref,0.5652439024390243,0.5668650793650793,0.5608000763849209,0.5597079394859428,0.47818714076612767,1.3837721967604166,0.7853658536585366
hist_gradient_boosting,mp4_aac64,mp4_aac64,0.550609756097561,0.5512896825396826,0.5446400684406266,0.5446027784332605,0.4606899998215209,1.1933925465191413,0.7713414634146342
random_forest,ref,ref,0.5323170731707317,0.5349206349206349,0.5170767342459401,0.51595491561806,0.4391174844382614,1.2731187905518304,0.7420731707317073
random_forest,mp4_aac64,mp4_aac64,0.5213414634146342,0.5237103174603175,0.5060285314890849,0.504935769013795,0.4258932234530245,1.2789796040517405,0.7463414634146341
adaboost,ref,ref,0.5195121951219512,0.520734126984127,0.5136723732242932,0.5131483762297638,0.4234009137635637,1.7767066866915227,0.7554878048780488
extra_trees,mp4_aac64,mp4_aac64,0.5182926829268293,0.5205357142857143,0.5002905229588754,0.4992135980445932,0.4222261862290404,1.2995752407612182,0.7384146341463415
extra_trees,ref,ref,0.5158536585365854,0.5191468253968253,0.4962982318500863,0.49460390175458185,0.4194560855996433,1.2881910246329864,0.7420731707317073
adaboost,mp4_aac64,mp4_aac64,0.5018292682926829,0.5026785714285714,0.49359944336940464,0.4936978793695747,0.4023408924652524,1.7769048135540821,0.748780487804878
knn,ref,ref,0.4774390243902439,0.4790674603174603,0.46561334282890354,0.46504766899182176,0.37318039103753375,2.824246040623202,0.7054878048780487
knn,mp4_aac64,mp4_aac64,0.47012195121951217,0.4729166666666666,0.45698202411870587,0.4559543894814113,0.36473210305785864,2.820790481062643,0.7006097560975609
gaussian_nb,mp4_aac64,mp4_aac64,0.4268292682926829,0.43184523809523806,0.38190909951571245,0.3801670450323559,0.3141738588842423,16.732978741550273,0.623780487804878
gaussian_nb,ref,ref,0.424390243902439,0.4295634920634921,0.3791044591496234,0.37758845217801235,0.3115372300686612,17.065983249053183,0.6207317073170732
decision_tree,mp4_aac64,mp4_aac64,0.4054878048780488,0.4073412698412699,0.4019733412374394,0.4014328952418484,0.28701375140456964,8.756339566890041,0.5707317073170731
decision_tree,ref,ref,0.3896341463414634,0.3904761904761905,0.3821705981290457,0.38260681480815134,0.2681704707560628,8.992130732689109,0.5719512195121951
dummy_majority,ref,ref,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_majority,mp4_aac64,mp4_aac64,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_stratified,mp4_aac64,mp4_aac64,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
dummy_stratified,ref,ref,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
