,ref,mp3_64,mp4_aac64,roundtrip_wav
duration_s,0.02286886068856077,0.01157059793782345,0.014767712346148593,0.015552539820614221
peak_amplitude,0.0018973953722934839,0.0,0.0011629191385437174,0.0
spectral_centroid_mean,0.0,0.0,0.00027628677863661833,0.005097351619934512
spectral_centroid_std,0.0,0.0,0.0,0.0
spectral_centroid_min,0.001621814183485566,0.0,0.0012740636267474397,0.0
spectral_centroid_max,0.0002606886933034027,0.0,0.0,0.0
spectral_centroid_median,0.0,0.0017862796691660186,0.0,0.0
spectral_centroid_iqr,0.02210648054350375,0.008145183094744555,0.003980531259788841,0.0
spectral_centroid_skew,0.002360248320533082,0.0024438359318204508,0.0025061443913041554,0.002906319391961357
spectral_centroid_kurt,0.0,0.0,0.0,0.0020067434926347924
spectral_bandwidth_mean,0.0,0.0,0.0,0.0
spectral_bandwidth_std,0.003163983207143807,0.0,0.0,0.0
spectral_bandwidth_min,0.00018488107151808566,0.0,0.003368659720327099,0.00048222665732339454
spectral_bandwidth_max,0.0,0.0021889739429942134,0.0006034049447626317,0.0
spectral_bandwidth_median,0.0,0.0,0.0,0.0
spectral_bandwidth_iqr,0.0,0.00024879013260510505,0.0,0.0
spectral_bandwidth_skew,0.0,0.0,0.0,0.0014043083444906061
spectral_bandwidth_kurt,0.0,0.0003404443245589687,0.0,0.0
spectral_rolloff85_mean,0.0018759695743622478,0.001716845069339962,0.0,0.0
spectral_rolloff85_std,0.0017979203430194416,0.0,0.0,0.0
spectral_rolloff85_min,0.0,0.0016041656680404741,0.0,0.0
spectral_rolloff85_max,0.001991934137079985,0.0,0.0011456078845777388,0.0
spectral_rolloff85_median,0.0,0.0,0.0,0.0
spectral_rolloff85_iqr,0.0,0.0,0.0021137392831824414,0.0
spectral_rolloff85_skew,0.0017717294913399298,0.0033391729921190515,0.0,0.0
spectral_rolloff85_kurt,0.0009864633870369731,0.0010362473427477112,0.0,0.0
spectral_rolloff95_mean,0.0,0.0,0.0,0.0
spectral_rolloff95_std,0.0,0.0,0.0,0.0
spectral_rolloff95_min,0.0,0.0,0.0,0.0
spectral_rolloff95_max,0.0026583436895212835,0.0,0.0,0.0
spectral_rolloff95_median,0.0,0.0,0.0,0.0006654329865237058
spectral_rolloff95_iqr,0.0,0.0018336662361226634,0.0027282289486256555,0.0
spectral_rolloff95_skew,0.0,0.0,0.0,0.0
spectral_rolloff95_kurt,0.0016708080556996398,0.0,0.0,0.0
spectral_flatness_mean,0.0,0.0033182688397477983,0.0,0.0
spectral_flatness_std,0.0,0.0,0.0,0.0
spectral_flatness_min,0.0020782842015345973,0.0,0.0,0.00192438692910213
spectral_flatness_max,0.0,0.0,0.00137369280014438,0.0
spectral_flatness_median,0.0,0.0,0.0,0.002015862286801142
spectral_flatness_iqr,0.0,0.0,0.0,0.0
spectral_flatness_skew,0.0,0.0,0.0,0.001224286865500891
spectral_flatness_kurt,0.0,0.0,0.0,0.00025819277019442
spectral_zcr_mean,0.0,0.0,0.0019578772393149726,0.0
spectral_zcr_std,0.0,0.0,0.0,0.0
spectral_zcr_min,0.0,0.001757170330449603,0.0,0.0
spectral_zcr_max,0.0,0.0,0.0,0.0
spectral_zcr_median,0.0,0.0,0.0,0.0
spectral_zcr_iqr,0.0,0.0,0.0,0.0
spectral_zcr_skew,0.0,0.0,0.0,0.0
spectral_zcr_kurt,0.0018329271280637799,0.0,0.0008620549924137487,0.0
spectral_rms_mean,0.0,0.0,0.004873753486657157,0.0024811452173192075
spectral_rms_std,0.001318380391879394,0.003596679580382695,0.0,0.0
spectral_rms_min,0.0032996822083982296,0.0,0.0,0.0014302967193565485
spectral_rms_max,0.0,0.0021822670225991737,0.0016016846497622068,0.0016387042310132842
spectral_rms_median,0.0,0.0,0.0017582007617841645,0.004329185007224136
spectral_rms_iqr,0.003127952096448388,0.00270109474170717,0.002542779234461898,0.0
spectral_rms_skew,0.0006078099157380163,0.0,0.0,0.0022256198463053685
spectral_rms_kurt,0.0,0.0,0.00166761426988532,0.0
spectral_flux_mean,0.0,0.0,0.0,0.0
spectral_flux_std,0.0022037372644147365,0.0095752547340888,0.0,0.0014951863153297527
spectral_flux_min,0.0,0.0018959818462422114,0.001856955220125721,0.0
spectral_flux_max,0.0,0.0,0.0,0.0
spectral_flux_median,0.0038722810829138242,0.0,0.0017353900712262307,0.003424851679971219
spectral_flux_iqr,0.006352234979884819,0.0,0.0,0.0
spectral_flux_skew,0.0,0.0,0.0,0.0
