pair,rho_used,p_used,rho_all,n_used,top25_overlap
seed,0.9344285681638949,1.500473026682874e-105,0.9326917079854593,233,23
seed,0.9623614872813332,7.437227536659019e-130,0.9580486869563667,228,23
seed,0.961112321487163,2.773390931463739e-128,0.9519026800646516,228,24
seed,0.9409531795668846,1.3871959289408323e-111,0.9315320192201328,235,24
seed,0.9334292450652298,1.7696109834148689e-103,0.9346271387228041,230,24
seed,0.9578614404168935,7.0117449926513746e-124,0.9565202418316686,227,24
seed,0.9418152361494159,2.0787894246316074e-110,0.9359495464224541,231,23
seed,0.9599174987776934,2.2152056476924405e-127,0.9492410385069416,229,24
seed,0.9312924210691098,7.57339259077384e-103,0.9340275946692046,232,24
seed,0.9448827494321361,5.7316485589229545e-115,0.9345747642665649,235,23
seed,0.9448101183839822,6.653519928798469e-115,0.9319016898564499,235,24
seed,0.9549861748281825,8.766772231685035e-122,0.9460285247937885,229,23
seed,0.9341963332916734,6.254866689969978e-105,0.9391453586169528,232,24
seed,0.9453804650393723,6.672540284236511e-116,0.9326154685892366,236,24
seed,0.9582641270394923,1.9815834709029225e-125,0.9551862873642237,229,24
seed,0.9316403248787751,1.1889685234310212e-102,0.9432934731920817,231,24
seed,0.9649011250465034,2.1985591707019114e-134,0.9472877910746995,230,25
seed,0.949372364969313,3.883703133014187e-117,0.9479066784947171,231,25
seed,0.9415958447010919,2.79727404599551e-109,0.939233841573401,229,23
seed,0.9536669252321437,5.838624512677641e-122,0.9382661853733495,232,23
seed,0.9278902632335032,4.32489676226266e-100,0.931301771267492,231,23
seed,0.9340996150629182,9.345699678420213e-106,0.9274013500639152,234,23
seed,0.9531629553211123,7.85963693526137e-119,0.9466600294905423,227,24
seed,0.9450341734096153,1.2084611940317107e-113,0.9363752572698539,232,23
seed,0.9494365945486537,1.0963899668802234e-115,0.9435648183824947,228,23
seed,0.9269338082418928,6.923489974232624e-100,0.9259969732775628,232,24
seed,0.9514066526751235,1.298185572197755e-118,0.9472539589229813,230,22
seed,0.957054239208737,1.1472542315825418e-125,0.9460160061690459,232,24
seed,0.9501156991046312,7.453291470463897e-118,0.945323725548951,231,23
seed,0.9541064509722823,2.8114474656699507e-119,0.9490324191468166,226,23
seed,0.9768510369688753,1.0720203238947774e-154,0.955795584292224,230,23
seed,0.9529692766669486,3.1275124561862022e-121,0.9431614312768565,232,23
seed,0.9510631376780821,8.76078369231683e-119,0.940779346359025,231,23
seed,0.969377636711211,4.986558018427511e-141,0.95462783112558,230,23
seed,0.940248516119425,1.1708379608627827e-108,0.938023591084122,230,23
seed,0.9499422486057288,1.0671289949187833e-118,0.9382696316999809,233,23
seed,0.9478099564928237,1.1382810521499633e-114,0.9414579364556308,229,24
