draw,floor_rho,floor_overlap,mp3_64_rho,mp3_64_overlap,mp4_aac64_rho,mp4_aac64_overlap,roundtrip_wav_rho,roundtrip_wav_overlap,container_rho,container_overlap
0,0.9536902376474286,24,-0.13364180831738642,10,-0.13353564921794292,9,-0.11144596545948132,11,0.18310164633110868,16
1,0.9679777566897324,25,-0.07611896983638786,12,-0.08952900632607062,13,-0.1612877978180077,11,0.21009226697350641,18
2,0.9387055758207399,24,0.01879429474181624,15,-0.17308973270569866,12,-0.1437366544645195,11,0.47273919105285295,20
3,0.961140293675826,24,-0.010252884553971452,13,-0.1779717867667383,8,-0.20417764444875844,6,0.2927594926300096,17
4,0.9687718663566504,24,-0.049398299206395754,12,-0.1070140030575472,11,-0.08930209288518344,8,0.1600968484194676,16
5,0.9074647812760711,25,-0.026352241161099226,11,-0.1315300150392557,10,-0.12243356578674253,10,0.20821364640951567,14
6,0.9615853512936611,24,-0.14974059081771593,13,-0.1746882105018584,10,-0.14719389311336858,11,0.14629311949491214,16
7,0.9832562307545698,24,-0.07378952676230145,11,-0.12292581203021649,13,-0.15722257080486818,11,0.0664827926552906,16
8,0.9469166947567328,24,0.012731920011511867,13,-0.08890934534375453,8,-0.026318762199161135,8,0.28912695764274243,17
9,0.9574312692764166,25,-0.059872527775621076,14,-0.2166867939914591,13,-0.1547263465618863,10,0.09812149931555068,16
10,0.954429416230766,24,-0.1266807458228455,13,-0.18176418762388444,11,-0.2044665378570547,10,0.1133493669528257,14
11,0.9419393646522894,24,-0.15840392006251364,11,-0.19360066572837198,10,-0.0938911201767417,11,0.2347293232537352,16
12,0.9505742529972234,24,0.07390908433994736,15,-0.05353427358714939,11,0.013725971717737798,10,0.10526048951101497,15
13,0.9688889229983176,24,-0.007437765072016096,14,-0.046819301166243,9,-0.17783663831074586,9,0.25227095369080765,15
14,0.9665531962918157,24,-0.17566044645203446,11,-0.1751644157029284,10,-0.08478509663417945,10,0.2531922806399162,15
15,0.9502950281798217,24,-0.08546953364209678,18,-0.11773266639946348,13,-0.11778009756659742,13,-0.00832745635495415,13
16,0.9722342022564359,23,-0.04381524857290229,13,-0.1747770610103831,9,-0.1657886924238469,9,0.1412222705822341,14
17,0.9639412618103051,25,-0.15867195720376723,8,-0.11578489619472569,10,-0.06073520005297767,9,0.13614446619044981,15
18,0.9699274810254382,24,-0.05714676666230702,12,-0.1572414058318687,12,-0.12250421592198851,11,0.21930444858383633,16
19,0.96557442920007,24,-0.07447979596515682,12,-0.11282334012658043,11,-0.19437804397913214,10,0.33661024300364123,17
