,shift_sd
spectral_contrast_6_mean,38.56266021437619
spectral_contrast_6_std,2.1260496182100166
spectral_flatness_median,1.4404582762458569
spectral_flatness_mean,0.9936057425730825
spectral_flatness_std,0.9051459431502813
spectral_flatness_max,0.8467273856850412
spectral_flatness_min,0.8280366195617634
mfcc_18_median,0.6991686198040299
mfcc_08_median,0.6567025502367688
mfcc_19_median,0.6522816385005089
mfcc_12_median,0.6234060688012184
mfcc_15_median,0.6214599748692723
mfcc_17_median,0.6212068595929399
mfcc_16_median,0.5913583011212218
mfcc_13_median,0.587838825019231
mfcc_18_mean,0.5736279535874275
mfcc_14_median,0.5729064174326826
mfcc_19_mean,0.5481596212704632
mfcc_10_median,0.5473089942662952
mfcc_11_median,0.5470042652465276
mfcc_08_mean,0.5386674324096361
mfcc_17_mean,0.5341219601770053
mfcc_09_median,0.5278277483890571
spectral_flatness_iqr,0.5252903474957956
mfcc_12_mean,0.5228498086040457
mfcc_15_mean,0.5128762816742795
mfcc_16_mean,0.5127666571892386
mfcc_13_mean,0.49794260905115
mfcc_14_mean,0.49675863990022456
mfcc_11_mean,0.47458672566686977
mfcc_10_mean,0.46340435834092475
mfcc_06_median,0.46190568764956097
mfcc_09_mean,0.4588854840703893
spectral_rms_std,0.4210081344814055
mfcc_06_mean,0.38787605384465346
mfcc_07_median,0.3448824134951953
spectral_slope_std,0.34081657118213926
mfcc_07_mean,0.32656574327877674
mfcc_05_median,0.3258537823325226
mfcc_05_mean,0.2933372012444704
mfcc_03_median,0.2925103631908988
mfcc_07_max,0.27173126031932815
prosody_intensity_max,0.26036992847500245
spectral_flux_std,0.25624241495270206
mfcc_04_median,0.24500417366166757
spectral_rms_max,0.23800529248642754
mfcc_08_max,0.22479140833693045
mfcc_03_mean,0.2238763911538177
peak_amplitude,0.21680169321281184
mfcc_11_min,0.21346657440337574
mfcc_17_min,0.2126555014743383
spectral_flux_iqr,0.21181556940854349
mfcc_12_min,0.21161654479024333
mfcc_09_max,0.2105933340581335
mfcc_05_max,0.2101844200594798
mfcc_08_min,0.20978012078848848
spectral_rms_mean,0.2087843597963444
mfcc_09_min,0.20404106434567365
mfcc_11_max,0.20222676975939458
spectral_slope_min,0.2020894328711386
mfcc_18_min,0.20142923435180293
mfcc_04_mean,0.20056353722570297
mfcc_10_min,0.19858311895307404
mfcc_04_max,0.19695450971687625
mfcc_15_min,0.1915089577617732
mfcc_13_min,0.190837596739443
mfcc_16_min,0.190537870374427
mfcc_10_max,0.18959387856122184
mfcc_19_min,0.18888309541752663
spectral_flux_max,0.18863377816481777
mfcc_14_min,0.1864479064858627
mfcc_06_max,0.18559310166152418
mfcc_14_max,0.18444301271998742
mfcc_13_max,0.1835516851207834
mfcc_12_max,0.17879309202829444
mfcc_06_min,0.17508817817333547
spectral_flux_mean,0.17484915555301805
spectral_rms_iqr,0.173591075467047
mfcc_00_max,0.16696203880619928
mfcc_15_max,0.16241981199281968
mfcc_07_min,0.15947278507879423
spectral_contrast_4_std,0.15881807540821735
mfcc_16_max,0.15817243001841702
spectral_slope_max,0.15554259651948282
spectral_flatness_kurt,0.15520325916615454
spectral_slope_iqr,0.15331132262861977
mfcc_18_max,0.15157283331557483
spectral_rolloff95_min,0.14473518807103705
mfcc_01_median,0.1439667568514875
mfcc_17_max,0.1436218530441787
mfcc_19_max,0.14232407338227163
spectral_entropy_min,0.13895538343460076
mfcc_02_max,0.13523555249307223
mfcc_02_median,0.132523859992086
spectral_slope_mean,0.13191930197323518
mfcc_00_mean,0.12652723455453577
mfcc_05_min,0.12482678421869244
mfcc_02_mean,0.12350093510877921
spectral_bandwidth_median,0.11581205233212619
prosody_intensity_mean,0.10566664861989941
mfcc_00_median,0.10505918125153406
spectral_contrast_4_mean,0.10192621909970113
spectral_rolloff85_min,0.09900545965908213
mfcc_00_min,0.09886299488010174
spectral_rolloff95_max,0.09814832841486941
mfcc_01_mean,0.09571829518274345
spectral_rms_median,0.09565342402568681
spectral_flux_median,0.09441510614637413
mfcc_03_max,0.09281479513997884
prosody_intensity_median,0.09006715714898694
mfcc_03_min,0.08943118419504852
spectral_zcr_min,0.0878745806357833
spectral_contrast_5_mean,0.08600261034123127
spectral_entropy_max,0.08160253926024127
spectral_rms_min,0.07916178120980338
mfcc_04_min,0.07848110007394098
spectral_entropy_kurt,0.07500393992409632
mfcc_d2_01_mean,0.07160456482659151
mfcc_d2_11_mean,0.06909233066802131
spectral_contrast_5_std,0.06833302411294236
mfcc_d2_03_mean,0.06793187425667571
mfcc_01_max,0.06570809449604544
spectral_flatness_skew,0.06476273728335791
spectral_bandwidth_mean,0.06472245174261222
spectral_bandwidth_max,0.06347578219869696
mfcc_d2_08_mean,0.06303398504334465
mfcc_d2_05_mean,0.06292763520397784
spectral_centroid_min,0.06278163751698598
spectral_slope_median,0.06236200531779198
mfcc_d2_18_mean,0.06053738033670433
prosody_cpps,0.0604528045357156
mfcc_d2_07_mean,0.05901779792169162
spectral_flux_min,0.05850453955030771
mfcc_d2_14_mean,0.058492393969812095
mfcc_d2_12_mean,0.05693770574835426
mfcc_d2_13_mean,0.05598386859026401
mfcc_d2_16_mean,0.05498017611962944
mfcc_d2_15_mean,0.05371649493922453
mfcc_d2_17_mean,0.05288600716580572
mfcc_d2_19_mean,0.052065694439336105
mfcc_d2_06_mean,0.05181008640050038
mfcc_d2_09_mean,0.051785853038404266
mfcc_d2_10_mean,0.05040409163426098
prosody_intensity_min,0.04781329931875387
mfcc_02_min,0.045996081410416806
spectral_contrast_3_std,0.043997254468674384
mfcc_01_min,0.04282613777016302
spectral_hf_ratio_6000_std,0.042602075147000235
spectral_entropy_std,0.04256375042009326
spectral_centroid_kurt,0.042515119356440735
spectral_band_6000_8000_std,0.04173878237430432
mfcc_08_iqr,0.04112587985786656
spectral_rolloff85_max,0.04069672409752594
mfcc_d2_06_std,0.04063251560032488
spectral_slope_skew,0.03986584463527565
spectral_hf_ratio_6000_mean,0.039276646233496505
mfcc_d2_13_std,0.03873575783903467
spectral_band_6000_8000_mean,0.038489052955819024
