,shift_sd
mfcc_d1_01_mean,4.4096754935592966
mfcc_d1_00_mean,3.503768382818734
mfcc_d1_03_mean,2.4553228169701087
mfcc_d1_02_mean,2.00093834451162
mfcc_00_kurt,1.65690924533128
mfcc_00_min,1.6375168605452197
mfcc_00_skew,1.6193976377092263
mfcc_d2_01_mean,1.529489888135691
spectral_flatness_max,1.5258408755528499
mfcc_d1_05_mean,1.2530025327860619
mfcc_d1_04_mean,1.13728921081013
spectral_flatness_std,1.1234948827553712
mfcc_d2_00_mean,1.1217843445891467
spectral_entropy_kurt,1.0699062480347254
spectral_flatness_kurt,1.0372894885855288
spectral_flatness_skew,0.966122595608408
spectral_flux_min,0.9633416755337634
spectral_rms_min,0.8702327413383322
spectral_entropy_min,0.804905593861049
spectral_rolloff95_min,0.7408763540100041
spectral_entropy_max,0.6710715712864654
mfcc_d1_00_std,0.5098970989957027
prosody_intensity_min,0.4900656736980144
spectral_zcr_min,0.48747267363218744
spectral_rolloff85_min,0.4788898445183797
spectral_bandwidth_min,0.4514978343573368
spectral_centroid_min,0.4482624843764593
mfcc_d2_04_mean,0.44428064960640884
mfcc_d1_14_mean,0.43186235758421293
mfcc_d1_16_mean,0.43184462328708645
mfcc_01_min,0.419009537553459
mfcc_01_skew,0.4102906153099041
spectral_flatness_mean,0.40894539673560176
mfcc_d2_00_std,0.3954013228208589
mfcc_d1_07_mean,0.37095816982423674
mfcc_d1_18_mean,0.3698622023270332
mfcc_d2_02_mean,0.3524415538803623
spectral_rolloff95_max,0.34278736119228453
mfcc_d1_01_std,0.3262928239728456
mfcc_d1_15_mean,0.32188274333683586
mfcc_01_kurt,0.3202874290738282
spectral_entropy_std,0.31443221931348897
mfcc_d1_17_mean,0.29658276742177553
mfcc_d1_13_mean,0.2855416865278452
mfcc_d1_06_mean,0.27396237821916136
mfcc_d1_12_mean,0.25929423580126815
prosody_intensity_kurt,0.25529505478807174
mfcc_d2_03_mean,0.25151327178291366
mfcc_00_std,0.23634916557622995
spectral_rolloff85_max,0.23631603570464113
mfcc_01_std,0.23374443165235298
mfcc_d2_05_mean,0.22726079443677757
spectral_contrast_6_mean,0.20200582033649453
mfcc_d2_01_std,0.19954299261205713
spectral_bandwidth_max,0.19556502647178614
spectral_centroid_skew,0.1740716795678882
spectral_rolloff95_std,0.17391423597311376
mfcc_d2_14_mean,0.16114216395204137
spectral_centroid_kurt,0.15931023177114667
mfcc_d1_19_mean,0.15776403976329753
