,shift_sd
mfcc_d1_01_mean,4.4092510779150595
mfcc_d1_00_mean,3.5036703175440707
mfcc_d1_03_mean,2.4551918051949726
mfcc_d1_02_mean,2.0008863325569295
spectral_flatness_max,1.9232493094771685
mfcc_00_kurt,1.65669863241061
mfcc_00_min,1.6374698993701862
mfcc_00_skew,1.6192223705766857
mfcc_d2_01_mean,1.5292822284270047
spectral_flatness_kurt,1.3458589944705117
spectral_flatness_std,1.2926337833297363
mfcc_d1_05_mean,1.2526537084414135
spectral_entropy_kurt,1.2216829269954026
spectral_flatness_skew,1.2019173942181787
mfcc_d1_04_mean,1.1370970799458118
mfcc_d2_00_mean,1.1219922033827492
spectral_entropy_min,0.9940249765223937
spectral_flux_min,0.9632461025647634
spectral_rolloff95_min,0.9099438345683459
spectral_rms_min,0.8702073320565555
spectral_entropy_max,0.854818392930419
spectral_zcr_min,0.6968300078486676
spectral_rolloff85_min,0.5931604631557343
spectral_bandwidth_min,0.564381585896103
spectral_centroid_min,0.5499743052216446
mfcc_d1_00_std,0.5097987638526918
prosody_intensity_min,0.49000653866006144
spectral_flatness_mean,0.45833488128933025
mfcc_d2_04_mean,0.4446166976849371
mfcc_d1_16_mean,0.43177453180623665
mfcc_d1_14_mean,0.43145925667090773
mfcc_01_min,0.4190772808622722
mfcc_01_skew,0.410040646447948
mfcc_d2_00_std,0.3952902394164899
mfcc_d1_07_mean,0.3710174435614989
mfcc_d1_18_mean,0.3695858611208911
spectral_entropy_std,0.35542874098689214
spectral_rolloff95_max,0.35471772736652757
mfcc_d2_02_mean,0.3522511289950407
mfcc_d1_01_std,0.32614320464399027
mfcc_d1_15_mean,0.3214966989008311
mfcc_01_kurt,0.320026793313845
mfcc_d1_17_mean,0.2962699932144395
mfcc_d1_13_mean,0.2854875182792115
mfcc_d1_06_mean,0.2740243995255351
mfcc_d1_12_mean,0.2593210196459572
spectral_rolloff85_max,0.25655696183973586
prosody_intensity_kurt,0.2552808587055201
mfcc_d2_03_mean,0.250730898005144
mfcc_00_std,0.23624624993454155
mfcc_01_std,0.23368598129495258
spectral_contrast_6_mean,0.23175851586056745
mfcc_d2_05_mean,0.2273907230938834
spectral_bandwidth_max,0.20447376523489127
mfcc_d2_01_std,0.1993518511710632
spectral_rolloff95_std,0.17831698137768542
spectral_centroid_skew,0.16924265551133888
mfcc_d2_14_mean,0.1609830821528185
mfcc_d1_19_mean,0.15758603721504696
prosody_intensity_skew,0.1569538199438667
mfcc_d1_02_std,0.1555890198896051
spectral_bandwidth_std,0.15147859808652267
spectral_centroid_max,0.14803312280604441
spectral_contrast_4_mean,0.14507576609936187
mfcc_d2_10_mean,0.14421183978999327
mfcc_d1_08_mean,0.13978114934559305
spectral_centroid_kurt,0.1362075954442271
spectral_slope_max,0.13553129552294113
mfcc_00_mean,0.13362251049296897
spectral_rolloff85_std,0.1278897543766241
mfcc_d1_03_std,0.12271008661742265
spectral_contrast_5_mean,0.11897609359027582
spectral_entropy_skew,0.1183213877371512
mfcc_d2_06_mean,0.11247732506775796
mfcc_d2_12_mean,0.10987302421287978
mfcc_d1_10_mean,0.10941925192157292
mfcc_03_kurt,0.09693354999228357
spectral_zcr_max,0.09546402142029854
spectral_rolloff95_mean,0.0944223987466388
prosody_cpps,0.09442072790841131
spectral_bandwidth_skew,0.08678356125408099
mfcc_d1_09_mean,0.08561017848184202
spectral_band_0_500_std,0.08351881510719436
spectral_zcr_skew,0.07978392613138056
spectral_rolloff85_mean,0.07923279348561676
spectral_contrast_5_std,0.07915854955460658
mfcc_d2_08_mean,0.07899925784107191
spectral_band_4000_5000_std,0.07869817528389597
mfcc_03_iqr,0.07748286562393561
mfcc_00_median,0.0769972022702179
spectral_rolloff95_kurt,0.07558940366538673
spectral_centroid_std,0.07291996729894966
spectral_entropy_iqr,0.07106009564138542
spectral_rms_mean,0.06948042122540364
mfcc_02_kurt,0.06819164338115599
spectral_band_3000_4000_std,0.06783471571241356
spectral_contrast_4_std,0.06744480904865773
mfcc_d2_09_std,0.06736383983814725
mfcc_01_mean,0.06662441907155128
spectral_bandwidth_mean,0.06614715815668157
spectral_band_2000_3000_std,0.0658471599125426
duration_s,0.06544686683993912
mfcc_d2_08_std,0.06504751192836043
spectral_contrast_3_mean,0.06485043852275851
spectral_rolloff95_skew,0.06315866306709973
mfcc_d2_07_std,0.061393810320793885
spectral_slope_mean,0.06099553353742025
mfcc_d2_16_mean,0.06039576175033431
spectral_hf_ratio_4000_std,0.06004184618838975
spectral_zcr_std,0.059938118736187734
chroma_04_std,0.05887687495468759
spectral_entropy_mean,0.058074435077505406
spectral_flux_mean,0.05761942765819077
mfcc_18_median,0.05696086128969517
mfcc_d1_11_mean,0.056833346195204915
mfcc_d2_06_std,0.05675912775717468
spectral_band_4000_5000_mean,0.05637435168577313
chroma_03_std,0.05630018569528287
mfcc_08_iqr,0.05595179363695941
