feature,importance,kind,family
prosody_intensity_std,0.1533945592742765,impurity/gain,prosody
mfcc_d1_00_std,0.120416513158717,impurity/gain,mfcc
prosody_f0_mean,0.03236240917921338,impurity/gain,prosody
duration_s,0.023173585319732445,impurity/gain,other
mfcc_02_std,0.015610861612097444,impurity/gain,mfcc
spectral_band_3000_4000_mean,0.012778506744804763,impurity/gain,spectral
prosody_hnr_median,0.011962644173060775,impurity/gain,prosody
prosody_f0_max,0.010682110747371217,impurity/gain,prosody
mfcc_10_median,0.010577346737991539,impurity/gain,mfcc
mfcc_00_std,0.010391611054826616,impurity/gain,mfcc
prosody_f0_iqr,0.009922155507589181,impurity/gain,prosody
spectral_band_0_500_mean,0.009808139342020421,impurity/gain,spectral
spectral_centroid_iqr,0.009034349090365917,impurity/gain,spectral
prosody_f0_min,0.008927347475364257,impurity/gain,prosody
chroma_08_std,0.008001307985356736,impurity/gain,chroma
mfcc_12_max,0.007844955932300429,impurity/gain,mfcc
mfcc_d1_03_std,0.007456299267635991,impurity/gain,mfcc
mfcc_03_skew,0.007332348503720647,impurity/gain,mfcc
prosody_f5_median,0.0072423872141368665,impurity/gain,prosody
mfcc_07_std,0.007103366265324893,impurity/gain,mfcc
spectral_entropy_median,0.007027321022353742,impurity/gain,spectral
spectral_contrast_1_std,0.006896646910956865,impurity/gain,spectral
spectral_centroid_median,0.006750079101621337,impurity/gain,spectral
mfcc_13_max,0.006550187837442335,impurity/gain,mfcc
mfcc_d2_02_std,0.006518062830258639,impurity/gain,mfcc
mfcc_d2_00_std,0.006341746489373548,impurity/gain,mfcc
mfcc_09_kurt,0.006333042814640391,impurity/gain,mfcc
spectral_contrast_1_mean,0.00624238867352088,impurity/gain,spectral
prosody_intensity_kurt,0.005940203148497412,impurity/gain,prosody
mfcc_16_max,0.005665556400061504,impurity/gain,mfcc
mfcc_03_std,0.005593634046420566,impurity/gain,mfcc
prosody_f4_std,0.005547033384172529,impurity/gain,prosody
spectral_entropy_kurt,0.005449758403900054,impurity/gain,spectral
mfcc_d1_11_mean,0.005416936574110394,impurity/gain,mfcc
prosody_f0_skew,0.005218409592418496,impurity/gain,prosody
mfcc_d1_02_std,0.005174515866590029,impurity/gain,mfcc
mfcc_19_skew,0.005016568671317413,impurity/gain,mfcc
prosody_f3_std,0.004979883076485534,impurity/gain,prosody
mfcc_d1_15_std,0.004743346148472165,impurity/gain,mfcc
mfcc_04_mean,0.004645037788276345,impurity/gain,mfcc
prosody_f4_mean,0.004614437017574559,impurity/gain,prosody
mfcc_03_iqr,0.004491408353862961,impurity/gain,mfcc
mfcc_09_mean,0.004410771371415638,impurity/gain,mfcc
mfcc_13_iqr,0.004381577017176921,impurity/gain,mfcc
spectral_band_0_500_std,0.0043708795466780226,impurity/gain,spectral
mfcc_02_max,0.0043534176706112775,impurity/gain,mfcc
mfcc_03_min,0.004306918724503753,impurity/gain,mfcc
mfcc_d2_15_mean,0.004302577107052817,impurity/gain,mfcc
spectral_bandwidth_mean,0.0042729411528152255,impurity/gain,spectral
mfcc_00_iqr,0.004224288412778504,impurity/gain,mfcc
prosody_shimmer_local,0.004125105168164798,impurity/gain,prosody
mfcc_14_median,0.004056674983427521,impurity/gain,mfcc
mfcc_d2_16_std,0.004045514144976342,impurity/gain,mfcc
mfcc_d2_10_std,0.003997593159598465,impurity/gain,mfcc
spectral_flatness_min,0.003891374998162598,impurity/gain,spectral
mfcc_15_kurt,0.0038903913826320758,impurity/gain,mfcc
mfcc_d2_08_std,0.003790087374500149,impurity/gain,mfcc
chroma_06_mean,0.003784532078729485,impurity/gain,chroma
spectral_band_1000_2000_mean,0.0037444552022121535,impurity/gain,spectral
mfcc_13_kurt,0.0037401665905248543,impurity/gain,mfcc
mfcc_16_std,0.003719692363457791,impurity/gain,mfcc
mfcc_04_skew,0.003551560767116034,impurity/gain,mfcc
prosody_f0_median,0.003487127235542585,impurity/gain,prosody
prosody_intensity_min,0.0034867416616625076,impurity/gain,prosody
mfcc_d2_01_mean,0.0034540226523103673,impurity/gain,mfcc
mfcc_09_median,0.003443932747781953,impurity/gain,mfcc
mfcc_09_std,0.0034254809054496053,impurity/gain,mfcc
mfcc_d1_04_std,0.003421398977858919,impurity/gain,mfcc
spectral_flux_std,0.003380538108173892,impurity/gain,spectral
mfcc_03_mean,0.003353165122654748,impurity/gain,mfcc
