feature,importance,family
prosody_intensity_std,0.05686917059512452,prosody
mfcc_d1_00_std,0.03777260388481419,mfcc
prosody_f0_mean,0.015958115098018342,prosody
duration_s,0.013515661917792084,other
mfcc_06_kurt,0.005836822840950834,mfcc
prosody_f0_iqr,0.004941284400283238,prosody
prosody_f0_max,0.004806269534969066,prosody
mfcc_10_median,0.004470388374012256,mfcc
mfcc_d1_07_mean,0.004171509395540316,mfcc
mfcc_05_max,0.004062276451550643,mfcc
mfcc_08_median,0.004055692019728404,mfcc
spectral_flatness_min,0.003973020467055428,spectral
prosody_intensity_kurt,0.0039438333267564135,prosody
prosody_jitter_ppq5,0.003563665688967478,prosody
mfcc_00_std,0.0034761338782612625,mfcc
mfcc_16_skew,0.0034033746876208793,mfcc
prosody_hnr_std,0.0033800059700727744,prosody
mfcc_d1_19_std,0.003360573171221979,mfcc
spectral_centroid_iqr,0.003333141633450875,spectral
prosody_f0_min,0.0032554660179001517,prosody
spectral_rms_median,0.003199115372810028,spectral
prosody_f5_std,0.003154195015907047,prosody
mfcc_02_median,0.003086140365884706,mfcc
prosody_f0_skew,0.0030731361271679677,prosody
mfcc_d1_02_std,0.002991552958246373,mfcc
chroma_11_mean,0.00292494471725347,chroma
spectral_entropy_max,0.002892675117117896,spectral
mfcc_19_min,0.002821984020704877,mfcc
mfcc_d1_09_std,0.0028118953215887227,mfcc
mfcc_08_min,0.0028072788859883134,mfcc
mfcc_06_mean,0.0027859568933329337,mfcc
mfcc_d1_10_std,0.0027631801321256737,mfcc
mfcc_03_min,0.0027562325190490806,mfcc
spectral_flatness_std,0.0027189537141058305,spectral
mfcc_d1_16_std,0.0026801743713277277,mfcc
mfcc_19_std,0.002615142525703164,mfcc
chroma_06_std,0.00254763316739474,chroma
mfcc_07_kurt,0.0025293852602345248,mfcc
mfcc_10_std,0.0025050528065310206,mfcc
mfcc_14_kurt,0.002496417053762128,mfcc
mfcc_d1_12_mean,0.002488457017836345,mfcc
mfcc_12_iqr,0.0024809902621838365,mfcc
spectral_bandwidth_mean,0.0024782955732638584,spectral
mfcc_13_median,0.002417099157660749,mfcc
mfcc_d2_16_std,0.002394301182994796,mfcc
spectral_zcr_max,0.002380644686643308,spectral
spectral_entropy_kurt,0.0023591555814570816,spectral
spectral_flatness_max,0.002354822776195878,spectral
prosody_mean_voiced_seg_s,0.002342313244223142,prosody
mfcc_d1_13_std,0.0023363317443669085,mfcc
mfcc_00_median,0.002317293557599686,mfcc
mfcc_05_min,0.0023152341449454448,mfcc
mfcc_d1_03_std,0.0023052619930326685,mfcc
prosody_hnr_median,0.002295595301390056,prosody
prosody_jitter_local,0.0022945181862094348,prosody
prosody_f0_slope_abs_mean,0.0022690610038461783,prosody
spectral_band_6000_8000_mean,0.002266610358233698,spectral
mfcc_05_skew,0.0022493551019889964,mfcc
