feature,importance,std,family
prosody_intensity_std,0.0875124007936508,0.008106809597932293,prosody
mfcc_d1_00_std,0.06671626984126983,0.006838585161278782,mfcc
prosody_f0_mean,0.015562996031746025,0.0023904600492160206,prosody
mfcc_00_std,0.013727678571428564,0.0028164547567705814,mfcc
duration_s,0.012859623015873026,0.004888854640635509,other
spectral_band_3000_4000_mean,0.010863095238095255,0.0013226479787671961,spectral
mfcc_02_std,0.010701884920634896,0.0016228939070823908,mfcc
prosody_f0_min,0.007403273809523811,0.0013565697433195985,prosody
spectral_band_0_500_mean,0.005071924603174585,0.002609446414675933,spectral
prosody_hnr_median,0.005047123015873026,0.003386279615581786,prosody
mfcc_d1_03_std,0.004538690476190467,0.002032368640265466,mfcc
prosody_f0_max,0.004402281746031751,0.0025111836786133827,prosody
mfcc_07_std,0.004315476190476175,0.002222200077837504,mfcc
spectral_entropy_median,0.004253472222222228,0.0025314330284166983,spectral
prosody_f0_iqr,0.004042658730158737,0.0029611682718698276,prosody
spectral_bandwidth_mean,0.004017857142857129,0.0012538913352940966,spectral
mfcc_08_min,0.0038814484126984197,0.001379501206677024,mfcc
spectral_entropy_std,0.003782242063492064,0.0013165298359718797,spectral
spectral_entropy_kurt,0.003695436507936495,0.0016979580383693136,spectral
spectral_band_0_500_std,0.003497023809523797,0.0013779954745128027,spectral
mfcc_03_std,0.0031622023809523628,0.0012621425188755594,mfcc
mfcc_19_skew,0.003050595238095248,0.0017717084672307687,mfcc
mfcc_d2_00_std,0.0027529761904761807,0.0011502697048913879,mfcc
chroma_03_mean,0.0026041666666666713,0.0009842824817948644,chroma
prosody_shimmer_local,0.0026041666666666574,0.0009842824817948592,prosody
mfcc_02_max,0.0025297619047618958,0.001020186696488247,mfcc
mfcc_05_min,0.002083333333333326,0.0011526736149426796,mfcc
spectral_centroid_skew,0.001959325396825397,0.0008730017810911713,spectral
mfcc_d2_12_mean,0.001860119047619041,0.0013454718244066265,mfcc
mfcc_d2_16_std,0.001860119047619041,0.0008645052112070097,mfcc
chroma_08_std,0.0018229166666666602,0.0015392477313913632,chroma
prosody_f0_skew,0.0017857142857142794,0.0009411540655263,prosody
mfcc_08_max,0.0017857142857142794,0.0010309826235528994,mfcc
mfcc_09_median,0.0017857142857142794,0.0013638618139749476,mfcc
mfcc_09_std,0.0017113095238095177,0.0009143010213872369,mfcc
mfcc_09_mean,0.0017113095238095177,0.0008116601275770592,mfcc
mfcc_16_std,0.001636904761904756,0.0006467462703574034,mfcc
spectral_bandwidth_iqr,0.00151289682539682,0.0010222948336073847,spectral
mfcc_10_kurt,0.0014880952380952328,0.0005952380952380931,mfcc
spectral_flux_std,0.0014384920634920653,0.0010696358458753814,spectral
prosody_shimmer_localdb,0.0014136904761904712,0.0002881684037356699,prosody
spectral_band_2000_3000_std,0.0014136904761904712,0.0005100933482441235,spectral
spectral_centroid_median,0.0013144841269841223,0.0014253901830854128,spectral
mfcc_04_std,0.0011532738095238054,0.0007981912223092282,mfcc
mfcc_02_min,0.0011160714285714246,0.0010496083318203746,mfcc
mfcc_d1_11_mean,0.0011036706349206171,0.0006644557700703777,mfcc
spectral_centroid_iqr,0.0010540674603174496,0.0018651964433659674,spectral
mfcc_00_iqr,0.001041666666666663,0.003348857228098869,mfcc
mfcc_d1_01_mean,0.001041666666666663,0.0012887282794411244,mfcc
mfcc_d1_05_std,0.001041666666666663,0.00081506332962078,mfcc
prosody_voiced_fraction,0.0010292658730158694,0.0017662752991708074,prosody
spectral_contrast_1_std,0.000979662698412695,0.0016991802586860953,spectral
spectral_flux_median,0.0009672619047619013,0.0005100933482441235,spectral
spectral_flatness_min,0.0009672619047619013,0.0007252079125601882,spectral
mfcc_03_skew,0.0009052579365079333,0.0018181018370074205,mfcc
mfcc_09_iqr,0.000818452380952378,0.0008897515433855175,mfcc
mfcc_18_mean,0.0008060515873015844,0.0014173298844108247,mfcc
prosody_f2_std,0.0007440476190476164,0.0005763368074713398,prosody
chroma_10_std,0.0007440476190476164,0.0007136654052548665,chroma
mfcc_d2_15_mean,0.0007440476190476164,0.0007136654052548665,mfcc
mfcc_13_min,0.0006696428571428548,0.0003568327026274332,mfcc
mfcc_03_median,0.0006696428571428548,0.0006940014176405344,mfcc
mfcc_10_mean,0.0006696428571428548,0.0012066424657906842,mfcc
spectral_zcr_std,0.0006696428571428548,0.0010065289626836782,spectral
spectral_slope_mean,0.0006696428571428548,0.0005518004826708063,spectral
mfcc_d2_01_std,0.0006076388888888867,0.0005421005206943034,mfcc
spectral_flux_min,0.0005952380952380931,0.0005952380952380931,spectral
mfcc_18_kurt,0.0005952380952380931,0.00042089689356341963,mfcc
spectral_bandwidth_kurt,0.0005952380952380931,0.0006155592086304967,spectral
mfcc_14_max,0.0005208333333333315,0.00035683270262743325,mfcc
mfcc_00_mean,0.0005208333333333315,0.0005518004826708063,mfcc
mfcc_d1_09_std,0.0005208333333333315,0.00030070326520292905,mfcc
mfcc_09_max,0.0005208333333333315,0.0005518004826708063,mfcc
mfcc_12_skew,0.00044642857142856984,0.000493545355707647,mfcc
spectral_centroid_kurt,0.00043402777777777624,0.0009064462737388109,spectral
prosody_f4_std,0.0003968253968253954,0.0005611958580845595,prosody
mfcc_14_mean,0.0003720238095238082,0.0002881684037356699,mfcc
prosody_f4_mean,0.0003720238095238082,0.001111100038918752,prosody
mfcc_d1_16_mean,0.00029761904761904656,0.0007795750816221059,mfcc
spectral_entropy_max,0.00029761904761904656,0.00042089689356341963,spectral
mfcc_17_kurt,0.00029761904761904656,0.000665496421874935,mfcc
mfcc_03_min,0.00024801587301587213,0.0010031621238172923,mfcc
mfcc_14_median,0.00022321428571428492,0.0004142681817581847,mfcc
mfcc_d1_17_mean,0.00022321428571428492,0.0002881684037356699,mfcc
spectral_flux_iqr,0.00022321428571428492,0.0016554014480124188,spectral
prosody_f1_median,0.00022321428571428492,0.0007252079125601882,prosody
mfcc_12_kurt,0.00014880952380952328,0.000493545355707647,mfcc
mfcc_d1_04_std,0.00014880952380952328,0.00025774565588822484,mfcc
mfcc_04_skew,0.00014880952380952328,0.0009758093042116038,mfcc
prosody_hnr_mean,0.00014880952380952328,0.00025774565588822484,prosody
spectral_slope_median,0.00014880952380952328,0.00025774565588822484,spectral
prosody_intensity_skew,7.440476190476164e-05,0.0001968564963589718,prosody
mfcc_17_min,7.440476190476164e-05,0.0009615214273303601,mfcc
mfcc_19_median,7.440476190476164e-05,0.0001968564963589718,mfcc
mfcc_d1_08_std,3.720238095238082e-05,0.00045715051069361844,mfcc
prosody_intensity_iqr,2.4801587301587213e-05,0.0005884826645686821,prosody
mfcc_d2_06_mean,0.0,0.0,mfcc
mfcc_d1_07_std,0.0,0.0,mfcc
mfcc_d2_07_std,0.0,0.0,mfcc
mfcc_d2_07_mean,0.0,0.0,mfcc
spectral_rolloff95_std,0.0,0.0,spectral
mfcc_d1_05_mean,0.0,0.0,mfcc
mfcc_d1_07_mean,0.0,0.0005154913117764497,mfcc
mfcc_d2_05_mean,0.0,0.0,mfcc
mfcc_d2_05_std,0.0,0.0,mfcc
mfcc_d1_06_mean,0.0,0.0,mfcc
mfcc_d1_06_std,0.0,0.0,mfcc
mfcc_d2_06_std,0.0,0.0,mfcc
mfcc_d1_08_mean,0.0,0.0,mfcc
spectral_entropy_skew,0.0,0.0,spectral
mfcc_d2_08_mean,0.0,0.0,mfcc
mfcc_d2_10_std,0.0,0.000665496421874935,mfcc
mfcc_d2_12_std,0.0,0.0,mfcc
mfcc_d1_12_std,0.0,0.0,mfcc
mfcc_d1_12_mean,0.0,0.0,mfcc
mfcc_d2_11_std,0.0,0.0,mfcc
mfcc_d2_11_mean,0.0,0.0,mfcc
mfcc_d1_11_std,0.0,0.0,mfcc
mfcc_d2_10_mean,0.0,0.0,mfcc
mfcc_d2_08_std,0.0,0.0,mfcc
mfcc_d1_10_std,0.0,0.0,mfcc
mfcc_d1_10_mean,0.0,0.0,mfcc
mfcc_d2_09_std,0.0,0.0,mfcc
mfcc_d2_09_mean,0.0,0.0,mfcc
spectral_rolloff95_mean,0.0,0.0,spectral
mfcc_d1_09_mean,0.0,0.0,mfcc
mfcc_d2_04_mean,0.0,0.0,mfcc
mfcc_d1_01_std,0.0,0.0,mfcc
mfcc_d1_04_mean,0.0,0.0,mfcc
mfcc_18_skew,0.0,0.0,mfcc
mfcc_18_median,0.0,0.0,mfcc
mfcc_18_max,0.0,0.0,mfcc
mfcc_18_min,0.0,0.0,mfcc
mfcc_18_std,0.0,0.0,mfcc
spectral_flatness_std,0.0,0.0,spectral
mfcc_17_skew,0.0,0.0,mfcc
mfcc_17_iqr,0.0,0.0,mfcc
mfcc_17_median,0.0,0.0,mfcc
spectral_slope_std,0.0,0.0,spectral
mfcc_17_std,0.0,0.0,mfcc
mfcc_17_mean,0.0,0.0,mfcc
mfcc_16_kurt,0.0,0.00042089689356341963,mfcc
mfcc_16_iqr,0.0,0.0,mfcc
mfcc_16_median,0.0,0.0,mfcc
mfcc_16_min,0.0,0.0,mfcc
mfcc_18_iqr,0.0,0.0,mfcc
spectral_flatness_mean,0.0,0.0,spectral
mfcc_d2_03_std,0.0,0.0,mfcc
mfcc_19_std,0.0,0.0,mfcc
mfcc_d2_03_mean,0.0,0.0,mfcc
spectral_rolloff95_min,0.0,0.0,spectral
mfcc_d1_03_mean,0.0,0.0,mfcc
mfcc_d2_02_mean,0.0,0.0,mfcc
mfcc_d1_02_mean,0.0,0.0,mfcc
spectral_rolloff95_max,0.0,0.0,spectral
mfcc_d1_13_std,0.0,0.0,mfcc
spectral_rolloff95_median,0.0,0.0,spectral
spectral_rolloff95_iqr,0.0,0.0,spectral
mfcc_d2_00_mean,0.0,0.0,mfcc
spectral_rolloff95_skew,0.0,0.0,spectral
mfcc_d1_00_mean,0.0,0.0,mfcc
mfcc_19_kurt,0.0,0.0,mfcc
mfcc_19_max,0.0,0.0,mfcc
mfcc_19_min,0.0,0.0,mfcc
mfcc_d1_13_mean,0.0,0.0,mfcc
spectral_rolloff85_iqr,0.0,0.0,spectral
mfcc_d2_13_mean,0.0,0.0,mfcc
prosody_mean_voiced_seg_s,0.0,0.0,prosody
prosody_shimmer_apq5,0.0,0.0,prosody
prosody_shimmer_apq3,0.0,0.0,prosody
spectral_centroid_max,0.0,0.0,spectral
prosody_jitter_ddp,0.0,0.0,prosody
prosody_jitter_ppq5,0.0,0.0,prosody
prosody_jitter_rap,0.0,0.0,prosody
prosody_jitter_local,0.0,0.0,prosody
prosody_voiced_rate_per_s,0.0,0.0,prosody
prosody_f0_std,0.0,0.0,prosody
prosody_n_voiced_segments,0.0,0.0,prosody
prosody_f0_slope_abs_mean,0.0,0.0,prosody
spectral_bandwidth_std,0.0,0.0,spectral
prosody_f0_kurt,0.0,0.0,prosody
spectral_bandwidth_min,0.0,0.0,spectral
spectral_bandwidth_max,0.0,0.0,spectral
spectral_bandwidth_median,0.0,0.0,spectral
prosody_shimmer_apq11,0.0,0.0,prosody
prosody_shimmer_dda,0.0,0.0,prosody
prosody_hnr_std,0.0,0.0,prosody
prosody_hnr_min,0.0,0.0,prosody
prosody_intensity_median,0.0,0.0,prosody
prosody_intensity_max,0.0,0.0,prosody
spectral_centroid_mean,0.0,0.0,spectral
prosody_intensity_mean,0.0,0.0,prosody
prosody_f5_std,0.0,0.0,prosody
prosody_f3_bw_median,0.0,0.0,prosody
prosody_f3_median,0.0,0.0,prosody
prosody_f2_bw_median,0.0,0.0,prosody
prosody_f2_median,0.0,0.0,prosody
spectral_centroid_std,0.0,0.0,spectral
prosody_f2_mean,0.0,0.0,prosody
prosody_f1_bw_median,0.0,0.0,prosody
prosody_f1_std,0.0,0.0,prosody
spectral_centroid_min,0.0,0.0,spectral
prosody_hnr_max,0.0,0.0,prosody
spectral_bandwidth_skew,0.0,0.0,spectral
spectral_rolloff85_mean,0.0,0.0,spectral
mfcc_d2_13_std,0.0,0.0,mfcc
mfcc_d2_16_mean,0.0,0.0,mfcc
mfcc_d2_18_std,0.0,0.0,mfcc
