feature,importance,family
prosody_intensity_std,0.07697952737433263,prosody
mfcc_d1_00_std,0.0502091751537891,mfcc
duration_s,0.020700315950940282,other
prosody_f0_mean,0.018873724261562457,prosody
mfcc_00_std,0.01073324721706479,mfcc
spectral_band_3000_4000_mean,0.009294005924119355,spectral
prosody_f0_min,0.008908180094254646,prosody
mfcc_02_std,0.00885014645509135,mfcc
spectral_contrast_6_std,0.008527381621735292,spectral
mfcc_d1_02_std,0.008289886861623338,mfcc
mfcc_00_iqr,0.008015176952377285,mfcc
spectral_centroid_iqr,0.008004428184951477,spectral
prosody_hnr_median,0.007959100856854468,prosody
prosody_f0_iqr,0.007365351909708681,prosody
prosody_f0_max,0.006922066144391415,prosody
spectral_contrast_1_mean,0.00683764918513288,spectral
mfcc_03_std,0.006388578606797472,mfcc
spectral_band_0_500_mean,0.0060500171975199565,spectral
spectral_entropy_median,0.0060391206875654736,spectral
mfcc_d1_03_std,0.005883651294886089,mfcc
mfcc_10_median,0.005046803246756048,mfcc
chroma_08_std,0.004412801138950064,chroma
mfcc_07_std,0.004279215876716643,mfcc
mfcc_11_std,0.004039405939865828,mfcc
mfcc_03_skew,0.0037485406994711176,mfcc
spectral_contrast_1_std,0.0034748557452363225,spectral
mfcc_d2_08_std,0.0033906025629749604,mfcc
mfcc_d2_02_std,0.0032103172067422516,mfcc
mfcc_13_max,0.003171294164814543,mfcc
spectral_centroid_median,0.003088205658208546,spectral
spectral_bandwidth_iqr,0.003008948965359655,spectral
spectral_entropy_kurt,0.002702839049552407,spectral
prosody_f0_skew,0.0026546546023144078,prosody
spectral_entropy_std,0.002634727960086092,spectral
mfcc_02_max,0.0026302493148932207,mfcc
mfcc_01_max,0.002628049260600089,mfcc
spectral_zcr_iqr,0.002608139550743602,spectral
prosody_f5_median,0.0025518028764591654,prosody
prosody_intensity_kurt,0.0024646003254982537,prosody
mfcc_03_min,0.0023736936207590705,mfcc
spectral_flatness_min,0.002268188332775082,spectral
mfcc_04_mean,0.002267932756534606,mfcc
mfcc_03_iqr,0.002187444966623025,mfcc
spectral_flux_iqr,0.002153885543113894,spectral
chroma_05_std,0.0021459625946608336,chroma
mfcc_d2_00_std,0.0021375740906568377,mfcc
mfcc_04_skew,0.002128958440066556,mfcc
mfcc_05_min,0.002103514865940214,mfcc
spectral_flux_std,0.0020925919986643123,spectral
mfcc_13_kurt,0.0019318921631673442,mfcc
prosody_f3_std,0.0019201005368959488,prosody
spectral_zcr_std,0.0019190788554758844,spectral
chroma_02_mean,0.0019087362910287238,chroma
spectral_band_5000_6000_std,0.0018938382689926742,spectral
mfcc_09_median,0.0018036288702330894,mfcc
mfcc_04_max,0.001785753108288191,mfcc
mfcc_14_median,0.0017747559973692673,mfcc
chroma_06_mean,0.0017545531398996334,chroma
mfcc_02_kurt,0.0017305949510247436,mfcc
mfcc_d2_16_std,0.0017174122882364228,mfcc
mfcc_09_max,0.0017017390681911086,mfcc
spectral_band_1000_2000_mean,0.0016948943595626756,spectral
prosody_voiced_fraction,0.0016864179283076189,prosody
mfcc_d1_11_mean,0.0016768262225128816,mfcc
mfcc_15_kurt,0.0016732264250499999,mfcc
mfcc_16_std,0.001659753339576516,mfcc
mfcc_09_std,0.0016311806029052063,mfcc
mfcc_09_kurt,0.0015535964450216358,mfcc
spectral_centroid_skew,0.00154892931182908,spectral
mfcc_09_mean,0.0015472553978998858,mfcc
mfcc_d1_15_std,0.0015283379317822287,mfcc
mfcc_12_max,0.0015276897112456273,mfcc
mfcc_19_skew,0.001517189671571182,mfcc
mfcc_d2_10_std,0.001509668524428443,mfcc
mfcc_d2_15_mean,0.001506846360430671,mfcc
prosody_f4_mean,0.0014940849241770649,prosody
spectral_centroid_kurt,0.0014931560466683886,spectral
mfcc_17_min,0.0014602619862618983,mfcc
spectral_rms_iqr,0.0014257948933796502,spectral
spectral_band_0_500_std,0.001399567652959861,spectral
mfcc_16_max,0.0013991544268777746,mfcc
mfcc_10_std,0.0013950288461448198,mfcc
mfcc_01_std,0.0013869702875406178,mfcc
mfcc_d2_04_std,0.0013509253970642606,mfcc
prosody_pause_fraction,0.0012432511917578454,prosody
spectral_flux_median,0.0012407290694858505,spectral
spectral_bandwidth_mean,0.0012318065148909792,spectral
chroma_10_std,0.0012276148745256087,chroma
mfcc_12_skew,0.0012257780691542525,mfcc
prosody_f2_std,0.0012209808156682233,prosody
prosody_f3_mean,0.001218040562243342,prosody
prosody_shimmer_local,0.0012007273641626605,prosody
chroma_09_mean,0.0011800642136573132,chroma
prosody_intensity_min,0.0011747408805746022,prosody
prosody_f0_median,0.0011533974302863443,prosody
spectral_rolloff95_kurt,0.0011004761692280187,spectral
mfcc_13_iqr,0.0011003277162744511,mfcc
spectral_slope_iqr,0.0010974938836817883,spectral
mfcc_d1_19_mean,0.0010892191284565802,mfcc
mfcc_09_iqr,0.0010746726594186885,mfcc
mfcc_d1_01_mean,0.0010552025323832966,mfcc
mfcc_d1_04_std,0.0010400407749734492,mfcc
mfcc_16_median,0.0010353568274763698,mfcc
mfcc_16_kurt,0.0010335522011907885,mfcc
spectral_hf_ratio_4000_std,0.001021701670982346,spectral
mfcc_d1_05_std,0.0010112833381727161,mfcc
prosody_f4_std,0.0010103882568363524,prosody
spectral_band_500_1000_mean,0.0010075420480274277,spectral
mfcc_d2_01_mean,0.0009965536410532416,mfcc
spectral_band_500_1000_std,0.0009749163943970886,spectral
spectral_flux_min,0.0009720556772434615,spectral
mfcc_d1_17_std,0.0009564756345359365,mfcc
mfcc_d1_16_mean,0.0009426024916608587,mfcc
spectral_rms_min,0.0009405733839034465,spectral
