feature,importance,family
prosody_intensity_std,0.07707307509868422,prosody
mfcc_d1_00_std,0.04234394257903013,mfcc
duration_s,0.027347119081171142,other
prosody_f0_mean,0.020156518296603206,prosody
prosody_hnr_median,0.012220833117656144,prosody
mfcc_02_std,0.01081859712588549,mfcc
spectral_centroid_iqr,0.010338335917035956,spectral
mfcc_00_iqr,0.00873334822093106,mfcc
mfcc_d1_02_std,0.008658259004463065,mfcc
spectral_band_3000_4000_mean,0.00846107559647614,spectral
prosody_f0_min,0.008095845295062491,prosody
spectral_contrast_1_mean,0.007838463154424017,spectral
mfcc_00_std,0.007397538593450633,mfcc
prosody_f0_iqr,0.007002315047195063,prosody
prosody_f0_max,0.006692502046054778,prosody
mfcc_d1_03_std,0.006491643422250706,mfcc
spectral_band_0_500_mean,0.0060301098200919055,spectral
mfcc_03_std,0.005529443732637388,mfcc
mfcc_d1_02_mean,0.005415365667618662,mfcc
mfcc_11_std,0.0052552237254615665,mfcc
chroma_08_std,0.0044958111869729716,chroma
mfcc_07_std,0.004041412701358872,mfcc
mfcc_d2_02_std,0.0038618656236849456,mfcc
mfcc_d2_08_std,0.0034334295495362494,mfcc
spectral_entropy_std,0.0034014733975592237,spectral
mfcc_01_max,0.003320905961756641,mfcc
mfcc_13_max,0.003298175953432531,mfcc
mfcc_04_mean,0.003216618272094139,mfcc
spectral_zcr_iqr,0.003160148796028901,spectral
prosody_f5_median,0.003149192748009017,prosody
spectral_entropy_median,0.002931382842691685,spectral
prosody_f3_std,0.0027168295091799417,prosody
mfcc_03_iqr,0.002705914143761907,mfcc
mfcc_03_skew,0.002582176708346913,mfcc
mfcc_10_median,0.0025290929881688243,mfcc
spectral_centroid_median,0.002481085475672922,spectral
prosody_intensity_min,0.00247086106246544,prosody
chroma_06_mean,0.0023897120317086158,chroma
prosody_intensity_kurt,0.002380695884932063,prosody
mfcc_02_max,0.002373111558665563,mfcc
prosody_f0_skew,0.002315728275734568,prosody
mfcc_03_min,0.002249422965009019,mfcc
mfcc_d2_00_std,0.002144295385682621,mfcc
mfcc_04_max,0.0021340188892031865,mfcc
mfcc_10_std,0.0020709471095793413,mfcc
mfcc_19_mean,0.0020646176748612536,mfcc
mfcc_04_skew,0.0020468231176016625,mfcc
spectral_flatness_min,0.002017947201607936,spectral
spectral_band_5000_6000_std,0.002017291404221745,spectral
spectral_flux_std,0.0020065720276284346,spectral
spectral_flux_min,0.002000471400036831,spectral
prosody_f4_std,0.0019937029009063885,prosody
mfcc_05_min,0.001934561165555535,mfcc
mfcc_12_skew,0.0019287931742866032,mfcc
prosody_shimmer_localdb,0.001899575207539295,prosody
mfcc_12_max,0.0018909256672336077,mfcc
spectral_contrast_6_std,0.0018592318143177283,spectral
spectral_zcr_std,0.0018338795659308368,spectral
mfcc_16_max,0.001815730874373232,mfcc
spectral_bandwidth_iqr,0.0018144871990153622,spectral
mfcc_09_kurt,0.0018050475928198173,mfcc
mfcc_09_median,0.001797454436467755,mfcc
mfcc_d2_15_mean,0.0017935879725467143,mfcc
mfcc_13_kurt,0.00174464401957049,mfcc
mfcc_02_kurt,0.001610286889395275,mfcc
mfcc_d2_04_std,0.0015880277869433435,mfcc
mfcc_09_std,0.0015695926580498957,mfcc
mfcc_16_std,0.0015641695149914555,mfcc
prosody_pause_fraction,0.001557381771345139,prosody
spectral_band_0_500_std,0.001553782020888098,spectral
spectral_centroid_skew,0.0015372048755525943,spectral
spectral_contrast_1_std,0.0015167448841962934,spectral
spectral_centroid_kurt,0.001505244798640619,spectral
chroma_02_mean,0.001503469856805585,chroma
spectral_band_1000_2000_mean,0.0014987526196423898,spectral
chroma_09_mean,0.0014937928306993872,chroma
prosody_f4_mean,0.0014692461576367901,prosody
mfcc_d1_01_mean,0.0014306644387169617,mfcc
spectral_rms_iqr,0.0014234514868274894,spectral
chroma_10_std,0.0014145768389503253,chroma
spectral_flux_median,0.001408244129850255,spectral
mfcc_d2_10_std,0.0014043372131656885,mfcc
spectral_bandwidth_mean,0.0013875533604407928,spectral
mfcc_17_min,0.0013729762802181455,mfcc
mfcc_09_max,0.0013716540276116774,mfcc
spectral_contrast_5_std,0.0013480355721799042,spectral
mfcc_d1_08_std,0.0013418920545308496,mfcc
mfcc_d2_16_std,0.0013371292223971517,mfcc
mfcc_19_skew,0.0013148980782427485,mfcc
prosody_f3_mean,0.0013147939329890214,prosody
spectral_flatness_median,0.00130630288225851,spectral
mfcc_d1_11_mean,0.0013044891315019227,mfcc
mfcc_01_std,0.0012586065707942311,mfcc
chroma_05_std,0.0012522293082464267,chroma
mfcc_09_mean,0.0012422082874855975,mfcc
prosody_shimmer_local,0.0012414655666468184,prosody
spectral_rolloff85_max,0.0011809991810839957,spectral
spectral_entropy_kurt,0.0011634678914503864,spectral
mfcc_15_kurt,0.0011167939573399697,mfcc
spectral_slope_iqr,0.00108178312246489,spectral
spectral_rolloff85_skew,0.0010557496274851504,spectral
spectral_band_500_1000_std,0.0010534940481494491,spectral
prosody_f2_std,0.0010491914129252143,prosody
mfcc_13_min,0.0010263627931587265,mfcc
mfcc_d1_04_std,0.0010260303100275722,mfcc
mfcc_16_kurt,0.0010216586640552177,mfcc
spectral_bandwidth_kurt,0.0010100169836182538,spectral
mfcc_03_mean,0.0010037452009870028,mfcc
mfcc_d1_17_mean,0.0009985541978082396,mfcc
mfcc_14_max,0.0009825841505340712,mfcc
spectral_slope_mean,0.0009774982103085792,spectral
mfcc_d2_01_mean,0.0009584561509816777,mfcc
spectral_flux_iqr,0.0009547901856152508,spectral
prosody_voiced_fraction,0.0009531192546869655,prosody
prosody_f0_median,0.0009493345665866626,prosody
mfcc_02_min,0.0009233589013345425,mfcc
mfcc_d2_19_mean,0.0009157188346439546,mfcc
mfcc_10_mean,0.0009148398747125426,mfcc
mfcc_d1_07_mean,0.0009113642929332731,mfcc
prosody_hnr_mean,0.0008936038569436767,prosody
mfcc_08_min,0.0008912355827659258,mfcc
chroma_08_mean,0.000889503648611647,chroma
mfcc_10_kurt,0.0008860000057199684,mfcc
spectral_rolloff95_kurt,0.0008273301098269258,spectral
mfcc_18_kurt,0.0008224899359576471,mfcc
mfcc_d2_01_std,0.0008198024817827127,mfcc
chroma_00_mean,0.0008171904913209925,chroma
mfcc_d1_05_std,0.0008132720474370512,mfcc
mfcc_d2_12_mean,0.0008051517847791268,mfcc
prosody_intensity_iqr,0.0007907451064930492,prosody
spectral_band_2000_3000_mean,0.0007870770574418772,spectral
mfcc_14_median,0.0007727453335451692,mfcc
mfcc_00_skew,0.0007692164376302498,mfcc
mfcc_d1_19_mean,0.000768852130914382,mfcc
mfcc_d2_18_mean,0.0007439315925264996,mfcc
mfcc_00_mean,0.000732862849397516,mfcc
mfcc_11_min,0.0007248103499322959,mfcc
chroma_09_std,0.0007216027907484764,chroma
chroma_01_mean,0.0006995640642036194,chroma
mfcc_d1_16_mean,0.0006901410161158709,mfcc
chroma_03_mean,0.0006828174479052734,chroma
prosody_f1_median,0.0006704698750415607,prosody
mfcc_18_mean,0.0006542966546374103,mfcc
mfcc_16_skew,0.0006522772336933797,mfcc
prosody_f4_median,0.0006499783634633415,prosody
mfcc_d1_15_std,0.0006413904071936871,mfcc
spectral_hf_ratio_4000_std,0.0006405866850856523,spectral
spectral_band_500_1000_mean,0.0006340604066837348,spectral
mfcc_12_min,0.0006323933211768372,mfcc
mfcc_19_iqr,0.0006168917467230912,mfcc
mfcc_16_median,0.0006118774897883415,mfcc
mfcc_08_max,0.0006003377409685122,mfcc
mfcc_04_iqr,0.0005934224201716856,mfcc
mfcc_07_iqr,0.0005878612260922798,mfcc
chroma_01_std,0.000564222182246415,chroma
mfcc_10_iqr,0.0005634041758812632,mfcc
mfcc_d2_19_std,0.0005623703953430332,mfcc
spectral_flatness_max,0.0005568609678860288,spectral
spectral_band_4000_5000_mean,0.0005234427384683344,spectral
mfcc_d2_04_mean,0.0005186148854174541,mfcc
mfcc_13_iqr,0.0005164187009933153,mfcc
mfcc_d1_17_std,0.0005116643217460207,mfcc
mfcc_16_mean,0.0005044350515482942,mfcc
spectral_slope_min,0.0005024716948981673,spectral
mfcc_13_mean,0.000498370957850976,mfcc
mfcc_05_std,0.00048572591708999146,mfcc
mfcc_00_max,0.00048376485571346127,mfcc
mfcc_09_iqr,0.0004815728085216529,mfcc
spectral_contrast_2_mean,0.0004651836358904954,spectral
prosody_f1_mean,0.0004627799269327749,prosody
spectral_band_6000_8000_mean,0.00046125724398099087,spectral
mfcc_03_median,0.0004475000676338167,mfcc
mfcc_d1_09_std,0.0004434946507388806,mfcc
mfcc_02_iqr,0.00043043423253079794,mfcc
prosody_voiced_rate_per_s,0.0004275989189216619,prosody
spectral_slope_skew,0.00042013996395781503,spectral
mfcc_04_std,0.00041846494777214534,mfcc
spectral_band_3000_4000_std,0.0004179241912899001,spectral
mfcc_19_max,0.000417770274590175,mfcc
spectral_contrast_0_std,0.0004173406649034502,spectral
mfcc_d1_15_mean,0.00041531270537603876,mfcc
mfcc_19_median,0.00040315683059182676,mfcc
spectral_entropy_max,0.00038549432469255963,spectral
spectral_rolloff85_std,0.00038334709063899227,spectral
mfcc_15_skew,0.0003762310804744925,mfcc
spectral_bandwidth_skew,0.0003744716087107971,spectral
prosody_intensity_skew,0.00037242807672607016,prosody
spectral_rms_min,0.0003644113824909779,spectral
mfcc_d1_18_std,0.0003630676492934955,mfcc
prosody_f2_bw_median,0.00033695403533686883,prosody
mfcc_08_std,0.0003357509393157705,mfcc
mfcc_14_mean,0.0003236821692824385,mfcc
spectral_rolloff85_kurt,0.000308528775973327,spectral
prosody_f5_mean,0.00029030711453013804,prosody
spectral_rms_std,0.0002694802721028185,spectral
mfcc_d2_18_std,0.0002630820940101575,mfcc
mfcc_08_kurt,0.0002582096649290061,mfcc
spectral_slope_median,0.0002567336537839433,spectral
prosody_f2_median,0.0002562047719056549,prosody
mfcc_17_kurt,0.000251667189252877,mfcc
mfcc_d2_15_std,0.00024098493101135443,mfcc
spectral_band_2000_3000_std,0.00020574611355796962,spectral
mfcc_d1_12_std,0.00019961111061521784,mfcc
mfcc_12_kurt,0.00019580432905212327,mfcc
mfcc_02_skew,0.00019230593316797059,mfcc
mfcc_05_mean,0.00017809858900180256,mfcc
chroma_03_std,0.00016651217393152658,chroma
mfcc_d2_03_std,0.00014795686381880352,mfcc
mfcc_18_max,0.00012504397945560012,mfcc
mfcc_06_skew,0.0001210038284342053,mfcc
mfcc_d2_07_mean,0.00010979738169573896,mfcc
mfcc_d2_09_std,0.00010269140458322273,mfcc
spectral_rolloff95_max,7.770907749995827e-05,spectral
prosody_intensity_max,6.896189927003785e-05,prosody
mfcc_18_min,2.733092976473876e-19,mfcc
spectral_rolloff95_iqr,2.5942548649417043e-19,spectral
mfcc_d1_10_std,0.0,mfcc
prosody_f5_std,0.0,prosody
mfcc_d2_10_mean,0.0,mfcc
mfcc_d1_10_mean,0.0,mfcc
mfcc_d1_05_mean,0.0,mfcc
prosody_f0_kurt,0.0,prosody
spectral_centroid_mean,0.0,spectral
mfcc_d2_09_mean,0.0,mfcc
spectral_bandwidth_std,0.0,spectral
chroma_11_std,0.0,chroma
prosody_f0_std,0.0,prosody
mfcc_d2_08_mean,0.0,mfcc
mfcc_d1_09_mean,0.0,mfcc
spectral_bandwidth_median,0.0,spectral
spectral_centroid_std,0.0,spectral
mfcc_d2_06_std,0.0,mfcc
spectral_centroid_min,0.0,spectral
prosody_intensity_mean,0.0,prosody
mfcc_d1_07_std,0.0,mfcc
spectral_bandwidth_max,0.0,spectral
mfcc_d1_06_std,0.0,mfcc
mfcc_d2_07_std,0.0,mfcc
mfcc_d2_05_mean,0.0,mfcc
chroma_11_mean,0.0,chroma
prosody_intensity_median,0.0,prosody
mfcc_d1_06_mean,0.0,mfcc
spectral_centroid_max,0.0,spectral
mfcc_d2_05_std,0.0,mfcc
mfcc_d2_06_mean,0.0,mfcc
spectral_rolloff85_mean,0.0,spectral
mfcc_d1_08_mean,0.0,mfcc
mfcc_d1_12_mean,0.0,mfcc
prosody_f0_slope_abs_mean,0.0,prosody
prosody_jitter_ppq5,0.0,prosody
prosody_f1_bw_median,0.0,prosody
prosody_jitter_rap,0.0,prosody
chroma_05_mean,0.0,chroma
mfcc_d2_17_mean,0.0,mfcc
mfcc_d2_17_std,0.0,mfcc
mfcc_d1_18_mean,0.0,mfcc
chroma_04_std,0.0,chroma
prosody_f1_std,0.0,prosody
chroma_04_mean,0.0,chroma
chroma_02_std,0.0,chroma
mfcc_d2_16_mean,0.0,mfcc
prosody_hnr_max,0.0,prosody
prosody_hnr_min,0.0,prosody
mfcc_d1_19_std,0.0,mfcc
prosody_hnr_std,0.0,prosody
prosody_shimmer_dda,0.0,prosody
prosody_shimmer_apq11,0.0,prosody
prosody_jitter_ddp,0.0,prosody
prosody_shimmer_apq5,0.0,prosody
chroma_00_std,0.0,chroma
prosody_f2_mean,0.0,prosody
mfcc_d1_16_std,0.0,mfcc
prosody_f3_bw_median,0.0,prosody
mfcc_d2_13_mean,0.0,mfcc
mfcc_d1_11_std,0.0,mfcc
mfcc_d2_11_mean,0.0,mfcc
mfcc_d2_11_std,0.0,mfcc
prosody_shimmer_apq3,0.0,prosody
prosody_f3_median,0.0,prosody
mfcc_d2_12_std,0.0,mfcc
mfcc_d1_13_mean,0.0,mfcc
mfcc_d1_13_std,0.0,mfcc
chroma_10_mean,0.0,chroma
mfcc_d2_13_std,0.0,mfcc
prosody_jitter_local,0.0,prosody
prosody_n_voiced_segments,0.0,prosody
mfcc_d1_14_mean,0.0,mfcc
mfcc_d1_14_std,0.0,mfcc
mfcc_d2_14_mean,0.0,mfcc
prosody_mean_voiced_seg_s,0.0,prosody
mfcc_d2_14_std,0.0,mfcc
chroma_07_std,0.0,chroma
chroma_07_mean,0.0,chroma
chroma_06_std,0.0,chroma
spectral_bandwidth_min,0.0,spectral
spectral_rms_median,0.0,spectral
mfcc_d1_04_mean,0.0,mfcc
mfcc_01_iqr,0.0,mfcc
mfcc_02_median,0.0,mfcc
spectral_flatness_skew,0.0,spectral
spectral_flatness_kurt,0.0,spectral
mfcc_02_mean,0.0,mfcc
mfcc_01_kurt,0.0,mfcc
mfcc_01_skew,0.0,mfcc
mfcc_01_median,0.0,mfcc
mfcc_03_max,0.0,mfcc
spectral_zcr_mean,0.0,spectral
