feature,importance,family
prosody_intensity_std,0.07713860127553412,prosody
mfcc_d1_00_std,0.05170051719687266,mfcc
duration_s,0.021486570276973968,other
prosody_f0_mean,0.019334364155247124,prosody
mfcc_00_std,0.011263720388010802,mfcc
mfcc_02_std,0.0102501119504202,mfcc
prosody_f0_min,0.009338368863471705,prosody
spectral_band_3000_4000_mean,0.00905908291516284,spectral
prosody_hnr_median,0.00900970429478864,prosody
mfcc_00_iqr,0.008012170015757417,mfcc
spectral_centroid_iqr,0.007732683464911822,spectral
mfcc_d1_02_std,0.0075515154360129505,mfcc
prosody_f0_iqr,0.007365834419414081,prosody
prosody_f0_max,0.0070569260486978745,prosody
spectral_contrast_1_mean,0.006842750947606646,spectral
spectral_entropy_median,0.006493444678752438,spectral
mfcc_03_std,0.006033320069236264,mfcc
spectral_band_0_500_mean,0.00586820623786492,spectral
mfcc_d1_03_std,0.005755285045079741,mfcc
mfcc_10_median,0.005147478870360445,mfcc
chroma_08_std,0.004349195777242609,chroma
mfcc_07_std,0.004211992232447126,mfcc
mfcc_03_skew,0.0037609937741647902,mfcc
mfcc_11_std,0.0036732763516342747,mfcc
spectral_centroid_median,0.003531856773069779,spectral
mfcc_d2_02_std,0.003249801716592856,mfcc
mfcc_13_max,0.0032468328602962226,mfcc
mfcc_d2_08_std,0.00319069856880474,mfcc
spectral_contrast_1_std,0.0027587549115828825,spectral
spectral_bandwidth_iqr,0.0027119212546006704,spectral
prosody_f0_skew,0.002669182678675688,prosody
mfcc_04_mean,0.0025862625946661486,mfcc
prosody_f5_median,0.0025765871573358097,prosody
spectral_zcr_iqr,0.002574145266929773,spectral
mfcc_02_max,0.002566847239884863,mfcc
spectral_flatness_min,0.0025243889092475347,spectral
spectral_entropy_std,0.0025223982510197153,spectral
mfcc_01_max,0.0024712059151242045,mfcc
mfcc_19_mean,0.002371381378391568,mfcc
chroma_02_mean,0.002300837614484951,chroma
mfcc_03_min,0.0022403204616610046,mfcc
spectral_entropy_kurt,0.0022340124953801324,spectral
prosody_intensity_kurt,0.0021518473582476756,prosody
mfcc_04_skew,0.0021195288368065454,mfcc
prosody_f4_mean,0.0020704228243390854,prosody
spectral_flux_iqr,0.0020656865739890873,spectral
mfcc_03_iqr,0.002060408243552899,mfcc
mfcc_05_min,0.0020476755949492874,mfcc
mfcc_d2_00_std,0.002008013969431103,mfcc
spectral_contrast_6_std,0.0019637613548064204,spectral
spectral_flux_std,0.0019522883459360076,spectral
mfcc_13_kurt,0.001945583594162749,mfcc
spectral_zcr_std,0.0019144140903952596,spectral
prosody_f4_std,0.0019064528122805524,prosody
spectral_band_5000_6000_std,0.001906247285271101,spectral
chroma_06_mean,0.0018781867752239306,chroma
prosody_f3_std,0.0018708973257439826,prosody
mfcc_04_max,0.0017560607551189574,mfcc
mfcc_09_median,0.0017521247810270925,mfcc
mfcc_09_std,0.0017136780889052893,mfcc
mfcc_02_kurt,0.0016997489910044704,mfcc
prosody_voiced_fraction,0.0016955418367054903,prosody
mfcc_09_mean,0.0016789907413459458,mfcc
mfcc_16_std,0.0016418790660653602,mfcc
spectral_band_1000_2000_mean,0.0016255154115605859,spectral
prosody_intensity_min,0.0016148036548680482,prosody
mfcc_12_max,0.0016143834326948143,mfcc
mfcc_09_kurt,0.0015942358622764508,mfcc
chroma_05_std,0.001564117116430894,chroma
mfcc_d1_11_mean,0.0015287606022390927,mfcc
spectral_band_0_500_std,0.0015222151893047704,spectral
mfcc_09_max,0.001513354603203673,mfcc
spectral_centroid_kurt,0.00150954990403599,spectral
spectral_centroid_skew,0.0015002627983702625,spectral
mfcc_01_std,0.0014983976003825812,mfcc
mfcc_d2_15_mean,0.0014980904270530896,mfcc
mfcc_16_max,0.0014925488826215895,mfcc
mfcc_18_mean,0.001485440911709399,mfcc
mfcc_d2_16_std,0.0014803379592724694,mfcc
spectral_band_500_1000_mean,0.0014452802295193974,spectral
mfcc_d2_10_std,0.0014386619611186095,mfcc
spectral_bandwidth_mean,0.0014100178952475325,spectral
mfcc_19_skew,0.0013728325862260033,mfcc
mfcc_10_std,0.0013702433870163456,mfcc
mfcc_d2_04_std,0.0013587439984206087,mfcc
prosody_pause_fraction,0.001325998171772357,prosody
mfcc_13_iqr,0.001306616813634429,mfcc
