feature,importance,family
prosody_intensity_std,0.0768677384874647,prosody
mfcc_d1_00_std,0.042276074167314596,mfcc
duration_s,0.027559844076613212,other
prosody_f0_mean,0.020147124404564586,prosody
prosody_hnr_median,0.012254533652114107,prosody
mfcc_02_std,0.010820414813914221,mfcc
spectral_centroid_iqr,0.010315810677543231,spectral
mfcc_00_iqr,0.00882679035215426,mfcc
mfcc_d1_02_std,0.008672802885910954,mfcc
spectral_band_3000_4000_mean,0.008495858855442757,spectral
prosody_f0_min,0.008237746485334489,prosody
spectral_contrast_1_mean,0.007843224601975998,spectral
mfcc_00_std,0.007381768604917569,mfcc
prosody_f0_iqr,0.00702951375320949,prosody
prosody_f0_max,0.006686255486871191,prosody
mfcc_d1_03_std,0.0064821227417399,mfcc
spectral_band_0_500_mean,0.0060254165418077085,spectral
mfcc_03_std,0.005576093330128133,mfcc
mfcc_d1_02_mean,0.005463241635610206,mfcc
mfcc_11_std,0.005221600075202514,mfcc
chroma_08_std,0.0044076555942733206,chroma
mfcc_07_std,0.0040360971171200235,mfcc
mfcc_d2_02_std,0.0038589026957410255,mfcc
mfcc_d2_08_std,0.003436616825556853,mfcc
spectral_entropy_std,0.003364226863260306,spectral
mfcc_01_max,0.0033263432368066037,mfcc
mfcc_13_max,0.0032906546733558035,mfcc
mfcc_04_mean,0.0032128334042163635,mfcc
spectral_zcr_iqr,0.0031759487746592426,spectral
prosody_f5_median,0.00312171757085516,prosody
spectral_entropy_median,0.0029244209105914578,spectral
mfcc_03_iqr,0.002719578217129013,mfcc
prosody_f3_std,0.0027132795451199057,prosody
mfcc_03_skew,0.002574780378583358,mfcc
mfcc_10_median,0.002527941457196291,mfcc
prosody_intensity_min,0.0024758369914243974,prosody
spectral_centroid_median,0.00244945934996763,spectral
chroma_06_mean,0.0023897120317086158,chroma
mfcc_02_max,0.00237372192028182,mfcc
prosody_intensity_kurt,0.0023584434982559296,prosody
prosody_f0_skew,0.002290602911976102,prosody
mfcc_03_min,0.0022511819532252454,mfcc
mfcc_04_max,0.002138225158650005,mfcc
mfcc_d2_00_std,0.002137217860649737,mfcc
mfcc_19_mean,0.002091504735901723,mfcc
mfcc_10_std,0.002066983595236933,mfcc
mfcc_04_skew,0.002042975805255124,mfcc
spectral_flatness_min,0.002020489731242467,spectral
prosody_f4_std,0.0020178349904182986,prosody
spectral_band_5000_6000_std,0.002016923294467775,spectral
spectral_flux_std,0.002011532357118632,spectral
spectral_flux_min,0.001996931832170627,spectral
mfcc_05_min,0.0019370742759890088,mfcc
mfcc_12_skew,0.0019242651533188688,mfcc
prosody_shimmer_localdb,0.0018982283865267662,prosody
mfcc_12_max,0.0018949714574978058,mfcc
spectral_bandwidth_iqr,0.001857700838806148,spectral
mfcc_09_kurt,0.0018348789339635398,mfcc
spectral_zcr_std,0.001829305519536971,spectral
mfcc_09_median,0.0018204477324383465,mfcc
mfcc_16_max,0.0018137052160175904,mfcc
spectral_contrast_6_std,0.0018077713729177992,spectral
mfcc_d2_15_mean,0.0017900889963331393,mfcc
mfcc_13_kurt,0.0017369386066330584,mfcc
mfcc_02_kurt,0.001612707565912096,mfcc
mfcc_d2_04_std,0.0015845811510057197,mfcc
mfcc_16_std,0.0015746291954044872,mfcc
mfcc_09_std,0.0015695606023327841,mfcc
prosody_pause_fraction,0.001557381771345139,prosody
spectral_band_0_500_std,0.0015503006684987387,spectral
chroma_09_mean,0.0015195113657858967,chroma
spectral_contrast_1_std,0.0015180797587080754,spectral
spectral_centroid_kurt,0.001497025261798955,spectral
spectral_band_1000_2000_mean,0.0014923289892395906,spectral
chroma_02_mean,0.0014893439838053097,chroma
spectral_centroid_skew,0.0014818597618646403,spectral
prosody_f4_mean,0.0014679359003909162,prosody
mfcc_d1_01_mean,0.001437891783569611,mfcc
spectral_rms_iqr,0.0014123704986895198,spectral
chroma_10_std,0.0014120128377706018,chroma
mfcc_d2_10_std,0.0013949904169306547,mfcc
spectral_bandwidth_mean,0.0013869740744128643,spectral
spectral_flux_median,0.0013807975399836973,spectral
mfcc_17_min,0.0013730176753916777,mfcc
mfcc_09_max,0.0013696093967958069,mfcc
spectral_contrast_5_std,0.001348868292142587,spectral
mfcc_d1_08_std,0.0013418920545308496,mfcc
mfcc_d2_16_std,0.0013340384537564964,mfcc
prosody_f3_mean,0.001318982952626045,prosody
mfcc_d1_11_mean,0.0013181262806319619,mfcc
mfcc_19_skew,0.0013144883075594668,mfcc
spectral_flatness_median,0.00130630288225851,spectral
mfcc_01_std,0.0012601137955736755,mfcc
chroma_05_std,0.0012550498263765805,chroma
prosody_shimmer_local,0.0012381847301029248,prosody
mfcc_09_mean,0.0012337356546210294,mfcc
spectral_rolloff85_max,0.0011795486544755663,spectral
spectral_entropy_kurt,0.0011428028510786384,spectral
mfcc_15_kurt,0.0011214353865504304,mfcc
spectral_slope_iqr,0.0010814638703149594,spectral
spectral_rolloff85_skew,0.0010644382065422991,spectral
spectral_band_500_1000_std,0.0010531390694550283,spectral
prosody_f2_std,0.0010479668995450218,prosody
mfcc_16_kurt,0.001028406510915336,mfcc
mfcc_13_min,0.0010263627931587265,mfcc
mfcc_d1_04_std,0.001012207404941856,mfcc
mfcc_03_mean,0.0010037452009870028,mfcc
spectral_bandwidth_kurt,0.0009928807069432119,spectral
mfcc_14_max,0.000990454766989927,mfcc
spectral_slope_mean,0.0009774982103085792,spectral
mfcc_d1_17_mean,0.0009690979398980039,mfcc
mfcc_d2_01_mean,0.0009661682236689707,mfcc
spectral_flux_iqr,0.0009563465878930974,spectral
prosody_voiced_fraction,0.0009530206985989488,prosody
prosody_f0_median,0.0009518455137902312,prosody
mfcc_02_min,0.0009339689906285238,mfcc
mfcc_d1_07_mean,0.0009113642929332731,mfcc
mfcc_10_mean,0.0009106639886026987,mfcc
mfcc_d2_19_mean,0.0009036576283514244,mfcc
prosody_hnr_mean,0.0008936038569436767,prosody
chroma_08_mean,0.000889503648611647,chroma
mfcc_08_min,0.0008822704940580878,mfcc
mfcc_10_kurt,0.0008764718803297533,mfcc
spectral_rolloff95_kurt,0.000835221629163951,spectral
chroma_00_mean,0.0008249346586111383,chroma
mfcc_18_kurt,0.0008208783339652024,mfcc
mfcc_d2_01_std,0.0008152030121882735,mfcc
mfcc_d1_05_std,0.0008090106711918721,mfcc
mfcc_d2_12_mean,0.0008034758887089171,mfcc
spectral_band_2000_3000_mean,0.0008030066594000002,spectral
prosody_intensity_iqr,0.0007927845750467244,prosody
mfcc_00_skew,0.000776472415574172,mfcc
mfcc_14_median,0.0007719450017156424,mfcc
mfcc_d1_19_mean,0.0007628718723637409,mfcc
mfcc_d2_18_mean,0.0007433804161821181,mfcc
mfcc_00_mean,0.0007320030251234068,mfcc
chroma_09_std,0.0007208230533567405,chroma
mfcc_11_min,0.0007180872331591925,mfcc
chroma_01_mean,0.0007046575951633888,chroma
mfcc_d1_16_mean,0.0006921047291973016,mfcc
chroma_03_mean,0.0006822205386992905,chroma
prosody_f1_median,0.0006683067654811801,prosody
mfcc_18_mean,0.0006543165239838332,mfcc
mfcc_16_skew,0.0006522772336933797,mfcc
prosody_f4_median,0.0006436634156155645,prosody
mfcc_d1_15_std,0.0006417097310227795,mfcc
spectral_hf_ratio_4000_std,0.0006357607776919345,spectral
spectral_band_500_1000_mean,0.0006336378339388421,spectral
mfcc_12_min,0.0006329900159600493,mfcc
mfcc_19_iqr,0.0006157335544743473,mfcc
mfcc_16_median,0.000607958113372114,mfcc
mfcc_08_max,0.0006003623665735574,mfcc
mfcc_04_iqr,0.0005996914572754058,mfcc
mfcc_07_iqr,0.0005824597926225145,mfcc
