emotion,feature,importance,family
ANG,duration_s,0.014992157194440674,other
ANG,peak_amplitude,0.0,other
ANG,spectral_centroid_mean,0.0,spectral
ANG,spectral_centroid_std,0.0,spectral
ANG,spectral_centroid_min,0.0,spectral
ANG,spectral_centroid_max,0.0,spectral
ANG,spectral_centroid_median,0.0010214347615679947,spectral
ANG,spectral_centroid_iqr,0.004422048446523933,spectral
ANG,spectral_centroid_skew,0.000130737529663951,spectral
ANG,spectral_centroid_kurt,0.0007458163230798485,spectral
ANG,spectral_bandwidth_mean,0.002619764698132361,spectral
ANG,spectral_bandwidth_std,0.0,spectral
ANG,spectral_bandwidth_min,0.0,spectral
ANG,spectral_bandwidth_max,0.0,spectral
ANG,spectral_bandwidth_median,0.0,spectral
ANG,spectral_bandwidth_iqr,0.00021670223583742412,spectral
ANG,spectral_bandwidth_skew,0.00038859101784475197,spectral
ANG,spectral_bandwidth_kurt,0.00011778062712686816,spectral
ANG,spectral_rolloff85_mean,0.0,spectral
ANG,spectral_rolloff85_std,0.0001632764530801956,spectral
ANG,spectral_rolloff85_min,0.0,spectral
ANG,spectral_rolloff85_max,0.0021671631110732462,spectral
ANG,spectral_rolloff85_median,0.0,spectral
ANG,spectral_rolloff85_iqr,0.0,spectral
ANG,spectral_rolloff85_skew,0.0002222945119674638,spectral
ANG,spectral_rolloff85_kurt,0.0,spectral
ANG,spectral_rolloff95_mean,0.0,spectral
ANG,spectral_rolloff95_std,0.0,spectral
ANG,spectral_rolloff95_min,0.0,spectral
ANG,spectral_rolloff95_max,0.0,spectral
ANG,spectral_rolloff95_median,0.0,spectral
ANG,spectral_rolloff95_iqr,0.0,spectral
ANG,spectral_rolloff95_skew,0.0,spectral
ANG,spectral_rolloff95_kurt,0.0,spectral
ANG,spectral_flatness_mean,0.0,spectral
ANG,spectral_flatness_std,0.0,spectral
ANG,spectral_flatness_min,0.00019163159548509412,spectral
ANG,spectral_flatness_max,0.0004036585479689609,spectral
ANG,spectral_flatness_median,0.0,spectral
ANG,spectral_flatness_iqr,0.0,spectral
ANG,spectral_flatness_skew,0.0,spectral
ANG,spectral_flatness_kurt,0.0,spectral
ANG,spectral_zcr_mean,0.0,spectral
ANG,spectral_zcr_std,0.002243425063042016,spectral
ANG,spectral_zcr_min,0.0,spectral
ANG,spectral_zcr_max,0.0,spectral
ANG,spectral_zcr_median,0.0,spectral
ANG,spectral_zcr_iqr,0.002651477797509302,spectral
ANG,spectral_zcr_skew,0.0,spectral
ANG,spectral_zcr_kurt,0.0,spectral
ANG,spectral_rms_mean,0.0,spectral
ANG,spectral_rms_std,0.00061024931503966,spectral
ANG,spectral_rms_min,0.0026648946041559866,spectral
ANG,spectral_rms_max,0.0,spectral
ANG,spectral_rms_median,0.0,spectral
ANG,spectral_rms_iqr,0.0002889411532464687,spectral
ANG,spectral_rms_skew,0.0,spectral
ANG,spectral_rms_kurt,0.0,spectral
ANG,spectral_flux_mean,0.0,spectral
ANG,spectral_flux_std,0.00446539455571484,spectral
ANG,spectral_flux_min,0.0029814062023104204,spectral
ANG,spectral_flux_max,0.0,spectral
ANG,spectral_flux_median,0.00013728278801791258,spectral
ANG,spectral_flux_iqr,0.0,spectral
ANG,spectral_flux_skew,0.0,spectral
ANG,spectral_flux_kurt,0.0,spectral
ANG,spectral_entropy_mean,0.0,spectral
ANG,spectral_entropy_std,0.0003163128696971832,spectral
ANG,spectral_entropy_min,0.0,spectral
ANG,spectral_entropy_max,4.856240321079097e-05,spectral
ANG,spectral_entropy_median,0.0,spectral
ANG,spectral_entropy_iqr,0.0,spectral
ANG,spectral_entropy_skew,0.0,spectral
ANG,spectral_entropy_kurt,0.00041561881191316444,spectral
ANG,spectral_slope_mean,0.0,spectral
ANG,spectral_slope_std,0.0,spectral
ANG,spectral_slope_min,0.0012820879563841476,spectral
ANG,spectral_slope_max,0.0,spectral
ANG,spectral_slope_median,0.0,spectral
ANG,spectral_slope_iqr,6.566159580592808e-05,spectral
ANG,spectral_slope_skew,0.0,spectral
ANG,spectral_slope_kurt,0.0,spectral
ANG,spectral_band_0_500_mean,0.006111296818025133,spectral
ANG,spectral_band_0_500_std,0.0029165366382488387,spectral
ANG,spectral_band_500_1000_mean,0.0,spectral
ANG,spectral_band_500_1000_std,8.397312967119714e-05,spectral
ANG,spectral_band_1000_2000_mean,0.001620776745561034,spectral
ANG,spectral_band_1000_2000_std,0.0,spectral
ANG,spectral_band_2000_3000_mean,0.0002516096788216023,spectral
ANG,spectral_band_2000_3000_std,0.0,spectral
ANG,spectral_band_3000_4000_mean,0.02513490670371722,spectral
ANG,spectral_band_3000_4000_std,0.00026410902689701695,spectral
