feature,importance,kind,family
duration_s,1046.0,impurity/gain,other
mfcc_d2_00_std,967.0,impurity/gain,mfcc
mfcc_d1_00_std,890.0,impurity/gain,mfcc
spectral_flux_std,793.0,impurity/gain,spectral
spectral_contrast_1_mean,721.0,impurity/gain,spectral
mfcc_03_std,705.0,impurity/gain,mfcc
prosody_cpps,671.0,impurity/gain,prosody
mfcc_d1_02_std,660.0,impurity/gain,mfcc
mfcc_00_std,656.0,impurity/gain,mfcc
prosody_f0_skew,655.0,impurity/gain,prosody
prosody_f0_iqr,645.0,impurity/gain,prosody
mfcc_03_max,610.0,impurity/gain,mfcc
mfcc_d2_01_std,608.0,impurity/gain,mfcc
prosody_f0_std,604.0,impurity/gain,prosody
mfcc_d2_03_std,604.0,impurity/gain,mfcc
mfcc_00_iqr,603.0,impurity/gain,mfcc
mfcc_d1_03_std,601.0,impurity/gain,mfcc
mfcc_02_skew,594.0,impurity/gain,mfcc
prosody_f0_median,587.0,impurity/gain,prosody
prosody_f0_min,587.0,impurity/gain,prosody
mfcc_12_max,585.0,impurity/gain,mfcc
spectral_band_1000_2000_std,583.0,impurity/gain,spectral
mfcc_00_kurt,577.0,impurity/gain,mfcc
mfcc_00_median,561.0,impurity/gain,mfcc
prosody_f0_slope_abs_mean,548.0,impurity/gain,prosody
mfcc_d2_04_std,548.0,impurity/gain,mfcc
mfcc_11_max,546.0,impurity/gain,mfcc
prosody_intensity_iqr,542.0,impurity/gain,prosody
mfcc_d2_08_std,541.0,impurity/gain,mfcc
mfcc_02_median,540.0,impurity/gain,mfcc
prosody_f1_bw_median,539.0,impurity/gain,prosody
spectral_flux_iqr,537.0,impurity/gain,spectral
mfcc_02_std,535.0,impurity/gain,mfcc
mfcc_10_median,534.0,impurity/gain,mfcc
prosody_f3_bw_median,533.0,impurity/gain,prosody
mfcc_d2_19_mean,531.0,impurity/gain,mfcc
mfcc_06_max,526.0,impurity/gain,mfcc
prosody_intensity_std,524.0,impurity/gain,prosody
spectral_band_2000_3000_std,520.0,impurity/gain,spectral
mfcc_09_mean,515.0,impurity/gain,mfcc
mfcc_d2_09_std,515.0,impurity/gain,mfcc
mfcc_d2_03_mean,508.0,impurity/gain,mfcc
prosody_intensity_kurt,505.0,impurity/gain,prosody
mfcc_05_max,504.0,impurity/gain,mfcc
spectral_entropy_median,504.0,impurity/gain,spectral
