feature,importance,family
mfcc_00_std,0.05335069806858765,mfcc
mfcc_00_iqr,0.04764005832810665,mfcc
mfcc_d1_00_std,0.04357097992090444,mfcc
mfcc_d2_00_std,0.03331395178456286,mfcc
duration_s,0.03086790005627475,other
mfcc_d2_08_std,0.009706355610972828,mfcc
prosody_intensity_std,0.009063444591465103,prosody
prosody_f0_iqr,0.007863155458828737,prosody
mfcc_00_kurt,0.007537893784150198,mfcc
prosody_f0_skew,0.007223529613248349,prosody
spectral_band_2000_3000_mean,0.005783062455618254,spectral
mfcc_19_median,0.00563039352399498,mfcc
spectral_zcr_median,0.005565218707237282,spectral
spectral_flux_std,0.005387423432059297,spectral
mfcc_03_std,0.005214935075192457,mfcc
prosody_f0_median,0.004874488630036551,prosody
prosody_f3_bw_median,0.004863228735000058,prosody
spectral_band_2000_3000_std,0.004733469463014128,spectral
prosody_f0_std,0.0041744866735471285,prosody
spectral_band_4000_5000_std,0.003934455187241888,spectral
mfcc_d2_01_std,0.0034502317541862,mfcc
mfcc_02_median,0.0033734043892293206,mfcc
mfcc_14_max,0.003058979062119417,mfcc
prosody_hnr_median,0.003042862101836993,prosody
spectral_rms_median,0.0030367404770661136,spectral
mfcc_05_iqr,0.002997254983978194,mfcc
mfcc_09_mean,0.002937580680927043,mfcc
mfcc_d1_01_mean,0.0028711102125676107,mfcc
spectral_flatness_kurt,0.0027924345069502087,spectral
mfcc_d2_07_mean,0.0027008821858632054,mfcc
mfcc_d1_02_std,0.0026925965645042725,mfcc
prosody_intensity_kurt,0.0026301526925460476,prosody
mfcc_d2_17_mean,0.0025549068436731184,mfcc
prosody_f1_bw_median,0.002534546504614222,prosody
spectral_band_0_500_mean,0.002522475891349514,spectral
prosody_intensity_min,0.0024720851890559946,prosody
prosody_f0_mean,0.002466381651161364,prosody
spectral_entropy_skew,0.00244561728216921,spectral
spectral_band_5000_6000_mean,0.002444379155803154,spectral
mfcc_d1_05_std,0.0024341407062702033,mfcc
spectral_entropy_max,0.002382690091536664,spectral
prosody_intensity_mean,0.0023779301926374987,prosody
mfcc_04_mean,0.0023491424025724413,mfcc
spectral_centroid_iqr,0.0023405719275570074,spectral
mfcc_10_median,0.002264134011588747,mfcc
mfcc_d2_03_mean,0.002236870499340666,mfcc
prosody_f4_std,0.002187191549867843,prosody
mfcc_17_min,0.0021782145274406835,mfcc
mfcc_d2_02_std,0.0021444534654007437,mfcc
mfcc_19_std,0.0021098697872981593,mfcc
spectral_contrast_1_mean,0.0021059303005692884,spectral
chroma_11_std,0.0020282432354986482,chroma
mfcc_15_skew,0.0020258452850287854,mfcc
mfcc_03_iqr,0.002017706155017416,mfcc
mfcc_05_mean,0.0020103700732637094,mfcc
chroma_00_std,0.001997618926357412,chroma
mfcc_d1_06_mean,0.0019958113875813777,mfcc
spectral_contrast_6_std,0.0019846457835413106,spectral
mfcc_19_mean,0.0019792842179133458,mfcc
spectral_band_5000_6000_std,0.001972358226440318,spectral
mfcc_05_max,0.0019342956757610408,mfcc
mfcc_12_max,0.0018783216533745785,mfcc
prosody_voiced_rate_per_s,0.0018780106219110821,prosody
spectral_entropy_median,0.0018614759121806724,spectral
prosody_cpps,0.0018515243080201938,prosody
spectral_slope_std,0.001833699261331743,spectral
mfcc_d2_06_std,0.0018205048744101642,mfcc
mfcc_d2_13_mean,0.0018145788904733071,mfcc
spectral_rolloff85_skew,0.0018099292144320963,spectral
prosody_jitter_ppq5,0.0017883883639506334,prosody
spectral_rolloff95_min,0.0017874467860209723,spectral
mfcc_02_std,0.0017807999913599377,mfcc
mfcc_14_iqr,0.0017551595876104762,mfcc
mfcc_d1_03_std,0.0017548196555607876,mfcc
spectral_rolloff95_mean,0.001739557404365416,spectral
prosody_shimmer_apq11,0.0017239436765350464,prosody
spectral_band_4000_5000_mean,0.001695404717883388,spectral
mfcc_03_median,0.0016602527536877026,mfcc
mfcc_d2_11_std,0.0016601299218636741,mfcc
chroma_03_mean,0.0016495316723428965,chroma
mfcc_08_max,0.0016296435599618244,mfcc
prosody_hnr_std,0.0016129935012865985,prosody
prosody_shimmer_apq5,0.0015733909829748274,prosody
mfcc_06_min,0.0015647111465356654,mfcc
mfcc_d1_08_mean,0.0015641176073311347,mfcc
spectral_hf_ratio_4000_std,0.001558679906857538,spectral
mfcc_d2_11_mean,0.0015558726002300428,mfcc
mfcc_18_max,0.0015485401070952864,mfcc
mfcc_07_std,0.0015192933604519297,mfcc
spectral_flatness_skew,0.0015127441925733944,spectral
mfcc_17_iqr,0.0015035093479946013,mfcc
mfcc_00_max,0.001479833704103649,mfcc
mfcc_08_min,0.0014653503125213044,mfcc
spectral_slope_iqr,0.0014527197218449877,spectral
mfcc_d2_03_std,0.0014515466978752196,mfcc
mfcc_02_max,0.0014449352972071713,mfcc
mfcc_06_median,0.0014448875108865461,mfcc
mfcc_d2_10_mean,0.001416086368035682,mfcc
prosody_f1_std,0.0014102521957912262,prosody
mfcc_06_kurt,0.0013957250406714979,mfcc
chroma_10_mean,0.0013832493013430812,chroma
spectral_band_500_1000_std,0.0013372664688405594,spectral
spectral_bandwidth_skew,0.0013368926179142227,spectral
spectral_centroid_skew,0.001334973963187447,spectral
mfcc_16_mean,0.001329193411017502,mfcc
mfcc_16_std,0.0013214101445437581,mfcc
prosody_intensity_median,0.001320237973093987,prosody
mfcc_d2_09_std,0.001301403575765705,mfcc
mfcc_01_kurt,0.0013011158944714904,mfcc
mfcc_04_median,0.0012957910176506888,mfcc
spectral_hf_ratio_6000_mean,0.001288547877887842,spectral
chroma_06_mean,0.001283465651393353,chroma
mfcc_11_kurt,0.0012804508131055148,mfcc
chroma_06_std,0.001277102619915128,chroma
mfcc_08_std,0.0012523463171907206,mfcc
mfcc_d2_07_std,0.0012443290430904635,mfcc
spectral_band_6000_8000_std,0.0012419672853891117,spectral
spectral_rolloff95_kurt,0.0012417104735080776,spectral
mfcc_d1_17_mean,0.001240418549716764,mfcc
spectral_rolloff85_std,0.0012367600575365096,spectral
mfcc_06_std,0.0012240037053094708,mfcc
spectral_contrast_6_mean,0.0012217663834733817,spectral
mfcc_10_std,0.0012092124622632497,mfcc
mfcc_d2_15_std,0.0011929631376597337,mfcc
spectral_rolloff85_median,0.0011908284269672492,spectral
mfcc_11_max,0.0011773095716866313,mfcc
spectral_zcr_max,0.0011450095478688289,spectral
mfcc_d1_04_std,0.0011423169377889591,mfcc
spectral_band_1000_2000_std,0.0011338730874452048,spectral
spectral_slope_min,0.0011321474171464734,spectral
spectral_bandwidth_median,0.0011210832330638873,spectral
spectral_hf_ratio_4000_mean,0.001088526361471883,spectral
prosody_intensity_iqr,0.001086177296574247,prosody
spectral_entropy_mean,0.0010815081951653413,spectral
spectral_rolloff95_iqr,0.0010755211668415508,spectral
mfcc_04_std,0.001073925079218637,mfcc
mfcc_04_iqr,0.0010459453285538306,mfcc
mfcc_07_median,0.0010371474927393489,mfcc
spectral_rms_max,0.0010318975552234741,spectral
mfcc_02_min,0.0010215608822915516,mfcc
mfcc_d1_12_mean,0.0010196551758655025,mfcc
prosody_f2_std,0.0010076694355443051,prosody
mfcc_04_min,0.0010067958608861707,mfcc
mfcc_d2_14_std,0.0010038118916844935,mfcc
spectral_bandwidth_mean,0.0009997852277677786,spectral
spectral_entropy_std,0.0009954379784027968,spectral
mfcc_16_kurt,0.000988792851518945,mfcc
prosody_f0_min,0.0009812698690308912,prosody
mfcc_d2_12_mean,0.0009735384774711194,mfcc
mfcc_d1_15_std,0.000966647846785124,mfcc
mfcc_16_skew,0.0009663789797765136,mfcc
mfcc_15_kurt,0.0009636453277003372,mfcc
mfcc_d2_13_std,0.0009538770116712059,mfcc
mfcc_02_skew,0.0009515623160074508,mfcc
mfcc_03_kurt,0.0009511153119326209,mfcc
spectral_slope_kurt,0.0009505718990779653,spectral
mfcc_10_max,0.0009501943288666548,mfcc
mfcc_08_mean,0.00094396788811304,mfcc
mfcc_10_iqr,0.0009427230750628099,mfcc
mfcc_03_skew,0.0009405863650220505,mfcc
mfcc_14_skew,0.0009351145902996221,mfcc
mfcc_14_median,0.0009305817928387969,mfcc
mfcc_08_kurt,0.0009241936497815938,mfcc
spectral_contrast_3_mean,0.0009229456032662356,spectral
prosody_f5_std,0.0009177686838334968,prosody
mfcc_10_mean,0.0009153077591798869,mfcc
spectral_bandwidth_kurt,0.0009114403640385617,spectral
spectral_flux_iqr,0.000898095417498328,spectral
mfcc_19_kurt,0.0008958682258553616,mfcc
mfcc_02_kurt,0.0008938498051991521,mfcc
mfcc_d1_00_mean,0.00088847631012353,mfcc
mfcc_19_max,0.0008839542777718296,mfcc
prosody_hnr_mean,0.0008772681940050276,prosody
mfcc_17_skew,0.0008661601558721209,mfcc
mfcc_07_skew,0.000853721493662184,mfcc
mfcc_13_mean,0.0008329809660933304,mfcc
spectral_centroid_median,0.0008323261526830058,spectral
spectral_rms_iqr,0.0008261666452692071,spectral
spectral_rolloff85_max,0.00082382790815756,spectral
prosody_f2_bw_median,0.0008226672552676575,prosody
prosody_shimmer_local,0.0008201633693941302,prosody
mfcc_14_min,0.0008050994427734443,mfcc
mfcc_08_median,0.0008030347139875866,mfcc
prosody_jitter_ddp,0.0008017886108783311,prosody
spectral_slope_median,0.0008006339976816752,spectral
mfcc_d2_15_mean,0.000785494013905166,mfcc
mfcc_13_max,0.0007812386349994061,mfcc
mfcc_d1_18_mean,0.0007783355771065041,mfcc
mfcc_02_iqr,0.0007731787377926361,mfcc
mfcc_18_iqr,0.0007682875800381575,mfcc
mfcc_04_skew,0.0007642855666133724,mfcc
mfcc_d1_16_mean,0.0007610733522671856,mfcc
mfcc_d1_06_std,0.0007550695054892758,mfcc
spectral_contrast_0_std,0.0007545553415191468,spectral
spectral_rolloff85_iqr,0.0007470101894838675,spectral
mfcc_17_max,0.0007469799342427965,mfcc
mfcc_17_kurt,0.0007457952346068237,mfcc
spectral_flux_kurt,0.0007400331669811757,spectral
spectral_rolloff95_skew,0.0007384394200115227,spectral
mfcc_16_min,0.0007329050658817849,mfcc
mfcc_09_max,0.0007315957900824627,mfcc
chroma_10_std,0.0007277417549852987,chroma
prosody_f3_std,0.0007238744977600988,prosody
mfcc_12_min,0.0007202621346142473,mfcc
mfcc_16_max,0.0007182415676573395,mfcc
spectral_contrast_4_mean,0.0007182233126148211,spectral
spectral_band_500_1000_mean,0.0007157927561995725,spectral
chroma_09_std,0.000714838314889898,chroma
spectral_band_6000_8000_mean,0.0007116522800540602,spectral
mfcc_03_mean,0.0007106640289588848,mfcc
prosody_voiced_fraction,0.0007018623698237597,prosody
prosody_f2_mean,0.0006997119058308952,prosody
mfcc_d1_10_std,0.0006987054366209136,mfcc
mfcc_01_std,0.0006971719774808173,mfcc
prosody_intensity_skew,0.0006905781050879952,prosody
