feature,importance,std,family
duration_s,0.01444692460317451,0.003369708893295911,other
mfcc_d1_00_std,0.012996031746031686,0.003093743279665236,mfcc
prosody_intensity_std,0.01124751984126976,0.0025268119568968676,prosody
prosody_cpps,0.010404265873015767,0.004147560330892926,prosody
mfcc_d2_00_std,0.0055307539682538515,0.0024830092745767476,mfcc
mfcc_03_max,0.004997519841269782,0.0024845880587082833,mfcc
prosody_f0_median,0.00481150793650785,0.0033543631076779386,prosody
prosody_f1_bw_median,0.004476686507936423,0.0025411341318343095,prosody
prosody_f0_mean,0.004278273809523739,0.003340190083458563,prosody
mfcc_d2_04_std,0.004141865079364981,0.0019260791979517846,mfcc
prosody_hnr_mean,0.003807043650793568,0.000898266106223954,prosody
mfcc_02_median,0.003621031746031622,0.0019370658918419212,mfcc
prosody_f0_skew,0.003583829365079269,0.0019806750105301712,prosody
prosody_f0_iqr,0.0035342261904760947,0.0029362136123816684,prosody
mfcc_02_skew,0.0034722222222221266,0.001447019062084789,mfcc
prosody_intensity_iqr,0.003435019841269732,0.0024791354535882012,prosody
mfcc_00_skew,0.003335813492063397,0.0024416340793482075,mfcc
prosody_f0_min,0.003273809523809401,0.001496339596130784,prosody
spectral_flux_min,0.002827380952380845,0.0004295760931470334,spectral
mfcc_d1_03_std,0.002802579365079258,0.001741594232545698,mfcc
prosody_f0_std,0.002430555555555436,0.0020246360745990555,prosody
spectral_flux_std,0.0023809523809522892,0.0019005202441138953,spectral
prosody_hnr_min,0.0022817460317459543,0.0010117102209509282,prosody
mfcc_00_kurt,0.002120535714285582,0.0015888025362606922,mfcc
spectral_contrast_1_mean,0.001946924603174513,0.0013318590936585595,spectral
mfcc_d2_07_std,0.001922123015872898,0.0012915294124952207,mfcc
spectral_flux_iqr,0.0018725198412697375,0.0027987083024570312,spectral
prosody_f3_bw_median,0.00186011904761893,0.001329836966116514,prosody
prosody_intensity_min,0.0015624999999998834,0.002169961727462534,prosody
mfcc_d1_04_std,0.001537698412698324,0.0010393019265752253,mfcc
mfcc_09_iqr,0.0015252976190475165,0.001458820426023568,mfcc
spectral_contrast_3_std,0.0013392857142856124,0.0009010864149099347,spectral
