feature,importance,family
mfcc_d1_00_std,0.3703600188706985,mfcc
mfcc_d2_00_std,0.3005555936505789,mfcc
duration_s,0.27708482302039067,other
prosody_intensity_std,0.23990230472077384,prosody
mfcc_00_std,0.20521028602206498,mfcc
spectral_flux_std,0.16632582486650627,spectral
prosody_intensity_iqr,0.1604798145292905,prosody
mfcc_03_std,0.15775067831313128,mfcc
mfcc_00_iqr,0.15639314888770972,mfcc
prosody_f0_mean,0.14253329971533688,prosody
prosody_f0_median,0.14251929491096674,prosody
prosody_intensity_min,0.13284655981365762,prosody
prosody_cpps,0.13160334291896528,prosody
spectral_contrast_1_mean,0.12522741867720574,spectral
prosody_f0_skew,0.12083898870626729,prosody
mfcc_d1_02_std,0.12015534529792275,mfcc
prosody_f1_bw_median,0.11790408004406325,prosody
prosody_f0_iqr,0.1121965050254838,prosody
mfcc_d2_01_std,0.09952067538961618,mfcc
mfcc_03_max,0.093602914813046,mfcc
prosody_f0_std,0.09340257298077104,prosody
mfcc_02_std,0.09151564739714739,mfcc
mfcc_09_mean,0.08852438929045212,mfcc
mfcc_d1_03_std,0.08777433431426368,mfcc
spectral_flatness_iqr,0.08682343897041257,spectral
mfcc_00_kurt,0.08497862892922536,mfcc
spectral_band_1000_2000_std,0.0848172542971819,spectral
mfcc_d2_03_std,0.08449632607988633,mfcc
spectral_flux_iqr,0.08257082309020264,spectral
spectral_band_2000_3000_std,0.08232249053251083,spectral
prosody_f3_bw_median,0.08182898526619613,prosody
spectral_entropy_median,0.08069476644231663,spectral
mfcc_d2_04_std,0.08038962721436618,mfcc
mfcc_10_median,0.08014573902646882,mfcc
spectral_band_2000_3000_mean,0.07862792461322353,spectral
mfcc_02_median,0.07655246943174758,mfcc
prosody_intensity_kurt,0.07551222663901098,prosody
mfcc_00_median,0.07182526100051324,mfcc
spectral_band_0_500_std,0.06982015119355633,spectral
mfcc_d2_09_std,0.06972741631447542,mfcc
spectral_slope_std,0.06882126933404314,spectral
spectral_flatness_min,0.06744317987853649,spectral
mfcc_09_median,0.06730771945678338,mfcc
spectral_band_0_500_mean,0.066265460829971,spectral
prosody_f0_min,0.06620927191640444,prosody
mfcc_00_mean,0.06505290778307747,mfcc
spectral_contrast_6_mean,0.06411041953305294,spectral
mfcc_00_skew,0.06410349422287566,mfcc
spectral_contrast_4_std,0.06226062512115028,spectral
spectral_contrast_1_std,0.06173456695543775,spectral
mfcc_02_skew,0.06160576944113014,mfcc
spectral_zcr_median,0.06118610929649696,spectral
mfcc_d1_05_std,0.06117108357270917,mfcc
mfcc_12_max,0.0603158022508633,mfcc
prosody_f5_median,0.05966326224424161,prosody
spectral_band_3000_4000_std,0.05950064978521489,spectral
mfcc_d2_08_std,0.05944196890023799,mfcc
mfcc_06_std,0.05883388550936276,mfcc
spectral_centroid_iqr,0.0573758990987471,spectral
mfcc_06_median,0.05476082281161694,mfcc
spectral_entropy_mean,0.05267142876489358,spectral
mfcc_06_max,0.05250361362359267,mfcc
spectral_rms_std,0.05240653766337973,spectral
mfcc_03_min,0.05173673159002263,mfcc
mfcc_04_median,0.0517203907180235,mfcc
spectral_band_500_1000_std,0.050493621525990226,spectral
mfcc_d2_07_std,0.049948964045619354,mfcc
mfcc_09_max,0.049890390758061606,mfcc
mfcc_03_mean,0.04938528269193537,mfcc
mfcc_d2_19_mean,0.04921475293283943,mfcc
prosody_hnr_median,0.04878476404786674,prosody
mfcc_05_iqr,0.04831875027523092,mfcc
prosody_f0_slope_abs_mean,0.04827462023383344,prosody
prosody_f4_std,0.048011995962780794,prosody
mfcc_04_min,0.04729069885508406,mfcc
mfcc_08_mean,0.047240738603148875,mfcc
prosody_jitter_ppq5,0.047096810819888514,prosody
mfcc_05_max,0.04698442644506406,mfcc
spectral_band_4000_5000_std,0.04672937521668035,spectral
prosody_hnr_mean,0.04510356714416714,prosody
mfcc_d1_01_std,0.04492226235587822,mfcc
prosody_f4_median,0.044913128036390304,prosody
spectral_contrast_6_std,0.04481161559410816,spectral
mfcc_04_std,0.044779619146883214,mfcc
spectral_band_1000_2000_mean,0.04470009960108089,spectral
mfcc_05_min,0.04466345755683088,mfcc
prosody_hnr_min,0.04389395461416416,prosody
peak_amplitude,0.04378277109465436,other
mfcc_02_min,0.043367911706452524,mfcc
spectral_flux_min,0.04305222833143405,spectral
mfcc_10_mean,0.0426196823651622,mfcc
mfcc_18_median,0.0419924596367699,mfcc
spectral_rms_median,0.04183588307227441,spectral
prosody_f2_std,0.04125528428401161,prosody
mfcc_d1_01_mean,0.04113985338845725,mfcc
mfcc_11_skew,0.04085399152733103,mfcc
spectral_band_500_1000_mean,0.04057985077374517,spectral
mfcc_13_mean,0.04053731264253097,mfcc
mfcc_d1_10_mean,0.040346145800427065,mfcc
prosody_voiced_rate_per_s,0.04023124516460801,prosody
chroma_06_std,0.03920253986352584,chroma
spectral_contrast_2_std,0.03906342224745755,spectral
mfcc_03_skew,0.03871193346519416,mfcc
mfcc_11_max,0.03848859111200575,mfcc
mfcc_d1_07_std,0.03819738859179354,mfcc
mfcc_13_median,0.038014537521205226,mfcc
spectral_entropy_skew,0.0376506225622321,spectral
mfcc_d1_11_mean,0.03747080346029848,mfcc
mfcc_d2_02_std,0.037272679387773816,mfcc
mfcc_d2_12_std,0.037090694303761836,mfcc
mfcc_07_iqr,0.03691489403989957,mfcc
mfcc_04_max,0.036484499585485546,mfcc
spectral_contrast_0_mean,0.03638323349746492,spectral
prosody_f1_std,0.03625239179612791,prosody
