feature,importance,family
mfcc_d1_00_std,0.39698483095467374,mfcc
duration_s,0.2876855227016209,other
mfcc_d2_00_std,0.2747078907737586,mfcc
prosody_intensity_std,0.23977207491812738,prosody
mfcc_00_std,0.178958575857057,mfcc
spectral_flux_std,0.16411592157144733,spectral
prosody_intensity_iqr,0.16113287340517446,prosody
mfcc_00_iqr,0.15714927634198042,mfcc
mfcc_03_std,0.15497321300197547,mfcc
prosody_intensity_min,0.15389492731671595,prosody
mfcc_d1_01_mean,0.15080893830372077,mfcc
prosody_f0_mean,0.1426947348478848,prosody
prosody_f0_median,0.14121757653086153,prosody
mfcc_00_kurt,0.1316408547022253,mfcc
spectral_contrast_1_mean,0.12861841437270366,spectral
prosody_cpps,0.12753108734819912,prosody
prosody_f1_bw_median,0.12157541073038655,prosody
mfcc_d1_02_std,0.11986657661503071,mfcc
prosody_f0_skew,0.1191629595098509,prosody
mfcc_03_max,0.10727367914577891,mfcc
prosody_f0_iqr,0.10688404707550643,prosody
mfcc_02_median,0.0899675320104005,mfcc
mfcc_d2_01_std,0.08954206315768554,mfcc
mfcc_02_std,0.08928723137820385,mfcc
mfcc_00_skew,0.0869409393747499,mfcc
prosody_f3_bw_median,0.08641803831074185,prosody
spectral_band_1000_2000_std,0.08433435268220756,spectral
mfcc_d1_03_std,0.08337758461343499,mfcc
mfcc_09_mean,0.08334265650244668,mfcc
prosody_f0_std,0.08187084036513372,prosody
mfcc_d2_03_std,0.08052776188938733,mfcc
spectral_entropy_median,0.08013062357786196,spectral
spectral_flux_iqr,0.07888409173205058,spectral
prosody_intensity_kurt,0.07809864803506057,prosody
mfcc_d2_04_std,0.07578089027896706,mfcc
mfcc_10_median,0.07412844737286602,mfcc
spectral_band_0_500_std,0.07396663038914726,spectral
mfcc_00_median,0.07376752216037363,mfcc
mfcc_d2_09_std,0.07211512926588186,mfcc
spectral_band_2000_3000_mean,0.07207000432405898,spectral
mfcc_d1_02_mean,0.06923625546730945,mfcc
spectral_band_0_500_mean,0.06920378639351503,spectral
spectral_band_2000_3000_std,0.06651956968555515,spectral
mfcc_d1_00_mean,0.06651071037187857,mfcc
mfcc_00_mean,0.0654038593828198,mfcc
spectral_zcr_median,0.06517087147229111,spectral
mfcc_d2_08_std,0.06443780443270455,mfcc
prosody_f0_min,0.06439234098871265,prosody
spectral_contrast_1_std,0.06382663210702837,spectral
spectral_contrast_4_std,0.06147653713716142,spectral
spectral_flux_min,0.061118848272004166,spectral
mfcc_02_skew,0.059897284425917977,mfcc
spectral_centroid_iqr,0.05982854336210007,spectral
spectral_slope_std,0.05933304759318456,spectral
prosody_f5_median,0.05817769864503749,prosody
mfcc_06_std,0.05711907909288441,mfcc
mfcc_d1_05_std,0.057032810083226713,mfcc
spectral_band_3000_4000_std,0.05663607014355627,spectral
mfcc_03_min,0.0566111101738337,mfcc
mfcc_09_median,0.05561642026589616,mfcc
spectral_entropy_mean,0.05512509489570187,spectral
mfcc_03_mean,0.05495073907254101,mfcc
spectral_entropy_skew,0.05318177101508062,spectral
mfcc_12_max,0.05286317069474799,mfcc
mfcc_09_max,0.052446489023730634,mfcc
mfcc_06_max,0.05203101873820642,mfcc
mfcc_04_min,0.05070425790381516,mfcc
prosody_hnr_median,0.0506125137329269,prosody
mfcc_d1_01_std,0.05047807467575654,mfcc
mfcc_05_max,0.04996681554613499,mfcc
spectral_rms_std,0.049462498672188826,spectral
prosody_f4_std,0.04887329866928124,prosody
mfcc_d2_07_std,0.048775815225338935,mfcc
mfcc_04_median,0.04829559296504428,mfcc
mfcc_05_iqr,0.048054901309138656,mfcc
prosody_f0_slope_abs_mean,0.04748301608308736,prosody
mfcc_06_median,0.04738401120783903,mfcc
prosody_jitter_ppq5,0.04661177557600708,prosody
mfcc_08_mean,0.046589357250710534,mfcc
prosody_hnr_mean,0.04640756843575135,prosody
mfcc_d2_19_mean,0.04625030212361217,mfcc
prosody_f4_median,0.046194555629817,prosody
mfcc_d1_03_mean,0.045751971138863964,mfcc
mfcc_04_std,0.045158911798488084,mfcc
mfcc_02_min,0.044604464174590686,mfcc
mfcc_05_min,0.04432303968937086,mfcc
prosody_voiced_rate_per_s,0.04409148865195376,prosody
mfcc_19_median,0.04373332357862921,mfcc
spectral_band_500_1000_std,0.04349944687885677,spectral
spectral_band_4000_5000_std,0.04288010567670301,spectral
spectral_rms_median,0.042625257346983234,spectral
prosody_hnr_min,0.04253587560891741,prosody
mfcc_11_skew,0.04239470650256241,mfcc
spectral_flatness_iqr,0.04214525896377852,spectral
mfcc_10_mean,0.04203786494740325,mfcc
mfcc_d2_12_std,0.04202688436822233,mfcc
peak_amplitude,0.04193501289816319,other
spectral_band_1000_2000_mean,0.04143449342733104,spectral
spectral_contrast_2_std,0.041319636136567826,spectral
spectral_flatness_min,0.041256271791737784,spectral
mfcc_11_max,0.040773127163673005,mfcc
mfcc_06_iqr,0.04031451541156213,mfcc
mfcc_d1_07_std,0.03964119256563851,mfcc
prosody_f2_std,0.03957055529474673,prosody
mfcc_05_std,0.0392052008375235,mfcc
mfcc_07_iqr,0.039095272825996806,mfcc
mfcc_04_max,0.038076475144629085,mfcc
spectral_band_500_1000_mean,0.037614741917047764,spectral
mfcc_03_skew,0.03703907741132419,mfcc
mfcc_d1_10_mean,0.03677643113976783,mfcc
mfcc_18_median,0.03677156006962504,mfcc
mfcc_02_iqr,0.03663338685186791,mfcc
mfcc_13_mean,0.03656414831087753,mfcc
mfcc_08_median,0.03641978364984249,mfcc
mfcc_d1_11_mean,0.03625217341787122,mfcc
mfcc_d2_06_std,0.0357925524289659,mfcc
mfcc_d2_03_mean,0.0357527234419753,mfcc
prosody_f1_std,0.03496056302768561,prosody
mfcc_14_iqr,0.034929442969974474,mfcc
mfcc_01_iqr,0.034800505214437664,mfcc
mfcc_04_mean,0.03414440988791848,mfcc
mfcc_d2_02_std,0.034107745433482696,mfcc
chroma_06_std,0.03395609909941149,chroma
chroma_08_std,0.03385514905392113,chroma
mfcc_00_min,0.03366942915724537,mfcc
mfcc_08_skew,0.033650312761012484,mfcc
mfcc_d1_09_std,0.03355183409260081,mfcc
spectral_flatness_kurt,0.033503047844579574,spectral
spectral_contrast_0_mean,0.0335007666261938,spectral
mfcc_06_min,0.03337513524892619,mfcc
mfcc_13_median,0.033227435005701696,mfcc
spectral_contrast_0_std,0.033164466524459785,spectral
prosody_voiced_fraction,0.032879008139716365,prosody
mfcc_05_mean,0.03275301106111692,mfcc
mfcc_03_iqr,0.03269960994463615,mfcc
mfcc_d2_00_mean,0.032519484805238086,mfcc
mfcc_d2_02_mean,0.032411566112551166,mfcc
prosody_f0_max,0.032341420076229394,prosody
prosody_f2_mean,0.03216173134312608,prosody
spectral_rms_mean,0.032048284463460086,spectral
mfcc_08_max,0.0318038833160606,mfcc
mfcc_02_max,0.031631841524448805,mfcc
spectral_centroid_median,0.0315935767097235,spectral
mfcc_08_min,0.03153682092480357,mfcc
mfcc_17_std,0.031502094517224175,mfcc
mfcc_d1_06_std,0.03125406004972129,mfcc
