feature,importance,family
mfcc_d1_00_std,0.38126028577897053,mfcc
mfcc_d2_00_std,0.30793210747261374,mfcc
duration_s,0.27772963971445486,other
prosody_intensity_std,0.2426932420026206,prosody
mfcc_00_std,0.19859849445822894,mfcc
prosody_intensity_iqr,0.16408806489926278,prosody
mfcc_00_iqr,0.16038390920235618,mfcc
spectral_flux_std,0.15933037892147922,spectral
mfcc_03_std,0.153913363647893,mfcc
prosody_f0_median,0.14740250210800832,prosody
prosody_f0_mean,0.14471110145331276,prosody
prosody_intensity_min,0.1351041073544748,prosody
prosody_cpps,0.13248007134708073,prosody
spectral_contrast_1_mean,0.1266656314994646,spectral
prosody_f0_skew,0.12402446819330433,prosody
prosody_f1_bw_median,0.1232182859674234,prosody
mfcc_d1_02_std,0.12281946277351398,mfcc
prosody_f0_iqr,0.11170393284739077,prosody
mfcc_d2_01_std,0.09751220679243389,mfcc
mfcc_03_max,0.09715985879945947,mfcc
mfcc_02_std,0.09439700788780644,mfcc
prosody_f0_std,0.08922531790850602,prosody
mfcc_d1_03_std,0.08815580805265276,mfcc
spectral_band_1000_2000_std,0.08625819918072551,spectral
mfcc_02_median,0.08531474026414929,mfcc
mfcc_d2_03_std,0.08404696952196103,mfcc
mfcc_00_kurt,0.08295193597159839,mfcc
spectral_entropy_median,0.08154255859155816,spectral
spectral_band_2000_3000_std,0.08124863628785671,spectral
spectral_flux_iqr,0.08120149728068875,spectral
prosody_f3_bw_median,0.07936187670220612,prosody
mfcc_09_mean,0.07923587909912583,mfcc
spectral_band_2000_3000_mean,0.07896978989010943,spectral
mfcc_d2_04_std,0.0775771897111567,mfcc
prosody_intensity_kurt,0.07662481751105016,prosody
mfcc_00_median,0.0763571693145444,mfcc
mfcc_d2_09_std,0.0742624152078839,mfcc
mfcc_10_median,0.07355062291628761,mfcc
spectral_band_0_500_std,0.0693515141127809,spectral
spectral_band_0_500_mean,0.06828945802211768,spectral
mfcc_00_mean,0.06531873532677787,mfcc
prosody_f0_min,0.06530063330693126,prosody
mfcc_00_skew,0.06462516071367659,mfcc
mfcc_02_skew,0.06396252539950485,mfcc
spectral_zcr_median,0.06378511696663332,spectral
spectral_slope_std,0.06345295179601412,spectral
mfcc_06_std,0.06186301203433028,mfcc
spectral_contrast_1_std,0.0618345532122723,spectral
prosody_f5_median,0.06044728392218453,prosody
mfcc_d1_05_std,0.060027161893523376,mfcc
spectral_band_3000_4000_std,0.05979469686001844,spectral
spectral_centroid_iqr,0.05930465796443658,spectral
spectral_contrast_4_std,0.059281283652661734,spectral
mfcc_d2_08_std,0.059210088019233824,mfcc
spectral_entropy_mean,0.05446285242921986,spectral
mfcc_12_max,0.05434810540799564,mfcc
mfcc_09_median,0.05368387414175577,mfcc
mfcc_06_max,0.05321714434512039,mfcc
mfcc_03_min,0.05237943855042138,mfcc
mfcc_09_max,0.05181452570498006,mfcc
spectral_band_4000_5000_std,0.05171587473978256,spectral
mfcc_03_mean,0.05129500031461036,mfcc
mfcc_d2_07_std,0.05086501863042748,mfcc
spectral_band_500_1000_std,0.050003437287881106,spectral
mfcc_05_iqr,0.049911847197359575,mfcc
prosody_hnr_median,0.049574151414641075,prosody
mfcc_d2_19_mean,0.049527211107765035,mfcc
prosody_f4_std,0.04951587213658799,prosody
mfcc_06_median,0.049406845216071645,mfcc
mfcc_04_median,0.0486293647518976,mfcc
mfcc_05_max,0.0482787020642087,mfcc
prosody_f0_slope_abs_mean,0.0482142560607862,prosody
mfcc_08_mean,0.04753418094842963,mfcc
spectral_rms_std,0.046693192801575786,spectral
prosody_hnr_mean,0.046644375921268015,prosody
mfcc_04_min,0.04622081460807591,mfcc
mfcc_d1_01_std,0.0458883920346949,mfcc
prosody_jitter_ppq5,0.04576538495731031,prosody
prosody_f4_median,0.045709133961683,prosody
mfcc_04_std,0.04507565831161066,mfcc
mfcc_02_min,0.04482124336653185,mfcc
mfcc_05_min,0.04449869913976552,mfcc
spectral_band_1000_2000_mean,0.0442942191964066,spectral
spectral_rms_median,0.04387787851701564,spectral
prosody_hnr_min,0.04384990261595466,prosody
spectral_flatness_min,0.04359682624992056,spectral
spectral_flatness_iqr,0.04333963402136437,spectral
spectral_flux_min,0.04310502328282233,spectral
mfcc_19_median,0.04303803755903718,mfcc
peak_amplitude,0.04300385076202598,other
mfcc_11_skew,0.04237858989273118,mfcc
spectral_contrast_2_std,0.04156449678276603,spectral
prosody_f2_std,0.04141988213274109,prosody
prosody_voiced_rate_per_s,0.04100593173609544,prosody
mfcc_11_max,0.04057680944242736,mfcc
mfcc_d1_07_std,0.040525330345896914,mfcc
spectral_band_500_1000_mean,0.039831644470963094,spectral
mfcc_10_mean,0.039525387348602295,mfcc
mfcc_d1_10_mean,0.03950124169886492,mfcc
mfcc_d2_12_std,0.039205968370444974,mfcc
mfcc_d1_01_mean,0.03911188538397993,mfcc
mfcc_06_iqr,0.038749139306848555,mfcc
mfcc_03_skew,0.038325193734874974,mfcc
mfcc_13_mean,0.037954509288758445,mfcc
mfcc_02_iqr,0.0378841188540852,mfcc
mfcc_07_iqr,0.03779044522457191,mfcc
mfcc_d1_11_mean,0.03768183630379665,mfcc
mfcc_08_median,0.03762751482942253,mfcc
mfcc_05_std,0.037593999889666684,mfcc
chroma_06_std,0.03748858406960767,chroma
spectral_entropy_skew,0.037398253088787074,spectral
mfcc_d2_02_std,0.037262705137834126,mfcc
mfcc_18_median,0.037054282501629475,mfcc
mfcc_d2_06_std,0.03683614650110945,mfcc
mfcc_01_iqr,0.03670449271865889,mfcc
spectral_contrast_0_mean,0.03621510969209045,spectral
mfcc_04_max,0.03616342104516765,mfcc
mfcc_d1_09_std,0.03501199466020568,mfcc
prosody_f1_std,0.03491424784185704,prosody
prosody_f0_max,0.03466507539205105,prosody
mfcc_14_iqr,0.034664823146709836,mfcc
mfcc_05_mean,0.03390850604440019,mfcc
mfcc_03_iqr,0.03376130954125734,mfcc
mfcc_13_median,0.033440976909674486,mfcc
mfcc_08_skew,0.03319431547094552,mfcc
mfcc_06_min,0.03309683372342325,mfcc
prosody_intensity_mean,0.03300194614972907,prosody
spectral_rms_mean,0.03295888112520543,spectral
spectral_contrast_0_std,0.03283172078433644,spectral
mfcc_00_min,0.03279694224246654,mfcc
spectral_centroid_median,0.03272630909399035,spectral
mfcc_19_iqr,0.03256205836754335,mfcc
prosody_voiced_fraction,0.03252903416522953,prosody
spectral_entropy_iqr,0.03234282996016832,spectral
mfcc_04_mean,0.032178385462932634,mfcc
prosody_f2_mean,0.032032496098492465,prosody
mfcc_08_min,0.03196352007929485,mfcc
mfcc_d1_06_std,0.0316360139619562,mfcc
mfcc_17_std,0.0312771284068381,mfcc
mfcc_04_kurt,0.0310496042162505,mfcc
mfcc_d2_03_mean,0.030886603887644,mfcc
spectral_slope_median,0.03081021902072089,spectral
chroma_08_std,0.03075172324482652,chroma
mfcc_09_std,0.030727034856744235,mfcc
mfcc_08_max,0.030682571969234643,mfcc
spectral_bandwidth_max,0.030658096289548607,spectral
spectral_contrast_5_std,0.0305705086838042,spectral
mfcc_02_max,0.030559279470458,mfcc
spectral_slope_mean,0.030351552234130292,spectral
mfcc_05_median,0.03028711677417485,mfcc
mfcc_d1_04_std,0.03006968646654269,mfcc
mfcc_19_max,0.0297588828156216,mfcc
mfcc_11_std,0.029717083868000052,mfcc
mfcc_02_kurt,0.029700632696920852,mfcc
mfcc_15_min,0.02953325464578869,mfcc
mfcc_d1_06_mean,0.02952186277657457,mfcc
mfcc_d2_07_mean,0.02951177069885534,mfcc
prosody_f1_median,0.02948941941946986,prosody
spectral_contrast_2_mean,0.02933108495786543,spectral
mfcc_16_skew,0.02930519762002578,mfcc
mfcc_17_kurt,0.029292971545637495,mfcc
mfcc_07_min,0.02920117042618442,mfcc
mfcc_d2_10_std,0.029046455898087815,mfcc
prosody_f4_mean,0.02888303323355412,prosody
mfcc_d1_02_mean,0.028697218895632134,mfcc
mfcc_d2_05_std,0.028586031351636162,mfcc
spectral_centroid_std,0.02841806033040262,spectral
mfcc_15_skew,0.028131148250026272,mfcc
chroma_07_mean,0.02798347700015474,chroma
mfcc_01_median,0.027925268111586795,mfcc
mfcc_06_mean,0.027865308448211706,mfcc
mfcc_d1_14_mean,0.02780643736943897,mfcc
mfcc_12_skew,0.027790191479834882,mfcc
mfcc_d2_02_mean,0.027686520258829374,mfcc
mfcc_d1_03_mean,0.02763983292892597,mfcc
spectral_contrast_6_mean,0.027613615880009865,spectral
mfcc_15_iqr,0.0275623853846728,mfcc
prosody_pause_fraction,0.027528448455666942,prosody
mfcc_09_skew,0.027524302100587313,mfcc
prosody_mean_voiced_seg_s,0.027408575768921216,prosody
mfcc_d1_04_mean,0.027364590406580354,mfcc
mfcc_06_skew,0.027338326186572913,mfcc
spectral_band_3000_4000_mean,0.02725019043406498,spectral
mfcc_03_median,0.027006969713180607,mfcc
mfcc_d2_14_std,0.026991969931021056,mfcc
mfcc_07_median,0.026860748374794463,mfcc
mfcc_18_min,0.026771645297601544,mfcc
mfcc_d1_09_mean,0.02669784539210129,mfcc
mfcc_19_kurt,0.026696216900519223,mfcc
spectral_entropy_min,0.02661095942995439,spectral
spectral_entropy_std,0.026599008404716493,spectral
mfcc_14_skew,0.02657096602888865,mfcc
mfcc_09_min,0.026513222615033645,mfcc
prosody_hnr_std,0.026501676272905877,prosody
mfcc_13_min,0.026329900888463473,mfcc
mfcc_19_mean,0.026316356194972915,mfcc
mfcc_d2_15_std,0.026129725496683433,mfcc
prosody_f5_mean,0.026104640977745428,prosody
prosody_intensity_median,0.02609395200721456,prosody
mfcc_12_median,0.02609354872175462,mfcc
mfcc_d2_19_std,0.026082339071758914,mfcc
mfcc_09_iqr,0.025963863765928793,mfcc
spectral_flatness_kurt,0.025766954086032044,spectral
mfcc_07_std,0.02564601463107253,mfcc
prosody_f3_std,0.025516628898402883,prosody
mfcc_d1_13_std,0.025354729559185402,mfcc
chroma_06_mean,0.025150149284841553,chroma
mfcc_d1_17_mean,0.02501340556294825,mfcc
mfcc_00_max,0.024701037504489,mfcc
mfcc_01_max,0.024698123545884607,mfcc
mfcc_d1_14_std,0.024669075540715006,mfcc
mfcc_d1_08_std,0.024646772783107434,mfcc
mfcc_10_min,0.024603582495341208,mfcc
chroma_03_mean,0.024480916708280166,chroma
mfcc_d2_08_mean,0.024281698811356264,mfcc
mfcc_d2_16_mean,0.024263375832394962,mfcc
chroma_00_mean,0.024166128269317712,chroma
prosody_shimmer_apq11,0.024063402247931586,prosody
spectral_band_4000_5000_mean,0.023800157924464722,spectral
spectral_rms_min,0.02379635865906191,spectral
mfcc_18_kurt,0.02366135731623837,mfcc
prosody_f5_std,0.02354493301894074,prosody
chroma_05_mean,0.023472633730291882,chroma
mfcc_d1_00_mean,0.023192329344993823,mfcc
mfcc_10_kurt,0.023162826174265527,mfcc
mfcc_11_kurt,0.023136566855102368,mfcc
mfcc_d2_12_mean,0.023060515001107926,mfcc
mfcc_04_iqr,0.022876821007192117,mfcc
mfcc_16_max,0.022837316923504606,mfcc
mfcc_d2_18_mean,0.022831244004417516,mfcc
chroma_10_std,0.022726823276994906,chroma
spectral_rolloff95_iqr,0.022663738662241587,spectral
mfcc_14_kurt,0.022613813941755753,mfcc
mfcc_17_min,0.02257483087395314,mfcc
mfcc_15_max,0.022453190026632208,mfcc
mfcc_16_median,0.022295871996120185,mfcc
mfcc_18_iqr,0.022255281945214794,mfcc
mfcc_d2_15_mean,0.022138465112120198,mfcc
mfcc_d2_13_std,0.02208395795831708,mfcc
prosody_jitter_local,0.021994641396770934,prosody
prosody_shimmer_localdb,0.021942076982869978,prosody
mfcc_d1_05_mean,0.02187042252745698,mfcc
mfcc_16_kurt,0.0218056872796859,mfcc
prosody_intensity_skew,0.021602987775833162,prosody
prosody_f0_kurt,0.02159867696666174,prosody
spectral_contrast_3_std,0.021363627053255587,spectral
