feature,importance,family
mfcc_d1_00_std,0.397289973470476,mfcc
duration_s,0.28768821416068047,other
mfcc_d2_00_std,0.27444789810539844,mfcc
prosody_intensity_std,0.23977481770251455,prosody
mfcc_00_std,0.17899742176032882,mfcc
spectral_flux_std,0.1643702335047663,spectral
prosody_intensity_iqr,0.16099248219529042,prosody
mfcc_00_iqr,0.15722810314501992,mfcc
mfcc_03_std,0.15504292885510831,mfcc
prosody_intensity_min,0.1539675158642609,prosody
mfcc_d1_01_mean,0.15057174368558093,mfcc
prosody_f0_mean,0.14270449084281278,prosody
prosody_f0_median,0.140807191511052,prosody
mfcc_00_kurt,0.13155489108440943,mfcc
spectral_contrast_1_mean,0.12858867825857265,spectral
prosody_cpps,0.1274956949699903,prosody
prosody_f1_bw_median,0.12131576910648734,prosody
mfcc_d1_02_std,0.12003633267972977,mfcc
prosody_f0_skew,0.11902498944157007,prosody
mfcc_03_max,0.10716124700161814,mfcc
prosody_f0_iqr,0.10714383800021589,prosody
mfcc_02_median,0.08993335239449073,mfcc
mfcc_02_std,0.08927584546045633,mfcc
mfcc_d2_01_std,0.08921403101272207,mfcc
prosody_f3_bw_median,0.086875563621115,prosody
mfcc_00_skew,0.0867164252603557,mfcc
spectral_band_1000_2000_std,0.08466686705416474,spectral
mfcc_09_mean,0.08349439136917582,mfcc
mfcc_d1_03_std,0.0834189849834394,mfcc
prosody_f0_std,0.0818583329759495,prosody
mfcc_d2_03_std,0.08050496147906733,mfcc
spectral_entropy_median,0.08021306926368764,spectral
spectral_flux_iqr,0.07873237145259408,spectral
prosody_intensity_kurt,0.07792043722936806,prosody
mfcc_d2_04_std,0.07588106325891052,mfcc
mfcc_10_median,0.07416236548664963,mfcc
spectral_band_0_500_std,0.07400619692483672,spectral
mfcc_00_median,0.07361318102790437,mfcc
mfcc_d2_09_std,0.07224392253023322,mfcc
spectral_band_2000_3000_mean,0.07222674196370057,spectral
spectral_band_0_500_mean,0.06932893743795364,spectral
mfcc_d1_02_mean,0.06918149781979299,mfcc
spectral_band_2000_3000_std,0.06653540201872873,spectral
mfcc_d1_00_mean,0.06650023237246044,mfcc
mfcc_00_mean,0.06539260436581933,mfcc
spectral_zcr_median,0.064991262932542,spectral
mfcc_d2_08_std,0.06468457394665533,mfcc
prosody_f0_min,0.06429850235379252,prosody
spectral_contrast_1_std,0.06267322169402777,spectral
spectral_flux_min,0.06117637591238301,spectral
spectral_contrast_4_std,0.060572538358595766,spectral
spectral_centroid_iqr,0.05992139007177936,spectral
mfcc_02_skew,0.05983212998860299,mfcc
spectral_slope_std,0.05915538725194447,spectral
prosody_f5_median,0.05822408888556634,prosody
mfcc_06_std,0.05740197488321926,mfcc
mfcc_d1_05_std,0.0568275985739155,mfcc
mfcc_03_min,0.05656925375505771,mfcc
spectral_band_3000_4000_std,0.05651507721963513,spectral
mfcc_09_median,0.05572380406888524,mfcc
spectral_entropy_skew,0.05549555761163963,spectral
spectral_entropy_mean,0.05507451067357814,spectral
mfcc_03_mean,0.05456319671429493,mfcc
mfcc_12_max,0.05274433377834297,mfcc
mfcc_09_max,0.05258743183273572,mfcc
mfcc_06_max,0.05190385075391086,mfcc
prosody_hnr_median,0.05056780748182697,prosody
mfcc_04_min,0.05052952367237549,mfcc
mfcc_d1_01_std,0.05035822821648935,mfcc
mfcc_05_max,0.049895976555283786,mfcc
spectral_rms_std,0.04943415313520527,spectral
mfcc_d2_07_std,0.04866889789951348,mfcc
prosody_f4_std,0.04864569784562116,prosody
mfcc_04_median,0.048168524889542916,mfcc
mfcc_05_iqr,0.04791610222826912,mfcc
prosody_f0_slope_abs_mean,0.0475292893317791,prosody
mfcc_06_median,0.04739110237152355,mfcc
mfcc_08_mean,0.04663778824180743,mfcc
prosody_jitter_ppq5,0.04659307413015444,prosody
prosody_f4_median,0.046315781472383584,prosody
prosody_hnr_mean,0.046307688963645746,prosody
mfcc_d2_19_mean,0.046211857724803476,mfcc
mfcc_d1_03_mean,0.045751108426080975,mfcc
mfcc_04_std,0.04506446676216991,mfcc
mfcc_02_min,0.04451851120909333,mfcc
mfcc_05_min,0.04426933600097563,mfcc
prosody_voiced_rate_per_s,0.04400922351293921,prosody
mfcc_19_median,0.043839460230518386,mfcc
spectral_band_500_1000_std,0.04333667564348627,spectral
spectral_rms_median,0.04270991275651316,spectral
prosody_hnr_min,0.04263282527656606,prosody
spectral_band_4000_5000_std,0.042466580310884065,spectral
mfcc_11_skew,0.04221115934105119,mfcc
spectral_flatness_iqr,0.042016341636554,spectral
mfcc_10_mean,0.04193770312660046,mfcc
mfcc_d2_12_std,0.041936898069200805,mfcc
peak_amplitude,0.04187149240654761,other
spectral_band_1000_2000_mean,0.041546233226120194,spectral
spectral_contrast_2_std,0.041309949420291876,spectral
spectral_flatness_min,0.041122217667477805,spectral
mfcc_11_max,0.04064334973506006,mfcc
mfcc_06_iqr,0.04036391828295915,mfcc
mfcc_d1_07_std,0.03969024292451398,mfcc
prosody_f2_std,0.03956207633413789,prosody
mfcc_07_iqr,0.039248542517373225,mfcc
mfcc_05_std,0.039093468756752396,mfcc
mfcc_04_max,0.03793683018145434,mfcc
spectral_band_500_1000_mean,0.03756062759523081,spectral
mfcc_03_skew,0.03690273075383937,mfcc
mfcc_d1_10_mean,0.036797345269514,mfcc
mfcc_18_median,0.036775229130113544,mfcc
mfcc_13_mean,0.03653213100227749,mfcc
mfcc_08_median,0.036502169843658186,mfcc
mfcc_02_iqr,0.0364840386607533,mfcc
mfcc_d1_11_mean,0.03632309756296636,mfcc
mfcc_d2_03_mean,0.035861404213328264,mfcc
mfcc_d2_06_std,0.03584282697524061,mfcc
spectral_flatness_kurt,0.035204540900504455,spectral
prosody_f1_std,0.03508796987229375,prosody
mfcc_01_iqr,0.03488063597449853,mfcc
mfcc_14_iqr,0.03469094911223379,mfcc
mfcc_d2_02_std,0.03410980791582251,mfcc
mfcc_04_mean,0.03409576256633379,mfcc
chroma_06_std,0.03385522832719956,chroma
mfcc_08_skew,0.03371254870479709,mfcc
mfcc_00_min,0.033645345686315775,mfcc
chroma_08_std,0.033634483124659345,chroma
mfcc_d1_09_std,0.0334984489207474,mfcc
spectral_contrast_0_mean,0.03338612845990578,spectral
mfcc_06_min,0.03336938238336346,mfcc
spectral_contrast_0_std,0.033302967766554885,spectral
mfcc_13_median,0.033175949116924223,mfcc
prosody_voiced_fraction,0.032883307337164,prosody
mfcc_03_iqr,0.03276516957323904,mfcc
mfcc_05_mean,0.03273556654861353,mfcc
mfcc_d2_02_mean,0.03261916789813009,mfcc
mfcc_d2_00_mean,0.03250525296181008,mfcc
prosody_f0_max,0.03230808747777195,prosody
prosody_f2_mean,0.03225138222976434,prosody
spectral_rms_mean,0.03205723409991435,spectral
mfcc_02_max,0.03187847117088895,mfcc
mfcc_08_max,0.03175526143177412,mfcc
mfcc_08_min,0.03156381516889516,mfcc
mfcc_17_std,0.03152637857884867,mfcc
spectral_centroid_median,0.03151953822062141,spectral
mfcc_d1_06_std,0.031444567655955186,mfcc
spectral_bandwidth_max,0.030712051888366513,spectral
mfcc_04_kurt,0.03060215601081055,mfcc
prosody_intensity_mean,0.03030138567877395,prosody
mfcc_11_std,0.030239293176808336,mfcc
mfcc_05_median,0.02979704181204139,mfcc
mfcc_09_min,0.02978353859902307,mfcc
mfcc_19_iqr,0.029764867882367707,mfcc
spectral_slope_median,0.02967897884170236,spectral
spectral_contrast_2_mean,0.02937554489164184,spectral
