feature,importance,kind,family
prosody_cpps,0.7638175680817761,mean |coefficient|,prosody
mfcc_04_std,0.7132893462153498,mean |coefficient|,mfcc
mfcc_01_mean,0.7100429061854613,mean |coefficient|,mfcc
prosody_intensity_std,0.6905693891905643,mean |coefficient|,prosody
spectral_rms_mean,0.667878845099926,mean |coefficient|,spectral
mfcc_04_mean,0.6644143736633931,mean |coefficient|,mfcc
prosody_f1_mean,0.6479054852231153,mean |coefficient|,prosody
spectral_entropy_mean,0.6126156091157666,mean |coefficient|,spectral
prosody_f2_mean,0.5855870762238636,mean |coefficient|,prosody
spectral_flatness_mean,0.5854074393167529,mean |coefficient|,spectral
mfcc_d2_00_std,0.5821943255497737,mean |coefficient|,mfcc
spectral_rolloff95_mean,0.5700167406046163,mean |coefficient|,spectral
prosody_f0_mean,0.5677387245038718,mean |coefficient|,prosody
spectral_bandwidth_median,0.5674646479214704,mean |coefficient|,spectral
spectral_rolloff95_std,0.5598996768088024,mean |coefficient|,spectral
mfcc_02_std,0.5544314988125086,mean |coefficient|,mfcc
mfcc_02_iqr,0.5453937913088452,mean |coefficient|,mfcc
mfcc_02_mean,0.5384591405237397,mean |coefficient|,mfcc
spectral_slope_median,0.5360257110603267,mean |coefficient|,spectral
mfcc_00_std,0.5323100452224331,mean |coefficient|,mfcc
mfcc_d1_02_std,0.524835371668539,mean |coefficient|,mfcc
prosody_intensity_kurt,0.5212469029103586,mean |coefficient|,prosody
spectral_rms_median,0.5108061752664348,mean |coefficient|,spectral
spectral_zcr_std,0.5025994821858274,mean |coefficient|,spectral
mfcc_17_std,0.5016714398246034,mean |coefficient|,mfcc
spectral_rolloff95_iqr,0.5000087287939196,mean |coefficient|,spectral
mfcc_00_skew,0.4977855442849712,mean |coefficient|,mfcc
mfcc_11_mean,0.48689487870639603,mean |coefficient|,mfcc
spectral_bandwidth_iqr,0.48571880806271306,mean |coefficient|,spectral
mfcc_02_median,0.4758161483694436,mean |coefficient|,mfcc
spectral_rolloff85_std,0.4679086965382337,mean |coefficient|,spectral
spectral_zcr_iqr,0.4643813126031214,mean |coefficient|,spectral
spectral_contrast_2_mean,0.4572497988953839,mean |coefficient|,spectral
mfcc_03_std,0.454887349810522,mean |coefficient|,mfcc
mfcc_00_iqr,0.4539706126911128,mean |coefficient|,mfcc
spectral_centroid_std,0.45118864766659833,mean |coefficient|,spectral
chroma_02_mean,0.45025966676432483,mean |coefficient|,chroma
mfcc_12_std,0.4492513545144445,mean |coefficient|,mfcc
prosody_intensity_iqr,0.44381905719556286,mean |coefficient|,prosody
mfcc_00_median,0.44350699951719647,mean |coefficient|,mfcc
mfcc_d1_01_std,0.44256624901755526,mean |coefficient|,mfcc
spectral_centroid_mean,0.43884313689438564,mean |coefficient|,spectral
prosody_f0_median,0.43313970018377357,mean |coefficient|,prosody
mfcc_d1_00_std,0.4273949843048623,mean |coefficient|,mfcc
mfcc_16_std,0.4231320754739138,mean |coefficient|,mfcc
mfcc_11_median,0.4197474208196632,mean |coefficient|,mfcc
mfcc_00_mean,0.417986791327237,mean |coefficient|,mfcc
spectral_centroid_iqr,0.41434875133189114,mean |coefficient|,spectral
chroma_11_mean,0.41127104995663394,mean |coefficient|,chroma
spectral_band_3000_4000_mean,0.4057602206291305,mean |coefficient|,spectral
prosody_intensity_median,0.40533806170214376,mean |coefficient|,prosody
mfcc_15_mean,0.4035149974170528,mean |coefficient|,mfcc
prosody_jitter_local,0.40215797741695214,mean |coefficient|,prosody
spectral_zcr_median,0.4015882147007061,mean |coefficient|,spectral
mfcc_09_mean,0.3961718908545094,mean |coefficient|,mfcc
mfcc_17_mean,0.3946075876077282,mean |coefficient|,mfcc
spectral_band_1000_2000_std,0.39409909849323127,mean |coefficient|,spectral
spectral_flatness_iqr,0.392471267950776,mean |coefficient|,spectral
prosody_f3_mean,0.3896153064360986,mean |coefficient|,prosody
spectral_bandwidth_std,0.3887462893597657,mean |coefficient|,spectral
prosody_f1_median,0.38645821733005786,mean |coefficient|,prosody
spectral_band_4000_5000_std,0.38564263208183697,mean |coefficient|,spectral
prosody_intensity_min,0.38196041239213957,mean |coefficient|,prosody
mfcc_14_mean,0.379754082001422,mean |coefficient|,mfcc
prosody_hnr_mean,0.3788524351916121,mean |coefficient|,prosody
spectral_rolloff95_median,0.37678423205688266,mean |coefficient|,spectral
spectral_band_1000_2000_mean,0.3747171365800673,mean |coefficient|,spectral
prosody_f5_median,0.37167933347530285,mean |coefficient|,prosody
mfcc_d1_19_std,0.37064847565899317,mean |coefficient|,mfcc
spectral_rolloff85_max,0.36746914352955784,mean |coefficient|,spectral
spectral_flatness_median,0.36731265897204485,mean |coefficient|,spectral
spectral_rms_skew,0.3654850344458307,mean |coefficient|,spectral
prosody_f1_std,0.36418034268782845,mean |coefficient|,prosody
spectral_hf_ratio_4000_std,0.3617145307941911,mean |coefficient|,spectral
prosody_f2_std,0.3605984608923338,mean |coefficient|,prosody
mfcc_18_mean,0.35887123859599024,mean |coefficient|,mfcc
mfcc_05_mean,0.35825973541685524,mean |coefficient|,mfcc
spectral_flux_skew,0.35783474954375866,mean |coefficient|,spectral
mfcc_d1_03_std,0.35641584008556265,mean |coefficient|,mfcc
chroma_07_mean,0.3525751808162258,mean |coefficient|,chroma
prosody_f1_bw_median,0.3495887567795166,mean |coefficient|,prosody
spectral_rolloff95_max,0.3482640286553378,mean |coefficient|,spectral
mfcc_04_min,0.3455579836331443,mean |coefficient|,mfcc
prosody_hnr_median,0.34519621005371515,mean |coefficient|,prosody
chroma_04_mean,0.34386770879959844,mean |coefficient|,chroma
mfcc_06_min,0.3416318168609706,mean |coefficient|,mfcc
spectral_band_500_1000_std,0.3401910857786781,mean |coefficient|,spectral
mfcc_17_max,0.3394856534197659,mean |coefficient|,mfcc
spectral_rms_std,0.33818331550134445,mean |coefficient|,spectral
spectral_contrast_5_std,0.3372559973263301,mean |coefficient|,spectral
