feature,importance,family
spectral_rms_mean,0.015159321833150443,spectral
mfcc_d2_00_std,0.013903761896324874,mfcc
duration_s,0.011125752364685429,other
prosody_intensity_std,0.011119800664558676,prosody
spectral_rms_median,0.010407674443152933,spectral
spectral_slope_median,0.00842216305777759,spectral
chroma_04_mean,0.008197670706681292,chroma
prosody_f1_mean,0.008170079783956372,prosody
mfcc_04_mean,0.007753337068629241,mfcc
spectral_bandwidth_kurt,0.00774729617410748,spectral
spectral_band_4000_5000_std,0.006916223987203609,spectral
spectral_flatness_mean,0.00677554920022636,spectral
spectral_centroid_iqr,0.006736739168023383,spectral
spectral_zcr_iqr,0.006493742159204637,spectral
spectral_band_1000_2000_std,0.006445290938320872,spectral
mfcc_00_skew,0.0062730298217756435,mfcc
mfcc_11_mean,0.0062086121025052695,mfcc
prosody_intensity_iqr,0.00618199712809064,prosody
spectral_rms_skew,0.00593039185439763,spectral
mfcc_d1_00_std,0.005556426083468652,mfcc
mfcc_d1_01_std,0.0054658894300244395,mfcc
mfcc_18_std,0.005425643283495143,mfcc
mfcc_04_std,0.005369081692595302,mfcc
prosody_f2_mean,0.005363543333102452,prosody
prosody_f1_std,0.005345859475702492,prosody
spectral_zcr_median,0.005265670699540198,spectral
prosody_hnr_median,0.005025661004761172,prosody
mfcc_09_mean,0.004907681419744984,mfcc
mfcc_15_min,0.004861576122925479,mfcc
spectral_flatness_max,0.004858140346451776,spectral
mfcc_01_mean,0.004790681297245103,mfcc
spectral_entropy_mean,0.004774830333101856,spectral
prosody_cpps,0.004761400930996838,prosody
chroma_02_mean,0.004715144651286696,chroma
spectral_rolloff85_median,0.004685720846824431,spectral
mfcc_02_median,0.004633590542064836,mfcc
mfcc_12_iqr,0.004558773149799911,mfcc
mfcc_16_median,0.004329549565354618,mfcc
mfcc_d2_12_std,0.004317075144145043,mfcc
mfcc_03_std,0.004259459001045272,mfcc
spectral_rms_max,0.004178741512227211,spectral
mfcc_09_min,0.004123013446651823,mfcc
mfcc_16_kurt,0.004114242801263604,mfcc
mfcc_00_median,0.004068574070852224,mfcc
mfcc_14_median,0.004059831059705047,mfcc
spectral_entropy_min,0.004024827646451184,spectral
spectral_slope_kurt,0.0039236887503779445,spectral
prosody_shimmer_local,0.00388605270061128,prosody
mfcc_02_kurt,0.003871834060091008,mfcc
spectral_rolloff95_iqr,0.0038534485292348996,spectral
mfcc_01_min,0.0038162506322312775,mfcc
mfcc_15_kurt,0.0037945959612020676,mfcc
spectral_bandwidth_median,0.0037425705834040752,spectral
mfcc_14_mean,0.0036570423603899506,mfcc
chroma_01_std,0.003656277122630854,chroma
prosody_intensity_median,0.00363076983184502,prosody
prosody_jitter_ddp,0.0036144126717771795,prosody
spectral_slope_mean,0.0035503758101927334,spectral
prosody_voiced_rate_per_s,0.0035353119365214227,prosody
prosody_jitter_local,0.003500947799301349,prosody
spectral_band_500_1000_std,0.0034598784513492306,spectral
mfcc_00_std,0.003426668439719743,mfcc
mfcc_06_min,0.0034142129229767825,mfcc
prosody_jitter_rap,0.0033811741924626502,prosody
spectral_flux_mean,0.003373811498599979,spectral
mfcc_00_max,0.003360663348745454,mfcc
spectral_flatness_median,0.003344894129572282,spectral
mfcc_d1_03_std,0.003340916665355023,mfcc
prosody_hnr_mean,0.003337137311943352,prosody
mfcc_d1_17_std,0.0033169755252498456,mfcc
mfcc_00_kurt,0.0032860033786635823,mfcc
mfcc_d1_16_std,0.003278676640692251,mfcc
mfcc_d2_19_std,0.0032783661716706243,mfcc
prosody_f0_iqr,0.0032694203079944454,prosody
spectral_zcr_max,0.0032533202961364444,spectral
prosody_intensity_min,0.003250300699641669,prosody
prosody_intensity_max,0.0032427699263096435,prosody
mfcc_17_mean,0.003228720898912163,mfcc
prosody_f1_median,0.0032126820238402164,prosody
prosody_f0_slope_abs_mean,0.0031842177195426894,prosody
mfcc_d2_07_std,0.0031234176680741614,mfcc
spectral_rms_iqr,0.0031086784582304416,spectral
mfcc_d2_18_std,0.003095829583410195,mfcc
mfcc_d1_09_std,0.003092276310900179,mfcc
mfcc_11_median,0.00306350565063864,mfcc
prosody_f2_median,0.0030399422519001343,prosody
mfcc_19_std,0.003039155619190965,mfcc
spectral_band_2000_3000_std,0.0030144046822818665,spectral
spectral_rolloff95_mean,0.0029952318052024205,spectral
mfcc_17_std,0.0029785386393114915,mfcc
mfcc_17_iqr,0.0029700162214775596,mfcc
mfcc_02_mean,0.002963798501629876,mfcc
mfcc_06_max,0.0029178416127390795,mfcc
mfcc_d2_07_mean,0.0028961244363978973,mfcc
spectral_centroid_min,0.002891102223330998,spectral
prosody_f0_skew,0.002880779219086886,prosody
prosody_shimmer_dda,0.0028796678019460736,prosody
mfcc_14_min,0.002879071114351559,mfcc
mfcc_d1_05_std,0.0028259986427740563,mfcc
mfcc_d1_14_std,0.0028245579885269306,mfcc
spectral_zcr_min,0.0028226551621254917,spectral
spectral_band_4000_5000_mean,0.002818093217607098,spectral
spectral_contrast_5_mean,0.002802336054682138,spectral
mfcc_d2_10_std,0.0027943548901729403,mfcc
chroma_07_std,0.0027879865800580408,chroma
spectral_bandwidth_mean,0.002765184836133997,spectral
spectral_flatness_iqr,0.002759359984117423,spectral
