feature,importance,std,family
spectral_rms_mean,0.04130704365079363,0.006467070363972902,spectral
mfcc_00_std,0.03768601190476187,0.006862548115068397,mfcc
mfcc_00_skew,0.03606150793650789,0.006519185798717986,mfcc
spectral_flatness_mean,0.030840773809523755,0.003757890643052893,spectral
prosody_intensity_std,0.030605158730158732,0.005593294087030996,prosody
prosody_intensity_iqr,0.02984871031746031,0.003616420981373996,prosody
mfcc_02_median,0.027728174603174616,0.004530755162987615,mfcc
mfcc_04_std,0.02751736111111107,0.004572093747032605,mfcc
mfcc_04_mean,0.027046130952380967,0.006198399976074529,mfcc
spectral_rms_median,0.026525297619047566,0.00722674803072804,spectral
prosody_cpps,0.024541170634920603,0.0025510394767727447,prosody
mfcc_01_mean,0.023449900793650766,0.006762231348276886,mfcc
mfcc_d2_00_std,0.022854662698412728,0.00592294671446767,mfcc
spectral_rolloff95_mean,0.020696924603174585,0.005506385274523901,spectral
mfcc_00_mean,0.02046130952380952,0.005346051035711326,mfcc
mfcc_00_median,0.0193080357142857,0.005634697394380452,mfcc
chroma_10_mean,0.019060019841269857,0.003730619608844457,chroma
prosody_f2_mean,0.018973214285714288,0.0039944417390846395,prosody
spectral_entropy_mean,0.0177827380952381,0.004986229442787664,spectral
mfcc_02_std,0.017658730158730138,0.006637008564447952,mfcc
spectral_rolloff95_std,0.01649305555555558,0.005297969695160737,spectral
spectral_hf_ratio_4000_std,0.01582341269841271,0.005279185499694674,spectral
prosody_f1_mean,0.01422371031746028,0.006067207896447468,prosody
mfcc_d1_02_std,0.013442460317460297,0.004386166148613753,mfcc
spectral_zcr_std,0.013355654761904728,0.005115849690746527,spectral
mfcc_d1_00_std,0.01312003968253972,0.0027843026753469093,mfcc
spectral_entropy_std,0.013045634920634944,0.0052922193960857665,spectral
duration_s,0.013033234126984108,0.0042101196682723125,other
spectral_rolloff95_iqr,0.012648809523809507,0.004030391481303975,spectral
mfcc_02_iqr,0.012562003968253965,0.0038184578902643765,mfcc
prosody_f0_mean,0.012276785714285698,0.0054146471866266255,prosody
prosody_f3_mean,0.01178075396825401,0.0027710155430857347,prosody
mfcc_11_median,0.011557539682539683,0.0030777960431525304,mfcc
mfcc_05_mean,0.011098710317460306,0.0035387050428342757,mfcc
