feature,importance,family
spectral_contrast_6_mean,11.77352380122751,spectral
spectral_flatness_mean,0.6774867277730516,spectral
prosody_cpps,0.6166984484861231,prosody
mfcc_04_std,0.6142321617019159,mfcc
spectral_flatness_median,0.6136458420623345,spectral
prosody_intensity_std,0.5791623355397593,prosody
mfcc_01_mean,0.5414575925219061,mfcc
mfcc_04_mean,0.5354175487529558,mfcc
spectral_entropy_mean,0.5184656552727503,spectral
prosody_f1_mean,0.5102476634697084,prosody
spectral_rms_mean,0.5018227424530719,spectral
prosody_f2_mean,0.47365347029605875,prosody
spectral_rolloff95_mean,0.4708176134152199,spectral
mfcc_d2_00_std,0.4698298572409927,mfcc
spectral_rolloff95_std,0.45728704883468635,spectral
mfcc_00_std,0.45142737703290914,mfcc
spectral_bandwidth_median,0.446181730625565,spectral
mfcc_02_std,0.44233049032409827,mfcc
mfcc_d1_02_std,0.4200708682498902,mfcc
mfcc_02_iqr,0.4195602262995086,mfcc
spectral_slope_median,0.4127192992085411,spectral
mfcc_11_mean,0.40702473927195254,mfcc
prosody_f0_mean,0.4038687334690459,prosody
mfcc_02_mean,0.40298647073452615,mfcc
mfcc_00_skew,0.399530693514595,mfcc
spectral_rms_median,0.3941060177709725,spectral
spectral_contrast_6_std,0.3893032645742627,spectral
spectral_flatness_max,0.38884801820554216,spectral
mfcc_00_iqr,0.3813025041161109,mfcc
mfcc_d1_01_std,0.37901174588608233,mfcc
spectral_rolloff85_std,0.3777326829081539,spectral
spectral_rolloff95_iqr,0.3776831725110867,spectral
spectral_zcr_std,0.37558106934732666,spectral
prosody_intensity_iqr,0.37347416453190346,prosody
mfcc_11_median,0.3717163296174158,mfcc
mfcc_03_std,0.3686165289241247,mfcc
mfcc_05_mean,0.3590209851012111,mfcc
mfcc_d1_00_std,0.35310941533717116,mfcc
mfcc_17_mean,0.34843001909748067,mfcc
mfcc_09_mean,0.3484143311715985,mfcc
spectral_bandwidth_iqr,0.3396370414461734,spectral
spectral_centroid_std,0.33862962855875817,spectral
mfcc_15_mean,0.33851806230563053,mfcc
spectral_contrast_2_mean,0.33656822017584187,spectral
mfcc_02_median,0.336468172895697,mfcc
prosody_jitter_local,0.33205409509560774,prosody
chroma_11_mean,0.3318406484310621,chroma
mfcc_18_mean,0.3295475338065968,mfcc
spectral_centroid_mean,0.32876380139012845,spectral
prosody_intensity_median,0.32835783954194464,prosody
prosody_f1_median,0.32485539941673963,prosody
spectral_bandwidth_std,0.32414744053677036,spectral
mfcc_00_mean,0.32175190375412593,mfcc
prosody_f0_median,0.31834803555498914,prosody
mfcc_00_median,0.3177835018227403,mfcc
chroma_02_mean,0.3171314726484181,chroma
spectral_zcr_median,0.310831840220255,spectral
spectral_band_1000_2000_std,0.3062465059450001,spectral
