feature,importance,family
mfcc_00_skew,0.9817637839387485,mfcc
mfcc_00_kurt,0.6117179072892915,mfcc
prosody_cpps,0.6091252647193275,prosody
mfcc_04_std,0.6076508371430596,mfcc
prosody_intensity_std,0.5761641003217739,prosody
spectral_flatness_max,0.529136453805612,spectral
mfcc_04_mean,0.5289753121624065,mfcc
spectral_entropy_mean,0.5286432269434791,spectral
spectral_rms_mean,0.5228662264209234,spectral
mfcc_01_mean,0.5164053807114474,mfcc
prosody_f1_mean,0.515571793721391,prosody
mfcc_d1_01_mean,0.47450368974029206,mfcc
prosody_f2_mean,0.4729424765827772,prosody
spectral_rolloff95_mean,0.4583910652137355,spectral
spectral_flatness_mean,0.45621924904107597,spectral
spectral_bandwidth_median,0.43919935053055154,spectral
spectral_slope_median,0.427257025108815,spectral
mfcc_02_mean,0.42503750932664386,mfcc
mfcc_02_std,0.4228136327952668,mfcc
spectral_rms_median,0.41235236714091467,spectral
spectral_rolloff95_std,0.41082310025237295,spectral
prosody_f0_mean,0.40558454342898925,prosody
mfcc_02_iqr,0.4008292002394939,mfcc
mfcc_00_min,0.4007566250437344,mfcc
mfcc_d2_00_std,0.39858361382184565,mfcc
mfcc_d1_02_std,0.3922164289918085,mfcc
prosody_intensity_kurt,0.38927213683525064,prosody
spectral_rolloff95_iqr,0.38750388486946236,spectral
mfcc_00_iqr,0.38257688168661697,mfcc
mfcc_00_std,0.37925361419581666,mfcc
prosody_intensity_iqr,0.37675658212228047,prosody
mfcc_d1_01_std,0.37459360546291415,mfcc
mfcc_03_std,0.3642759640525906,mfcc
prosody_intensity_min,0.36283879879279296,prosody
mfcc_02_median,0.3610504789916335,mfcc
spectral_zcr_std,0.35798684939382935,spectral
spectral_bandwidth_iqr,0.3550605874701619,spectral
spectral_flatness_kurt,0.3512529844490084,spectral
spectral_entropy_skew,0.3443977058952562,spectral
spectral_rolloff85_std,0.3437716800616738,spectral
prosody_intensity_median,0.33831722246515605,prosody
prosody_jitter_local,0.33785340152131227,prosody
spectral_contrast_2_mean,0.33622467263759886,spectral
prosody_f1_median,0.32750407138523124,prosody
mfcc_05_mean,0.32704402326213483,mfcc
chroma_11_mean,0.3268724081021274,chroma
mfcc_00_median,0.3260418821591318,mfcc
spectral_centroid_mean,0.3205933661600573,spectral
mfcc_d1_00_mean,0.32047297218064796,mfcc
prosody_f0_median,0.3183272560073595,prosody
spectral_centroid_std,0.31762232678686164,spectral
mfcc_11_mean,0.3175757417764157,mfcc
spectral_entropy_kurt,0.31748831407086037,spectral
mfcc_00_mean,0.31648728834263773,mfcc
spectral_zcr_median,0.31472869957404875,spectral
mfcc_09_mean,0.3135982789718979,mfcc
chroma_02_mean,0.3115136694626987,chroma
mfcc_18_mean,0.30438843097137713,mfcc
mfcc_d1_00_std,0.3034235217613153,mfcc
mfcc_17_std,0.3023433766482761,mfcc
mfcc_17_mean,0.30117619184107036,mfcc
spectral_rms_skew,0.30117126744657874,spectral
spectral_flatness_skew,0.30046911977320545,spectral
mfcc_04_min,0.3004384981382536,mfcc
spectral_flatness_std,0.30040262371432613,spectral
mfcc_15_mean,0.2992816437032186,mfcc
prosody_hnr_mean,0.29765018720841685,prosody
spectral_zcr_iqr,0.29674217757439175,spectral
spectral_bandwidth_std,0.29653116540055874,spectral
spectral_band_1000_2000_std,0.29306772933537356,spectral
spectral_band_3000_4000_mean,0.2924680298495933,spectral
prosody_intensity_skew,0.2875537133161409,prosody
mfcc_06_min,0.28646608399662865,mfcc
spectral_flux_skew,0.28150947029680307,spectral
mfcc_12_std,0.2804606194742998,mfcc
prosody_f2_std,0.28012634739734127,prosody
mfcc_d1_19_std,0.2795562811292408,mfcc
spectral_band_500_1000_std,0.27900409440313645,spectral
spectral_rms_iqr,0.27793797436017625,spectral
prosody_f1_std,0.27788311602877724,prosody
chroma_04_mean,0.2777886920265699,chroma
spectral_entropy_median,0.2774738915270477,spectral
mfcc_d1_03_std,0.27739368480514187,mfcc
mfcc_16_std,0.27352856960461924,mfcc
chroma_06_mean,0.27328921034860576,chroma
spectral_flatness_median,0.27266463340093966,spectral
spectral_band_0_500_mean,0.2711620446914028,spectral
prosody_f3_mean,0.2708514883548502,prosody
mfcc_07_mean,0.2691135723335989,mfcc
mfcc_11_median,0.2691087223210606,mfcc
prosody_hnr_median,0.26864458297697713,prosody
chroma_07_mean,0.26495177381424573,chroma
spectral_centroid_iqr,0.26325630960266017,spectral
mfcc_08_mean,0.26057932344412255,mfcc
spectral_hf_ratio_4000_std,0.26040442398214786,spectral
mfcc_03_min,0.2555597789248519,mfcc
mfcc_14_mean,0.2535566302887066,mfcc
prosody_f1_bw_median,0.25323502998738423,prosody
spectral_band_1000_2000_mean,0.2532288440376417,spectral
mfcc_06_median,0.25304800068956057,mfcc
prosody_voiced_rate_per_s,0.2521438948620533,prosody
mfcc_03_median,0.24964915511543972,mfcc
mfcc_03_mean,0.24493911708016536,mfcc
chroma_09_mean,0.24413199565309787,chroma
mfcc_07_median,0.24403966998605806,mfcc
chroma_00_std,0.2436829910184638,chroma
mfcc_01_std,0.24323852186738154,mfcc
prosody_f5_median,0.24219802243069144,prosody
spectral_rolloff95_median,0.24134700177747717,spectral
spectral_bandwidth_mean,0.23887808622320683,spectral
spectral_flux_std,0.23875484013667345,spectral
spectral_band_3000_4000_std,0.23859043719656806,spectral
chroma_11_std,0.23839577854308805,chroma
duration_s,0.23665787697126484,other
prosody_n_voiced_segments,0.2319367245000794,prosody
prosody_intensity_mean,0.23115017735942917,prosody
spectral_centroid_skew,0.23053847183892268,spectral
mfcc_16_mean,0.229356293770176,mfcc
mfcc_d1_04_std,0.2290599844921828,mfcc
mfcc_09_median,0.22903443653830052,mfcc
chroma_08_mean,0.22581745225004038,chroma
mfcc_04_median,0.22500947728557516,mfcc
mfcc_d1_16_std,0.22319340056404943,mfcc
spectral_band_500_1000_mean,0.2229776208047251,spectral
spectral_entropy_std,0.221840222213559,spectral
mfcc_17_max,0.2217409680706115,mfcc
mfcc_d2_00_mean,0.2202887145835985,mfcc
chroma_10_mean,0.21991234908374163,chroma
spectral_zcr_max,0.21942710808957178,spectral
spectral_flux_median,0.21858748525487373,spectral
spectral_contrast_6_mean,0.21548647150196903,spectral
spectral_rms_std,0.21494263780584508,spectral
chroma_05_mean,0.2133893154488221,chroma
chroma_03_mean,0.21323260573754432,chroma
mfcc_d2_03_std,0.2126469883344102,mfcc
mfcc_15_median,0.21182078382540484,mfcc
spectral_contrast_5_mean,0.2117371546997916,spectral
prosody_shimmer_local,0.2115880604712581,prosody
mfcc_07_min,0.2109091210095321,mfcc
mfcc_09_min,0.21009683182030642,mfcc
spectral_contrast_5_std,0.20880623672315096,spectral
prosody_f0_max,0.20856428205639796,prosody
spectral_flatness_iqr,0.2080654940570725,spectral
mfcc_08_median,0.2073771561722468,mfcc
mfcc_06_iqr,0.20706604132574227,mfcc
chroma_01_std,0.2062299867786738,chroma
spectral_rolloff95_min,0.20594439015494723,spectral
mfcc_10_std,0.20517441322348584,mfcc
mfcc_02_min,0.20508224198738192,mfcc
prosody_jitter_ppq5,0.20403255086662297,prosody
mfcc_d1_12_std,0.20274962087220832,mfcc
spectral_contrast_1_std,0.20233529015754828,spectral
spectral_rolloff95_skew,0.20102662337271818,spectral
mfcc_17_median,0.1991532472946831,mfcc
spectral_bandwidth_min,0.19709540114642105,spectral
mfcc_01_skew,0.19554663081988422,mfcc
mfcc_01_iqr,0.19527820881183233,mfcc
spectral_rolloff85_max,0.19465120192046098,spectral
spectral_band_4000_5000_std,0.1927031504763321,spectral
spectral_hf_ratio_6000_std,0.1924812915108032,spectral
chroma_00_mean,0.19082504620242413,chroma
mfcc_13_std,0.1906325559589421,mfcc
mfcc_13_min,0.18964992539439374,mfcc
mfcc_10_median,0.18923774104126706,mfcc
mfcc_d1_17_std,0.1890651466974791,mfcc
spectral_contrast_0_mean,0.18839529740782873,spectral
