feature,importance,family
prosody_cpps,0.6269564620345366,prosody
mfcc_04_std,0.6108118243339332,mfcc
prosody_intensity_std,0.579161192027449,prosody
spectral_rms_mean,0.5343251638919597,spectral
mfcc_04_mean,0.5342891929179704,mfcc
spectral_entropy_mean,0.5252947497870496,spectral
mfcc_01_mean,0.5207639806488107,mfcc
prosody_f1_mean,0.514616553658945,prosody
mfcc_d2_00_std,0.48443016182007115,mfcc
prosody_f2_mean,0.47559530681765744,prosody
spectral_rolloff95_mean,0.47499760486345294,spectral
spectral_rolloff95_std,0.46593398019537907,spectral
mfcc_00_std,0.4537925519091823,mfcc
mfcc_02_std,0.43975828399351574,mfcc
spectral_slope_median,0.4340899378491352,spectral
spectral_flatness_mean,0.433460913087785,spectral
mfcc_02_mean,0.43209543772168996,mfcc
spectral_bandwidth_median,0.4231264771747278,spectral
mfcc_d1_02_std,0.41906242490707946,mfcc
mfcc_02_iqr,0.41780120515312336,mfcc
spectral_rms_median,0.4164063190366642,spectral
prosody_f0_mean,0.40471244181373794,prosody
mfcc_00_skew,0.38915479398523684,mfcc
spectral_zcr_std,0.38913012726493207,spectral
spectral_rolloff85_std,0.38383038232420363,spectral
mfcc_00_iqr,0.3827689240844458,mfcc
mfcc_d1_01_std,0.38264977088520546,mfcc
spectral_rolloff95_iqr,0.3781270746948832,spectral
prosody_intensity_iqr,0.37320434315821077,prosody
mfcc_03_std,0.3709878938068684,mfcc
mfcc_02_median,0.3642493079688984,mfcc
mfcc_d1_00_std,0.3567110811991654,mfcc
spectral_centroid_std,0.34707152812397457,spectral
prosody_intensity_median,0.3398968752888629,prosody
spectral_contrast_2_mean,0.33831716491283054,spectral
spectral_bandwidth_iqr,0.33377497835158243,spectral
spectral_centroid_mean,0.33305747367494315,spectral
mfcc_05_mean,0.33009637618732524,mfcc
chroma_11_mean,0.3297417606035234,chroma
spectral_bandwidth_std,0.32814035605010833,spectral
mfcc_00_median,0.32808934928999073,mfcc
prosody_jitter_local,0.32746566438564395,prosody
prosody_f1_median,0.32646481227670027,prosody
mfcc_00_mean,0.32519649810220724,mfcc
mfcc_11_mean,0.3208200350200182,mfcc
prosody_f0_median,0.3195703190963819,prosody
chroma_02_mean,0.31691115183235097,chroma
mfcc_09_mean,0.31593493618477353,mfcc
spectral_band_1000_2000_std,0.30718091043944,spectral
mfcc_17_mean,0.30602706807939273,mfcc
spectral_zcr_median,0.3060180727832157,spectral
mfcc_18_mean,0.30441599651809964,mfcc
mfcc_17_std,0.3040564865168064,mfcc
spectral_rms_skew,0.30154454069297504,spectral
mfcc_15_mean,0.30147894481872306,mfcc
spectral_band_3000_4000_mean,0.3002364079233711,spectral
mfcc_04_min,0.29855102897790836,mfcc
prosody_hnr_mean,0.2970414729653011,prosody
spectral_zcr_iqr,0.29224191368887137,spectral
mfcc_d1_03_std,0.28952579425596936,mfcc
mfcc_06_min,0.28681704715432577,mfcc
spectral_rms_iqr,0.2845898782784055,spectral
prosody_intensity_kurt,0.2843090488562722,prosody
prosody_f1_std,0.284100460755717,prosody
mfcc_12_std,0.28305943012967705,mfcc
mfcc_d1_19_std,0.28232503216297833,mfcc
chroma_04_mean,0.28153708058181526,chroma
spectral_band_500_1000_std,0.2809467730786737,spectral
mfcc_11_median,0.2797534152698675,mfcc
prosody_f2_std,0.2794475054734975,prosody
spectral_band_0_500_mean,0.27860928603217516,spectral
chroma_06_mean,0.278074326983556,chroma
spectral_hf_ratio_4000_std,0.27726156734215013,spectral
spectral_entropy_median,0.2763073078872013,spectral
prosody_f3_mean,0.2762498805329151,prosody
mfcc_16_std,0.2755962146787682,mfcc
spectral_flux_skew,0.27532961372091075,spectral
prosody_intensity_min,0.2738301400416619,prosody
mfcc_07_mean,0.27138861881735155,mfcc
prosody_intensity_skew,0.27104654639639697,prosody
prosody_hnr_median,0.2697541313814767,prosody
chroma_07_mean,0.26790823277304054,chroma
