feature,importance,family
mfcc_00_skew,0.9816453800545017,mfcc
spectral_flatness_max,0.6137923091567515,spectral
mfcc_00_kurt,0.6115934484226735,mfcc
prosody_cpps,0.6086741819394029,prosody
mfcc_04_std,0.6076457041482833,mfcc
prosody_intensity_std,0.5761608068650285,prosody
spectral_entropy_mean,0.5303343309379749,spectral
mfcc_04_mean,0.5289517872099583,mfcc
spectral_rms_mean,0.522865830197569,spectral
mfcc_01_mean,0.5164318118661094,mfcc
prosody_f1_mean,0.5157696951510538,prosody
mfcc_d1_01_mean,0.47451472667599787,mfcc
prosody_f2_mean,0.47355749667693897,prosody
spectral_flatness_mean,0.47085248531321094,spectral
spectral_rolloff95_mean,0.4600437227579894,spectral
spectral_bandwidth_median,0.4394224033355883,spectral
spectral_slope_median,0.4272609230174986,spectral
mfcc_02_mean,0.4250558646249489,mfcc
mfcc_02_std,0.4227978885917951,mfcc
spectral_rolloff95_std,0.4148678584921615,spectral
spectral_rms_median,0.4123522858144354,spectral
prosody_f0_mean,0.40553346393020406,prosody
mfcc_00_min,0.4007229729801524,mfcc
mfcc_02_iqr,0.40071082147508874,mfcc
mfcc_d2_00_std,0.39855836116686394,mfcc
mfcc_d1_02_std,0.3922108276712618,mfcc
prosody_intensity_kurt,0.3892704717219076,prosody
spectral_rolloff95_iqr,0.38761527605416035,spectral
mfcc_00_iqr,0.38252519224962483,mfcc
mfcc_00_std,0.3792287950498251,mfcc
prosody_intensity_iqr,0.37675398669417454,prosody
mfcc_d1_01_std,0.3745372349051873,mfcc
spectral_flatness_kurt,0.37362423129120265,spectral
mfcc_03_std,0.36428116445097897,mfcc
prosody_intensity_min,0.36282750158717403,prosody
spectral_zcr_std,0.3614052889691978,spectral
mfcc_02_median,0.36099118437432975,mfcc
spectral_entropy_skew,0.3597971199488964,spectral
spectral_bandwidth_iqr,0.355110224644864,spectral
spectral_rolloff85_std,0.3451551097159154,spectral
prosody_intensity_median,0.33831634880831174,prosody
prosody_jitter_local,0.3375139989797685,prosody
spectral_contrast_2_mean,0.33654053974133624,spectral
spectral_entropy_kurt,0.3307136333008326,spectral
prosody_f1_median,0.32780770770017986,prosody
chroma_11_mean,0.32717249251057257,chroma
mfcc_05_mean,0.3270337553722556,mfcc
mfcc_00_median,0.3260418654358485,mfcc
spectral_flatness_std,0.3247894607811742,spectral
spectral_centroid_mean,0.3228581653505392,spectral
mfcc_d1_00_mean,0.32046537773909284,mfcc
spectral_centroid_std,0.320264693321113,spectral
prosody_f0_median,0.31831957091411833,prosody
mfcc_11_mean,0.3175485306038915,mfcc
mfcc_00_mean,0.31646609188580327,mfcc
spectral_zcr_median,0.3163332887197286,spectral
spectral_flatness_skew,0.31404995953979653,spectral
mfcc_09_mean,0.3136230115617794,mfcc
chroma_02_mean,0.3113947428005309,chroma
mfcc_18_mean,0.3043181085428641,mfcc
mfcc_d1_00_std,0.30341541858772686,mfcc
mfcc_17_std,0.3022955556412559,mfcc
spectral_rms_skew,0.3011712660866293,spectral
mfcc_17_mean,0.30115441439345775,mfcc
mfcc_04_min,0.30044565541269763,mfcc
mfcc_15_mean,0.29929025042612695,mfcc
prosody_hnr_mean,0.29766189446034863,prosody
spectral_bandwidth_std,0.29735923233051964,spectral
spectral_zcr_iqr,0.29507557370828763,spectral
spectral_band_1000_2000_std,0.2942132334668573,spectral
spectral_band_3000_4000_mean,0.29354883142494664,spectral
prosody_intensity_skew,0.28755126629689604,prosody
mfcc_06_min,0.2864917975685635,mfcc
spectral_flux_skew,0.28150925564402557,spectral
mfcc_12_std,0.28043763902178914,mfcc
prosody_f2_std,0.2797654884751755,prosody
mfcc_d1_19_std,0.2795742904477094,mfcc
spectral_band_500_1000_std,0.27923789976567426,spectral
prosody_f1_std,0.27830681484750547,prosody
chroma_04_mean,0.27799572712981996,chroma
spectral_rms_iqr,0.2779371728680677,spectral
spectral_entropy_median,0.27760013721130844,spectral
mfcc_d1_03_std,0.2773613969369933,mfcc
chroma_06_mean,0.2737069965755691,chroma
mfcc_16_std,0.27356297924138334,mfcc
spectral_flatness_median,0.27280670574298643,spectral
spectral_band_0_500_mean,0.27174013090325605,spectral
prosody_f3_mean,0.2712292100624151,prosody
mfcc_07_mean,0.26910724041220957,mfcc
prosody_hnr_median,0.2686452708315959,prosody
mfcc_11_median,0.26857286539416914,mfcc
chroma_07_mean,0.26511964535131377,chroma
spectral_centroid_iqr,0.26348868630991346,spectral
mfcc_08_mean,0.2605420580096516,mfcc
