feature,importance,kind,family
mfcc_d1_00_std,0.015961622625908764,impurity/gain,mfcc
prosody_intensity_min,0.012715240328001512,impurity/gain,prosody
prosody_intensity_std,0.012198031693252915,impurity/gain,prosody
mfcc_00_iqr,0.012065388941795768,impurity/gain,mfcc
mfcc_00_std,0.010679010224453313,impurity/gain,mfcc
prosody_intensity_iqr,0.010502664338645008,impurity/gain,prosody
mfcc_d2_00_std,0.009862728726020727,impurity/gain,mfcc
spectral_band_0_500_mean,0.009031930253214861,impurity/gain,spectral
spectral_band_0_500_std,0.008835454028943089,impurity/gain,spectral
spectral_flux_min,0.00791723093764453,impurity/gain,spectral
spectral_centroid_iqr,0.007461645956908205,impurity/gain,spectral
prosody_intensity_mean,0.007356676641836746,impurity/gain,prosody
mfcc_02_std,0.006886924064736822,impurity/gain,mfcc
prosody_f0_mean,0.006050788862737553,impurity/gain,prosody
mfcc_00_mean,0.0057100906985061,impurity/gain,mfcc
spectral_centroid_median,0.0053989778693037515,impurity/gain,spectral
spectral_rms_mean,0.005180504615800505,impurity/gain,spectral
mfcc_d1_02_std,0.005145427302800916,impurity/gain,mfcc
mfcc_02_iqr,0.005130077805151678,impurity/gain,mfcc
duration_s,0.00505208850294877,impurity/gain,other
spectral_flux_median,0.004891989314042821,impurity/gain,spectral
prosody_f0_median,0.0048423123261390885,impurity/gain,prosody
spectral_slope_mean,0.004578681567171759,impurity/gain,spectral
spectral_band_2000_3000_mean,0.0043217010537625914,impurity/gain,spectral
spectral_contrast_1_mean,0.004042012947921263,impurity/gain,spectral
spectral_zcr_median,0.003985847993481637,impurity/gain,spectral
spectral_flux_mean,0.003943272627879996,impurity/gain,spectral
mfcc_d1_03_std,0.0038499408877194358,impurity/gain,mfcc
spectral_band_500_1000_mean,0.003795415212602707,impurity/gain,spectral
spectral_rms_median,0.003691634403301891,impurity/gain,spectral
prosody_f0_std,0.003686572547642759,impurity/gain,prosody
mfcc_00_min,0.003620579279315826,impurity/gain,mfcc
