feature,importance,family
mfcc_00_iqr,0.015280115476259577,mfcc
prosody_intensity_min,0.013162639464614418,prosody
prosody_intensity_std,0.01305001332948328,prosody
mfcc_00_std,0.012459718558213716,mfcc
mfcc_d1_00_std,0.012083001875038244,mfcc
prosody_intensity_mean,0.008992828364904734,prosody
prosody_intensity_iqr,0.008916170821606265,prosody
mfcc_d2_00_std,0.006398970207732204,mfcc
spectral_rms_mean,0.0062450905242775355,spectral
spectral_flux_median,0.004980708432013106,spectral
spectral_band_0_500_mean,0.004837602375108075,spectral
spectral_flux_min,0.004587574212639716,spectral
spectral_band_0_500_std,0.00414046842861269,spectral
spectral_centroid_iqr,0.0038163752887536927,spectral
mfcc_02_std,0.0035421682040894715,mfcc
spectral_rms_median,0.0016756958012204269,spectral
duration_s,0.001347962552424618,other
spectral_slope_mean,0.001319907754267576,spectral
mfcc_00_mean,0.0012012878900392288,mfcc
spectral_zcr_median,0.0009996679364973214,spectral
mfcc_d1_02_std,0.0009874790954294188,mfcc
mfcc_02_iqr,0.0009757028910176502,mfcc
spectral_centroid_median,0.0009722107682105971,spectral
spectral_flux_mean,0.0008118122270284929,spectral
spectral_band_500_1000_mean,0.0007206310913733178,spectral
spectral_rolloff85_iqr,0.0006531062580580991,spectral
spectral_centroid_mean,0.0006310720328153046,spectral
prosody_f0_max,0.0006224922345537715,prosody
prosody_f0_mean,0.0005964297178434074,prosody
spectral_slope_median,0.0004791563284046457,spectral
spectral_band_2000_3000_mean,0.00047330976624274877,spectral
mfcc_09_mean,0.00037939452179484715,mfcc
mfcc_d1_04_std,0.0003735429548905368,mfcc
prosody_intensity_median,0.0003653368209344158,prosody
chroma_08_std,0.00036277719692950195,chroma
mfcc_d2_04_std,0.0003412494422324106,mfcc
prosody_hnr_median,0.0003343367141421839,prosody
mfcc_13_skew,0.0003101394997137861,mfcc
mfcc_d2_02_std,0.00029435052066195086,mfcc
chroma_09_std,0.00028807492797383876,chroma
spectral_band_1000_2000_std,0.00027961734216071834,spectral
prosody_f3_bw_median,0.0002750615573985177,prosody
spectral_rms_min,0.00026207994273791147,spectral
spectral_flux_std,0.0002593931074563064,spectral
spectral_rolloff85_mean,0.00025250537267325536,spectral
spectral_band_500_1000_std,0.00025142505808143316,spectral
chroma_10_mean,0.0002501401168780356,chroma
mfcc_00_min,0.0002265606245861999,mfcc
chroma_11_mean,0.00022259107394737742,chroma
spectral_bandwidth_std,0.0002169657903284208,spectral
mfcc_02_median,0.0002127436705704206,mfcc
mfcc_04_max,0.0002084997556635542,mfcc
prosody_hnr_std,0.00020611501189736492,prosody
spectral_rolloff95_max,0.00020415378325376547,spectral
mfcc_12_min,0.00020387334204721795,mfcc
mfcc_d1_03_std,0.00020366444165690207,mfcc
mfcc_d2_05_mean,0.00020096577568124967,mfcc
mfcc_d1_07_std,0.00020046963725337403,mfcc
