feature,importance,std,family
mfcc_00_std,0.004749503968253979,0.003139703653247981,mfcc
duration_s,0.00441468253968251,0.0016019598474161872,other
mfcc_02_iqr,0.0042658730158730285,0.0013620565692208457,mfcc
prosody_f1_bw_median,0.004067460317460331,0.0018849206349206347,prosody
prosody_f0_mean,0.0040178571428571425,0.0014930473158028387,prosody
mfcc_d1_02_std,0.003931051587301587,0.001939565000039213,mfcc
mfcc_03_max,0.003918650793650821,0.0008074811803621053,mfcc
prosody_intensity_iqr,0.003831845238095266,0.0027014097920922105,prosody
mfcc_d2_04_std,0.0036458333333333204,0.0011756580252471518,mfcc
spectral_band_500_1000_mean,0.003373015873015861,0.0019300671089627064,spectral
mfcc_d1_06_std,0.0033606150793650535,0.0013424396102112892,mfcc
spectral_zcr_std,0.0031994047619047505,0.0010647365046460855,spectral
mfcc_00_kurt,0.0031870039682539014,0.0013875041814710787,mfcc
mfcc_02_std,0.00314980158730159,0.002589718043029207,mfcc
mfcc_07_iqr,0.003137400793650852,0.0015535675483693472,mfcc
spectral_band_1000_2000_std,0.003013392857142874,0.0013160625256950266,spectral
mfcc_07_mean,0.002976190476190438,0.0009592797423518646,mfcc
prosody_f0_median,0.0029389880952381126,0.001620997670053349,prosody
mfcc_d1_04_std,0.002926587301587291,0.0017572410301506238,mfcc
mfcc_00_max,0.002864583333333323,0.0009649538753700635,mfcc
mfcc_d1_07_std,0.0028397817460317637,0.0019056513894333818,mfcc
spectral_band_0_500_std,0.0028025793650793274,0.0019533513505775725,spectral
mfcc_d2_01_std,0.0027901785714285615,0.0012424951667267356,mfcc
mfcc_d1_05_std,0.0027901785714285476,0.0013433557168504604,mfcc
mfcc_d2_03_std,0.0027529761904761946,0.0013806711964004844,mfcc
mfcc_12_max,0.002740575396825415,0.0005386856802820955,mfcc
prosody_intensity_min,0.002740575396825415,0.002503332952054697,prosody
spectral_flux_std,0.002715773809523786,0.001703879877972145,spectral
spectral_rolloff85_skew,0.002678571428571419,0.0011884075943165804,spectral
mfcc_01_median,0.002554563492063469,0.0007979021796698995,mfcc
mfcc_18_iqr,0.0025049603174603363,0.0011619748784843444,mfcc
mfcc_14_iqr,0.0024429563492063266,0.0012508829986255074,mfcc
spectral_rolloff95_skew,0.002331349206349226,0.0012430519926727834,spectral
mfcc_d2_00_std,0.002331349206349226,0.002614421419266754,mfcc
spectral_rms_kurt,0.002331349206349198,0.0006979785356880079,spectral
chroma_09_std,0.0023189484126984183,0.0012410090760921826,chroma
spectral_flatness_iqr,0.0022941468253968172,0.0014233928922679758,spectral
spectral_flux_min,0.0022941468253967756,0.0013866172430303352,spectral
spectral_bandwidth_min,0.0022817460317460098,0.0010912698412698424,spectral
prosody_mean_voiced_seg_s,0.002269345238095258,0.001555545986036131,prosody
spectral_band_2000_3000_mean,0.002244543650793643,0.0018258668493164954,spectral
mfcc_00_median,0.002194940476190413,0.0017666235224083207,mfcc
mfcc_04_skew,0.002182539682539661,0.0013647635408926136,mfcc
spectral_rms_mean,0.002182539682539633,0.0012017898253557366,spectral
prosody_jitter_ppq5,0.0021329365079365142,0.00162332025515414,prosody
mfcc_03_std,0.002108134920634927,0.0019987986813947292,mfcc
spectral_band_3000_4000_std,0.002108134920634913,0.001445955937217099,spectral
mfcc_19_min,0.0020957341269841195,0.0006475779458902213,mfcc
prosody_intensity_median,0.002058531746031725,0.0008009799237080926,prosody
mfcc_09_iqr,0.0020337301587301654,0.0009345954207052033,mfcc
spectral_rolloff95_median,0.002008928571428578,0.0011672566096974527,spectral
mfcc_d1_17_std,0.0020089285714285643,0.0011066622776449778,mfcc
spectral_rolloff85_mean,0.0020089285714285504,0.0007386543954283594,spectral
mfcc_d2_02_mean,0.001996527777777729,0.00045849408599544876,mfcc
mfcc_d1_03_std,0.0019841269841270187,0.0019541384527372993,mfcc
spectral_centroid_median,0.0019469246031745963,0.0016383602685992853,spectral
mfcc_15_kurt,0.0019469246031745963,0.0006925596232859104,mfcc
mfcc_d1_10_std,0.0019469246031745685,0.0009118589512077806,mfcc
spectral_rolloff85_kurt,0.0019345238095238027,0.0008605829153222923,spectral
mfcc_07_max,0.0019221230158729952,0.0009514730657350484,mfcc
mfcc_d1_11_std,0.001897321428571408,0.0014575549125118987,mfcc
mfcc_d1_12_std,0.001897321428571394,0.0006360773116682862,mfcc
mfcc_19_std,0.0018725198412698624,0.0010480688321289902,mfcc
prosody_f0_skew,0.0018725198412698346,0.0013165298359718923,prosody
mfcc_16_iqr,0.0018725198412698207,0.0007397985485255256,mfcc
mfcc_12_std,0.0018353174603175232,0.0007951993820377849,mfcc
mfcc_18_kurt,0.0018353174603174538,0.001157997770826261,mfcc
mfcc_15_max,0.0018229166666666602,0.0013216593438262075,mfcc
spectral_slope_skew,0.0018229166666666463,0.0009265807957947697,spectral
mfcc_14_min,0.0018105158730158943,0.0008516014242752687,mfcc
prosody_cpps,0.0018105158730158388,0.0011566690294008935,prosody
