feature,importance,family
mfcc_d1_00_std,0.007832568513992838,mfcc
prosody_intensity_min,0.007100423405050361,prosody
prosody_intensity_std,0.0067798719419858815,prosody
mfcc_00_iqr,0.006376015561153306,mfcc
prosody_intensity_iqr,0.005882047711138928,prosody
mfcc_00_std,0.005099212385195059,mfcc
mfcc_d2_00_std,0.0050924111421943126,mfcc
spectral_band_0_500_mean,0.004912267260003642,spectral
spectral_band_0_500_std,0.00480789359887883,spectral
spectral_flux_min,0.0042642193883756915,spectral
prosody_intensity_mean,0.004194532842261231,prosody
spectral_centroid_iqr,0.004026102823527503,spectral
mfcc_02_std,0.0034417070000831783,mfcc
prosody_f0_mean,0.003189407093323947,prosody
mfcc_00_mean,0.0031390353812165437,mfcc
spectral_rms_mean,0.0027696371681350954,spectral
mfcc_d1_02_std,0.0026174961417806757,mfcc
spectral_centroid_median,0.002528502176868462,spectral
duration_s,0.002505640433150848,other
spectral_slope_mean,0.002424779701582792,spectral
mfcc_02_iqr,0.002376672092330143,mfcc
spectral_flux_median,0.0023591411024772887,spectral
spectral_band_2000_3000_mean,0.0021167484350173836,spectral
prosody_f0_median,0.002089924237136253,prosody
spectral_zcr_median,0.002079189091458712,spectral
spectral_band_500_1000_mean,0.002029139813840673,spectral
spectral_rolloff85_iqr,0.0017658788413250158,spectral
mfcc_d1_03_std,0.0017463087843128176,mfcc
spectral_flux_mean,0.001686996919907182,spectral
spectral_band_500_1000_std,0.0016466322884151063,spectral
spectral_contrast_1_mean,0.0016063373052933112,spectral
mfcc_00_min,0.0015974787117360944,mfcc
spectral_rms_median,0.0015493309205841406,spectral
spectral_rolloff95_iqr,0.0015175292776802415,spectral
spectral_rolloff85_median,0.0014529488371313015,spectral
prosody_f0_max,0.0014479499689873106,prosody
spectral_zcr_iqr,0.0014059933207858945,spectral
prosody_f0_min,0.0013884868270449939,prosody
prosody_intensity_kurt,0.001370346106072112,prosody
chroma_08_std,0.0013624666629228998,chroma
spectral_contrast_5_mean,0.001353027593508708,spectral
prosody_cpps,0.0013526192895767434,prosody
spectral_band_1000_2000_std,0.0013208163433643693,spectral
mfcc_d2_02_std,0.0013168527105986436,mfcc
mfcc_d1_04_std,0.0013067291088894662,mfcc
spectral_centroid_mean,0.001303180499402497,spectral
spectral_flux_iqr,0.001293770656034295,spectral
spectral_slope_median,0.0012525431012501333,spectral
mfcc_d2_04_std,0.001230952241673157,mfcc
spectral_flux_std,0.0012304041126855426,spectral
mfcc_03_std,0.001227679265018653,mfcc
mfcc_18_std,0.001225542202094335,mfcc
spectral_entropy_mean,0.001189686026933935,spectral
