feature,importance,family
prosody_intensity_min,0.008321010737677234,prosody
mfcc_d1_00_std,0.008150294185534073,mfcc
prosody_intensity_std,0.007230917345144782,prosody
mfcc_00_iqr,0.006430739602424753,mfcc
prosody_intensity_iqr,0.006205914010856757,prosody
spectral_flux_min,0.005916520721159195,spectral
spectral_band_0_500_mean,0.004958053068451148,spectral
spectral_band_0_500_std,0.004903376802634858,spectral
mfcc_d2_00_std,0.004879236092786604,mfcc
mfcc_00_std,0.004797651739117325,mfcc
prosody_intensity_mean,0.00423364802774961,prosody
spectral_centroid_iqr,0.004078484274236021,spectral
mfcc_02_std,0.0033525281942033977,mfcc
mfcc_00_mean,0.003208874613635586,mfcc
prosody_f0_mean,0.0030361128170417807,prosody
spectral_rms_mean,0.002794740948025218,spectral
spectral_centroid_median,0.002614143934234403,spectral
mfcc_d1_02_std,0.002533754299262808,mfcc
duration_s,0.002494664220437522,other
spectral_slope_mean,0.0024835584912930035,spectral
spectral_flux_median,0.0023633272692655197,spectral
mfcc_02_iqr,0.002312224678443058,mfcc
spectral_band_2000_3000_mean,0.002027369305788072,spectral
prosody_f0_median,0.0020166453842994474,prosody
spectral_zcr_median,0.00201162889998604,spectral
spectral_band_500_1000_mean,0.0019696401072967344,spectral
spectral_flux_mean,0.001759254342102095,spectral
spectral_rolloff85_iqr,0.0017555809274054897,spectral
mfcc_d1_03_std,0.0016893907336013084,mfcc
mfcc_00_min,0.0016870308514912798,mfcc
spectral_band_500_1000_std,0.0016143846674130415,spectral
spectral_contrast_1_mean,0.0016046651631402872,spectral
spectral_rms_median,0.0015739208127092856,spectral
spectral_rolloff95_iqr,0.0014792606207416023,spectral
prosody_intensity_kurt,0.0014700546344092321,prosody
spectral_rolloff85_median,0.001465419692938348,spectral
spectral_contrast_5_mean,0.0014618900624146897,spectral
prosody_cpps,0.0014072703771503927,prosody
spectral_zcr_iqr,0.001392447640372311,spectral
chroma_08_std,0.0013911320206722582,chroma
prosody_f0_max,0.0013852692836182794,prosody
prosody_f0_min,0.001347081234543749,prosody
spectral_flux_std,0.001305335197748233,spectral
mfcc_03_std,0.0012958175112706136,mfcc
mfcc_d1_04_std,0.0012831941973221862,mfcc
spectral_band_1000_2000_std,0.0012739451514232063,spectral
spectral_flux_iqr,0.0012653988088010021,spectral
mfcc_d2_04_std,0.0012512421053699804,mfcc
spectral_entropy_mean,0.0012388025280822802,spectral
spectral_centroid_mean,0.0012204674735663394,spectral
mfcc_02_min,0.0012175304529291875,mfcc
mfcc_d2_02_std,0.0012014548278293908,mfcc
spectral_slope_median,0.0011989142191087684,spectral
prosody_hnr_median,0.001179556938367637,prosody
mfcc_18_std,0.0011606105257351593,mfcc
spectral_band_3000_4000_std,0.0011417586520510279,spectral
prosody_intensity_median,0.0011379326208693003,prosody
prosody_f0_iqr,0.0011156435273683297,prosody
spectral_entropy_median,0.0011118206814348893,spectral
prosody_f0_std,0.0011107889159323956,prosody
mfcc_00_median,0.0010938851383544218,mfcc
prosody_voiced_rate_per_s,0.0010922708959946131,prosody
spectral_rolloff95_median,0.001077780319789661,spectral
mfcc_03_max,0.0010722579527140768,mfcc
spectral_band_1000_2000_mean,0.001070154889033243,spectral
spectral_band_3000_4000_mean,0.001065294701777585,spectral
prosody_hnr_mean,0.001065047810826654,prosody
spectral_band_2000_3000_std,0.0010650019481893112,spectral
spectral_contrast_1_std,0.0010344002508588968,spectral
mfcc_d2_03_std,0.0010285684609225585,mfcc
mfcc_17_std,0.000981883287346895,mfcc
mfcc_19_std,0.0009488595799535346,mfcc
mfcc_00_kurt,0.0009429885844130838,mfcc
mfcc_04_mean,0.0009122491346430308,mfcc
prosody_f1_bw_median,0.0008947386600533845,prosody
spectral_rms_min,0.0008904278092392934,spectral
mfcc_d1_01_mean,0.0008829083758946195,mfcc
spectral_slope_std,0.000861683006790276,spectral
chroma_09_std,0.0008580896757444664,chroma
spectral_contrast_2_mean,0.0008564974569197242,spectral
mfcc_d1_05_std,0.0008318360223293658,mfcc
prosody_intensity_skew,0.0008235563643865302,prosody
prosody_f3_bw_median,0.0008142861577594762,prosody
prosody_f0_slope_abs_mean,0.0008034913154015285,prosody
mfcc_d1_07_std,0.0007943238046143695,mfcc
mfcc_02_mean,0.0007852789244445339,mfcc
prosody_f0_skew,0.0007852470677191196,prosody
chroma_10_std,0.0007769751719403621,chroma
mfcc_04_min,0.0007726163554011865,mfcc
prosody_pause_fraction,0.0007531181665508068,prosody
mfcc_d1_02_mean,0.0007403677161494499,mfcc
mfcc_06_std,0.0007219456620478604,mfcc
mfcc_05_min,0.0007188779720808033,mfcc
mfcc_d2_07_std,0.0007103991723531135,mfcc
prosody_mean_voiced_seg_s,0.0007054021625492841,prosody
prosody_f2_bw_median,0.0007042126690108162,prosody
mfcc_16_std,0.0006910641226382446,mfcc
spectral_contrast_2_std,0.0006864017038287905,spectral
mfcc_d1_19_std,0.0006818065636595335,mfcc
mfcc_d2_01_std,0.0006676950710733449,mfcc
mfcc_09_mean,0.0006673050373619912,mfcc
spectral_flatness_max,0.0006662716944513837,spectral
prosody_n_voiced_segments,0.0006643950893308381,prosody
spectral_contrast_5_std,0.0006628401389418232,spectral
mfcc_d2_09_std,0.0006555056757866191,mfcc
spectral_entropy_max,0.0006541263748361474,spectral
mfcc_04_median,0.0006478184365663,mfcc
mfcc_d1_06_std,0.0006474805150486872,mfcc
mfcc_07_iqr,0.0006422251915364928,mfcc
mfcc_04_std,0.000641272265861709,mfcc
mfcc_d1_00_mean,0.0006403093139563495,mfcc
mfcc_d1_09_std,0.0006334786041412439,mfcc
spectral_zcr_mean,0.0006221117445917607,spectral
mfcc_07_mean,0.0006158473205652816,mfcc
mfcc_d2_00_mean,0.0006099766071942925,mfcc
mfcc_07_std,0.0006093917602269639,mfcc
mfcc_05_iqr,0.0006079912643201572,mfcc
mfcc_04_iqr,0.0005909758031960883,mfcc
mfcc_05_std,0.0005709135877318526,mfcc
spectral_entropy_std,0.0005665519231155057,spectral
spectral_rolloff85_mean,0.0005620194091639878,spectral
mfcc_03_iqr,0.0005494721964170529,mfcc
mfcc_03_min,0.0005435165282550171,mfcc
mfcc_09_median,0.0005432186649931851,mfcc
mfcc_d2_06_std,0.0005354707908072251,mfcc
mfcc_05_mean,0.0005336563335851787,mfcc
mfcc_d1_08_std,0.0005248988445315138,mfcc
mfcc_d1_01_std,0.0005247162515140868,mfcc
prosody_voiced_fraction,0.0005191732657747692,prosody
mfcc_14_std,0.0005183642336477212,mfcc
spectral_entropy_iqr,0.0005165936345710185,spectral
chroma_00_std,0.0005097536451920514,chroma
peak_amplitude,0.0005096092561501493,other
mfcc_03_skew,0.0005050986939767708,mfcc
mfcc_10_median,0.0005045313492726723,mfcc
prosody_hnr_min,0.0005023516668136577,prosody
mfcc_d2_08_std,0.0005010528101643062,mfcc
prosody_f1_median,0.000500068897003852,prosody
mfcc_00_max,0.0004939536414989618,mfcc
mfcc_d1_18_std,0.0004914979863238098,mfcc
mfcc_15_std,0.00048695760943476995,mfcc
chroma_08_mean,0.00048198872359506313,chroma
spectral_rolloff95_mean,0.0004809384925590264,spectral
spectral_entropy_skew,0.0004643189085621438,spectral
chroma_11_std,0.0004596530246444434,chroma
mfcc_00_skew,0.0004569561967845736,mfcc
mfcc_09_max,0.000456662971670711,mfcc
mfcc_d1_17_std,0.0004521386086271509,mfcc
mfcc_d1_14_std,0.0004516586909777163,mfcc
spectral_slope_iqr,0.0004513196723965451,spectral
prosody_jitter_local,0.0004507379880300671,prosody
mfcc_d2_05_std,0.0004454160828027284,mfcc
spectral_slope_min,0.00044484395262045864,spectral
spectral_band_4000_5000_std,0.0004428994987824641,spectral
spectral_band_4000_5000_mean,0.00044186971647783746,spectral
mfcc_12_max,0.00043814117853706574,mfcc
chroma_09_mean,0.00043696181176237475,chroma
mfcc_10_mean,0.0004288797640119167,mfcc
mfcc_d1_11_std,0.00042046589900073575,mfcc
mfcc_05_median,0.0004106675311668246,mfcc
mfcc_d2_10_std,0.0004104295193686509,mfcc
spectral_rms_std,0.00040302910724733434,spectral
chroma_10_mean,0.0004006233462433948,chroma
mfcc_18_iqr,0.00039871700430029746,mfcc
mfcc_07_min,0.00039134383429653685,mfcc
mfcc_d2_14_std,0.0003861380957088762,mfcc
mfcc_10_std,0.00038497766510925375,mfcc
chroma_07_std,0.0003826934193379558,chroma
prosody_jitter_ddp,0.0003824099182128177,prosody
prosody_f1_mean,0.00038172892190214893,prosody
mfcc_d2_12_std,0.0003810931363165652,mfcc
mfcc_11_std,0.0003750034644982498,mfcc
spectral_entropy_kurt,0.00037336983612821795,spectral
mfcc_08_std,0.0003729349716993241,mfcc
mfcc_10_min,0.0003721775307056077,mfcc
mfcc_d1_15_std,0.00037132320776746134,mfcc
spectral_flatness_std,0.0003631553807059629,spectral
prosody_jitter_rap,0.00036213468805585303,prosody
mfcc_09_std,0.0003593646202671327,mfcc
mfcc_06_max,0.0003568726517939929,mfcc
spectral_contrast_4_std,0.00035539758628349454,spectral
mfcc_d2_19_std,0.0003528343775935755,mfcc
mfcc_06_iqr,0.000352763323961418,mfcc
mfcc_d1_12_std,0.0003525988815886383,mfcc
mfcc_d1_16_std,0.0003525244587778572,mfcc
spectral_entropy_min,0.00034665423611105107,spectral
mfcc_12_skew,0.00034637706977755107,mfcc
chroma_11_mean,0.00034260782062330844,chroma
mfcc_09_min,0.0003413795697332584,mfcc
mfcc_11_max,0.0003408806579453868,mfcc
prosody_f3_std,0.00034072248746315703,prosody
mfcc_08_mean,0.0003399181433774867,mfcc
mfcc_07_median,0.00033959247842726335,mfcc
mfcc_19_max,0.0003379726351084282,mfcc
spectral_flux_max,0.000335758248884236,spectral
prosody_shimmer_apq3,0.0003350792805678157,prosody
prosody_f5_std,0.0003345155665988865,prosody
prosody_f5_mean,0.0003317809142873139,prosody
spectral_flatness_mean,0.0003311562918167297,spectral
mfcc_d1_10_std,0.0003291922563777376,mfcc
prosody_jitter_ppq5,0.00032808790643083893,prosody
spectral_rolloff95_skew,0.0003208204257684325,spectral
mfcc_10_skew,0.0003182223544875099,mfcc
mfcc_d2_16_std,0.00031492641779182695,mfcc
spectral_contrast_6_mean,0.0003147391172310447,spectral
mfcc_d1_03_mean,0.0003141461986593023,mfcc
prosody_intensity_max,0.00031201764248547746,prosody
mfcc_03_mean,0.00031184969822316874,mfcc
mfcc_02_skew,0.0003097994166567858,mfcc
mfcc_d2_01_mean,0.00030781818610843017,mfcc
mfcc_08_max,0.0003061749286990363,mfcc
spectral_rms_iqr,0.0003056717765235304,spectral
mfcc_04_kurt,0.00030469035612209355,mfcc
mfcc_08_median,0.0003046201401763461,mfcc
mfcc_01_iqr,0.00030447665707714387,mfcc
prosody_f2_std,0.0003043559468889548,prosody
spectral_zcr_std,0.00030281512845136424,spectral
spectral_contrast_0_mean,0.00030035676404612877,spectral
mfcc_14_iqr,0.00030022109798733156,mfcc
mfcc_12_mean,0.0002994286557509183,mfcc
mfcc_09_iqr,0.00029844023757875487,mfcc
spectral_rolloff95_kurt,0.00029713494730286604,spectral
mfcc_09_skew,0.0002957584212570301,mfcc
prosody_f0_kurt,0.000295322104390912,prosody
spectral_rms_max,0.0002939094443717661,spectral
spectral_centroid_std,0.0002932108265388225,spectral
mfcc_11_mean,0.00029180370127173067,mfcc
mfcc_01_median,0.00029157982162068905,mfcc
mfcc_13_skew,0.0002908945693109799,mfcc
spectral_flatness_min,0.0002895227916309765,spectral
mfcc_d2_03_mean,0.0002892433204450211,mfcc
mfcc_d2_02_mean,0.0002876656022530361,mfcc
spectral_flatness_iqr,0.00028734005924231794,spectral
mfcc_12_std,0.00028722454692136566,mfcc
mfcc_13_median,0.00028625500080708705,mfcc
mfcc_d2_15_std,0.00028561161662840894,mfcc
mfcc_18_max,0.00028263001261021975,mfcc
mfcc_17_min,0.00028220433194584807,mfcc
spectral_bandwidth_iqr,0.0002790289672598851,spectral
mfcc_11_skew,0.0002776898294573662,mfcc
mfcc_02_max,0.0002769002937816615,mfcc
mfcc_19_mean,0.0002761494978341307,mfcc
chroma_01_std,0.0002760495751691383,chroma
spectral_contrast_0_std,0.00027366079368407864,spectral
mfcc_02_median,0.0002732394917429068,mfcc
mfcc_d2_17_std,0.0002711161299752771,mfcc
mfcc_15_max,0.00026850779593635575,mfcc
spectral_flatness_kurt,0.00026806155837674734,spectral
mfcc_12_median,0.0002676882848818588,mfcc
spectral_centroid_min,0.0002674917757556759,spectral
mfcc_11_iqr,0.000267294537916654,mfcc
spectral_bandwidth_median,0.0002672879904678843,spectral
chroma_00_mean,0.0002666399168891181,chroma
mfcc_14_max,0.00026556618852509886,mfcc
mfcc_16_max,0.0002648330275429719,mfcc
mfcc_19_iqr,0.00026438286963875686,mfcc
mfcc_02_kurt,0.00026419599982478785,mfcc
mfcc_08_min,0.0002638291499287037,mfcc
prosody_hnr_max,0.0002626727641043594,prosody
mfcc_12_min,0.00026114948604117727,mfcc
mfcc_15_min,0.00026103877215879665,mfcc
mfcc_01_min,0.00026028072870849827,mfcc
spectral_flatness_skew,0.000260085263830625,spectral
prosody_f5_median,0.0002600107497743088,prosody
prosody_shimmer_dda,0.0002570754590304316,prosody
prosody_shimmer_localdb,0.00025599656470843787,prosody
mfcc_18_mean,0.0002557696187005644,mfcc
mfcc_13_min,0.0002526772707593628,mfcc
mfcc_18_kurt,0.00025258989334934573,mfcc
mfcc_06_mean,0.0002524309233231622,mfcc
mfcc_18_median,0.0002511119297366515,mfcc
mfcc_08_iqr,0.00024964806407988397,mfcc
mfcc_11_median,0.0002477000270376269,mfcc
mfcc_13_max,0.0002473942732809244,mfcc
mfcc_05_kurt,0.00024695430408461374,mfcc
mfcc_13_mean,0.0002467948928011607,mfcc
mfcc_07_max,0.0002465291072951972,mfcc
mfcc_16_mean,0.0002464276655111241,mfcc
