feature,importance,family
mfcc_d1_00_std,0.008032018034917487,mfcc
prosody_intensity_min,0.007077284568656831,prosody
prosody_intensity_std,0.006765976873231389,prosody
mfcc_00_iqr,0.00639914609072594,mfcc
prosody_intensity_iqr,0.0059744396540713385,prosody
mfcc_d2_00_std,0.005198696494302169,mfcc
mfcc_00_std,0.005188213828194031,mfcc
spectral_band_0_500_mean,0.004948046708412662,spectral
spectral_band_0_500_std,0.004841004555973178,spectral
spectral_flux_min,0.004259959039258388,spectral
prosody_intensity_mean,0.00419975994607644,prosody
spectral_centroid_iqr,0.00407441423123367,spectral
mfcc_02_std,0.0035015167835594652,mfcc
prosody_f0_mean,0.0031963224118646493,prosody
mfcc_00_mean,0.0030897337942980643,mfcc
spectral_rms_mean,0.0028821390818497476,spectral
mfcc_d1_02_std,0.0026506643321281124,mfcc
spectral_centroid_median,0.00255950251553224,spectral
duration_s,0.0024953932973734183,other
spectral_slope_mean,0.0024442510732409794,spectral
mfcc_02_iqr,0.002426485549434002,mfcc
spectral_flux_median,0.0024088271322416257,spectral
spectral_band_2000_3000_mean,0.002128593527332393,spectral
prosody_f0_median,0.002102150866424093,prosody
spectral_zcr_median,0.002087688810119794,spectral
spectral_band_500_1000_mean,0.0020662363022023677,spectral
mfcc_d1_03_std,0.001773674570994662,mfcc
spectral_flux_mean,0.0017696603546445133,spectral
spectral_rolloff85_iqr,0.0017562912257554502,spectral
spectral_band_500_1000_std,0.0016707842841227221,spectral
mfcc_00_min,0.0016276967219822512,mfcc
spectral_rms_median,0.0016006217344543426,spectral
spectral_contrast_1_mean,0.001571768516001409,spectral
spectral_rolloff95_iqr,0.0015614138301714598,spectral
spectral_rolloff85_median,0.001487004768998342,spectral
prosody_f0_max,0.0014462201510185954,prosody
prosody_cpps,0.0014227148826304475,prosody
spectral_zcr_iqr,0.0014093245853419333,spectral
prosody_intensity_kurt,0.0013945826917891103,prosody
prosody_f0_min,0.0013865408872179247,prosody
chroma_08_std,0.0013821019637313213,chroma
spectral_flux_iqr,0.0013507270757791485,spectral
spectral_band_1000_2000_std,0.0013373983762755483,spectral
mfcc_d1_04_std,0.0013291659528646413,mfcc
spectral_centroid_mean,0.0013240707642936298,spectral
mfcc_d2_02_std,0.0013188745386031357,mfcc
spectral_contrast_5_mean,0.001308818789368374,spectral
spectral_flux_std,0.001308464748036915,spectral
spectral_slope_median,0.0012550152576115846,spectral
mfcc_03_std,0.0012498096467286187,mfcc
spectral_entropy_mean,0.001244309458926707,spectral
mfcc_d2_04_std,0.0012426078155870117,mfcc
mfcc_18_std,0.0012112081773526413,mfcc
mfcc_02_min,0.0011905604954584427,mfcc
prosody_hnr_median,0.0011894491261081638,prosody
spectral_band_2000_3000_std,0.001187700394019427,spectral
spectral_entropy_median,0.001180481599553684,spectral
mfcc_00_median,0.0011749385148776537,mfcc
prosody_intensity_median,0.0011717121625343773,prosody
prosody_f0_std,0.0011516468977977564,prosody
spectral_rolloff95_median,0.0011178610535379112,spectral
prosody_hnr_mean,0.001089801891521089,prosody
spectral_band_3000_4000_std,0.0010842665074672696,spectral
prosody_f0_iqr,0.0010839826068695145,prosody
spectral_band_1000_2000_mean,0.0010794393313755658,spectral
mfcc_d2_03_std,0.0010689706898340907,mfcc
spectral_band_3000_4000_mean,0.0010492448830214493,spectral
prosody_voiced_rate_per_s,0.001039895759294536,prosody
mfcc_03_max,0.0010361274425153876,mfcc
spectral_contrast_1_std,0.0010338988698711507,spectral
mfcc_19_std,0.0009934970460645598,mfcc
mfcc_17_std,0.0009880077628030154,mfcc
spectral_rms_min,0.0009405836433441119,spectral
prosody_f1_bw_median,0.0008820809040492123,prosody
prosody_f3_bw_median,0.0008815642584718437,prosody
mfcc_04_mean,0.0008627948799770342,mfcc
mfcc_d1_05_std,0.0008560509876261855,mfcc
spectral_slope_std,0.0008460822984390337,spectral
prosody_f0_skew,0.0008396887924047792,prosody
chroma_09_std,0.0008368915282149493,chroma
spectral_contrast_2_mean,0.0008087923026451436,spectral
prosody_intensity_skew,0.000802320990914926,prosody
prosody_pause_fraction,0.0008020788118107739,prosody
mfcc_d1_07_std,0.0007909467857405577,mfcc
mfcc_02_mean,0.000790392702814783,mfcc
mfcc_00_kurt,0.0007735749881868704,mfcc
prosody_f0_slope_abs_mean,0.0007711958096530383,prosody
prosody_f2_bw_median,0.0007634840879415699,prosody
chroma_10_std,0.0007595624288835569,chroma
mfcc_04_min,0.0007362339887133626,mfcc
mfcc_05_min,0.0007320079910121315,mfcc
spectral_contrast_2_std,0.0007289184947172374,spectral
mfcc_d2_07_std,0.0007285226431002338,mfcc
mfcc_d1_19_std,0.0007253074125819811,mfcc
mfcc_06_std,0.0007200494845559942,mfcc
mfcc_16_std,0.0007127086454640941,mfcc
mfcc_d2_01_std,0.0007103350012489333,mfcc
mfcc_d2_09_std,0.0006987370078787073,mfcc
prosody_mean_voiced_seg_s,0.0006653093628386536,prosody
prosody_n_voiced_segments,0.0006611555498262531,prosody
mfcc_09_mean,0.000656601609099856,mfcc
mfcc_d1_06_std,0.0006496220872196111,mfcc
mfcc_05_iqr,0.0006377230717890823,mfcc
mfcc_07_mean,0.0006365999151353371,mfcc
mfcc_d1_09_std,0.0006348510426376353,mfcc
mfcc_04_iqr,0.0006329986486089954,mfcc
spectral_entropy_std,0.0006304846965569272,spectral
spectral_contrast_5_std,0.0006285701520305563,spectral
spectral_zcr_mean,0.0006279146596066589,spectral
mfcc_07_iqr,0.0006261848823176113,mfcc
mfcc_07_std,0.0006128180950892359,mfcc
mfcc_04_median,0.0006120815345523306,mfcc
mfcc_04_std,0.0005987674903433082,mfcc
mfcc_05_std,0.0005933953617404279,mfcc
mfcc_d2_06_std,0.0005870589701166214,mfcc
spectral_entropy_max,0.0005716505733797895,spectral
mfcc_10_median,0.0005713520953428375,mfcc
mfcc_03_skew,0.0005676883368422572,mfcc
spectral_rolloff85_mean,0.0005639284895834402,spectral
mfcc_03_iqr,0.0005556654197139381,mfcc
mfcc_03_min,0.0005555332825510108,mfcc
mfcc_05_mean,0.0005538555338312596,mfcc
prosody_voiced_fraction,0.000549677768003547,prosody
spectral_entropy_iqr,0.0005439491430904384,spectral
mfcc_d1_01_std,0.0005391737073259572,mfcc
mfcc_09_median,0.0005328793758787735,mfcc
mfcc_d2_08_std,0.0005323321452744876,mfcc
mfcc_14_std,0.0005263765971751486,mfcc
mfcc_d1_18_std,0.0005242485710282595,mfcc
prosody_f1_median,0.000515658630625049,prosody
mfcc_d1_08_std,0.0005029129865451766,mfcc
peak_amplitude,0.0005022064088128452,other
prosody_hnr_min,0.0004979617192878232,prosody
chroma_00_std,0.0004963867977274381,chroma
spectral_rolloff95_mean,0.0004959953577067899,spectral
spectral_slope_iqr,0.000491238882831274,spectral
mfcc_15_std,0.0004892351485234563,mfcc
spectral_band_4000_5000_std,0.00048531928681208966,spectral
mfcc_00_max,0.00047861866048410956,mfcc
mfcc_d1_17_std,0.00047704463523119965,mfcc
mfcc_10_mean,0.0004679528586497704,mfcc
mfcc_d1_14_std,0.0004607674014286707,mfcc
chroma_11_std,0.0004577665803651638,chroma
mfcc_09_max,0.00045237896879132095,mfcc
spectral_flatness_max,0.0004499388197721739,spectral
spectral_slope_min,0.0004488434101204872,spectral
mfcc_d2_05_std,0.0004484718579112972,mfcc
chroma_08_mean,0.00044749932773230046,chroma
mfcc_12_max,0.00044353858036899765,mfcc
prosody_jitter_local,0.0004420051008758612,prosody
spectral_band_4000_5000_mean,0.0004381776562908905,spectral
mfcc_d2_10_std,0.0004321363407900632,mfcc
chroma_09_mean,0.00043130910974828224,chroma
mfcc_05_median,0.00042356506658454657,mfcc
mfcc_d1_11_std,0.0004163661183005638,mfcc
spectral_rms_std,0.00039957486990631444,spectral
mfcc_07_min,0.0003939903576464263,mfcc
mfcc_d2_14_std,0.00039375167893195527,mfcc
mfcc_18_iqr,0.00039356306395673784,mfcc
chroma_10_mean,0.0003923259316554175,chroma
mfcc_d1_15_std,0.0003888872352465064,mfcc
mfcc_11_std,0.00038829192517971146,mfcc
mfcc_10_std,0.0003870607866631617,mfcc
mfcc_08_std,0.00038048773426701876,mfcc
mfcc_06_iqr,0.0003788450694534233,mfcc
mfcc_10_min,0.0003744369163604731,mfcc
mfcc_08_mean,0.0003739590607462312,mfcc
mfcc_d1_16_std,0.0003725569821085074,mfcc
