feature,importance,family
prosody_intensity_min,0.008300409342445088,prosody
mfcc_d1_00_std,0.008134699300504384,mfcc
prosody_intensity_std,0.0072281125617258465,prosody
mfcc_00_iqr,0.0064247193931068645,mfcc
prosody_intensity_iqr,0.006200573062651757,prosody
spectral_flux_min,0.005903239482795333,spectral
spectral_band_0_500_mean,0.004959210506751042,spectral
spectral_band_0_500_std,0.004909020078790862,spectral
mfcc_d2_00_std,0.004880081409015656,mfcc
mfcc_00_std,0.004785999786551921,mfcc
prosody_intensity_mean,0.00423213896508355,prosody
spectral_centroid_iqr,0.004073358907465096,spectral
mfcc_02_std,0.003356114067405543,mfcc
mfcc_00_mean,0.0032057140574729337,mfcc
prosody_f0_mean,0.003033121635512381,prosody
spectral_rms_mean,0.002790033040268326,spectral
spectral_centroid_median,0.0026138673072775894,spectral
mfcc_d1_02_std,0.0025315626394393637,mfcc
duration_s,0.0024906090654292887,other
spectral_slope_mean,0.00248335291986398,spectral
spectral_flux_median,0.002365223710033799,spectral
mfcc_02_iqr,0.002314560433707844,mfcc
spectral_zcr_median,0.0020344394106066067,spectral
spectral_band_2000_3000_mean,0.002027918021909517,spectral
prosody_f0_median,0.0020159891759096047,prosody
spectral_band_500_1000_mean,0.001966402638797362,spectral
spectral_flux_mean,0.0017577155955715961,spectral
spectral_rolloff85_iqr,0.0017508831996699212,spectral
mfcc_d1_03_std,0.001686476526095638,mfcc
mfcc_00_min,0.0016819685704749197,mfcc
spectral_band_500_1000_std,0.0016133055481030078,spectral
spectral_contrast_1_mean,0.0016018799033912753,spectral
spectral_rms_median,0.0015736429597355552,spectral
spectral_rolloff95_iqr,0.001474021947947952,spectral
prosody_intensity_kurt,0.0014737173105049187,prosody
spectral_rolloff85_median,0.0014694322506266877,spectral
spectral_contrast_5_mean,0.0014648339900402943,spectral
prosody_cpps,0.0013979901807924671,prosody
chroma_08_std,0.0013894098151895533,chroma
spectral_zcr_iqr,0.0013871295996198464,spectral
prosody_f0_max,0.0013867558680580095,prosody
prosody_f0_min,0.0013452461415720625,prosody
spectral_flux_std,0.0013059227307295718,spectral
mfcc_03_std,0.0012861029806725973,mfcc
mfcc_d1_04_std,0.0012845524062421896,mfcc
spectral_band_1000_2000_std,0.0012793154060520772,spectral
