emotion,feature,importance,family
ANG,duration_s,0.0008704931954041423,other
ANG,peak_amplitude,0.00022432698350246212,other
ANG,spectral_centroid_mean,0.0022155219027248534,spectral
ANG,spectral_centroid_std,0.0005400434187289056,spectral
ANG,spectral_centroid_min,0.00015677764007323148,spectral
ANG,spectral_centroid_max,0.00020432258412794399,spectral
ANG,spectral_centroid_median,0.0055014354153048025,spectral
ANG,spectral_centroid_iqr,0.006234747770127367,spectral
ANG,spectral_centroid_skew,0.00019550361253229962,spectral
ANG,spectral_centroid_kurt,0.00015148257223909737,spectral
ANG,spectral_bandwidth_mean,0.00014380369913246255,spectral
ANG,spectral_bandwidth_std,0.00023305907667861865,spectral
ANG,spectral_bandwidth_min,0.0001956031395000296,spectral
ANG,spectral_bandwidth_max,0.00029782446774892534,spectral
ANG,spectral_bandwidth_median,0.0002312022655004209,spectral
ANG,spectral_bandwidth_iqr,0.00030058246522849053,spectral
ANG,spectral_bandwidth_skew,0.00015329160515255088,spectral
ANG,spectral_bandwidth_kurt,0.0002831350999676691,spectral
ANG,spectral_rolloff85_mean,0.0010822495832074816,spectral
ANG,spectral_rolloff85_std,0.00027652054402169525,spectral
ANG,spectral_rolloff85_min,5.504817010488082e-05,spectral
ANG,spectral_rolloff85_max,0.00021334851787537386,spectral
ANG,spectral_rolloff85_median,0.00308947990987112,spectral
ANG,spectral_rolloff85_iqr,0.002571112896815463,spectral
ANG,spectral_rolloff85_skew,0.0002161316826693718,spectral
ANG,spectral_rolloff85_kurt,0.0002193905049307253,spectral
ANG,spectral_rolloff95_mean,0.0007874122057202894,spectral
ANG,spectral_rolloff95_std,0.00028372018695461845,spectral
ANG,spectral_rolloff95_min,5.378950751671588e-05,spectral
ANG,spectral_rolloff95_max,0.00023228218094360265,spectral
ANG,spectral_rolloff95_median,0.002364269430284086,spectral
ANG,spectral_rolloff95_iqr,0.0020277934138887826,spectral
ANG,spectral_rolloff95_skew,0.0004057978563212816,spectral
ANG,spectral_rolloff95_kurt,0.00041911498343157104,spectral
ANG,spectral_flatness_mean,0.00013665331571488062,spectral
ANG,spectral_flatness_std,0.00030681840745773974,spectral
ANG,spectral_flatness_min,0.0004071420426069842,spectral
ANG,spectral_flatness_max,0.000603374083218177,spectral
ANG,spectral_flatness_median,0.00013807237213322044,spectral
ANG,spectral_flatness_iqr,0.0001311328301407476,spectral
ANG,spectral_flatness_skew,0.00014346922449266143,spectral
ANG,spectral_flatness_kurt,0.00014185744470294223,spectral
ANG,spectral_zcr_mean,0.0010968299688968056,spectral
ANG,spectral_zcr_std,0.0004527907585514443,spectral
ANG,spectral_zcr_min,8.594883367007427e-05,spectral
ANG,spectral_zcr_max,0.0002812275863557043,spectral
ANG,spectral_zcr_median,0.00348112917137984,spectral
ANG,spectral_zcr_iqr,0.002556569575084464,spectral
ANG,spectral_zcr_skew,0.00012084515127708302,spectral
ANG,spectral_zcr_kurt,0.00011027906132438171,spectral
ANG,spectral_rms_mean,0.0027140950182475525,spectral
ANG,spectral_rms_std,0.0006889846554898006,spectral
ANG,spectral_rms_min,0.0019028521197568089,spectral
ANG,spectral_rms_max,0.00013397222634082976,spectral
ANG,spectral_rms_median,0.0008523972934280662,spectral
ANG,spectral_rms_iqr,0.0002621853646766403,spectral
ANG,spectral_rms_skew,0.0001827133990953379,spectral
ANG,spectral_rms_kurt,0.0001745853636683864,spectral
ANG,spectral_flux_mean,0.001919245438967898,spectral
ANG,spectral_flux_std,0.0009119521413192636,spectral
ANG,spectral_flux_min,0.007117408993177694,spectral
ANG,spectral_flux_max,0.00013767487386493903,spectral
ANG,spectral_flux_median,0.0016158272229238983,spectral
ANG,spectral_flux_iqr,0.0011427846157763184,spectral
ANG,spectral_flux_skew,0.0001513733032460399,spectral
ANG,spectral_flux_kurt,0.00011913801344966227,spectral
ANG,spectral_entropy_mean,0.000865888403234231,spectral
ANG,spectral_entropy_std,0.0008201042740375557,spectral
ANG,spectral_entropy_min,0.00015033497236399205,spectral
