feature,importance,kind,family
prosody_intensity_min,0.030205223709344864,impurity/gain,prosody
mfcc_d1_00_std,0.025952143594622612,impurity/gain,mfcc
prosody_intensity_std,0.016462309285998344,impurity/gain,prosody
mfcc_00_iqr,0.015311459079384804,impurity/gain,mfcc
mfcc_00_std,0.012843689881265163,impurity/gain,mfcc
prosody_intensity_iqr,0.012188908644020557,impurity/gain,prosody
spectral_band_0_500_mean,0.011710289865732193,impurity/gain,spectral
prosody_intensity_mean,0.008776682429015636,impurity/gain,prosody
prosody_f0_mean,0.007974418811500072,impurity/gain,prosody
mfcc_d2_00_std,0.006308937910944223,impurity/gain,mfcc
prosody_f0_median,0.006264657247811556,impurity/gain,prosody
duration_s,0.005679786205291748,impurity/gain,other
spectral_contrast_2_mean,0.005459597799926996,impurity/gain,spectral
spectral_rolloff85_median,0.00498293898999691,impurity/gain,spectral
spectral_centroid_mean,0.004915311466902494,impurity/gain,spectral
prosody_hnr_median,0.0047825416550040245,impurity/gain,prosody
prosody_f0_std,0.004706990905106068,impurity/gain,prosody
spectral_band_0_500_std,0.004610993899405003,impurity/gain,spectral
spectral_centroid_iqr,0.004582932218909264,impurity/gain,spectral
mfcc_d1_02_std,0.004492223262786865,impurity/gain,mfcc
prosody_cpps,0.004410058259963989,impurity/gain,prosody
prosody_hnr_mean,0.004391451831907034,impurity/gain,prosody
spectral_contrast_1_mean,0.004332198295742273,impurity/gain,spectral
mfcc_02_std,0.004321119748055935,impurity/gain,mfcc
spectral_band_500_1000_mean,0.00418009702116251,impurity/gain,spectral
mfcc_03_std,0.00416081165894866,impurity/gain,mfcc
spectral_zcr_median,0.004146758466959,impurity/gain,spectral
spectral_rms_median,0.004045939072966576,impurity/gain,spectral
mfcc_d1_03_std,0.003929954953491688,impurity/gain,mfcc
spectral_band_500_1000_std,0.0038748665247112513,impurity/gain,spectral
spectral_entropy_median,0.0037443784531205893,impurity/gain,spectral
spectral_contrast_2_std,0.003668814664706588,impurity/gain,spectral
spectral_band_2000_3000_mean,0.0036397383082658052,impurity/gain,spectral
prosody_f0_iqr,0.003622261807322502,impurity/gain,prosody
spectral_band_3000_4000_mean,0.0035499015357345343,impurity/gain,spectral
mfcc_04_min,0.0034450064413249493,impurity/gain,mfcc
mfcc_03_max,0.003415758954361081,impurity/gain,mfcc
spectral_entropy_mean,0.003388989018276334,impurity/gain,spectral
mfcc_09_mean,0.0033790417946875095,impurity/gain,mfcc
spectral_band_4000_5000_mean,0.0033656887244433165,impurity/gain,spectral
