feature,importance,family
mfcc_d1_00_std,0.030144140029648138,mfcc
mfcc_00_std,0.025613521698848046,mfcc
mfcc_d2_00_std,0.025108063764586682,mfcc
duration_s,0.021452233532491868,other
mfcc_00_iqr,0.019263883366351417,mfcc
prosody_intensity_std,0.012964247796328134,prosody
mfcc_00_kurt,0.009087991493196227,mfcc
mfcc_d2_08_std,0.008576065954796855,mfcc
mfcc_d2_01_std,0.007251048152487938,mfcc
prosody_f0_iqr,0.006888921592632549,prosody
prosody_intensity_iqr,0.00538777052540897,prosody
mfcc_03_std,0.004935651125119783,mfcc
prosody_intensity_min,0.00407351017487317,prosody
mfcc_19_median,0.003870876789757497,mfcc
spectral_band_4000_5000_std,0.003793828387680874,spectral
prosody_f0_skew,0.00372328409344307,prosody
prosody_f0_median,0.0036826185291037794,prosody
spectral_band_1000_2000_std,0.003671214156970931,spectral
spectral_centroid_iqr,0.003512382660055563,spectral
mfcc_d1_02_std,0.0034772688651781504,mfcc
prosody_cpps,0.0034547745798388903,prosody
spectral_flux_std,0.0032638976873721757,spectral
prosody_f3_bw_median,0.003079479178957512,prosody
mfcc_04_min,0.0030333300815402835,mfcc
spectral_band_0_500_std,0.0029785923586004336,spectral
prosody_f0_mean,0.002755498069600666,prosody
spectral_band_2000_3000_mean,0.0025842966839444504,spectral
mfcc_d2_02_std,0.0023680248880146386,mfcc
prosody_hnr_median,0.0023520821691082995,prosody
prosody_f0_std,0.002328044611951156,prosody
spectral_entropy_skew,0.0022905449890649886,spectral
mfcc_10_median,0.002175135935822527,mfcc
spectral_contrast_6_mean,0.0020937579350755373,spectral
mfcc_d1_05_std,0.0020185669996567453,mfcc
spectral_entropy_median,0.001856324089496332,spectral
mfcc_06_std,0.0018431911383799682,mfcc
spectral_band_1000_2000_mean,0.0018247751067109782,spectral
mfcc_06_median,0.0017247858966622036,mfcc
prosody_f1_bw_median,0.0016350934809698404,prosody
spectral_band_2000_3000_std,0.0016346822486697527,spectral
