feature,importance,std,family
mfcc_d1_00_std,0.013132440476190527,0.0031617646755892205,mfcc
mfcc_02_median,0.008420138888888859,0.0024027797746016813,mfcc
prosody_f0_skew,0.007403273809523839,0.0016973692480370163,prosody
prosody_f0_median,0.007316468253968242,0.0014245268334101644,prosody
prosody_cpps,0.007130456349206393,0.002651073906909946,prosody
prosody_intensity_std,0.006088789682539758,0.005220822492936858,prosody
mfcc_03_mean,0.006063988095238088,0.0025503159999609028,mfcc
prosody_f0_iqr,0.005877976190476211,0.0028049926398633776,prosody
mfcc_03_max,0.005815972222222257,0.0028107705745642783,mfcc
mfcc_03_std,0.00554315476190477,0.0020339947925967577,mfcc
mfcc_d1_01_std,0.005220734126984122,0.0012972320813657509,mfcc
prosody_f1_bw_median,0.005183531746031769,0.0017549642430887344,prosody
prosody_f0_slope_abs_mean,0.005158730158730154,0.0012420619072965448,prosody
duration_s,0.004724702380952378,0.002603073986559064,other
mfcc_04_min,0.004427083333333345,0.0017480721049951736,mfcc
mfcc_09_mean,0.0041666666666666935,0.0025180635211303377,mfcc
mfcc_06_max,0.004129464285714285,0.002366408071871708,mfcc
mfcc_d2_01_std,0.004092261904761904,0.0023880464339413776,mfcc
spectral_band_4000_5000_std,0.004067460317460331,0.0018573060740921512,spectral
mfcc_d1_03_std,0.0038442460317460597,0.002774565000043835,mfcc
mfcc_10_median,0.00370783730158733,0.0015583115788989626,mfcc
mfcc_01_median,0.0036582341269841417,0.0012967578168105467,mfcc
spectral_bandwidth_max,0.0033854166666666546,0.001730743900309898,spectral
spectral_flatness_skew,0.003373015873015889,0.0015826444576928246,spectral
mfcc_08_median,0.0033234126984127005,0.0015607274526341394,mfcc
spectral_flatness_iqr,0.0032862103174603197,0.001530028796098362,spectral
mfcc_14_max,0.00327380952380954,0.0008634372611869745,mfcc
prosody_f0_std,0.0031374007936508103,0.001548808986854761,prosody
mfcc_13_median,0.0031001984126984294,0.0012585431008299162,mfcc
mfcc_d1_11_mean,0.003087797619047622,0.0010827107299743728,mfcc
prosody_f3_std,0.0030629960317460486,0.0009851414012633228,prosody
mfcc_02_std,0.0030629960317460486,0.0012454620283779518,mfcc
mfcc_d1_12_mean,0.0029761904761905073,0.0013888888888888454,mfcc
prosody_f4_mean,0.0028893849206349242,0.0014533285754893843,prosody
mfcc_09_min,0.0028893849206349242,0.0018648666265659818,mfcc
mfcc_02_skew,0.0028893849206349242,0.0021400981995784952,mfcc
mfcc_d1_06_mean,0.0028769841269841584,0.001617246070129103,mfcc
spectral_flux_std,0.0028769841269841445,0.0020367524967904514,spectral
spectral_entropy_max,0.00283978174603175,0.0011057586811240516,spectral
spectral_band_4000_5000_mean,0.002839781746031736,0.0010297139969205706,spectral
mfcc_d2_04_std,0.0028149801587301487,0.00204635640893525,mfcc
mfcc_09_max,0.0028025793650794106,0.0025470879987855946,mfcc
mfcc_10_skew,0.002802579365079383,0.0010954892274483005,mfcc
mfcc_05_iqr,0.0027405753968254565,0.0011321455998317355,mfcc
spectral_entropy_median,0.0027281746031746074,0.002374225782494911,spectral
chroma_02_std,0.002678571428571419,0.0008928571428571397,chroma
mfcc_12_iqr,0.002678571428571419,0.0010730807367452311,mfcc
mfcc_d2_00_std,0.0026661706349206254,0.0032247547992018495,mfcc
mfcc_d2_03_std,0.0026537698412698874,0.0030451461204882343,mfcc
mfcc_d1_02_std,0.0026165674603175065,0.0014427085678334417,mfcc
mfcc_d1_05_std,0.0025421626984127033,0.003308549408284379,mfcc
mfcc_d2_19_std,0.0025297619047618958,0.0014806360671229411,mfcc
mfcc_d2_15_std,0.0025297619047618958,0.0007136654052548665,mfcc
mfcc_06_median,0.00251736111111113,0.002751942596976054,mfcc
mfcc_11_skew,0.002517361111111102,0.0019772558977582543,mfcc
spectral_contrast_1_mean,0.0024925595238095566,0.003073571166703219,spectral
mfcc_d1_04_std,0.0024553571428571758,0.003002426523230839,mfcc
spectral_contrast_5_mean,0.002455357142857134,0.0015871078130730257,spectral
prosody_hnr_mean,0.0024305555555555747,0.001639908259406423,prosody
mfcc_00_skew,0.0023933531746032077,0.0019899700051255373,mfcc
spectral_slope_std,0.0023685515873016344,0.0013313971638454173,spectral
mfcc_05_mean,0.0023189484126984877,0.002260042516519771,mfcc
mfcc_13_mean,0.002294146825396859,0.0014524818323832088,mfcc
mfcc_14_skew,0.0022817460317460653,0.0008090032951537306,mfcc
mfcc_d2_19_mean,0.002256944444444492,0.0017807125166506923,mfcc
mfcc_d2_13_std,0.0022569444444444503,0.0009021097956087904,mfcc
prosody_shimmer_apq11,0.0022445436507936983,0.0020595399973941148,prosody
mfcc_12_mean,0.002244543650793643,0.0010923262157948237,mfcc
mfcc_16_min,0.002232142857142849,0.001828602042774474,mfcc
chroma_04_std,0.0022197420634920556,0.0011621733766001836,chroma
mfcc_04_max,0.002194940476190496,0.0016068959705283414,mfcc
mfcc_11_iqr,0.0021577380952381153,0.0014518994100447635,mfcc
mfcc_11_max,0.0021577380952381015,0.002009846938823462,mfcc
spectral_rms_max,0.0021577380952380876,0.0008384990825583782,spectral
mfcc_00_mean,0.0021453373015873356,0.0014469659243926969,mfcc
mfcc_06_kurt,0.002132936507936542,0.002020986982883274,mfcc
prosody_intensity_skew,0.0021205357142857206,0.0009540555249463663,prosody
mfcc_10_mean,0.002108134920634941,0.0011177236447662403,mfcc
mfcc_d2_10_mean,0.0020957341269841334,0.0014431348686680162,mfcc
spectral_entropy_min,0.002083333333333326,0.0012972913522442434,spectral
mfcc_d2_18_std,0.002083333333333326,0.0010309826235528996,mfcc
mfcc_05_max,0.00207093253968256,0.002606144137715702,mfcc
spectral_entropy_std,0.002070932539682546,0.0019563013507741802,spectral
prosody_jitter_ppq5,0.0020461309523810006,0.001462189773971394,prosody
spectral_contrast_0_mean,0.002046130952380959,0.001637609200876077,spectral
prosody_shimmer_localdb,0.0019965277777778123,0.0019027440923205935,prosody
prosody_f5_mean,0.0019965277777778123,0.0016379847777861748,prosody
chroma_00_mean,0.0019717261904762112,0.0013313971638453754,chroma
mfcc_00_std,0.0019469246031746518,0.002727244385063878,mfcc
prosody_f1_std,0.0019345238095238027,0.0010890128174652813,prosody
mfcc_09_kurt,0.0019345238095238027,0.0009293151783330918,mfcc
mfcc_00_median,0.0019221230158730368,0.001796660604959181,mfcc
mfcc_d2_18_mean,0.0018973214285714218,0.0007229779686085495,mfcc
spectral_rolloff85_mean,0.001884920634920642,0.0008648609014961401,spectral
mfcc_d1_17_std,0.0018849206349206282,0.0005226018726613444,mfcc
prosody_f2_bw_median,0.0018725198412698485,0.0013633543304917297,prosody
spectral_rolloff95_max,0.0018725198412698346,0.001156336605474094,spectral
mfcc_d2_09_mean,0.001860119047619041,0.0006940014176405344,mfcc
spectral_flatness_mean,0.001860119047619041,0.0010065289626836782,spectral
mfcc_d2_11_mean,0.001860119047619041,0.0008645052112070097,mfcc
spectral_entropy_kurt,0.0018105158730158943,0.0009742321101886103,spectral
spectral_entropy_iqr,0.0017981150793651007,0.0008879349275764961,spectral
prosody_voiced_fraction,0.0017857142857142794,0.0013309928437498701,prosody
mfcc_19_min,0.0017857142857142794,0.0007874259854358872,mfcc
mfcc_14_iqr,0.0017857142857142794,0.0011526736149426796,mfcc
mfcc_d1_14_std,0.0017733134920635552,0.0009456367471873307,mfcc
mfcc_d1_10_std,0.0017733134920635135,0.0010267228097823808,mfcc
mfcc_02_iqr,0.0017733134920635135,0.0027075507892514858,mfcc
prosody_f3_mean,0.001748511904761954,0.0012761977215340768,prosody
mfcc_04_iqr,0.0017485119047619124,0.0015849262205461906,mfcc
prosody_f4_median,0.001723710317460353,0.0017822231498516754,prosody
mfcc_d1_07_std,0.0017113095238095594,0.0016314468291362563,mfcc
spectral_contrast_0_std,0.0017113095238095455,0.0011122067125386493,spectral
mfcc_16_mean,0.0017113095238095177,0.0010496083318203746,mfcc
chroma_09_std,0.0017113095238095177,0.0015589528898628637,chroma
mfcc_15_median,0.0016865079365079583,0.0012430519926727446,mfcc
mfcc_08_max,0.0016493055555555913,0.001671073088370503,mfcc
mfcc_d1_03_mean,0.0016369047619048116,0.0019031077473462671,mfcc
mfcc_19_max,0.0016369047619048116,0.0013429549970913916,mfcc
mfcc_10_iqr,0.001636904761904756,0.0007136654052548664,mfcc
mfcc_18_kurt,0.0016245039682539625,0.001519135183361123,mfcc
spectral_band_0_500_std,0.0016121031746032244,0.002444561001073433,spectral
mfcc_18_median,0.0016121031746031966,0.0019183991705622808,mfcc
mfcc_07_min,0.0016121031746031828,0.0013922065675284073,mfcc
mfcc_01_skew,0.0015624999999999944,0.0002881684037356699,mfcc
prosody_pause_fraction,0.0015624999999999944,0.000661323989383598,prosody
mfcc_04_mean,0.0015500992063492008,0.0014647116985600183,mfcc
spectral_rms_std,0.0015252976190476414,0.0017211211569483716,spectral
mfcc_02_min,0.0014880952380953022,0.002078011911275118,mfcc
mfcc_d1_15_mean,0.0014880952380952328,0.000665496421874935,mfcc
prosody_intensity_max,0.0014880952380952328,0.0008417937871268393,prosody
spectral_centroid_iqr,0.0014756944444444808,0.0017257610274730908,spectral
mfcc_15_mean,0.0014756944444444392,0.0019725839204554653,mfcc
mfcc_d2_02_mean,0.0014632936507936595,0.0012575652117149867,mfcc
prosody_f0_mean,0.0014260912698413064,0.0012771613443021289,prosody
mfcc_01_kurt,0.0014136904761904712,0.0013618307453662994,mfcc
mfcc_d1_10_mean,0.0014012896825397192,0.0024589557463574056,mfcc
peak_amplitude,0.0014012896825397053,0.0014843185375013911,other
mfcc_14_kurt,0.0014012896825396914,0.001107426283450629,mfcc
mfcc_19_iqr,0.001376488095238132,0.0022163448331623085,mfcc
spectral_flatness_std,0.001376488095238118,0.001352482654713892,spectral
prosody_mean_voiced_seg_s,0.0013640873015873106,0.001598692695385223,prosody
mfcc_d2_13_mean,0.0013516865079365448,0.0013799470340156818,mfcc
prosody_hnr_max,0.0013392857142857095,0.0016233202551541185,prosody
mfcc_d2_07_std,0.001314484126984164,0.002268091259492918,mfcc
chroma_08_std,0.0013144841269841362,0.0018736281934777952,chroma
spectral_rolloff85_iqr,0.0013144841269841223,0.0009880250142381953,spectral
prosody_f3_bw_median,0.0012896825396825767,0.002189293302650163,prosody
prosody_intensity_min,0.001289682539682549,0.002739424855453182,prosody
prosody_f2_std,0.001277281746031797,0.0018975645658093686,prosody
chroma_07_std,0.0012648809523809895,0.0007302793583499833,chroma
spectral_contrast_3_std,0.0012648809523809756,0.0014493551918340212,spectral
mfcc_02_mean,0.0012648809523809756,0.0009653522051601272,mfcc
mfcc_14_std,0.0012400793650794023,0.001736111111111122,mfcc
spectral_band_500_1000_std,0.0012400793650794023,0.0013161209485537124,spectral
spectral_centroid_median,0.0012400793650793746,0.0016981391635539302,spectral
spectral_centroid_skew,0.0012400793650793746,0.0005433755530805162,spectral
mfcc_d1_09_std,0.0012276785714285948,0.0022752330593890776,mfcc
spectral_rolloff85_max,0.0012152777777778012,0.0007097761915304426,spectral
mfcc_d1_00_mean,0.0012028769841269937,0.0012747509215736256,mfcc
chroma_09_mean,0.0012028769841269799,0.001245462028377976,chroma
prosody_f2_median,0.0011904761904762001,0.0013647635408925954,prosody
mfcc_18_max,0.0011656746031746268,0.0013860071436158296,mfcc
mfcc_16_max,0.0011408730158730535,0.0016376561527003384,mfcc
mfcc_d2_14_std,0.0011408730158730118,0.0010452037453226887,mfcc
spectral_flatness_kurt,0.0011284722222222182,0.001261655063988627,spectral
spectral_contrast_4_std,0.0011284722222222182,0.00220995225237609,spectral
spectral_zcr_kurt,0.0011160714285714246,0.00035683270262743325,spectral
mfcc_17_skew,0.0011160714285714246,0.0017209871289018358,mfcc
mfcc_05_kurt,0.001091269841269879,0.0010428470258744247,mfcc
mfcc_13_std,0.0010912698412698651,0.0014143429989467405,mfcc
mfcc_19_median,0.0010912698412698651,0.0020851041227166194,mfcc
mfcc_15_skew,0.0010540674603174566,0.0019011270061556223,mfcc
mfcc_07_iqr,0.0010416666666666768,0.0010615542936027937,mfcc
spectral_zcr_iqr,0.001041666666666663,0.0009293151783330918,spectral
mfcc_d2_17_std,0.001041666666666663,0.0016503774563109194,mfcc
chroma_11_std,0.001041666666666663,0.0007136654052548664,chroma
mfcc_d2_08_std,0.0010292658730158971,0.0016088088287385092,mfcc
spectral_slope_median,0.0010168650793650896,0.0016086654432720042,spectral
prosody_f0_min,0.0009920634920635163,0.003331915798362415,prosody
prosody_intensity_median,0.0009920634920635024,0.0009541361141702095,prosody
chroma_01_mean,0.000979662698412695,0.0009801335014987807,chroma
mfcc_09_median,0.0009672619047619152,0.0014219336392087484,mfcc
spectral_zcr_std,0.0009672619047619013,0.0002881684037356699,spectral
mfcc_d2_07_mean,0.0009548611111111077,0.0018796510901815556,mfcc
mfcc_d1_08_std,0.0009424603174603557,0.0017060896351110846,mfcc
mfcc_03_iqr,0.0009424603174603557,0.0013402039767962779,mfcc
chroma_05_std,0.0008928571428571397,0.0011526736149426796,chroma
mfcc_08_std,0.0008928571428571397,0.0010730807367452311,mfcc
chroma_08_mean,0.0008928571428571397,0.0007874259854358872,chroma
mfcc_12_median,0.0008928571428571397,0.000987090711415294,mfcc
mfcc_05_min,0.0008804563492063877,0.0020358084981409405,mfcc
mfcc_16_kurt,0.0008804563492063461,0.001200189273510348,mfcc
mfcc_19_mean,0.0008680555555555802,0.0017633562299457593,mfcc
prosody_shimmer_apq5,0.0008680555555555663,0.0007302793583499634,prosody
mfcc_19_skew,0.0008432539682539791,0.0008059561909361325,mfcc
mfcc_d1_02_mean,0.0008432539682539791,0.001871821653185847,mfcc
prosody_f1_mean,0.0008432539682539791,0.0015615154998707235,prosody
spectral_rms_mean,0.0008432539682539791,0.001778811614785815,spectral
spectral_band_6000_8000_std,0.000818452380952378,0.0013289115401407506,spectral
spectral_slope_min,0.000818452380952378,0.0007839028089920164,spectral
mfcc_11_kurt,0.0007936507936508325,0.0014864408793424017,mfcc
mfcc_12_kurt,0.0007936507936507908,0.0013282170475194283,mfcc
mfcc_18_iqr,0.0007688492063492314,0.0010739402328676171,mfcc
mfcc_d2_00_mean,0.0007688492063492175,0.0013205535230133329,mfcc
mfcc_17_std,0.0007564484126984239,0.0019534694361194233,mfcc
spectral_slope_kurt,0.0007440476190476164,0.001020186696488247,spectral
prosody_jitter_local,0.0007440476190476164,0.0019459370283663653,prosody
spectral_hf_ratio_4000_mean,0.0007440476190476164,0.0007136654052548664,spectral
spectral_band_6000_8000_mean,0.0007440476190476164,0.0008803690153422017,spectral
mfcc_d1_14_mean,0.0007316468253968506,0.0014747562710723272,mfcc
spectral_band_1000_2000_mean,0.0007316468253968506,0.002144978867203672,spectral
mfcc_11_median,0.0007316468253968228,0.001634601478976193,mfcc
mfcc_d1_18_std,0.0007192460317460431,0.0014837486122168601,mfcc
mfcc_15_min,0.0007068452380952911,0.0011434984241313407,mfcc
mfcc_10_std,0.0006944444444444836,0.0017039250037021291,mfcc
mfcc_13_min,0.0006944444444444697,0.0009078871635775389,mfcc
spectral_flatness_median,0.0006944444444444697,0.0008817653191781244,spectral
spectral_flatness_max,0.0006944444444444559,0.001155871051362224,spectral
mfcc_d1_06_std,0.0006820436507937039,0.001938613338698834,mfcc
mfcc_d1_09_mean,0.0006820436507936484,0.0012891458552132368,mfcc
spectral_band_5000_6000_std,0.0006696428571428548,0.0007551258604979303,spectral
spectral_rms_skew,0.0006696428571428548,0.0006940014176405344,spectral
mfcc_12_std,0.000657242063492075,0.0004833128787178604,mfcc
spectral_rms_median,0.000657242063492075,0.0013492952490261317,spectral
spectral_slope_mean,0.0006448412698412953,0.0015360974769049382,spectral
prosody_f4_std,0.0006448412698412814,0.0020915841907051635,prosody
spectral_contrast_1_std,0.000620039682539722,0.002244098274237758,spectral
spectral_band_0_500_mean,0.0006076388888889006,0.00106206119223363,spectral
prosody_shimmer_local,0.0006076388888889006,0.001129425726593589,prosody
spectral_zcr_max,0.0005952380952380931,0.0006654964218749351,spectral
