feature,importance,family
mfcc_d1_00_std,0.24608731,mfcc
mfcc_d2_00_std,0.17405641,mfcc
duration_s,0.15089943,other
prosody_intensity_std,0.14819029,prosody
mfcc_00_std,0.11738699,mfcc
mfcc_03_std,0.11588394,mfcc
spectral_flux_std,0.107258014,spectral
prosody_intensity_iqr,0.104619555,prosody
mfcc_00_iqr,0.09954349,mfcc
prosody_f0_median,0.08766688,prosody
mfcc_d1_02_std,0.08705153,mfcc
prosody_cpps,0.08261934,prosody
prosody_f0_iqr,0.08259872,prosody
prosody_f0_skew,0.07945457,prosody
prosody_intensity_min,0.076884545,prosody
mfcc_d2_03_std,0.075366355,mfcc
prosody_f1_bw_median,0.07400995,prosody
spectral_band_1000_2000_std,0.07345694,spectral
prosody_f0_mean,0.07252558,prosody
mfcc_d2_01_std,0.07251426,mfcc
spectral_contrast_1_mean,0.07226171,spectral
mfcc_d1_03_std,0.06732747,mfcc
mfcc_02_std,0.06354104,mfcc
spectral_entropy_median,0.06308478,spectral
mfcc_03_max,0.060438275,mfcc
spectral_band_2000_3000_mean,0.060017135,spectral
mfcc_00_kurt,0.058385316,mfcc
spectral_contrast_6_mean,0.058291614,spectral
mfcc_00_skew,0.05795019,mfcc
spectral_flux_iqr,0.057163782,spectral
mfcc_10_median,0.05645582,mfcc
mfcc_d2_04_std,0.054041635,mfcc
prosody_f0_std,0.05323475,prosody
mfcc_02_median,0.05278785,mfcc
spectral_centroid_iqr,0.05233926,spectral
mfcc_02_skew,0.050684247,mfcc
mfcc_06_std,0.05045053,mfcc
spectral_flatness_min,0.04981178,spectral
mfcc_00_median,0.049627755,mfcc
spectral_band_0_500_std,0.049240585,spectral
mfcc_09_median,0.048849728,mfcc
mfcc_d2_09_std,0.048824955,mfcc
spectral_flatness_iqr,0.048808504,spectral
prosody_intensity_kurt,0.048355605,prosody
spectral_band_2000_3000_std,0.04833547,spectral
prosody_f0_min,0.047564313,prosody
prosody_f3_bw_median,0.046936177,prosody
mfcc_06_median,0.046668194,mfcc
spectral_band_0_500_mean,0.046094574,spectral
mfcc_09_mean,0.04546705,mfcc
spectral_band_3000_4000_std,0.044051882,spectral
prosody_f5_median,0.04362267,prosody
spectral_band_4000_5000_std,0.043201327,spectral
mfcc_d2_08_std,0.04306233,mfcc
prosody_f0_slope_abs_mean,0.042617265,prosody
prosody_f4_std,0.04166595,prosody
mfcc_09_max,0.041625965,mfcc
mfcc_d1_01_std,0.04158382,mfcc
spectral_contrast_4_std,0.04103092,spectral
mfcc_d2_19_mean,0.04098452,mfcc
spectral_contrast_6_std,0.04065095,spectral
mfcc_12_max,0.040501192,mfcc
mfcc_06_max,0.0404211,mfcc
mfcc_04_min,0.04041269,mfcc
mfcc_00_mean,0.04040882,mfcc
mfcc_03_min,0.0402862,mfcc
mfcc_d1_10_mean,0.039918292,mfcc
mfcc_03_skew,0.03844901,mfcc
mfcc_05_min,0.038053606,mfcc
mfcc_d1_05_std,0.03798229,mfcc
spectral_slope_std,0.03738748,spectral
spectral_contrast_1_std,0.03725122,spectral
mfcc_13_mean,0.03699244,mfcc
prosody_voiced_rate_per_s,0.036692016,prosody
spectral_entropy_mean,0.036526546,spectral
mfcc_d1_01_mean,0.036412433,mfcc
mfcc_d2_07_std,0.036119577,mfcc
