feature,importance,family
mfcc_d1_00_std,0.2167921,mfcc
duration_s,0.15839373,other
mfcc_d2_00_std,0.15561765,mfcc
prosody_intensity_std,0.15242942,prosody
mfcc_00_std,0.121064655,mfcc
mfcc_03_std,0.11913256,mfcc
spectral_flux_std,0.104313895,spectral
prosody_intensity_iqr,0.102585204,prosody
mfcc_00_iqr,0.10033427,mfcc
mfcc_00_kurt,0.0909754,mfcc
prosody_f0_median,0.09060956,prosody
mfcc_d1_02_std,0.0860136,mfcc
mfcc_d1_01_mean,0.0825988,mfcc
prosody_cpps,0.0804497,prosody
prosody_f0_skew,0.07981516,prosody
prosody_intensity_min,0.079535715,prosody
mfcc_00_skew,0.078471795,mfcc
prosody_f0_iqr,0.076058246,prosody
prosody_f1_bw_median,0.07605751,prosody
spectral_band_1000_2000_std,0.073189475,spectral
spectral_contrast_1_mean,0.07275186,spectral
mfcc_d2_03_std,0.07241614,mfcc
prosody_f0_mean,0.070601285,prosody
mfcc_d2_01_std,0.06867901,mfcc
mfcc_d1_03_std,0.06433547,mfcc
mfcc_03_max,0.064193465,mfcc
mfcc_02_std,0.06316649,mfcc
spectral_entropy_median,0.061644506,spectral
mfcc_02_median,0.05818301,mfcc
spectral_centroid_iqr,0.056197025,spectral
spectral_band_2000_3000_mean,0.055446606,spectral
spectral_flux_iqr,0.05514997,spectral
mfcc_02_skew,0.051590458,mfcc
spectral_band_0_500_std,0.05126993,spectral
mfcc_d2_04_std,0.05093387,mfcc
mfcc_00_median,0.050542645,mfcc
mfcc_10_median,0.0503541,mfcc
prosody_f0_std,0.04839853,prosody
prosody_intensity_kurt,0.048280567,prosody
mfcc_09_mean,0.04812963,mfcc
mfcc_d2_09_std,0.047744833,mfcc
mfcc_06_std,0.047585033,mfcc
spectral_band_0_500_mean,0.047166295,spectral
prosody_f3_bw_median,0.04691454,prosody
mfcc_d2_08_std,0.04599519,mfcc
prosody_f0_min,0.045805126,prosody
mfcc_d1_00_mean,0.04559643,mfcc
mfcc_d1_02_mean,0.045441315,mfcc
mfcc_d1_01_std,0.044966567,mfcc
prosody_f0_slope_abs_mean,0.044138107,prosody
mfcc_04_min,0.04380182,mfcc
mfcc_09_median,0.043238156,mfcc
mfcc_06_median,0.042244386,mfcc
prosody_f5_median,0.04211301,prosody
mfcc_00_mean,0.042014312,mfcc
spectral_band_2000_3000_std,0.0414307,spectral
spectral_contrast_4_std,0.04142506,spectral
prosody_f4_std,0.041330203,prosody
mfcc_03_min,0.041067623,mfcc
spectral_band_3000_4000_std,0.0409811,spectral
spectral_band_4000_5000_std,0.040803567,spectral
mfcc_09_max,0.040600605,mfcc
mfcc_06_max,0.040488146,mfcc
mfcc_d2_19_mean,0.03960726,mfcc
mfcc_d1_10_mean,0.039343752,mfcc
prosody_voiced_rate_per_s,0.038924962,prosody
spectral_flatness_min,0.037921567,spectral
spectral_contrast_1_std,0.03786494,spectral
mfcc_05_min,0.037715323,mfcc
mfcc_03_skew,0.03768273,mfcc
spectral_entropy_mean,0.037532136,spectral
mfcc_d2_12_std,0.03723756,mfcc
mfcc_d2_07_std,0.036774654,mfcc
mfcc_d1_03_mean,0.03672173,mfcc
mfcc_12_max,0.036359303,mfcc
mfcc_d1_05_std,0.03620219,mfcc
prosody_f4_median,0.03599078,prosody
mfcc_05_max,0.035836164,mfcc
prosody_hnr_median,0.035053108,prosody
spectral_flux_min,0.03501988,spectral
spectral_slope_std,0.034956634,spectral
mfcc_04_std,0.03440933,mfcc
mfcc_03_mean,0.033902258,mfcc
spectral_contrast_2_std,0.033766083,spectral
mfcc_19_median,0.03362001,mfcc
mfcc_13_mean,0.03343636,mfcc
chroma_06_std,0.033187438,chroma
mfcc_11_skew,0.033030566,mfcc
mfcc_d1_11_mean,0.03265968,mfcc
mfcc_08_skew,0.032465015,mfcc
prosody_f1_std,0.032428678,prosody
spectral_rms_std,0.03237701,spectral
prosody_f2_std,0.03201933,prosody
prosody_jitter_ppq5,0.031125464,prosody
mfcc_08_median,0.030785717,mfcc
mfcc_02_iqr,0.030715184,mfcc
prosody_f0_max,0.030501138,prosody
mfcc_10_mean,0.030236676,mfcc
prosody_hnr_min,0.030176861,prosody
mfcc_13_min,0.030110056,mfcc
mfcc_11_max,0.030009044,mfcc
mfcc_18_min,0.029968899,mfcc
mfcc_04_median,0.029913237,mfcc
prosody_voiced_fraction,0.029845791,prosody
spectral_zcr_median,0.02957384,spectral
mfcc_d2_10_std,0.029353298,mfcc
mfcc_d1_04_std,0.029231267,mfcc
mfcc_d1_06_std,0.02918599,mfcc
mfcc_18_median,0.029049305,mfcc
spectral_contrast_6_mean,0.028793301,spectral
mfcc_d1_07_std,0.02873935,mfcc
prosody_hnr_mean,0.028727874,prosody
mfcc_01_iqr,0.02854001,mfcc
mfcc_06_min,0.028388036,mfcc
spectral_bandwidth_max,0.028032878,spectral
mfcc_02_min,0.027932856,mfcc
mfcc_04_max,0.027865086,mfcc
mfcc_08_mean,0.02783545,mfcc
prosody_f3_std,0.027790455,prosody
spectral_entropy_skew,0.027714092,spectral
mfcc_19_max,0.027645897,mfcc
spectral_contrast_0_std,0.027555332,spectral
spectral_rms_median,0.026983932,spectral
mfcc_14_iqr,0.026955213,mfcc
mfcc_09_min,0.02682564,mfcc
mfcc_d2_07_mean,0.02673997,mfcc
spectral_flatness_iqr,0.026548,spectral
mfcc_05_median,0.026460461,mfcc
spectral_band_500_1000_std,0.02634374,spectral
spectral_contrast_5_std,0.026292462,spectral
mfcc_13_median,0.02610936,mfcc
mfcc_05_mean,0.025654435,mfcc
mfcc_d2_00_mean,0.025650268,mfcc
mfcc_d2_06_std,0.025634984,mfcc
spectral_band_1000_2000_mean,0.025402028,spectral
prosody_f4_mean,0.02539456,prosody
mfcc_04_kurt,0.025187707,mfcc
chroma_07_mean,0.025104443,chroma
mfcc_08_max,0.024756774,mfcc
mfcc_d1_09_std,0.024653804,mfcc
peak_amplitude,0.024549987,other
mfcc_06_iqr,0.02453274,mfcc
mfcc_d1_14_mean,0.024490463,mfcc
mfcc_19_iqr,0.024387373,mfcc
mfcc_05_std,0.024168676,mfcc
mfcc_d1_06_mean,0.024162978,mfcc
mfcc_d2_03_mean,0.023872424,mfcc
mfcc_d2_02_std,0.023727318,mfcc
spectral_rolloff95_iqr,0.023423644,spectral
mfcc_05_iqr,0.02328076,mfcc
mfcc_d1_04_mean,0.023277815,mfcc
mfcc_15_skew,0.023245601,mfcc
mfcc_16_skew,0.02315423,mfcc
prosody_hnr_std,0.02295205,prosody
mfcc_08_min,0.022907441,mfcc
mfcc_00_max,0.022841675,mfcc
spectral_slope_mean,0.022817208,spectral
spectral_contrast_0_mean,0.022703635,spectral
mfcc_00_min,0.022609847,mfcc
mfcc_07_std,0.022571577,mfcc
mfcc_01_max,0.022540187,mfcc
spectral_entropy_kurt,0.02224944,spectral
prosody_intensity_mean,0.022235904,prosody
spectral_band_500_1000_mean,0.022183944,spectral
prosody_f1_median,0.021813301,prosody
mfcc_12_skew,0.021714943,mfcc
spectral_band_4000_5000_mean,0.021642962,spectral
mfcc_07_iqr,0.021614833,mfcc
mfcc_11_std,0.02152338,mfcc
mfcc_02_max,0.021502266,mfcc
prosody_shimmer_apq11,0.021397557,prosody
spectral_flatness_skew,0.021291228,spectral
spectral_contrast_2_mean,0.02117921,spectral
spectral_centroid_min,0.021121344,spectral
mfcc_19_skew,0.021041417,mfcc
mfcc_15_min,0.020997679,mfcc
mfcc_d1_08_std,0.020980883,mfcc
spectral_zcr_iqr,0.020889329,spectral
mfcc_10_min,0.020822851,mfcc
mfcc_18_iqr,0.02079132,mfcc
prosody_f0_kurt,0.020762777,prosody
mfcc_d2_15_std,0.020673849,mfcc
mfcc_d2_02_mean,0.02065536,mfcc
spectral_rms_mean,0.020635506,spectral
spectral_rms_min,0.020569164,spectral
mfcc_10_kurt,0.02055654,mfcc
mfcc_d2_13_std,0.020509453,mfcc
prosody_f2_mean,0.020501843,prosody
mfcc_d2_05_std,0.020485714,mfcc
mfcc_14_std,0.020482836,mfcc
mfcc_07_mean,0.02046967,mfcc
prosody_shimmer_localdb,0.02026926,prosody
mfcc_d2_14_std,0.02023428,mfcc
mfcc_18_max,0.02022234,mfcc
mfcc_13_skew,0.020151835,mfcc
mfcc_17_min,0.020148262,mfcc
mfcc_18_kurt,0.020075737,mfcc
mfcc_d2_15_mean,0.01993305,mfcc
mfcc_d2_16_mean,0.01985225,mfcc
mfcc_02_kurt,0.019686474,mfcc
prosody_f5_std,0.019680778,prosody
mfcc_01_median,0.019622289,mfcc
mfcc_10_skew,0.019401338,mfcc
chroma_02_std,0.019398538,chroma
mfcc_07_skew,0.019374171,mfcc
chroma_00_mean,0.019351771,chroma
prosody_mean_voiced_seg_s,0.019259222,prosody
prosody_pause_fraction,0.019172441,prosody
mfcc_11_median,0.01914773,mfcc
prosody_shimmer_apq3,0.019136112,prosody
spectral_flatness_kurt,0.019107169,spectral
mfcc_d2_01_mean,0.019087488,mfcc
mfcc_01_std,0.019076666,mfcc
spectral_centroid_median,0.019045183,spectral
mfcc_16_median,0.019029759,mfcc
mfcc_d1_13_std,0.01900465,mfcc
prosody_intensity_median,0.018939598,prosody
mfcc_16_max,0.018803714,mfcc
chroma_10_std,0.018786093,chroma
mfcc_d2_19_std,0.018755253,mfcc
mfcc_15_iqr,0.01871856,mfcc
mfcc_04_skew,0.018654665,mfcc
spectral_slope_median,0.018513955,spectral
mfcc_d1_17_mean,0.018306518,mfcc
mfcc_17_skew,0.018302547,mfcc
chroma_03_std,0.018158616,chroma
mfcc_d1_05_mean,0.018127494,mfcc
mfcc_03_median,0.017836504,mfcc
spectral_entropy_max,0.017800683,spectral
mfcc_d1_08_mean,0.017726764,mfcc
mfcc_d1_10_std,0.017674796,mfcc
mfcc_15_max,0.017646147,mfcc
prosody_jitter_local,0.017579094,prosody
mfcc_16_kurt,0.017577425,mfcc
mfcc_17_std,0.01751625,mfcc
spectral_entropy_min,0.01745201,spectral
mfcc_17_max,0.017433988,mfcc
mfcc_03_iqr,0.017420212,mfcc
chroma_06_mean,0.017403904,chroma
spectral_contrast_3_std,0.017378101,spectral
mfcc_14_skew,0.017330552,mfcc
spectral_entropy_iqr,0.017288111,spectral
mfcc_10_std,0.01724092,mfcc
mfcc_d1_12_mean,0.017107353,mfcc
mfcc_04_mean,0.01709544,mfcc
spectral_band_3000_4000_mean,0.017061884,spectral
spectral_slope_iqr,0.016989317,spectral
prosody_f5_mean,0.01698401,prosody
mfcc_12_mean,0.016925031,mfcc
mfcc_11_min,0.016796652,mfcc
mfcc_11_kurt,0.016774978,mfcc
mfcc_19_mean,0.016772006,mfcc
mfcc_d2_10_mean,0.016767273,mfcc
mfcc_d2_11_std,0.016751591,mfcc
mfcc_d2_04_mean,0.016693534,mfcc
chroma_08_std,0.016477656,chroma
prosody_jitter_rap,0.016467806,prosody
mfcc_12_iqr,0.016454315,mfcc
mfcc_07_median,0.016306529,mfcc
