feature,importance,family
mfcc_d1_00_std,0.25107193,mfcc
mfcc_d2_00_std,0.17718416,mfcc
duration_s,0.15249814,other
prosody_intensity_std,0.15113956,prosody
mfcc_00_std,0.11855457,mfcc
mfcc_03_std,0.11666856,mfcc
prosody_intensity_iqr,0.108412504,prosody
spectral_flux_std,0.101678476,spectral
mfcc_00_iqr,0.10123521,mfcc
prosody_f0_median,0.09129133,prosody
mfcc_d1_02_std,0.08967381,mfcc
prosody_f0_skew,0.08264678,prosody
prosody_cpps,0.082531795,prosody
prosody_f0_iqr,0.07994626,prosody
prosody_intensity_min,0.078900024,prosody
prosody_f1_bw_median,0.07712219,prosody
mfcc_d2_03_std,0.07519391,mfcc
spectral_band_1000_2000_std,0.075121306,spectral
prosody_f0_mean,0.0737779,prosody
mfcc_d2_01_std,0.07246694,mfcc
spectral_contrast_1_mean,0.07163914,spectral
mfcc_d1_03_std,0.06823814,mfcc
mfcc_02_std,0.06597813,mfcc
spectral_entropy_median,0.06302334,spectral
mfcc_03_max,0.06166377,mfcc
spectral_band_2000_3000_mean,0.05900752,spectral
mfcc_00_kurt,0.05841176,mfcc
mfcc_00_skew,0.0581273,mfcc
spectral_flux_iqr,0.05765394,spectral
mfcc_02_median,0.057450905,mfcc
spectral_centroid_iqr,0.055239715,spectral
mfcc_00_median,0.05273541,mfcc
mfcc_d2_04_std,0.05249941,mfcc
mfcc_02_skew,0.051765807,mfcc
prosody_f0_std,0.05159231,prosody
mfcc_06_std,0.050967675,mfcc
mfcc_10_median,0.05073602,mfcc
mfcc_d2_09_std,0.050036553,mfcc
spectral_band_0_500_std,0.049088996,spectral
prosody_intensity_kurt,0.048754342,prosody
spectral_band_2000_3000_std,0.048690856,spectral
prosody_f3_bw_median,0.047222745,prosody
spectral_band_0_500_mean,0.047020778,spectral
spectral_band_4000_5000_std,0.047013152,spectral
prosody_f0_min,0.046278417,prosody
mfcc_09_mean,0.045433648,mfcc
spectral_band_3000_4000_std,0.04476099,spectral
mfcc_06_median,0.043618135,mfcc
mfcc_d2_08_std,0.043402888,mfcc
prosody_f5_median,0.043382097,prosody
prosody_f0_slope_abs_mean,0.043082446,prosody
mfcc_d1_01_std,0.042555522,mfcc
mfcc_d2_19_mean,0.04238062,mfcc
mfcc_00_mean,0.042056117,mfcc
prosody_f4_std,0.041902617,prosody
mfcc_09_median,0.041788217,mfcc
mfcc_d1_10_mean,0.04146721,mfcc
mfcc_06_max,0.041149415,mfcc
mfcc_04_min,0.041011512,mfcc
mfcc_09_max,0.040928632,mfcc
mfcc_03_min,0.04089311,mfcc
spectral_contrast_4_std,0.039043386,spectral
mfcc_03_skew,0.0387018,mfcc
mfcc_05_min,0.038547345,mfcc
mfcc_d1_05_std,0.03846792,mfcc
spectral_flatness_min,0.03836899,spectral
mfcc_12_max,0.038119745,mfcc
spectral_contrast_1_std,0.038045052,spectral
mfcc_05_max,0.03774198,mfcc
prosody_voiced_rate_per_s,0.03743203,prosody
spectral_entropy_mean,0.03732585,spectral
mfcc_d1_01_mean,0.037126493,mfcc
mfcc_d2_07_std,0.036815718,mfcc
spectral_slope_std,0.036559056,spectral
mfcc_d2_12_std,0.036537103,mfcc
prosody_hnr_median,0.035713952,prosody
prosody_f4_median,0.03564115,prosody
chroma_06_std,0.03518409,chroma
mfcc_d1_11_mean,0.034669828,mfcc
mfcc_04_std,0.034295883,mfcc
mfcc_19_median,0.033969723,mfcc
spectral_contrast_2_std,0.03384096,spectral
prosody_f2_std,0.033790223,prosody
mfcc_03_mean,0.033706512,mfcc
mfcc_13_mean,0.033641726,mfcc
mfcc_11_skew,0.033275228,mfcc
mfcc_08_median,0.033067774,mfcc
mfcc_08_skew,0.032903124,mfcc
spectral_rms_std,0.03215534,spectral
prosody_f0_max,0.03192292,prosody
mfcc_02_iqr,0.031843327,mfcc
prosody_f1_std,0.031508442,prosody
