feature,importance,family
mfcc_d1_00_std,0.21649782,mfcc
duration_s,0.15831457,other
mfcc_d2_00_std,0.15527661,mfcc
prosody_intensity_std,0.15241307,prosody
mfcc_00_std,0.121164195,mfcc
mfcc_03_std,0.11928969,mfcc
spectral_flux_std,0.104454435,spectral
prosody_intensity_iqr,0.102573805,prosody
mfcc_00_iqr,0.1002253,mfcc
mfcc_00_kurt,0.090936,mfcc
prosody_f0_median,0.09043302,prosody
mfcc_d1_02_std,0.0859999,mfcc
mfcc_d1_01_mean,0.08247319,mfcc
prosody_cpps,0.08033704,prosody
prosody_f0_skew,0.079711184,prosody
prosody_intensity_min,0.07936977,prosody
mfcc_00_skew,0.07830905,mfcc
prosody_f0_iqr,0.07607995,prosody
prosody_f1_bw_median,0.075838484,prosody
spectral_band_1000_2000_std,0.07358277,spectral
spectral_contrast_1_mean,0.07273938,spectral
mfcc_d2_03_std,0.072293796,mfcc
prosody_f0_mean,0.070581935,prosody
mfcc_d2_01_std,0.06852659,mfcc
mfcc_d1_03_std,0.06427631,mfcc
mfcc_03_max,0.06396603,mfcc
mfcc_02_std,0.063033804,mfcc
spectral_entropy_median,0.06160542,spectral
mfcc_02_median,0.058339324,mfcc
spectral_centroid_iqr,0.056257315,spectral
spectral_band_2000_3000_mean,0.055517886,spectral
spectral_flux_iqr,0.05507605,spectral
mfcc_02_skew,0.051577415,mfcc
spectral_band_0_500_std,0.051330388,spectral
mfcc_d2_04_std,0.05098481,mfcc
mfcc_00_median,0.050502386,mfcc
mfcc_10_median,0.0503567,mfcc
prosody_intensity_kurt,0.048235103,prosody
prosody_f0_std,0.048192874,prosody
mfcc_09_mean,0.04811129,mfcc
mfcc_d2_09_std,0.04766542,mfcc
mfcc_06_std,0.047578286,mfcc
prosody_f3_bw_median,0.04713743,prosody
spectral_band_0_500_mean,0.047109947,spectral
mfcc_d2_08_std,0.046167042,mfcc
prosody_f0_min,0.045802116,prosody
mfcc_d1_00_mean,0.0454944,mfcc
mfcc_d1_02_mean,0.04547272,mfcc
mfcc_d1_01_std,0.04496105,mfcc
prosody_f0_slope_abs_mean,0.044106647,prosody
mfcc_04_min,0.043814693,mfcc
mfcc_09_median,0.043302234,mfcc
prosody_f5_median,0.04231689,prosody
mfcc_06_median,0.042129982,mfcc
mfcc_00_mean,0.04189036,mfcc
