feature,importance,family
mfcc_d1_00_std,0.008819158630610871,mfcc
mfcc_d2_00_std,0.00785319083280223,mfcc
duration_s,0.006948137005014792,other
prosody_f0_iqr,0.004775904853787636,prosody
mfcc_d1_02_std,0.003747910563839812,mfcc
mfcc_d2_03_std,0.0036656842156952267,mfcc
mfcc_00_iqr,0.0034799165598647184,mfcc
spectral_band_500_1000_std,0.0031401356454081376,spectral
mfcc_d1_04_std,0.0028575634301709215,mfcc
prosody_f2_std,0.0027541323522305744,prosody
mfcc_d2_01_std,0.0026325048219108514,mfcc
mfcc_00_skew,0.002542493701806693,mfcc
mfcc_d2_08_std,0.002488714601849012,mfcc
mfcc_02_std,0.002441265475699157,mfcc
spectral_band_1000_2000_std,0.002378977182013977,spectral
mfcc_10_mean,0.0022956392010337777,mfcc
mfcc_04_mean,0.002218594057379387,mfcc
spectral_contrast_1_mean,0.0021976856616971146,spectral
mfcc_10_max,0.0021436535727020747,mfcc
mfcc_d2_14_mean,0.002139496081278105,mfcc
spectral_contrast_6_mean,0.002093025908703495,spectral
mfcc_14_skew,0.001972643789752465,mfcc
mfcc_04_median,0.001962903418554834,mfcc
spectral_entropy_kurt,0.001949658784640345,spectral
spectral_flux_std,0.0018451245581664554,spectral
mfcc_03_max,0.00183132376353681,mfcc
spectral_slope_iqr,0.0017769860539676864,spectral
mfcc_02_skew,0.0017514633323768162,mfcc
spectral_contrast_4_mean,0.0017409416317702843,spectral
mfcc_d2_15_mean,0.0017263983787314068,mfcc
chroma_01_std,0.0016762934214749445,chroma
spectral_slope_median,0.0016617880892384016,spectral
prosody_f0_median,0.0016290489786203626,prosody
mfcc_00_max,0.001603025498107882,mfcc
prosody_voiced_fraction,0.0016024233144174302,prosody
mfcc_00_kurt,0.0015382253647301472,mfcc
spectral_contrast_5_mean,0.0015036912028818248,spectral
prosody_f2_mean,0.0014782181605574333,prosody
mfcc_d2_10_std,0.0014480200172772102,mfcc
spectral_rolloff95_kurt,0.0014473297373172667,spectral
mfcc_04_iqr,0.0014452956891183,mfcc
chroma_09_std,0.0014082726483175497,chroma
mfcc_05_mean,0.0014038504541730758,mfcc
mfcc_01_max,0.001350458584511764,mfcc
mfcc_14_kurt,0.0013493767446119138,mfcc
spectral_rolloff95_max,0.0013373899976772215,spectral
mfcc_d1_09_mean,0.0013213385236087037,mfcc
mfcc_00_std,0.0012909804457440742,mfcc
spectral_band_0_500_std,0.0012822358268849445,spectral
spectral_rms_median,0.0012753450084627047,spectral
prosody_f1_std,0.001273816734784015,prosody
mfcc_09_mean,0.0012608621896074586,mfcc
prosody_intensity_mean,0.0012521587574396984,prosody
spectral_band_2000_3000_std,0.001228315727940015,spectral
mfcc_13_min,0.0012229790991981884,mfcc
prosody_n_voiced_segments,0.0012220014464559361,prosody
spectral_band_0_500_mean,0.0012213165228306332,spectral
chroma_10_mean,0.001210138946550942,chroma
spectral_flux_min,0.001205696051880606,spectral
spectral_flatness_kurt,0.001202521286591204,spectral
mfcc_11_std,0.0011872166542914162,mfcc
spectral_bandwidth_median,0.0011808031782338658,spectral
mfcc_d2_07_std,0.0011780265166160902,mfcc
mfcc_d2_01_mean,0.0011527423360818045,mfcc
mfcc_03_kurt,0.001146877308641158,mfcc
prosody_jitter_ppq5,0.0011452615154424694,prosody
mfcc_03_min,0.001131721135527242,mfcc
spectral_rms_min,0.001120270458261586,spectral
mfcc_08_min,0.0010788046627750222,mfcc
spectral_entropy_std,0.0010745444947026436,spectral
prosody_intensity_iqr,0.0010605431038570162,prosody
mfcc_08_median,0.0010581714540446776,mfcc
mfcc_04_skew,0.0010526670814125353,mfcc
spectral_flux_iqr,0.0010520045259530186,spectral
spectral_hf_ratio_6000_std,0.0010455695259832289,spectral
mfcc_02_min,0.0010421375004684163,mfcc
prosody_f5_median,0.0010343765515847068,prosody
mfcc_12_max,0.0010232334120061119,mfcc
mfcc_01_iqr,0.0010176605755886161,mfcc
spectral_band_3000_4000_std,0.0010154941937356346,spectral
mfcc_00_median,0.001005310398886246,mfcc
mfcc_10_std,0.0010045425067733522,mfcc
mfcc_d2_07_mean,0.0009993222059756206,mfcc
mfcc_15_min,0.0009974022785779275,mfcc
prosody_voiced_rate_per_s,0.0009964790711663235,prosody
mfcc_02_median,0.000996362191911112,mfcc
mfcc_06_iqr,0.0009760432184826928,mfcc
mfcc_d1_14_mean,0.0009752403815881529,mfcc
spectral_contrast_4_std,0.000965574340044751,spectral
spectral_contrast_3_std,0.0009531323309627718,spectral
