feature,importance,std,family
spectral_flux_min,0.008611111111111147,0.0026982668027785714,spectral
mfcc_00_skew,0.008134920634920629,0.002223639004146351,mfcc
mfcc_03_max,0.007182539682539657,0.0006134771759420735,mfcc
spectral_flux_std,0.007103174603174644,0.003532414775280621,spectral
mfcc_06_min,0.006686507936508002,0.001196413764419139,mfcc
spectral_contrast_1_mean,0.00625,0.0032487618045628783,spectral
mfcc_02_max,0.0055357142857143105,0.0012381333937954804,mfcc
mfcc_00_median,0.005376984126984152,0.0030982890945941044,mfcc
chroma_06_mean,0.005297619047619051,0.0020749073749843625,chroma
mfcc_d1_03_std,0.005238095238095241,0.001892112428790819,mfcc
mfcc_d2_14_mean,0.005019841269841297,0.0027895160148089623,mfcc
spectral_flux_iqr,0.004742063492063497,0.0022213362746439794,spectral
duration_s,0.004623015873015879,0.0026379190245429127,other
mfcc_08_iqr,0.004484126984127012,0.0018264748369627222,mfcc
mfcc_d2_01_std,0.004404761904761934,0.0038230373741861873,mfcc
mfcc_d1_00_std,0.004384920634920663,0.002631045151468359,mfcc
spectral_bandwidth_skew,0.004384920634920619,0.001981545940277199,spectral
mfcc_00_kurt,0.004365079365079394,0.000915712758667786,mfcc
mfcc_d1_06_mean,0.004166666666666719,0.0018217268144663885,mfcc
prosody_f4_std,0.004107142857142887,0.0013125266197254984,prosody
prosody_intensity_iqr,0.004087301587301617,0.0023920047706635396,prosody
mfcc_d2_17_mean,0.004087301587301573,0.0008142176400271079,mfcc
mfcc_02_median,0.0039087301587301445,0.0017619673233566066,mfcc
mfcc_01_min,0.0038492063492063357,0.0009144221128414977,mfcc
mfcc_d2_14_std,0.003829365079365088,0.0014066326884735224,mfcc
spectral_rms_max,0.0038293650793650657,0.0028433308123290146,spectral
prosody_jitter_ppq5,0.0037896825396825707,0.0014422842734433594,prosody
prosody_pause_fraction,0.003789682539682526,0.0014985085387697731,prosody
prosody_voiced_fraction,0.003789682539682526,0.0014985085387697731,prosody
spectral_band_3000_4000_mean,0.0037698412698412786,0.0018896140398109308,spectral
prosody_intensity_median,0.0036706349206349744,0.0009556821094279773,prosody
mfcc_01_median,0.0036706349206349076,0.0022377574888685133,mfcc
spectral_band_4000_5000_std,0.003630952380952368,0.0024224232270091237,spectral
mfcc_10_max,0.0035912698412698283,0.0009828941330556184,mfcc
spectral_entropy_max,0.0035714285714285587,0.0016789044286750876,spectral
spectral_rolloff95_max,0.0033928571428571753,0.0027352181802048656,spectral
spectral_rms_std,0.003313492063492052,0.0016842889229923914,spectral
spectral_band_5000_6000_mean,0.0032936507936507818,0.0008589230484886224,spectral
prosody_f0_std,0.0032738095238095343,0.0027721030470751005,prosody
mfcc_19_min,0.003273809523809512,0.0014900780440887714,mfcc
mfcc_00_iqr,0.0031944444444444776,0.004173935458701303,mfcc
chroma_00_std,0.0031944444444444555,0.0019024870675187005,chroma
spectral_flatness_mean,0.003194444444444433,0.002597160833305067,spectral
mfcc_01_mean,0.0031349206349206905,0.0006657921323636067,mfcc
mfcc_01_std,0.0031150793650793762,0.0014935086719491196,mfcc
prosody_voiced_rate_per_s,0.003095238095238151,0.0037950286400016513,prosody
spectral_flatness_iqr,0.0030753968253968366,0.0007343950604492521,spectral
spectral_slope_mean,0.0030753968253968145,0.002323208515827207,spectral
prosody_intensity_mean,0.0030357142857143416,0.00257600513763769,prosody
spectral_rms_median,0.0029563492063492403,0.0017673215033050269,spectral
chroma_05_mean,0.002956349206349218,0.002802750556648201,chroma
mfcc_07_skew,0.002837301587301622,0.0027504322938355116,mfcc
mfcc_06_kurt,0.0028373015873015993,0.003100321426130905,mfcc
mfcc_d2_07_std,0.0028373015873015993,0.002590482755593933,mfcc
mfcc_06_mean,0.002837301587301577,0.0006293155367918115,mfcc
mfcc_18_min,0.0028174603174603518,0.0022852802167205267,mfcc
mfcc_d2_06_std,0.002777777777777768,0.002050477886152979,mfcc
mfcc_02_kurt,0.0027579365079364983,0.0028223465343021796,mfcc
spectral_flux_median,0.0027579365079364983,0.0023286247167164046,spectral
