feature,importance,family
prosody_f0_median,2137395729711.707,prosody
spectral_flux_kurt,2137395729711.7065,spectral
mfcc_d2_14_std,1690796213497.5198,mfcc
mfcc_d1_08_mean,1690796213497.519,mfcc
prosody_voiced_fraction,615148599732.8306,prosody
prosody_f3_mean,615148599732.8295,prosody
spectral_rolloff95_skew,0.0031715274278881884,spectral
duration_s,0.0031501926656474833,other
prosody_f0_skew,0.002337478571201023,prosody
spectral_contrast_2_std,0.0022012675945925226,spectral
mfcc_d2_00_std,0.0020249363591489213,mfcc
spectral_bandwidth_min,0.0019641494983436494,spectral
mfcc_00_std,0.0018140295174662036,mfcc
mfcc_d2_12_mean,0.0018085973458754358,mfcc
mfcc_00_median,0.0017304634422873734,mfcc
mfcc_11_mean,0.00170600506589279,mfcc
spectral_rolloff95_max,0.0016521059512408767,spectral
mfcc_05_std,0.0016473096048686359,mfcc
spectral_flatness_std,0.0016357291837058696,spectral
prosody_f1_bw_median,0.001607147104469466,prosody
mfcc_08_max,0.0016070123545613663,mfcc
mfcc_d1_00_std,0.00160551173586794,mfcc
mfcc_00_iqr,0.001491244995682529,mfcc
spectral_centroid_min,0.001470343787700735,spectral
prosody_f2_mean,0.0014661985703430598,prosody
mfcc_05_kurt,0.0014479044920107298,mfcc
spectral_contrast_5_mean,0.00144110621570588,spectral
spectral_slope_kurt,0.0014410173945577963,spectral
spectral_slope_mean,0.0014183001158705928,spectral
mfcc_00_kurt,0.001413886237017999,mfcc
prosody_f0_mean,0.001395513161522626,prosody
mfcc_13_std,0.0013714365514613544,mfcc
spectral_zcr_iqr,0.0013713265114936408,spectral
prosody_f3_bw_median,0.0013627871272220424,prosody
spectral_entropy_kurt,0.0013626679199004528,spectral
mfcc_10_median,0.0013511636104095337,mfcc
mfcc_09_max,0.0013468028073014722,mfcc
mfcc_d1_19_std,0.0013306698843131856,mfcc
mfcc_17_iqr,0.0012888820732688297,mfcc
prosody_cpps,0.001282436459308158,prosody
mfcc_09_median,0.001273354724625881,mfcc
mfcc_00_skew,0.0012641650596546432,mfcc
spectral_zcr_mean,0.0012491480930341978,spectral
spectral_hf_ratio_6000_mean,0.001230649381858916,spectral
mfcc_d1_07_std,0.0012095605974405293,mfcc
mfcc_02_kurt,0.0012027656032774815,mfcc
spectral_rolloff85_iqr,0.0011691300891698213,spectral
mfcc_11_median,0.0011607791151662234,mfcc
mfcc_d2_01_std,0.001151378637725928,mfcc
spectral_rms_std,0.001147508680465392,spectral
mfcc_d1_10_std,0.001140144755587911,mfcc
mfcc_07_median,0.0011291697418194405,mfcc
mfcc_03_min,0.0011262791452044186,mfcc
spectral_hf_ratio_4000_mean,0.0011203018952707416,spectral
prosody_hnr_mean,0.0011066732933013685,prosody
spectral_flux_std,0.001104953504066218,spectral
mfcc_19_median,0.0010930369276636975,mfcc
spectral_hf_ratio_4000_std,0.0010886065193499148,spectral
spectral_bandwidth_median,0.0010880662320223921,spectral
prosody_intensity_mean,0.0010752882367819421,prosody
mfcc_d1_06_std,0.0010725324867005804,mfcc
spectral_rolloff95_min,0.0010653343795772791,spectral
spectral_bandwidth_skew,0.001064640878050149,spectral
spectral_contrast_5_std,0.0010550074111608512,spectral
spectral_band_500_1000_std,0.0010455297058791827,spectral
