feature,importance,family
mfcc_d1_00_std,0.22476006,mfcc
mfcc_d2_00_std,0.2146522,mfcc
duration_s,0.20063701,other
prosody_cpps,0.19601287,prosody
mfcc_d1_01_std,0.18062402,mfcc
mfcc_00_skew,0.1528482,mfcc
spectral_flux_std,0.14931636,spectral
mfcc_d1_02_std,0.14869723,mfcc
mfcc_d1_04_std,0.1479793,mfcc
mfcc_03_std,0.13971646,mfcc
prosody_f2_mean,0.13676228,prosody
prosody_f0_median,0.13670263,prosody
mfcc_00_iqr,0.13619451,mfcc
mfcc_05_median,0.13070774,mfcc
spectral_band_500_1000_std,0.12995903,spectral
mfcc_02_median,0.12953484,mfcc
prosody_f2_std,0.12951492,prosody
mfcc_d1_03_std,0.12122815,mfcc
prosody_f3_bw_median,0.120136715,prosody
mfcc_d2_03_std,0.119434,mfcc
mfcc_04_std,0.119299114,mfcc
mfcc_00_std,0.117514804,mfcc
prosody_f0_skew,0.1168572,prosody
prosody_f0_iqr,0.11672612,prosody
mfcc_06_median,0.11415895,mfcc
mfcc_02_std,0.112157874,mfcc
prosody_f1_bw_median,0.1115669,prosody
spectral_contrast_3_std,0.10808533,spectral
prosody_hnr_std,0.10682943,prosody
spectral_flatness_std,0.1044264,spectral
spectral_contrast_1_std,0.10346971,spectral
spectral_contrast_1_mean,0.10331837,spectral
mfcc_04_mean,0.10204499,mfcc
spectral_flatness_min,0.10202309,spectral
spectral_band_1000_2000_std,0.10198195,spectral
mfcc_d1_05_std,0.10190048,mfcc
prosody_f0_mean,0.1017129,prosody
mfcc_04_median,0.09995936,mfcc
chroma_00_std,0.099940605,chroma
mfcc_d1_19_std,0.09993317,mfcc
mfcc_00_median,0.09786973,mfcc
mfcc_13_min,0.09719911,mfcc
prosody_f1_std,0.09557705,prosody
spectral_band_500_1000_mean,0.09460791,spectral
mfcc_07_mean,0.09434936,mfcc
spectral_entropy_std,0.09422448,spectral
mfcc_02_iqr,0.09410974,mfcc
mfcc_03_min,0.09388065,mfcc
chroma_10_mean,0.09359487,chroma
chroma_06_mean,0.09359128,chroma
prosody_intensity_std,0.09266809,prosody
prosody_f4_median,0.09176749,prosody
spectral_contrast_6_mean,0.09141049,spectral
spectral_bandwidth_median,0.09048624,spectral
mfcc_01_iqr,0.089226864,mfcc
mfcc_d2_01_std,0.08837377,mfcc
prosody_voiced_rate_per_s,0.087278955,prosody
mfcc_08_median,0.087195,mfcc
spectral_contrast_2_mean,0.0871733,spectral
chroma_09_std,0.086200275,chroma
spectral_band_3000_4000_std,0.085696146,spectral
spectral_flatness_mean,0.08554494,spectral
spectral_flatness_kurt,0.08499757,spectral
spectral_contrast_5_std,0.08430518,spectral
mfcc_10_median,0.08417946,mfcc
mfcc_09_mean,0.08409949,mfcc
mfcc_06_min,0.08381127,mfcc
spectral_contrast_4_std,0.0830549,spectral
chroma_11_mean,0.08287012,chroma
mfcc_05_mean,0.08164196,mfcc
spectral_zcr_median,0.08147666,spectral
spectral_rms_median,0.08127297,spectral
prosody_f4_mean,0.08104728,prosody
chroma_02_std,0.08078825,chroma
mfcc_03_max,0.08071057,mfcc
spectral_flux_min,0.08069596,spectral
prosody_pause_fraction,0.08045346,prosody
mfcc_d1_17_std,0.08036261,mfcc
spectral_entropy_mean,0.07995253,spectral
spectral_centroid_iqr,0.07985342,spectral
prosody_f0_slope_abs_mean,0.079767235,prosody
prosody_voiced_fraction,0.07967821,prosody
spectral_entropy_skew,0.07965121,spectral
mfcc_09_median,0.07960737,mfcc
spectral_band_2000_3000_std,0.07936519,spectral
spectral_contrast_2_std,0.079222396,spectral
mfcc_10_mean,0.0787502,mfcc
spectral_band_1000_2000_mean,0.078499414,spectral
mfcc_14_iqr,0.077817686,mfcc
mfcc_07_min,0.07722889,mfcc
mfcc_04_min,0.07681543,mfcc
mfcc_d1_11_mean,0.07665765,mfcc
