feature,importance,family
mfcc_d1_00_std,0.2631027,mfcc
mfcc_d2_00_std,0.231549,mfcc
prosody_cpps,0.21534777,prosody
duration_s,0.20457844,other
mfcc_d1_01_std,0.19360872,mfcc
mfcc_00_skew,0.17302518,mfcc
spectral_flux_std,0.17030081,spectral
mfcc_d1_02_std,0.16818418,mfcc
mfcc_03_std,0.15638399,mfcc
prosody_f0_median,0.15637977,prosody
prosody_f0_skew,0.15000199,prosody
mfcc_d1_04_std,0.1482953,mfcc
prosody_f2_mean,0.14788006,prosody
mfcc_00_iqr,0.13951539,mfcc
mfcc_02_median,0.13854523,mfcc
mfcc_05_median,0.1355163,mfcc
spectral_band_500_1000_std,0.13387655,spectral
mfcc_d2_03_std,0.13241723,mfcc
prosody_f2_std,0.13186264,prosody
mfcc_d1_03_std,0.12802553,mfcc
prosody_f3_bw_median,0.1270756,prosody
spectral_contrast_1_mean,0.12625588,spectral
mfcc_00_std,0.12509814,mfcc
mfcc_04_std,0.12397831,mfcc
mfcc_06_median,0.12360602,mfcc
prosody_f1_bw_median,0.12349161,prosody
prosody_f0_mean,0.12002167,prosody
prosody_f0_iqr,0.11877956,prosody
spectral_contrast_3_std,0.115681216,spectral
mfcc_02_std,0.11536209,mfcc
prosody_hnr_std,0.11530284,prosody
mfcc_13_min,0.11304778,mfcc
spectral_band_500_1000_mean,0.11251687,spectral
spectral_band_1000_2000_std,0.11125622,spectral
mfcc_d1_05_std,0.10991768,mfcc
spectral_flatness_std,0.108332634,spectral
prosody_f4_median,0.10757797,prosody
prosody_f1_std,0.10743062,prosody
mfcc_04_mean,0.10655305,mfcc
spectral_contrast_1_std,0.10537865,spectral
spectral_entropy_std,0.1040063,spectral
mfcc_04_median,0.10215395,mfcc
mfcc_00_median,0.100852564,mfcc
spectral_bandwidth_median,0.100549676,spectral
mfcc_02_iqr,0.10038032,mfcc
mfcc_01_iqr,0.09948852,mfcc
prosody_intensity_std,0.09924035,prosody
chroma_09_std,0.09917856,chroma
chroma_06_mean,0.098618306,chroma
spectral_flatness_mean,0.098143116,spectral
chroma_10_mean,0.09793302,chroma
spectral_contrast_6_mean,0.09726881,spectral
chroma_00_std,0.09718523,chroma
prosody_pause_fraction,0.09706187,prosody
spectral_flatness_min,0.09655103,spectral
mfcc_06_std,0.09525619,mfcc
mfcc_03_min,0.095173284,mfcc
mfcc_10_median,0.09494017,mfcc
mfcc_08_median,0.094930455,mfcc
spectral_contrast_2_mean,0.09429591,spectral
prosody_voiced_fraction,0.09401034,prosody
spectral_flux_min,0.09317249,spectral
mfcc_d1_19_std,0.09286398,mfcc
mfcc_d2_01_std,0.09283188,mfcc
chroma_11_mean,0.092241496,chroma
mfcc_03_max,0.09220013,mfcc
prosody_voiced_rate_per_s,0.09208585,prosody
mfcc_07_mean,0.09145353,mfcc
spectral_zcr_median,0.09141881,spectral
mfcc_10_mean,0.09101415,mfcc
mfcc_06_min,0.090552,mfcc
chroma_02_std,0.09044576,chroma
spectral_flatness_kurt,0.09044352,spectral
spectral_entropy_skew,0.09016025,spectral
spectral_rms_median,0.08955782,spectral
prosody_f4_mean,0.089188315,prosody
mfcc_09_mean,0.089075945,mfcc
mfcc_d2_08_std,0.08842203,mfcc
mfcc_00_kurt,0.08784287,mfcc
spectral_entropy_mean,0.08773367,spectral
mfcc_05_mean,0.087517455,mfcc
spectral_band_3000_4000_std,0.087085664,spectral
spectral_centroid_iqr,0.08648356,spectral
mfcc_02_min,0.086244434,mfcc
spectral_contrast_4_std,0.0843486,spectral
spectral_band_2000_3000_std,0.08403711,spectral
chroma_04_mean,0.08357268,chroma
mfcc_09_median,0.08339,mfcc
prosody_f0_min,0.08316957,prosody
prosody_shimmer_apq5,0.08249536,prosody
chroma_06_std,0.08219196,chroma
mfcc_07_min,0.08204581,mfcc
spectral_rms_mean,0.08112365,spectral
spectral_flatness_iqr,0.08104427,spectral
prosody_intensity_iqr,0.08100806,prosody
mfcc_d1_10_mean,0.08099849,mfcc
prosody_f0_slope_abs_mean,0.08082795,prosody
spectral_rms_iqr,0.080397904,spectral
