feature,importance,family
mfcc_d1_00_std,0.26154765,mfcc
mfcc_d2_00_std,0.25350884,mfcc
duration_s,0.23010091,other
prosody_cpps,0.22632052,prosody
mfcc_d1_01_std,0.20988919,mfcc
spectral_flux_std,0.17856789,spectral
mfcc_00_skew,0.1766416,mfcc
mfcc_d1_02_std,0.17212903,mfcc
mfcc_d1_04_std,0.16719449,mfcc
mfcc_03_std,0.16211642,mfcc
prosody_f2_mean,0.15982328,prosody
prosody_f0_median,0.1590878,prosody
mfcc_00_iqr,0.15701513,mfcc
mfcc_02_median,0.15466428,mfcc
prosody_f2_std,0.15051013,prosody
mfcc_05_median,0.15025821,mfcc
spectral_band_500_1000_std,0.14660595,spectral
mfcc_04_std,0.14132318,mfcc
prosody_f3_bw_median,0.14041395,prosody
prosody_f0_skew,0.13836929,prosody
mfcc_d2_03_std,0.1366307,mfcc
mfcc_d1_03_std,0.13597943,mfcc
mfcc_00_std,0.13560496,mfcc
mfcc_06_median,0.13409643,mfcc
mfcc_02_std,0.13276727,mfcc
prosody_f0_iqr,0.13183497,prosody
prosody_f1_bw_median,0.12918052,prosody
prosody_hnr_std,0.12706937,prosody
spectral_contrast_3_std,0.12491451,spectral
spectral_contrast_1_mean,0.12162983,spectral
spectral_flatness_min,0.120529845,spectral
spectral_flatness_std,0.120025545,spectral
mfcc_04_mean,0.11941523,mfcc
prosody_f0_mean,0.1192563,prosody
mfcc_d1_05_std,0.11777172,mfcc
spectral_contrast_1_std,0.11775497,spectral
prosody_f1_std,0.11703355,prosody
mfcc_04_median,0.11592789,mfcc
chroma_00_std,0.11569862,chroma
mfcc_13_min,0.11526723,mfcc
spectral_band_1000_2000_std,0.11500794,spectral
mfcc_d1_19_std,0.114559695,mfcc
mfcc_02_iqr,0.11190066,mfcc
spectral_band_500_1000_mean,0.11127132,spectral
spectral_entropy_std,0.11089505,spectral
mfcc_00_median,0.1105571,mfcc
chroma_06_mean,0.109862864,chroma
chroma_10_mean,0.10914452,chroma
prosody_f4_median,0.108772546,prosody
prosody_intensity_std,0.108123705,prosody
mfcc_03_min,0.10802255,mfcc
mfcc_07_mean,0.107634835,mfcc
spectral_contrast_6_mean,0.1073188,spectral
spectral_contrast_2_mean,0.10656906,spectral
spectral_bandwidth_median,0.10614498,spectral
chroma_09_std,0.105116196,chroma
mfcc_01_iqr,0.10360636,mfcc
spectral_flatness_mean,0.100865036,spectral
mfcc_06_min,0.100201175,mfcc
mfcc_d2_01_std,0.09980078,mfcc
spectral_flatness_kurt,0.09958076,spectral
chroma_11_mean,0.09910558,chroma
mfcc_09_mean,0.098589756,mfcc
prosody_voiced_rate_per_s,0.097663164,prosody
mfcc_10_median,0.09739825,mfcc
mfcc_08_median,0.09718859,mfcc
mfcc_d1_17_std,0.09690763,mfcc
spectral_band_2000_3000_std,0.09662266,spectral
spectral_rms_median,0.0955337,spectral
prosody_pause_fraction,0.09487283,prosody
prosody_voiced_fraction,0.0947411,prosody
mfcc_03_max,0.094694816,mfcc
spectral_flux_min,0.094454356,spectral
mfcc_05_mean,0.09425213,mfcc
prosody_f0_slope_abs_mean,0.0941771,prosody
mfcc_09_median,0.09402888,mfcc
spectral_contrast_2_std,0.09400045,spectral
chroma_02_std,0.093959734,chroma
spectral_band_3000_4000_std,0.093585126,spectral
mfcc_14_iqr,0.0935144,mfcc
spectral_contrast_4_std,0.09332213,spectral
spectral_contrast_5_std,0.092290916,spectral
spectral_centroid_iqr,0.092171036,spectral
spectral_band_1000_2000_mean,0.09156323,spectral
mfcc_d1_12_std,0.09133114,mfcc
spectral_entropy_mean,0.09129942,spectral
mfcc_10_mean,0.09121433,mfcc
spectral_zcr_median,0.091019794,spectral
mfcc_07_std,0.08990845,mfcc
prosody_intensity_iqr,0.08990521,prosody
prosody_f4_mean,0.089642555,prosody
chroma_02_mean,0.08947603,chroma
chroma_04_mean,0.08939189,chroma
spectral_entropy_skew,0.08883834,spectral
mfcc_07_min,0.088217,mfcc
prosody_hnr_median,0.08748446,prosody
mfcc_02_min,0.08742122,mfcc
mfcc_06_std,0.08695067,mfcc
spectral_rms_iqr,0.086850114,spectral
mfcc_04_min,0.08653686,mfcc
spectral_rms_mean,0.086392164,spectral
mfcc_d2_08_std,0.08636255,mfcc
mfcc_d1_11_mean,0.086142145,mfcc
spectral_flatness_max,0.08539839,spectral
prosody_f0_min,0.08532963,prosody
chroma_06_std,0.08517718,chroma
spectral_slope_iqr,0.084266454,spectral
mfcc_08_iqr,0.08419214,mfcc
chroma_00_mean,0.08333855,chroma
mfcc_06_mean,0.08308889,mfcc
mfcc_d1_10_mean,0.08268522,mfcc
spectral_band_0_500_mean,0.082629375,spectral
prosody_hnr_mean,0.08244857,prosody
spectral_flux_max,0.08221433,spectral
mfcc_00_kurt,0.08194849,mfcc
prosody_f0_max,0.08192756,prosody
mfcc_d2_10_std,0.08181377,mfcc
prosody_jitter_rap,0.08178476,prosody
prosody_shimmer_apq5,0.081619374,prosody
mfcc_13_std,0.08155433,mfcc
mfcc_09_max,0.08135412,mfcc
prosody_intensity_skew,0.08065731,prosody
mfcc_11_std,0.080606245,mfcc
mfcc_d1_09_std,0.0802382,mfcc
mfcc_04_max,0.080011725,mfcc
mfcc_d2_15_std,0.07980304,mfcc
spectral_rms_std,0.079720214,spectral
mfcc_d2_19_std,0.07961202,mfcc
mfcc_05_min,0.079028584,mfcc
spectral_flux_iqr,0.07869782,spectral
mfcc_03_median,0.07859412,mfcc
mfcc_d2_07_mean,0.07849191,mfcc
spectral_flatness_iqr,0.07811764,spectral
prosody_hnr_max,0.07795674,prosody
mfcc_13_mean,0.07772569,mfcc
prosody_f0_std,0.07767777,prosody
prosody_intensity_kurt,0.07759444,prosody
mfcc_01_max,0.07727377,mfcc
mfcc_14_std,0.07724502,mfcc
chroma_01_std,0.077065855,chroma
mfcc_00_min,0.07680108,mfcc
mfcc_11_iqr,0.07644283,mfcc
mfcc_d2_03_mean,0.076423034,mfcc
prosody_f0_kurt,0.07573428,prosody
spectral_centroid_min,0.07561219,spectral
mfcc_d2_14_mean,0.07558193,mfcc
peak_amplitude,0.07525209,other
mfcc_19_std,0.07507087,mfcc
mfcc_d1_10_std,0.07503031,mfcc
mfcc_17_max,0.07502775,mfcc
spectral_flatness_median,0.074703224,spectral
prosody_f5_median,0.07466465,prosody
mfcc_05_max,0.07456022,mfcc
mfcc_14_min,0.074352615,mfcc
spectral_slope_max,0.074208856,spectral
mfcc_09_std,0.07406631,mfcc
spectral_slope_std,0.07405675,spectral
mfcc_d2_11_std,0.07380559,mfcc
mfcc_08_mean,0.07362661,mfcc
spectral_contrast_5_mean,0.07350574,spectral
prosody_f4_std,0.07346106,prosody
mfcc_15_min,0.073154934,mfcc
chroma_10_std,0.07311046,chroma
prosody_shimmer_local,0.07308451,prosody
mfcc_d1_06_std,0.072984695,mfcc
mfcc_d1_04_mean,0.07274703,mfcc
mfcc_06_kurt,0.07261937,mfcc
mfcc_01_min,0.07254802,mfcc
prosody_f3_std,0.07251933,prosody
mfcc_d1_18_std,0.07244933,mfcc
mfcc_d2_07_std,0.072304636,mfcc
prosody_intensity_mean,0.07207538,prosody
mfcc_d1_08_std,0.07202479,mfcc
prosody_jitter_ddp,0.07181109,prosody
mfcc_d1_01_mean,0.071769044,mfcc
mfcc_d1_16_std,0.071749955,mfcc
mfcc_d2_00_mean,0.07168252,mfcc
mfcc_d2_15_mean,0.07155103,mfcc
mfcc_11_skew,0.071461655,mfcc
mfcc_13_median,0.07117242,mfcc
prosody_f1_mean,0.071088225,prosody
spectral_rolloff95_max,0.07101966,spectral
spectral_contrast_0_std,0.07093052,spectral
spectral_entropy_max,0.07092348,spectral
mfcc_00_mean,0.070779875,mfcc
mfcc_01_skew,0.07054027,mfcc
mfcc_19_min,0.070480146,mfcc
spectral_entropy_iqr,0.070194945,spectral
spectral_zcr_min,0.07007374,spectral
spectral_rolloff95_min,0.06968722,spectral
mfcc_d2_02_mean,0.069544286,mfcc
prosody_mean_voiced_seg_s,0.06906947,prosody
chroma_08_mean,0.068974756,chroma
prosody_f2_bw_median,0.06889025,prosody
prosody_f5_std,0.06856535,prosody
mfcc_19_max,0.06854315,mfcc
mfcc_d1_07_std,0.06851133,mfcc
mfcc_d2_13_mean,0.06843316,mfcc
chroma_11_std,0.06840455,chroma
spectral_zcr_iqr,0.0681388,spectral
mfcc_15_median,0.06794148,mfcc
mfcc_12_max,0.067885585,mfcc
mfcc_07_median,0.067489214,mfcc
mfcc_13_iqr,0.067420505,mfcc
prosody_f3_mean,0.067377396,prosody
spectral_rolloff95_iqr,0.06704974,spectral
mfcc_06_iqr,0.06697014,mfcc
mfcc_18_min,0.06694745,mfcc
spectral_flux_median,0.066885196,spectral
mfcc_08_skew,0.066862516,mfcc
mfcc_d2_06_std,0.06665718,mfcc
mfcc_d2_12_std,0.0660611,mfcc
mfcc_02_skew,0.06581764,mfcc
mfcc_d2_19_mean,0.065730125,mfcc
spectral_zcr_kurt,0.065489106,spectral
mfcc_d2_02_std,0.06541993,mfcc
mfcc_d2_13_std,0.065121904,mfcc
spectral_band_0_500_std,0.06496465,spectral
mfcc_03_mean,0.06493562,mfcc
chroma_08_std,0.064774685,chroma
spectral_rolloff95_median,0.06450992,spectral
mfcc_17_mean,0.064508185,mfcc
spectral_centroid_max,0.064345814,spectral
mfcc_01_kurt,0.064229,mfcc
chroma_05_std,0.06414567,chroma
prosody_f5_mean,0.064144656,prosody
mfcc_18_iqr,0.06385979,mfcc
mfcc_17_min,0.063679844,mfcc
prosody_f1_median,0.0633728,prosody
chroma_03_std,0.06327315,chroma
mfcc_05_kurt,0.06296354,mfcc
mfcc_d1_08_mean,0.062816985,mfcc
mfcc_15_std,0.062482275,mfcc
chroma_01_mean,0.062334027,chroma
mfcc_12_std,0.06230259,mfcc
mfcc_d2_16_mean,0.062240265,mfcc
prosody_jitter_ppq5,0.0622327,prosody
mfcc_16_iqr,0.062058475,mfcc
mfcc_06_max,0.06194049,mfcc
mfcc_08_std,0.061906006,mfcc
mfcc_d2_09_std,0.061888993,mfcc
chroma_09_mean,0.06169887,chroma
mfcc_d2_17_std,0.061525185,mfcc
mfcc_07_iqr,0.06147967,mfcc
mfcc_19_iqr,0.061255895,mfcc
mfcc_13_kurt,0.061170913,mfcc
spectral_band_4000_5000_std,0.0611513,spectral
spectral_rolloff85_median,0.06114856,spectral
prosody_shimmer_localdb,0.061056975,prosody
mfcc_16_mean,0.060980003,mfcc
mfcc_09_min,0.06077006,mfcc
mfcc_d1_15_std,0.060587503,mfcc
mfcc_d2_04_std,0.060526505,mfcc
mfcc_12_median,0.060106765,mfcc
mfcc_d1_14_mean,0.059827056,mfcc
spectral_centroid_median,0.059745062,spectral
spectral_entropy_median,0.0596847,spectral
mfcc_02_kurt,0.059651464,mfcc
mfcc_d1_06_mean,0.059344903,mfcc
prosody_n_voiced_segments,0.05913622,prosody
spectral_contrast_3_mean,0.05901271,spectral
spectral_slope_kurt,0.058950685,spectral
mfcc_02_max,0.058920987,mfcc
mfcc_14_kurt,0.05887188,mfcc
mfcc_14_skew,0.058608063,mfcc
prosody_f2_median,0.05837453,prosody
mfcc_d2_18_std,0.05832969,mfcc
mfcc_08_min,0.058300406,mfcc
mfcc_d2_04_mean,0.0582085,mfcc
prosody_shimmer_dda,0.058124416,prosody
spectral_contrast_6_std,0.058056757,spectral
mfcc_18_std,0.05793483,mfcc
mfcc_07_skew,0.057632625,mfcc
mfcc_09_skew,0.057570852,mfcc
mfcc_17_kurt,0.057429116,mfcc
mfcc_04_skew,0.057146344,mfcc
mfcc_11_mean,0.05704813,mfcc
mfcc_14_median,0.056965657,mfcc
mfcc_12_min,0.05691454,mfcc
prosody_jitter_local,0.056834124,prosody
mfcc_15_mean,0.056766447,mfcc
spectral_bandwidth_min,0.05666176,spectral
mfcc_d1_17_mean,0.05660398,mfcc
mfcc_02_mean,0.056575287,mfcc
spectral_bandwidth_max,0.056431472,spectral
mfcc_07_max,0.056334388,mfcc
prosody_intensity_median,0.056135133,prosody
spectral_rolloff95_std,0.055967547,spectral
mfcc_08_max,0.05568167,mfcc
mfcc_11_kurt,0.055481974,mfcc
mfcc_d1_18_mean,0.05536899,mfcc
spectral_contrast_4_mean,0.05504774,spectral
mfcc_d1_14_std,0.05488256,mfcc
mfcc_05_skew,0.054876797,mfcc
mfcc_13_max,0.054809712,mfcc
mfcc_10_std,0.054675993,mfcc
mfcc_07_kurt,0.054614555,mfcc
mfcc_d1_02_mean,0.05458533,mfcc
mfcc_12_mean,0.05445256,mfcc
spectral_entropy_kurt,0.05342048,spectral
spectral_rolloff85_max,0.053312737,spectral
mfcc_18_mean,0.053290535,mfcc
mfcc_14_mean,0.053269874,mfcc
mfcc_d2_10_mean,0.053251144,mfcc
mfcc_d2_16_std,0.05305765,mfcc
spectral_entropy_min,0.052921716,spectral
prosody_shimmer_apq3,0.052710615,prosody
mfcc_d1_09_mean,0.052629944,mfcc
mfcc_09_iqr,0.05261407,mfcc
mfcc_16_std,0.05260978,mfcc
mfcc_15_iqr,0.052590467,mfcc
mfcc_d2_11_mean,0.05241348,mfcc
mfcc_18_median,0.052250933,mfcc
mfcc_d2_05_mean,0.05201644,mfcc
mfcc_11_median,0.051986616,mfcc
mfcc_17_std,0.051945988,mfcc
mfcc_d2_09_mean,0.051819604,mfcc
mfcc_00_max,0.05178754,mfcc
mfcc_d1_05_mean,0.05178452,mfcc
mfcc_19_median,0.05126027,mfcc
chroma_04_std,0.05110227,chroma
mfcc_05_std,0.050942726,mfcc
spectral_band_3000_4000_mean,0.050875373,spectral
mfcc_08_kurt,0.05086837,mfcc
mfcc_05_iqr,0.050829884,mfcc
mfcc_04_kurt,0.05075934,mfcc
spectral_rms_max,0.050252955,spectral
mfcc_d1_16_mean,0.050121535,mfcc
spectral_slope_min,0.04992183,spectral
spectral_rolloff85_std,0.04980891,spectral
mfcc_d1_13_mean,0.049793933,mfcc
mfcc_d1_19_mean,0.049782444,mfcc
mfcc_d2_08_mean,0.049707755,mfcc
mfcc_01_std,0.049364503,mfcc
spectral_rolloff95_skew,0.04909684,spectral
mfcc_19_mean,0.04903855,mfcc
spectral_band_5000_6000_std,0.0486435,spectral
spectral_zcr_skew,0.048526715,spectral
mfcc_d1_03_mean,0.048408933,mfcc
mfcc_d2_05_std,0.04835182,mfcc
mfcc_18_kurt,0.048266962,mfcc
chroma_05_mean,0.048209604,chroma
mfcc_06_skew,0.048173763,mfcc
mfcc_d1_12_mean,0.04783647,mfcc
spectral_bandwidth_iqr,0.047637265,spectral
mfcc_d1_13_std,0.04738985,mfcc
mfcc_16_kurt,0.04717408,mfcc
spectral_flux_mean,0.046604805,spectral
mfcc_17_median,0.046435006,mfcc
mfcc_10_min,0.046368062,mfcc
spectral_rms_min,0.045835003,spectral
mfcc_d2_12_mean,0.04549799,mfcc
spectral_flux_kurt,0.045371827,spectral
mfcc_10_kurt,0.045329656,mfcc
spectral_slope_mean,0.04532916,spectral
spectral_rolloff85_kurt,0.04532404,spectral
mfcc_10_max,0.045316447,mfcc
mfcc_16_max,0.045286592,mfcc
mfcc_03_iqr,0.045075804,mfcc
spectral_slope_skew,0.04492781,spectral
mfcc_16_min,0.044787873,mfcc
mfcc_16_median,0.04469857,mfcc
spectral_flatness_skew,0.044692736,spectral
chroma_07_mean,0.044644773,chroma
spectral_centroid_skew,0.044451974,spectral
mfcc_d2_01_mean,0.044447057,mfcc
mfcc_10_iqr,0.044042446,mfcc
mfcc_15_skew,0.043998577,mfcc
spectral_centroid_mean,0.043709733,spectral
mfcc_03_skew,0.043418456,mfcc
mfcc_01_median,0.043020654,mfcc
prosody_f3_median,0.042680178,prosody
spectral_centroid_std,0.04258727,spectral
spectral_contrast_0_mean,0.042477306,spectral
mfcc_d1_15_mean,0.04246403,mfcc
mfcc_12_iqr,0.041626465,mfcc
spectral_rms_kurt,0.0414387,spectral
prosody_shimmer_apq11,0.041187864,prosody
mfcc_d1_00_mean,0.041031133,mfcc
mfcc_15_max,0.04097812,mfcc
mfcc_d2_06_mean,0.04094938,mfcc
mfcc_10_skew,0.040919114,mfcc
prosody_hnr_min,0.040862493,prosody
mfcc_16_skew,0.040701006,mfcc
spectral_slope_median,0.040584534,spectral
spectral_rolloff95_mean,0.040234692,spectral
mfcc_d1_11_std,0.040065255,mfcc
spectral_band_4000_5000_mean,0.039833926,spectral
mfcc_d2_18_mean,0.03934488,mfcc
mfcc_19_skew,0.03923162,mfcc
