feature,importance,family
mfcc_d1_00_std,0.249151,mfcc
mfcc_d2_00_std,0.21869487,mfcc
prosody_cpps,0.21639542,prosody
duration_s,0.19674294,other
mfcc_d1_01_std,0.19140205,mfcc
mfcc_00_skew,0.1714055,mfcc
spectral_flux_std,0.16766314,spectral
mfcc_d1_02_std,0.16424514,mfcc
prosody_f0_median,0.1555654,prosody
mfcc_03_std,0.15017329,mfcc
prosody_f2_mean,0.14976774,prosody
mfcc_d1_04_std,0.14552829,mfcc
prosody_f0_skew,0.14542224,prosody
mfcc_02_median,0.13851841,mfcc
mfcc_00_iqr,0.13737473,mfcc
spectral_band_500_1000_std,0.13436972,spectral
mfcc_05_median,0.13341315,mfcc
mfcc_d2_03_std,0.13239573,mfcc
prosody_f2_std,0.13058731,prosody
prosody_f3_bw_median,0.12811938,prosody
spectral_contrast_1_mean,0.1259272,spectral
mfcc_06_median,0.12562774,mfcc
mfcc_00_std,0.12386342,mfcc
mfcc_04_std,0.12347271,mfcc
mfcc_d1_03_std,0.12267219,mfcc
prosody_f1_bw_median,0.12078201,prosody
prosody_f0_mean,0.118081026,prosody
prosody_hnr_std,0.11774846,prosody
spectral_contrast_3_std,0.11696592,spectral
prosody_f0_iqr,0.11666222,prosody
mfcc_13_min,0.11294637,mfcc
mfcc_02_std,0.111311585,mfcc
spectral_band_1000_2000_std,0.11039912,spectral
prosody_f4_median,0.11004463,prosody
spectral_band_500_1000_mean,0.10984856,spectral
mfcc_d1_05_std,0.10863241,mfcc
spectral_flatness_std,0.106876895,spectral
prosody_f1_std,0.10687429,prosody
mfcc_04_mean,0.105012394,mfcc
spectral_contrast_1_std,0.103949584,spectral
spectral_entropy_std,0.103054196,spectral
mfcc_02_iqr,0.10201569,mfcc
spectral_bandwidth_median,0.1019053,spectral
mfcc_04_median,0.10049699,mfcc
chroma_10_mean,0.09999474,chroma
mfcc_00_median,0.099283904,mfcc
mfcc_01_iqr,0.0989629,mfcc
chroma_09_std,0.098935306,chroma
chroma_06_mean,0.09878563,chroma
prosody_intensity_std,0.09792103,prosody
spectral_flatness_mean,0.0978063,spectral
spectral_flatness_min,0.0973786,spectral
prosody_pause_fraction,0.09696309,prosody
spectral_contrast_6_mean,0.09628192,spectral
chroma_00_std,0.09584551,chroma
prosody_voiced_fraction,0.09483383,prosody
mfcc_03_min,0.094705656,mfcc
mfcc_08_median,0.0946085,mfcc
mfcc_10_median,0.093778215,mfcc
prosody_voiced_rate_per_s,0.09374244,prosody
chroma_11_mean,0.09323808,chroma
mfcc_06_std,0.09285414,mfcc
spectral_contrast_2_mean,0.092800274,spectral
spectral_flux_min,0.09279149,spectral
mfcc_d1_19_std,0.09239585,mfcc
mfcc_06_min,0.0914381,mfcc
mfcc_d2_01_std,0.09128187,mfcc
mfcc_10_mean,0.091016084,mfcc
mfcc_07_mean,0.09074412,mfcc
spectral_zcr_median,0.08985363,spectral
mfcc_03_max,0.08950906,mfcc
prosody_f4_mean,0.089487225,prosody
chroma_02_std,0.08909189,chroma
spectral_rms_median,0.08879557,spectral
spectral_entropy_skew,0.08826062,spectral
mfcc_09_mean,0.08781142,mfcc
mfcc_05_mean,0.087733746,mfcc
mfcc_d2_08_std,0.08747619,mfcc
spectral_flatness_kurt,0.0873541,spectral
spectral_entropy_mean,0.08623715,spectral
mfcc_02_min,0.08616956,mfcc
spectral_band_3000_4000_std,0.08610748,spectral
spectral_centroid_iqr,0.084671274,spectral
spectral_band_2000_3000_std,0.084314816,spectral
chroma_04_mean,0.08373163,chroma
mfcc_09_median,0.082902744,mfcc
chroma_06_std,0.08256314,chroma
mfcc_00_kurt,0.082480915,mfcc
prosody_f0_min,0.0824226,prosody
spectral_contrast_4_std,0.0823206,spectral
mfcc_07_min,0.08175422,mfcc
mfcc_d1_10_mean,0.08161302,mfcc
spectral_rms_iqr,0.08114241,spectral
spectral_flatness_iqr,0.08079185,spectral
spectral_rms_mean,0.08063553,spectral
prosody_shimmer_apq5,0.080308884,prosody
mfcc_07_std,0.08013118,mfcc
mfcc_08_iqr,0.08006017,mfcc
spectral_contrast_5_std,0.079722464,spectral
mfcc_d1_11_mean,0.07917406,mfcc
prosody_f0_slope_abs_mean,0.07908605,prosody
prosody_intensity_iqr,0.07885897,prosody
mfcc_d2_07_mean,0.07872911,mfcc
chroma_02_mean,0.07853934,chroma
spectral_rms_std,0.07853877,spectral
spectral_contrast_2_std,0.07850105,spectral
mfcc_04_min,0.07827409,mfcc
chroma_00_mean,0.07792444,chroma
mfcc_00_min,0.077892795,mfcc
mfcc_d2_03_mean,0.07771984,mfcc
spectral_slope_iqr,0.0774669,spectral
mfcc_04_max,0.07719943,mfcc
mfcc_d2_00_mean,0.07715179,mfcc
prosody_hnr_mean,0.076829985,prosody
mfcc_14_iqr,0.07676215,mfcc
spectral_band_1000_2000_mean,0.07652776,spectral
mfcc_13_mean,0.07587314,mfcc
mfcc_d1_09_std,0.07472861,mfcc
mfcc_06_mean,0.07463169,mfcc
spectral_centroid_min,0.07455526,spectral
mfcc_d1_12_std,0.074177295,mfcc
mfcc_14_std,0.07408246,mfcc
spectral_band_0_500_mean,0.0740247,spectral
mfcc_d2_10_std,0.07395187,mfcc
mfcc_d1_17_std,0.07386378,mfcc
mfcc_d2_13_mean,0.07363587,mfcc
prosody_jitter_rap,0.07363251,prosody
spectral_slope_std,0.07263835,spectral
mfcc_06_kurt,0.07251911,mfcc
spectral_rolloff95_min,0.07246582,spectral
mfcc_d1_04_mean,0.07219844,mfcc
spectral_flatness_max,0.072144456,spectral
mfcc_03_median,0.07177065,mfcc
mfcc_05_min,0.0717639,mfcc
prosody_hnr_max,0.07169348,prosody
mfcc_13_std,0.071692176,mfcc
spectral_band_0_500_std,0.07167944,spectral
mfcc_d2_06_std,0.071639046,mfcc
spectral_flux_iqr,0.07152791,spectral
prosody_intensity_skew,0.071254015,prosody
prosody_intensity_kurt,0.07124037,prosody
chroma_01_std,0.07112087,chroma
spectral_flux_max,0.07110263,spectral
prosody_f5_median,0.07107764,prosody
mfcc_d2_02_mean,0.07103208,mfcc
mfcc_11_std,0.070949696,mfcc
mfcc_05_max,0.0709217,mfcc
spectral_contrast_5_mean,0.070571445,spectral
spectral_slope_max,0.070546,spectral
mfcc_d2_15_std,0.07036274,mfcc
mfcc_14_min,0.070301294,mfcc
mfcc_08_mean,0.07022649,mfcc
spectral_contrast_0_std,0.07020767,spectral
mfcc_09_std,0.07014896,mfcc
prosody_mean_voiced_seg_s,0.070073344,prosody
prosody_f0_std,0.0697848,prosody
mfcc_d1_08_std,0.06967672,mfcc
mfcc_d2_15_mean,0.06959228,mfcc
mfcc_00_mean,0.06958249,mfcc
mfcc_01_skew,0.06957956,mfcc
prosody_f0_max,0.06870538,prosody
prosody_hnr_median,0.068593755,prosody
mfcc_01_max,0.06857085,mfcc
mfcc_d2_11_std,0.06842784,mfcc
mfcc_09_max,0.06841357,mfcc
mfcc_d1_07_std,0.06835212,mfcc
