feature,importance,family
mfcc_d1_00_std,0.25265962,mfcc
mfcc_d2_00_std,0.23669128,mfcc
prosody_cpps,0.21387309,prosody
duration_s,0.2112816,other
mfcc_d1_01_std,0.19444956,mfcc
mfcc_00_skew,0.1652698,mfcc
mfcc_d1_02_std,0.16397567,mfcc
spectral_flux_std,0.16294616,spectral
mfcc_d1_04_std,0.15502995,mfcc
mfcc_03_std,0.1539197,mfcc
mfcc_00_iqr,0.15299577,mfcc
prosody_f0_median,0.15123174,prosody
mfcc_02_median,0.14912921,mfcc
prosody_f2_mean,0.1479621,prosody
mfcc_05_median,0.14254808,mfcc
spectral_band_500_1000_std,0.14012645,spectral
prosody_f2_std,0.13723695,prosody
mfcc_00_std,0.13352577,mfcc
prosody_f3_bw_median,0.13290386,prosody
mfcc_d2_03_std,0.13149056,mfcc
mfcc_04_std,0.13005747,mfcc
prosody_f0_skew,0.1285256,prosody
mfcc_d1_03_std,0.12813911,mfcc
prosody_f0_iqr,0.1248725,prosody
mfcc_06_median,0.12439805,mfcc
prosody_f1_bw_median,0.12276162,prosody
mfcc_02_std,0.12196247,mfcc
prosody_hnr_std,0.121072896,prosody
spectral_contrast_3_std,0.11895642,spectral
mfcc_04_mean,0.11541556,mfcc
spectral_contrast_1_mean,0.11445911,spectral
prosody_f0_mean,0.11408713,prosody
mfcc_04_median,0.112883314,mfcc
spectral_contrast_1_std,0.11253877,spectral
spectral_band_1000_2000_std,0.11237702,spectral
mfcc_13_min,0.110631056,mfcc
spectral_flatness_std,0.10988749,spectral
mfcc_d1_05_std,0.10972885,mfcc
spectral_flatness_min,0.10926464,spectral
mfcc_d1_19_std,0.108605236,mfcc
mfcc_00_median,0.10670151,mfcc
prosody_intensity_std,0.10623531,prosody
chroma_00_std,0.10606141,chroma
mfcc_02_iqr,0.105151,mfcc
spectral_band_500_1000_mean,0.10488079,spectral
spectral_entropy_std,0.10416882,spectral
prosody_f1_std,0.10410068,prosody
chroma_06_mean,0.10253599,chroma
prosody_f4_median,0.101863466,prosody
mfcc_03_min,0.10164292,mfcc
chroma_10_mean,0.101360075,chroma
spectral_contrast_6_mean,0.100900665,spectral
spectral_bandwidth_median,0.100615375,spectral
mfcc_07_mean,0.09957929,mfcc
spectral_contrast_2_mean,0.09934708,spectral
chroma_09_std,0.097872525,chroma
mfcc_01_iqr,0.09761106,mfcc
mfcc_08_median,0.09635117,mfcc
spectral_flatness_mean,0.09564065,spectral
mfcc_d2_01_std,0.09487019,mfcc
mfcc_10_median,0.09423563,mfcc
chroma_11_mean,0.093835026,chroma
mfcc_06_min,0.09341427,mfcc
spectral_flatness_kurt,0.09281086,spectral
spectral_flux_min,0.09246479,spectral
prosody_voiced_rate_per_s,0.09223192,prosody
mfcc_09_mean,0.09184642,mfcc
spectral_band_3000_4000_std,0.09159844,spectral
prosody_pause_fraction,0.091090225,prosody
spectral_contrast_5_std,0.090807766,spectral
chroma_02_std,0.090716615,chroma
spectral_zcr_median,0.09038969,spectral
prosody_f4_mean,0.0903761,prosody
spectral_rms_median,0.0903412,spectral
prosody_voiced_fraction,0.09026556,prosody
spectral_contrast_4_std,0.08903289,spectral
mfcc_05_mean,0.088919096,mfcc
spectral_centroid_iqr,0.088896625,spectral
mfcc_03_max,0.088487126,mfcc
spectral_entropy_mean,0.08814971,spectral
mfcc_10_mean,0.08799011,mfcc
spectral_band_2000_3000_std,0.08774605,spectral
prosody_intensity_iqr,0.08747269,prosody
mfcc_d1_17_std,0.08732584,mfcc
mfcc_09_median,0.08708822,mfcc
prosody_f0_slope_abs_mean,0.086996645,prosody
spectral_contrast_2_std,0.08650594,spectral
mfcc_d2_08_std,0.086469695,mfcc
spectral_band_1000_2000_mean,0.08646004,spectral
mfcc_14_iqr,0.08552484,mfcc
spectral_entropy_skew,0.08520219,spectral
chroma_02_mean,0.084988445,chroma
mfcc_04_min,0.084135994,mfcc
chroma_04_mean,0.08378399,chroma
mfcc_07_std,0.083301544,mfcc
mfcc_07_min,0.08310982,mfcc
mfcc_06_std,0.08283865,mfcc
mfcc_d1_11_mean,0.08267594,mfcc
chroma_06_std,0.08230769,chroma
prosody_hnr_median,0.08193981,prosody
mfcc_02_min,0.08189674,mfcc
spectral_rms_mean,0.08077084,spectral
mfcc_09_max,0.08075337,mfcc
mfcc_13_std,0.08062486,mfcc
prosody_f0_min,0.08053084,prosody
chroma_00_mean,0.08017248,chroma
mfcc_00_kurt,0.08013542,mfcc
mfcc_d1_12_std,0.079893574,mfcc
prosody_intensity_skew,0.07974039,prosody
prosody_shimmer_apq5,0.07940167,prosody
mfcc_08_iqr,0.07888634,mfcc
prosody_jitter_rap,0.07886866,prosody
spectral_flatness_max,0.07860609,spectral
mfcc_00_min,0.07853597,mfcc
spectral_band_0_500_mean,0.078529365,spectral
spectral_slope_iqr,0.07851909,spectral
spectral_flatness_iqr,0.077950105,spectral
mfcc_d2_10_std,0.07782596,mfcc
spectral_rms_iqr,0.07754824,spectral
mfcc_d1_09_std,0.07754062,mfcc
mfcc_d1_10_mean,0.07743397,mfcc
mfcc_d2_15_std,0.077225804,mfcc
mfcc_d2_07_mean,0.077134214,mfcc
spectral_flux_max,0.07697527,spectral
prosody_hnr_mean,0.076928526,prosody
prosody_f0_max,0.07627874,prosody
mfcc_06_mean,0.07610745,mfcc
spectral_rms_std,0.07599371,spectral
mfcc_03_median,0.075466104,mfcc
mfcc_04_max,0.07513135,mfcc
prosody_f0_std,0.075036444,prosody
mfcc_11_std,0.074823335,mfcc
mfcc_14_std,0.07460982,mfcc
spectral_flux_iqr,0.07451261,spectral
mfcc_13_mean,0.074223496,mfcc
mfcc_05_max,0.07399867,mfcc
mfcc_05_min,0.07377782,mfcc
mfcc_d2_03_mean,0.07337438,mfcc
mfcc_01_max,0.07336313,mfcc
mfcc_19_std,0.072679415,mfcc
prosody_hnr_max,0.07260112,prosody
mfcc_d1_04_mean,0.072409585,mfcc
spectral_centroid_min,0.07238121,spectral
prosody_f4_std,0.07223565,prosody
prosody_intensity_kurt,0.07221501,prosody
mfcc_09_std,0.07217687,mfcc
chroma_01_std,0.07217153,chroma
mfcc_14_min,0.07150922,mfcc
prosody_f0_kurt,0.071306296,prosody
mfcc_08_mean,0.071300745,mfcc
spectral_slope_max,0.071291484,spectral
mfcc_11_iqr,0.07114813,mfcc
spectral_contrast_5_mean,0.0711371,spectral
mfcc_d2_15_mean,0.07111901,mfcc
mfcc_06_kurt,0.07103563,mfcc
spectral_contrast_0_std,0.07103163,spectral
mfcc_d1_16_std,0.07099092,mfcc
mfcc_d2_14_mean,0.0709246,mfcc
mfcc_d2_19_std,0.07092127,mfcc
spectral_slope_std,0.07086804,spectral
chroma_10_std,0.07083059,chroma
mfcc_d1_10_std,0.070239216,mfcc
peak_amplitude,0.07003523,other
mfcc_15_min,0.06996077,mfcc
mfcc_11_skew,0.06985364,mfcc
spectral_rolloff95_max,0.06970112,spectral
mfcc_d2_00_mean,0.06965552,mfcc
mfcc_d2_07_std,0.06964242,mfcc
mfcc_d2_11_std,0.06963674,mfcc
mfcc_13_median,0.06958354,mfcc
mfcc_19_min,0.0694323,mfcc
mfcc_01_min,0.06941111,mfcc
prosody_jitter_ddp,0.06931089,prosody
prosody_f5_median,0.06924304,prosody
mfcc_00_mean,0.06907659,mfcc
mfcc_d1_18_std,0.06906262,mfcc
mfcc_d2_13_mean,0.06895666,mfcc
prosody_f3_std,0.06865177,prosody
mfcc_d1_08_std,0.068442546,mfcc
spectral_rolloff95_min,0.06832919,spectral
mfcc_17_max,0.0683101,mfcc
spectral_entropy_max,0.06824075,spectral
chroma_11_std,0.06811293,chroma
mfcc_d1_06_std,0.06750038,mfcc
mfcc_d2_02_mean,0.06749894,mfcc
mfcc_01_skew,0.06747989,mfcc
prosody_shimmer_local,0.06733362,prosody
prosody_f2_bw_median,0.06709806,prosody
prosody_intensity_mean,0.06706665,prosody
prosody_mean_voiced_seg_s,0.06695181,prosody
mfcc_d1_01_mean,0.06666431,mfcc
spectral_flatness_median,0.06616596,spectral
prosody_f1_mean,0.06603227,prosody
mfcc_07_median,0.06600769,mfcc
mfcc_d2_06_std,0.065925956,mfcc
mfcc_d2_02_std,0.065700375,mfcc
spectral_zcr_min,0.0656106,spectral
chroma_08_mean,0.065588996,chroma
prosody_f5_std,0.06558144,prosody
mfcc_12_max,0.065575324,mfcc
spectral_zcr_iqr,0.065240405,spectral
mfcc_d2_12_std,0.06514149,mfcc
mfcc_15_median,0.06476021,mfcc
mfcc_d1_07_std,0.06446641,mfcc
mfcc_06_iqr,0.06438166,mfcc
mfcc_03_mean,0.06429215,mfcc
mfcc_d2_13_std,0.0642541,mfcc
mfcc_13_iqr,0.063955426,mfcc
mfcc_d2_19_mean,0.06382216,mfcc
prosody_f3_mean,0.06373061,prosody
spectral_entropy_iqr,0.06365134,spectral
chroma_08_std,0.06349346,chroma
chroma_05_std,0.06325927,chroma
spectral_band_0_500_std,0.063153654,spectral
mfcc_17_mean,0.063123375,mfcc
mfcc_08_skew,0.06299184,mfcc
mfcc_01_kurt,0.06294112,mfcc
spectral_flux_median,0.0628873,spectral
mfcc_02_skew,0.06281183,mfcc
mfcc_18_min,0.06253485,mfcc
mfcc_19_max,0.06253197,mfcc
prosody_f1_median,0.0624654,prosody
mfcc_05_kurt,0.062236533,mfcc
mfcc_d1_08_mean,0.062124792,mfcc
chroma_03_std,0.062007185,chroma
mfcc_d2_16_mean,0.06191297,mfcc
mfcc_17_min,0.061620075,mfcc
prosody_f5_mean,0.06149833,prosody
chroma_09_mean,0.06144727,chroma
spectral_rolloff95_iqr,0.061214544,spectral
spectral_centroid_max,0.06114382,spectral
mfcc_08_std,0.060928874,mfcc
spectral_zcr_kurt,0.060897384,spectral
mfcc_18_iqr,0.060823657,mfcc
spectral_rolloff95_median,0.060609106,spectral
mfcc_d1_14_mean,0.060493533,mfcc
prosody_n_voiced_segments,0.060479723,prosody
mfcc_d2_09_std,0.060305946,mfcc
mfcc_16_iqr,0.060038127,mfcc
chroma_01_mean,0.059989236,chroma
spectral_band_4000_5000_std,0.059568934,spectral
mfcc_02_max,0.05952032,mfcc
mfcc_16_mean,0.059469845,mfcc
mfcc_06_max,0.05938225,mfcc
mfcc_13_kurt,0.05936889,mfcc
mfcc_d1_17_mean,0.059060276,mfcc
mfcc_d1_06_mean,0.059012465,mfcc
mfcc_d2_17_std,0.058714982,mfcc
mfcc_09_min,0.058638714,mfcc
spectral_contrast_3_mean,0.05852665,spectral
mfcc_d2_04_std,0.058458056,mfcc
mfcc_02_kurt,0.05845747,mfcc
mfcc_12_median,0.058453336,mfcc
prosody_jitter_ppq5,0.058406174,prosody
mfcc_d2_18_std,0.058270257,mfcc
mfcc_d1_15_std,0.058245156,mfcc
mfcc_09_skew,0.057762075,mfcc
prosody_shimmer_localdb,0.057597473,prosody
spectral_entropy_median,0.057506092,spectral
mfcc_14_kurt,0.05741239,mfcc
mfcc_d1_18_mean,0.05724754,mfcc
mfcc_15_std,0.057144046,mfcc
mfcc_07_skew,0.057052907,mfcc
mfcc_d2_04_mean,0.057021923,mfcc
mfcc_14_skew,0.05699109,mfcc
spectral_centroid_median,0.0569866,spectral
mfcc_07_iqr,0.056780744,mfcc
spectral_slope_kurt,0.056654733,spectral
mfcc_08_min,0.05657026,mfcc
prosody_f2_median,0.0565415,prosody
