feature,importance,family
mfcc_d1_00_std,0.29574785,mfcc
mfcc_d2_00_std,0.28125384,mfcc
prosody_cpps,0.271689,prosody
duration_s,0.25930563,other
mfcc_00_skew,0.24625587,mfcc
mfcc_d1_02_std,0.22779109,mfcc
prosody_f0_median,0.21798238,prosody
mfcc_d1_01_std,0.21703248,mfcc
spectral_flux_std,0.21524486,spectral
spectral_flatness_iqr,0.20989822,spectral
mfcc_03_std,0.19507062,mfcc
prosody_f0_skew,0.19227882,prosody
mfcc_02_median,0.19120643,mfcc
mfcc_00_kurt,0.18650563,mfcc
prosody_f2_mean,0.18487161,prosody
prosody_f0_mean,0.18257827,prosody
mfcc_d1_04_std,0.18182851,mfcc
prosody_f1_bw_median,0.17696647,prosody
spectral_centroid_iqr,0.17537239,spectral
mfcc_d2_03_std,0.17437232,mfcc
spectral_band_500_1000_std,0.17060405,spectral
prosody_f2_std,0.16819397,prosody
mfcc_00_iqr,0.16815491,mfcc
mfcc_02_std,0.16624257,mfcc
mfcc_05_median,0.1657522,mfcc
mfcc_d1_03_std,0.1633192,mfcc
prosody_f3_bw_median,0.16283576,prosody
mfcc_02_iqr,0.16238426,mfcc
mfcc_06_median,0.16202886,mfcc
prosody_f0_iqr,0.16199942,prosody
prosody_f1_std,0.15877806,prosody
spectral_band_1000_2000_std,0.15743673,spectral
spectral_bandwidth_median,0.15593074,spectral
mfcc_04_std,0.15398483,mfcc
spectral_contrast_1_mean,0.15070815,spectral
prosody_hnr_std,0.15050901,prosody
spectral_band_2000_3000_std,0.14971024,spectral
spectral_flatness_std,0.14807531,spectral
spectral_contrast_3_std,0.14629918,spectral
mfcc_d1_05_std,0.1447573,mfcc
mfcc_00_median,0.14457454,mfcc
mfcc_00_std,0.14249317,mfcc
prosody_f4_median,0.14164373,prosody
mfcc_13_min,0.14053014,mfcc
prosody_intensity_kurt,0.14021845,prosody
mfcc_10_median,0.13924257,mfcc
spectral_flatness_min,0.13839269,spectral
spectral_contrast_1_std,0.13722827,spectral
mfcc_d1_19_std,0.13644405,mfcc
spectral_zcr_median,0.13631211,spectral
mfcc_10_mean,0.13619685,mfcc
spectral_band_500_1000_mean,0.13533694,spectral
spectral_flatness_mean,0.13444038,spectral
mfcc_14_iqr,0.13325702,mfcc
spectral_contrast_6_mean,0.13304102,spectral
chroma_10_mean,0.13191748,chroma
mfcc_04_median,0.13035601,mfcc
spectral_zcr_iqr,0.12856308,spectral
spectral_entropy_std,0.12784904,spectral
mfcc_06_std,0.12563023,mfcc
spectral_band_1000_2000_mean,0.12540202,spectral
spectral_band_3000_4000_std,0.12532343,spectral
mfcc_03_min,0.12529859,mfcc
mfcc_04_mean,0.12440871,mfcc
mfcc_14_std,0.12430049,mfcc
spectral_flatness_kurt,0.12423314,spectral
mfcc_01_iqr,0.12359095,mfcc
mfcc_d1_17_std,0.12324491,mfcc
prosody_f0_min,0.122449316,prosody
prosody_intensity_std,0.122306824,prosody
mfcc_02_min,0.12220071,mfcc
chroma_09_std,0.122031786,chroma
mfcc_13_std,0.12149251,mfcc
mfcc_07_mean,0.12143931,mfcc
chroma_02_std,0.12121517,chroma
spectral_contrast_4_std,0.1211366,spectral
spectral_flux_min,0.12027899,spectral
chroma_06_mean,0.12017863,chroma
spectral_contrast_2_mean,0.11966943,spectral
spectral_rms_std,0.1194017,spectral
mfcc_d1_12_std,0.118674725,mfcc
mfcc_09_mean,0.11773577,mfcc
spectral_rolloff95_median,0.1172103,spectral
mfcc_06_min,0.11631019,mfcc
prosody_f0_kurt,0.11626999,prosody
chroma_00_std,0.11623974,chroma
spectral_centroid_min,0.116085775,spectral
prosody_shimmer_apq5,0.115789525,prosody
prosody_voiced_rate_per_s,0.115177855,prosody
prosody_voiced_fraction,0.11508575,prosody
mfcc_11_std,0.11479425,mfcc
prosody_pause_fraction,0.114707105,prosody
prosody_intensity_iqr,0.11464182,prosody
mfcc_09_median,0.11359889,mfcc
mfcc_12_max,0.11346984,mfcc
spectral_flatness_max,0.11328944,spectral
prosody_f0_slope_abs_mean,0.1129084,prosody
spectral_contrast_2_std,0.112815835,spectral
spectral_rms_median,0.112456895,spectral
spectral_contrast_5_std,0.11217275,spectral
mfcc_11_iqr,0.11209191,mfcc
spectral_slope_max,0.11180298,spectral
mfcc_07_std,0.111265376,mfcc
spectral_entropy_mean,0.11071706,spectral
mfcc_d2_00_mean,0.11052065,mfcc
mfcc_05_mean,0.10907956,mfcc
chroma_02_mean,0.10905631,chroma
mfcc_d2_01_std,0.10866585,mfcc
mfcc_d2_08_std,0.1085112,mfcc
mfcc_07_min,0.10839284,mfcc
chroma_04_mean,0.10777369,chroma
mfcc_08_iqr,0.10771138,mfcc
prosody_f5_median,0.107172176,prosody
chroma_11_mean,0.1063627,chroma
spectral_band_4000_5000_std,0.10630341,spectral
mfcc_04_max,0.10611183,mfcc
mfcc_d2_10_std,0.10602554,mfcc
mfcc_03_max,0.10585059,mfcc
prosody_f4_mean,0.10552068,prosody
mfcc_08_median,0.104649976,mfcc
mfcc_d2_15_std,0.10454081,mfcc
mfcc_13_mean,0.104515076,mfcc
mfcc_d1_10_mean,0.10409873,mfcc
mfcc_d1_10_std,0.10356498,mfcc
spectral_rms_mean,0.103228934,spectral
mfcc_d1_11_mean,0.10297983,mfcc
mfcc_d1_09_std,0.10277863,mfcc
mfcc_15_std,0.10249483,mfcc
prosody_hnr_median,0.10230264,prosody
spectral_slope_std,0.10161955,spectral
mfcc_14_min,0.1014587,mfcc
mfcc_d1_01_mean,0.101377204,mfcc
mfcc_17_max,0.10131161,mfcc
prosody_hnr_max,0.10115319,prosody
spectral_band_0_500_mean,0.100624695,spectral
prosody_mean_voiced_seg_s,0.10055442,prosody
spectral_entropy_skew,0.10036566,spectral
mfcc_18_iqr,0.10029868,mfcc
mfcc_d1_16_std,0.099682786,mfcc
spectral_entropy_iqr,0.09956034,spectral
spectral_rms_iqr,0.0994719,spectral
mfcc_09_std,0.09927024,mfcc
spectral_band_0_500_std,0.09888194,spectral
mfcc_13_iqr,0.09876442,mfcc
mfcc_d2_19_std,0.09865371,mfcc
mfcc_19_min,0.09848697,mfcc
mfcc_d1_18_std,0.098422565,mfcc
spectral_rolloff95_min,0.09835492,spectral
mfcc_01_kurt,0.09824707,mfcc
prosody_hnr_mean,0.09780455,prosody
mfcc_d2_07_mean,0.09756463,mfcc
mfcc_01_skew,0.097371325,mfcc
mfcc_01_max,0.09729251,mfcc
mfcc_00_mean,0.09715928,mfcc
spectral_flatness_median,0.09712743,spectral
chroma_06_std,0.09710776,chroma
mfcc_19_std,0.09683416,mfcc
mfcc_09_max,0.09650329,mfcc
prosody_f1_mean,0.09649263,prosody
mfcc_d2_03_mean,0.096309766,mfcc
mfcc_06_mean,0.09625456,mfcc
mfcc_d2_11_std,0.09579819,mfcc
chroma_10_std,0.0955255,chroma
prosody_f0_std,0.09535727,prosody
mfcc_04_min,0.09506224,mfcc
mfcc_16_std,0.09487653,mfcc
mfcc_12_std,0.09446797,mfcc
chroma_01_std,0.09441011,chroma
mfcc_06_kurt,0.09436547,mfcc
mfcc_01_min,0.09397659,mfcc
mfcc_05_min,0.093537256,mfcc
prosody_f3_std,0.09352005,prosody
spectral_flux_max,0.09345722,spectral
