feature,importance,family
spectral_contrast_6_mean,2.129982,spectral
mfcc_d1_00_std,0.27757275,mfcc
duration_s,0.1809927,other
mfcc_d2_00_std,0.1803938,mfcc
spectral_flatness_min,0.16832894,spectral
prosody_f0_iqr,0.16747975,prosody
mfcc_02_median,0.15813087,mfcc
mfcc_d1_02_std,0.15485165,mfcc
chroma_06_mean,0.15033162,chroma
spectral_band_500_1000_std,0.14844023,spectral
mfcc_d1_05_std,0.14633457,mfcc
prosody_f0_median,0.14547037,prosody
spectral_bandwidth_median,0.14429665,spectral
mfcc_d2_03_std,0.1383007,mfcc
mfcc_08_median,0.13486554,mfcc
prosody_hnr_std,0.13355845,prosody
mfcc_04_median,0.1320367,mfcc
mfcc_00_iqr,0.13059154,mfcc
spectral_flatness_std,0.13040645,spectral
spectral_flatness_iqr,0.12813868,spectral
spectral_band_500_1000_mean,0.127316,spectral
spectral_flatness_median,0.1242414,spectral
mfcc_d1_04_std,0.1237377,mfcc
mfcc_04_mean,0.12358178,mfcc
spectral_flatness_mean,0.12274146,spectral
prosody_f0_skew,0.1220392,prosody
prosody_f1_bw_median,0.12171877,prosody
mfcc_d1_01_std,0.11973143,mfcc
prosody_f0_mean,0.11581577,prosody
mfcc_06_std,0.11536479,mfcc
mfcc_10_median,0.11508298,mfcc
prosody_f2_mean,0.11391802,prosody
spectral_rms_std,0.11142981,spectral
mfcc_d1_19_std,0.11138874,mfcc
prosody_voiced_fraction,0.11055481,prosody
chroma_04_mean,0.10935859,chroma
spectral_contrast_2_mean,0.10916796,spectral
prosody_f4_median,0.10723512,prosody
mfcc_03_std,0.106816836,mfcc
spectral_flux_min,0.10536684,spectral
mfcc_d1_11_mean,0.10381115,mfcc
spectral_contrast_3_std,0.102865584,spectral
mfcc_00_std,0.102110535,mfcc
mfcc_02_std,0.100909546,mfcc
chroma_10_mean,0.1008939,chroma
mfcc_13_min,0.10054879,mfcc
mfcc_d2_07_mean,0.09899265,mfcc
spectral_contrast_1_std,0.098823816,spectral
spectral_contrast_1_mean,0.09858033,spectral
mfcc_13_median,0.09793829,mfcc
spectral_flux_std,0.09788715,spectral
