feature,importance,family
mfcc_d1_01_mean,0.4231771,mfcc
mfcc_00_skew,0.3578019,mfcc
mfcc_d1_00_std,0.25198558,mfcc
duration_s,0.24563566,other
mfcc_d2_00_std,0.21328892,mfcc
spectral_flatness_max,0.21091975,spectral
mfcc_00_kurt,0.2084136,mfcc
spectral_flatness_std,0.20826726,spectral
mfcc_d1_03_mean,0.18257008,mfcc
spectral_flatness_kurt,0.1714891,spectral
prosody_f0_median,0.16453819,prosody
prosody_cpps,0.1639119,prosody
mfcc_d1_00_mean,0.16012564,mfcc
prosody_f2_std,0.15935263,prosody
mfcc_d1_01_std,0.158223,mfcc
mfcc_02_median,0.15529843,mfcc
mfcc_00_min,0.15397811,mfcc
mfcc_03_std,0.14977928,mfcc
spectral_flux_std,0.14852287,spectral
prosody_f2_mean,0.14571677,prosody
mfcc_d1_02_std,0.14354515,mfcc
mfcc_d1_04_std,0.14276962,mfcc
mfcc_d2_00_mean,0.14206192,mfcc
mfcc_00_iqr,0.13636012,mfcc
spectral_band_500_1000_std,0.13332118,spectral
prosody_f1_bw_median,0.13028724,prosody
mfcc_d1_02_mean,0.12985763,mfcc
prosody_f3_bw_median,0.12946576,prosody
prosody_hnr_std,0.12524465,prosody
mfcc_05_median,0.12403655,mfcc
mfcc_d1_19_std,0.12344765,mfcc
mfcc_02_std,0.12307091,mfcc
mfcc_04_mean,0.11942332,mfcc
spectral_flux_min,0.11929922,spectral
prosody_f0_iqr,0.11855619,prosody
mfcc_d2_03_std,0.118331455,mfcc
mfcc_04_std,0.11776123,mfcc
mfcc_06_min,0.11742433,mfcc
mfcc_03_min,0.117109805,mfcc
prosody_f0_skew,0.1160452,prosody
mfcc_13_min,0.11435758,mfcc
mfcc_d2_02_mean,0.11292178,mfcc
mfcc_06_median,0.11255165,mfcc
spectral_entropy_min,0.11110475,spectral
spectral_flatness_min,0.110914774,spectral
spectral_contrast_3_std,0.110370204,spectral
mfcc_00_std,0.11025018,mfcc
mfcc_d2_01_mean,0.10995566,mfcc
mfcc_d1_05_std,0.10993682,mfcc
mfcc_04_median,0.10991233,mfcc
mfcc_d1_03_std,0.109803416,mfcc
prosody_intensity_std,0.107946776,prosody
chroma_06_mean,0.10769492,chroma
prosody_f0_mean,0.10709284,prosody
spectral_contrast_2_mean,0.10529681,spectral
spectral_contrast_1_mean,0.10444356,spectral
spectral_entropy_kurt,0.104234256,spectral
spectral_bandwidth_median,0.10310238,spectral
prosody_intensity_iqr,0.102703415,prosody
spectral_entropy_skew,0.1022904,spectral
spectral_contrast_1_std,0.101652935,spectral
mfcc_02_iqr,0.10156417,mfcc
prosody_pause_fraction,0.10150392,prosody
spectral_band_1000_2000_std,0.100666165,spectral
prosody_f1_std,0.0998715,prosody
spectral_rolloff95_min,0.09940609,spectral
spectral_band_500_1000_mean,0.099199064,spectral
