feature,importance,family
mfcc_d1_00_std,0.2526729,mfcc
mfcc_d2_00_std,0.23666511,mfcc
prosody_cpps,0.2139048,prosody
duration_s,0.21126445,other
mfcc_d1_01_std,0.19443837,mfcc
mfcc_00_skew,0.16531469,mfcc
mfcc_d1_02_std,0.16398497,mfcc
spectral_flux_std,0.16295455,spectral
mfcc_d1_04_std,0.15503502,mfcc
mfcc_03_std,0.15391289,mfcc
mfcc_00_iqr,0.15295611,mfcc
prosody_f0_median,0.15124685,prosody
mfcc_02_median,0.1491005,mfcc
prosody_f2_mean,0.1479434,prosody
mfcc_05_median,0.14252196,mfcc
spectral_band_500_1000_std,0.14015011,spectral
prosody_f2_std,0.13722669,prosody
mfcc_00_std,0.13351774,mfcc
prosody_f3_bw_median,0.13289155,prosody
mfcc_d2_03_std,0.13151206,mfcc
mfcc_04_std,0.13004895,mfcc
prosody_f0_skew,0.12857269,prosody
mfcc_d1_03_std,0.12819447,mfcc
prosody_f0_iqr,0.124848165,prosody
mfcc_06_median,0.12441944,mfcc
prosody_f1_bw_median,0.122799516,prosody
mfcc_02_std,0.12195488,mfcc
prosody_hnr_std,0.121076725,prosody
spectral_contrast_3_std,0.1188938,spectral
mfcc_04_mean,0.11538567,mfcc
spectral_contrast_1_mean,0.114479765,spectral
prosody_f0_mean,0.11406137,prosody
mfcc_04_median,0.11284767,mfcc
spectral_contrast_1_std,0.11252191,spectral
spectral_band_1000_2000_std,0.11237713,spectral
mfcc_13_min,0.11062692,mfcc
spectral_flatness_std,0.10987709,spectral
mfcc_d1_05_std,0.10971069,mfcc
spectral_flatness_min,0.10923344,spectral
mfcc_d1_19_std,0.108543076,mfcc
mfcc_00_median,0.1067636,mfcc
prosody_intensity_std,0.10626317,prosody
chroma_00_std,0.10607462,chroma
mfcc_02_iqr,0.10518164,mfcc
spectral_band_500_1000_mean,0.10489345,spectral
spectral_entropy_std,0.10411585,spectral
prosody_f1_std,0.104093164,prosody
chroma_06_mean,0.10258497,chroma
prosody_f4_median,0.101913475,prosody
mfcc_03_min,0.10156213,mfcc
chroma_10_mean,0.101435006,chroma
spectral_contrast_6_mean,0.10093941,spectral
spectral_bandwidth_median,0.10058214,spectral
mfcc_07_mean,0.09960105,mfcc
spectral_contrast_2_mean,0.099285305,spectral
chroma_09_std,0.09784392,chroma
mfcc_01_iqr,0.09762608,mfcc
