feature,importance,family
mfcc_d1_01_mean,0.42230478,mfcc
mfcc_00_skew,0.36075816,mfcc
spectral_flatness_max,0.2548654,spectral
duration_s,0.2466647,other
mfcc_d1_00_std,0.24384145,mfcc
spectral_flatness_std,0.23901764,spectral
spectral_flatness_kurt,0.22350664,spectral
mfcc_00_kurt,0.21201214,mfcc
mfcc_d2_00_std,0.20767619,mfcc
mfcc_d1_03_mean,0.18203029,mfcc
prosody_cpps,0.16638039,prosody
prosody_f0_median,0.16501394,prosody
mfcc_d1_00_mean,0.1616449,mfcc
prosody_f2_std,0.16147445,prosody
mfcc_d1_01_std,0.15924408,mfcc
mfcc_02_median,0.1513396,mfcc
spectral_flux_std,0.1492353,spectral
mfcc_03_std,0.14895487,mfcc
mfcc_00_min,0.14768092,mfcc
mfcc_d1_04_std,0.14680181,mfcc
prosody_f2_mean,0.14566797,prosody
mfcc_d2_00_mean,0.14119093,mfcc
spectral_band_500_1000_std,0.13927512,spectral
mfcc_d1_02_std,0.13926975,mfcc
mfcc_00_iqr,0.13446188,mfcc
mfcc_d1_02_mean,0.13291277,mfcc
spectral_entropy_min,0.13082919,spectral
prosody_f1_bw_median,0.12976377,prosody
prosody_f3_bw_median,0.12838255,prosody
prosody_hnr_std,0.12599042,prosody
mfcc_d1_19_std,0.12512487,mfcc
mfcc_02_std,0.12337359,mfcc
mfcc_05_median,0.12070937,mfcc
spectral_flux_min,0.11967555,spectral
mfcc_03_min,0.11910033,mfcc
prosody_f0_iqr,0.118953004,prosody
mfcc_d2_03_std,0.118937775,mfcc
mfcc_04_mean,0.11769878,mfcc
mfcc_04_std,0.117357686,mfcc
mfcc_06_min,0.11709461,mfcc
spectral_rolloff95_min,0.116471745,spectral
mfcc_d1_03_std,0.11440603,mfcc
prosody_f0_skew,0.11408529,prosody
mfcc_13_min,0.112435624,mfcc
mfcc_06_median,0.11239484,mfcc
spectral_entropy_kurt,0.11158853,spectral
mfcc_d1_05_std,0.111584805,mfcc
mfcc_d2_02_mean,0.11132228,mfcc
spectral_contrast_3_std,0.1112691,spectral
spectral_flatness_min,0.11117354,spectral
chroma_06_mean,0.10922387,chroma
mfcc_04_median,0.1089016,mfcc
mfcc_d2_01_mean,0.10867706,mfcc
mfcc_00_std,0.1073092,mfcc
spectral_entropy_skew,0.10727013,spectral
prosody_f0_mean,0.10676625,prosody
spectral_contrast_2_mean,0.10666957,spectral
prosody_intensity_std,0.102779716,prosody
spectral_contrast_1_std,0.10235026,spectral
mfcc_02_iqr,0.10212033,mfcc
spectral_contrast_1_mean,0.10208196,spectral
spectral_bandwidth_median,0.10206198,spectral
prosody_intensity_iqr,0.10190236,prosody
prosody_pause_fraction,0.10084067,prosody
spectral_band_1000_2000_std,0.10044636,spectral
prosody_f1_std,0.10024469,prosody
mfcc_d1_04_mean,0.100212365,mfcc
spectral_centroid_iqr,0.09914244,spectral
mfcc_00_median,0.0983595,mfcc
chroma_00_std,0.097697295,chroma
spectral_band_500_1000_mean,0.09695436,spectral
mfcc_07_mean,0.09656094,mfcc
mfcc_09_mean,0.09617896,mfcc
spectral_zcr_min,0.09576314,spectral
mfcc_09_median,0.095303066,mfcc
prosody_voiced_rate_per_s,0.095254615,prosody
prosody_f0_slope_abs_mean,0.0951123,prosody
prosody_voiced_fraction,0.09509655,prosody
mfcc_10_median,0.09476557,mfcc
spectral_flatness_mean,0.09467998,spectral
mfcc_08_median,0.09384824,mfcc
spectral_entropy_max,0.09252007,spectral
mfcc_01_iqr,0.09223064,mfcc
prosody_f4_median,0.09202597,prosody
spectral_rms_median,0.09111045,spectral
mfcc_07_min,0.09052123,mfcc
spectral_band_1000_2000_mean,0.090139985,spectral
chroma_09_std,0.08984446,chroma
mfcc_07_std,0.08923339,mfcc
spectral_entropy_mean,0.08916143,spectral
chroma_02_mean,0.08900385,chroma
chroma_10_mean,0.088990964,chroma
mfcc_06_std,0.08878489,mfcc
mfcc_03_max,0.08790317,mfcc
mfcc_d2_01_std,0.08761119,mfcc
mfcc_d1_17_std,0.086758025,mfcc
mfcc_10_mean,0.08662964,mfcc
spectral_zcr_median,0.08656152,spectral
chroma_00_mean,0.08589049,chroma
spectral_flatness_iqr,0.08560613,spectral
mfcc_04_min,0.08516099,mfcc
spectral_contrast_2_std,0.0842263,spectral
mfcc_14_iqr,0.083925515,mfcc
prosody_f4_mean,0.083695,prosody
mfcc_08_iqr,0.08313156,mfcc
chroma_02_std,0.08223761,chroma
prosody_intensity_kurt,0.082029104,prosody
chroma_11_mean,0.082000144,chroma
spectral_band_3000_4000_std,0.08165954,spectral
mfcc_d1_12_std,0.081199236,mfcc
mfcc_d2_14_mean,0.08098917,mfcc
spectral_contrast_5_std,0.080629505,spectral
mfcc_d1_11_mean,0.08022599,mfcc
mfcc_01_max,0.079794094,mfcc
mfcc_05_mean,0.07938443,mfcc
spectral_centroid_min,0.07924797,spectral
spectral_rms_mean,0.07883294,spectral
spectral_entropy_std,0.07850485,spectral
spectral_flatness_skew,0.07836157,spectral
prosody_hnr_median,0.07826136,prosody
mfcc_13_std,0.07812654,mfcc
spectral_contrast_0_std,0.078078635,spectral
spectral_band_0_500_mean,0.07772919,spectral
mfcc_09_max,0.07765649,mfcc
prosody_intensity_skew,0.076823,prosody
prosody_hnr_mean,0.07678651,prosody
mfcc_d1_10_std,0.07676781,mfcc
chroma_11_std,0.0766311,chroma
mfcc_d2_19_std,0.07655709,mfcc
spectral_bandwidth_min,0.076167695,spectral
spectral_contrast_4_std,0.07596894,spectral
mfcc_08_std,0.07588124,mfcc
mfcc_d2_07_std,0.075334355,mfcc
prosody_f4_std,0.07502964,prosody
mfcc_06_mean,0.07489044,mfcc
mfcc_d1_18_std,0.07476535,mfcc
mfcc_02_min,0.07462998,mfcc
chroma_01_std,0.07462496,chroma
prosody_f5_std,0.07452865,prosody
spectral_flux_max,0.07451944,spectral
mfcc_00_mean,0.07448065,mfcc
prosody_f0_max,0.074448496,prosody
mfcc_14_std,0.07435593,mfcc
prosody_f0_min,0.074296065,prosody
prosody_f1_mean,0.074029244,prosody
spectral_contrast_6_mean,0.073613614,spectral
prosody_f0_std,0.07345349,prosody
mfcc_d1_05_mean,0.07316111,mfcc
chroma_04_mean,0.073088616,chroma
spectral_rms_std,0.07202943,spectral
mfcc_d2_15_std,0.07189827,mfcc
mfcc_19_min,0.07170315,mfcc
chroma_10_std,0.07107066,chroma
chroma_06_std,0.070986375,chroma
spectral_slope_max,0.070905834,spectral
spectral_flux_iqr,0.070848435,spectral
prosody_f2_bw_median,0.070821516,prosody
mfcc_17_max,0.070726894,mfcc
prosody_hnr_max,0.07051137,prosody
mfcc_05_max,0.07040785,mfcc
spectral_band_2000_3000_std,0.070323005,spectral
mfcc_05_min,0.070049785,mfcc
mfcc_03_mean,0.06997612,mfcc
mfcc_14_kurt,0.06978309,mfcc
mfcc_d2_08_std,0.069613814,mfcc
mfcc_13_mean,0.069518015,mfcc
spectral_rms_iqr,0.06947472,spectral
mfcc_11_skew,0.069089465,mfcc
mfcc_d2_07_mean,0.06897985,mfcc
mfcc_08_mean,0.06878066,mfcc
mfcc_05_kurt,0.06870694,mfcc
mfcc_d1_10_mean,0.068583295,mfcc
mfcc_d1_16_std,0.06854534,mfcc
prosody_f0_kurt,0.06852129,prosody
mfcc_d1_14_mean,0.06837776,mfcc
prosody_f5_median,0.06796293,prosody
mfcc_04_max,0.06793862,mfcc
mfcc_15_min,0.067565404,mfcc
mfcc_d1_08_std,0.06748128,mfcc
prosody_jitter_rap,0.06744123,prosody
mfcc_19_iqr,0.06742754,mfcc
spectral_slope_iqr,0.067345604,spectral
prosody_f3_std,0.06710575,prosody
mfcc_03_median,0.066896014,mfcc
mfcc_d1_07_std,0.06681895,mfcc
mfcc_d1_09_std,0.06670411,mfcc
mfcc_09_std,0.06666238,mfcc
chroma_08_mean,0.06664482,chroma
mfcc_17_min,0.06649692,mfcc
mfcc_11_std,0.06619895,mfcc
mfcc_13_median,0.06574534,mfcc
mfcc_05_skew,0.06564701,mfcc
mfcc_d1_17_mean,0.06554487,mfcc
mfcc_06_kurt,0.065170474,mfcc
spectral_flux_median,0.0651461,spectral
prosody_shimmer_local,0.064956285,prosody
spectral_zcr_iqr,0.06495214,spectral
mfcc_d2_13_std,0.06489367,mfcc
mfcc_02_skew,0.06474473,mfcc
mfcc_16_mean,0.06464947,mfcc
prosody_intensity_mean,0.06463401,prosody
mfcc_d1_06_std,0.06461299,mfcc
mfcc_19_std,0.06446195,mfcc
mfcc_08_skew,0.064080186,mfcc
mfcc_01_skew,0.06389525,mfcc
mfcc_18_min,0.06386368,mfcc
mfcc_14_min,0.06381596,mfcc
mfcc_12_std,0.0637434,mfcc
mfcc_18_median,0.06366954,mfcc
mfcc_06_iqr,0.06354359,mfcc
mfcc_d2_11_std,0.063201696,mfcc
chroma_09_mean,0.063199796,chroma
prosody_f5_mean,0.06313599,prosody
spectral_contrast_5_mean,0.06288112,spectral
mfcc_08_kurt,0.06282693,mfcc
mfcc_11_mean,0.0626042,mfcc
mfcc_d2_03_mean,0.06251128,mfcc
mfcc_12_max,0.0622347,mfcc
mfcc_09_min,0.062178243,mfcc
mfcc_d2_12_std,0.062161498,mfcc
mfcc_07_max,0.06204721,mfcc
spectral_flatness_median,0.06201172,spectral
spectral_rolloff95_iqr,0.0614425,spectral
spectral_entropy_median,0.06131453,spectral
mfcc_13_kurt,0.061267886,mfcc
prosody_mean_voiced_seg_s,0.061209578,prosody
mfcc_d2_19_mean,0.06114434,mfcc
prosody_f1_median,0.061037812,prosody
peak_amplitude,0.060703043,other
chroma_08_std,0.060636163,chroma
mfcc_11_kurt,0.06060236,mfcc
prosody_shimmer_apq5,0.060316894,prosody
mfcc_d2_10_std,0.060255904,mfcc
prosody_f3_mean,0.060182437,prosody
mfcc_d2_15_mean,0.06007267,mfcc
prosody_intensity_median,0.059998784,prosody
spectral_rms_min,0.05994373,spectral
mfcc_19_max,0.05976764,mfcc
mfcc_15_median,0.05952503,mfcc
mfcc_d1_15_std,0.059375286,mfcc
mfcc_10_std,0.059264436,mfcc
chroma_05_std,0.059249338,chroma
mfcc_08_min,0.059199475,mfcc
mfcc_06_max,0.059143282,mfcc
prosody_shimmer_dda,0.058980133,prosody
mfcc_11_iqr,0.058575425,mfcc
mfcc_16_median,0.05834711,mfcc
mfcc_09_skew,0.058255747,mfcc
spectral_centroid_median,0.058178354,spectral
prosody_n_voiced_segments,0.058043335,prosody
mfcc_d2_17_std,0.057979584,mfcc
mfcc_d1_18_mean,0.057936516,mfcc
prosody_shimmer_localdb,0.057904866,prosody
spectral_band_0_500_std,0.05775745,spectral
spectral_centroid_max,0.05766657,spectral
mfcc_07_iqr,0.05718961,mfcc
mfcc_14_median,0.05701247,mfcc
mfcc_07_skew,0.05671719,mfcc
spectral_zcr_kurt,0.056633204,spectral
mfcc_02_kurt,0.05661487,mfcc
mfcc_13_max,0.056525372,mfcc
mfcc_02_mean,0.056442514,mfcc
mfcc_d1_08_mean,0.056126226,mfcc
prosody_jitter_ddp,0.05599228,prosody
mfcc_d1_06_mean,0.05594087,mfcc
mfcc_12_median,0.055621028,mfcc
mfcc_d2_09_std,0.055586357,mfcc
mfcc_08_max,0.05536568,mfcc
mfcc_05_iqr,0.05523828,mfcc
mfcc_13_iqr,0.05506679,mfcc
spectral_contrast_4_mean,0.054879412,spectral
mfcc_00_max,0.054700825,mfcc
chroma_01_mean,0.054646537,chroma
mfcc_07_median,0.05462444,mfcc
spectral_entropy_iqr,0.054621354,spectral
mfcc_18_iqr,0.054493275,mfcc
mfcc_15_mean,0.054163877,mfcc
mfcc_16_iqr,0.053894095,mfcc
mfcc_18_std,0.053858604,mfcc
mfcc_02_max,0.05383165,mfcc
mfcc_d2_04_mean,0.053817783,mfcc
mfcc_d2_06_std,0.05368445,mfcc
mfcc_17_kurt,0.053674005,mfcc
mfcc_d2_13_mean,0.05354199,mfcc
mfcc_16_min,0.05344703,mfcc
spectral_slope_skew,0.053394515,spectral
mfcc_14_skew,0.053383946,mfcc
spectral_contrast_6_std,0.053122696,spectral
